Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,13.67,14.08,13.52,14.00,32119300,14.00
2010-11-04,13.36,13.62,13.35,13.60,28025400,13.60
2010-11-03,13.19,13.25,12.96,13.14,21506200,13.14
2010-11-02,13.15,13.25,13.09,13.24,17711700,13.21
2010-11-01,13.19,13.29,12.95,13.05,18869800,13.02
2010-10-29,12.65,13.23,12.58,13.14,39265100,13.11
2010-10-28,12.82,12.82,12.61,12.65,16057400,12.62
2010-10-27,12.72,12.83,12.51,12.70,24037200,12.67
2010-10-26,12.77,12.92,12.66,12.87,21623600,12.84
2010-10-25,12.94,13.05,12.83,12.88,20530800,12.85
2010-10-22,12.81,12.85,12.63,12.72,18729700,12.69
2010-10-21,13.01,13.06,12.63,12.78,24891900,12.75
2010-10-20,12.72,13.01,12.67,12.95,30964900,12.92
2010-10-19,12.90,12.95,12.58,12.67,29002100,12.64
2010-10-18,13.12,13.19,12.86,13.14,18558800,13.11
2010-10-15,13.23,13.29,12.77,13.13,40957600,13.10
2010-10-14,13.49,13.49,13.05,13.13,26798100,13.10
2010-10-13,13.41,13.45,13.30,13.37,34330400,13.34
2010-10-12,12.91,13.23,12.79,13.20,35423000,13.17
2010-10-11,13.04,13.09,12.83,12.93,23347600,12.90
2010-10-08,12.60,13.13,12.60,12.89,72773500,12.86
2010-10-07,12.52,12.57,12.15,12.20,41472800,12.17
2010-10-06,12.16,12.47,12.10,12.37,28109400,12.34
2010-10-05,12.07,12.23,12.02,12.14,30020300,12.11
2010-10-04,12.14,12.20,11.81,11.92,31100700,11.89
2010-10-01,12.24,12.40,12.20,12.23,22997500,12.20
2010-09-30,12.19,12.25,11.94,12.11,21488200,12.08
2010-09-29,12.17,12.20,12.03,12.08,18463700,12.05
2010-09-28,12.10,12.25,11.81,12.22,30123200,12.19
2010-09-27,12.16,12.16,11.96,12.07,26729900,12.04
2010-09-24,12.00,12.25,11.97,12.20,30862500,12.17
2010-09-23,11.61,12.16,11.48,11.74,39840000,11.71
2010-09-22,11.16,11.75,11.16,11.70,44201600,11.67
2010-09-21,11.38,11.42,10.99,11.17,33728100,11.14
2010-09-20,11.25,11.44,11.14,11.38,18674300,11.35
2010-09-17,11.32,11.34,11.10,11.17,22715000,11.14
2010-09-16,11.34,11.39,11.15,11.26,28583900,11.23
2010-09-15,11.40,11.48,11.33,11.43,18973600,11.40
2010-09-14,11.46,11.59,11.33,11.49,20958400,11.46
2010-09-13,11.38,11.59,11.33,11.52,24626000,11.49
2010-09-10,11.22,11.37,11.13,11.17,15649500,11.14
2010-09-09,11.26,11.34,11.17,11.23,25433200,11.20
2010-09-08,10.93,11.23,10.90,11.07,25579000,11.04
2010-09-07,10.79,10.96,10.70,10.86,18769200,10.84
2010-09-03,11.01,11.07,10.82,10.88,16634600,10.86
2010-09-02,10.55,10.84,10.46,10.83,31414700,10.81
2010-09-01,10.41,10.54,10.32,10.52,24241900,10.50
2010-08-31,10.20,10.36,10.10,10.22,21111400,10.20
2010-08-30,10.30,10.46,10.24,10.25,21911500,10.23
2010-08-27,10.15,10.36,9.97,10.32,24420400,10.30
2010-08-26,10.18,10.31,10.01,10.01,21602300,9.99
