Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,50.86,51.06,50.61,50.92,6595800,50.92
2010-11-04,51.37,51.58,50.72,50.88,9266600,50.88
2010-11-03,50.86,51.19,50.60,51.04,5777200,51.04
2010-11-02,50.79,51.06,50.71,50.88,7545300,50.88
2010-11-01,51.58,51.64,50.32,50.60,9909300,50.60
2010-10-29,51.78,51.86,50.93,51.32,10240500,51.32
2010-10-28,51.84,52.13,51.36,51.75,6526100,51.75
2010-10-27,52.34,52.34,51.03,51.64,9806600,51.64
2010-10-26,52.39,52.69,52.32,52.69,3987200,52.69
2010-10-25,52.85,53.23,52.46,52.51,6256600,52.51
2010-10-22,52.95,52.95,52.35,52.56,3536400,52.56
2010-10-21,52.68,53.09,52.49,52.84,7347800,52.84
2010-10-20,52.18,52.55,51.67,52.42,10893000,52.42
2010-10-19,53.22,53.45,52.50,52.87,7413900,52.87
2010-10-18,53.18,53.67,53.05,53.67,6138200,53.67
2010-10-15,53.37,53.75,53.11,53.17,7928400,53.17
2010-10-14,53.21,53.27,52.82,53.21,5929100,53.21
2010-10-13,53.40,53.52,53.11,53.18,6105400,53.18
2010-10-12,52.80,53.62,52.71,53.51,16780700,53.07
2010-10-11,52.90,52.92,52.58,52.81,4958400,52.38
2010-10-08,52.55,52.93,52.41,52.81,15319600,52.38
2010-10-07,53.19,53.23,52.44,52.58,16129400,52.15
2010-10-06,52.97,53.22,52.66,52.98,4917500,52.54
2010-10-05,52.77,53.17,52.69,53.08,6256800,52.64
2010-10-04,52.57,52.91,52.17,52.51,5360300,52.08
2010-10-01,52.54,52.58,52.12,52.58,4758700,52.15
2010-09-30,52.43,52.86,52.10,52.24,6446700,51.81
2010-09-29,52.38,52.57,52.11,52.49,5410500,52.06
2010-09-28,52.21,52.48,51.92,52.38,4598500,51.95
2010-09-27,51.95,52.26,51.79,52.10,4912400,51.67
2010-09-24,51.99,52.33,51.75,51.94,6573500,51.51
2010-09-23,51.55,51.93,51.50,51.60,4306600,51.18
2010-09-22,52.21,52.43,51.86,51.99,5120200,51.56
2010-09-21,52.36,52.36,51.75,52.15,5749700,51.72
2010-09-20,51.60,52.39,51.53,52.26,5361300,51.83
2010-09-17,51.78,51.93,51.53,51.64,7234600,51.22
2010-09-16,51.41,51.78,51.00,51.61,5544500,51.19
2010-09-15,51.36,51.75,51.15,51.66,4586700,51.24
2010-09-14,51.42,51.63,51.11,51.41,5570200,50.99
2010-09-13,51.79,51.79,51.23,51.45,4878100,51.03
2010-09-10,51.25,51.59,51.09,51.54,4440700,51.12
2010-09-09,50.95,51.32,50.95,51.09,5223700,50.67
2010-09-08,50.49,50.88,50.35,50.45,5572200,50.04
2010-09-07,50.50,50.79,50.36,50.49,4647200,50.07
2010-09-03,50.94,50.99,50.25,50.74,4772800,50.32
2010-09-02,50.21,50.63,50.21,50.61,4967000,50.19
2010-09-01,49.72,50.61,49.72,50.27,7057100,49.86
2010-08-31,49.20,49.45,49.02,49.34,7035300,48.93
2010-08-30,49.89,50.09,49.49,49.49,4164300,49.08
2010-08-27,49.56,49.90,49.01,49.84,4531900,49.43
2010-08-26,50.05,50.05,49.37,49.50,5474900,49.09
2010-08-25,49.18,50.05,49.15,49.82,7553500,49.41
2010-08-24,49.29,49.78,49.07,49.48,8957700,49.07
2010-08-23,49.55,50.18,49.55,49.78,7216000,49.37
2010-08-20,49.04,49.43,48.93,49.34,6407400,48.93
2010-08-19,50.16,50.21,49.04,49.32,10218800,48.91
2010-08-18,50.63,50.72,50.22,50.23,6138600,49.82
2010-08-17,50.50,50.89,50.25,50.69,6041800,50.27
2010-08-16,50.05,50.43,49.77,50.34,4795800,49.93
2010-08-13,50.12,50.26,49.91,50.06,5086800,49.65
2010-08-12,49.91,50.54,49.73,50.39,4419000,49.98
2010-08-11,51.03,51.11,50.27,50.39,6321600,49.98
2010-08-10,50.67,51.70,50.59,51.47,8966200,51.05
2010-08-09,50.63,50.95,50.43,50.88,4498400,50.46
2010-08-06,49.71,50.68,49.71,50.57,7995000,50.15
2010-08-05,49.93,50.08,49.72,49.98,5897000,49.57
2010-08-04,49.98,50.27,49.79,50.18,6168900,49.77
2010-08-03,49.91,50.61,49.76,50.00,9078400,49.59
2010-08-02,49.71,50.00,49.62,49.83,7508000,49.42
2010-07-30,48.72,49.36,48.30,49.08,7819800,48.68
2010-07-29,49.44,49.77,48.93,48.98,8846400,48.58
2010-07-28,49.31,49.48,48.85,49.22,6856700,48.82
2010-07-27,49.50,49.50,48.96,49.27,4636600,48.86
2010-07-26,48.82,49.37,48.82,49.24,5918100,48.84
2010-07-23,48.98,49.16,48.58,48.93,8723300,48.53
2010-07-22,49.02,49.54,48.36,49.01,10753800,48.61
2010-07-21,47.73,49.38,44.59,48.68,14195400,48.28
2010-07-20,47.13,47.55,46.86,47.47,7907100,47.08
2010-07-19,47.41,47.58,47.25,47.41,4200100,47.02
2010-07-16,47.91,48.14,47.02,47.07,9138400,46.68
2010-07-15,47.86,48.11,47.68,48.02,5796500,47.63
2010-07-14,47.53,47.86,47.17,47.85,5552100,47.46
2010-07-13,47.78,47.89,47.62,47.67,6920400,47.28
2010-07-12,48.10,48.10,47.60,47.82,5746700,46.99
2010-07-09,48.16,48.16,47.52,48.03,5200000,47.20
2010-07-08,47.90,48.15,47.68,48.10,7337100,47.27
2010-07-07,46.74,47.77,46.59,47.71,9121600,46.88
2010-07-06,46.78,46.97,46.31,46.69,9611500,45.88
2010-07-02,46.48,46.76,46.22,46.46,5677600,45.65
2010-07-01,46.55,46.66,45.71,46.46,8619800,45.65
