Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,31.92,32.00,31.22,31.35,4739400,31.35
2010-11-04,31.37,31.62,30.77,31.56,9744600,31.56
2010-11-03,31.23,31.25,30.71,31.05,7958500,31.05
2010-11-02,32.09,32.26,30.50,31.19,19860100,31.19
2010-11-01,33.43,33.88,33.28,33.39,5321500,33.39
2010-10-29,33.13,33.41,32.50,33.32,9125700,33.32
2010-10-28,33.59,33.86,33.17,33.45,3076300,33.45
2010-10-27,33.14,33.23,32.71,33.22,3799700,33.22
2010-10-26,33.54,33.69,33.15,33.37,3704200,33.37
2010-10-25,33.71,34.03,33.62,33.71,3501900,33.71
2010-10-22,33.42,33.70,33.20,33.54,2314200,33.54
2010-10-21,33.45,33.72,33.25,33.43,2673600,33.43
2010-10-20,33.07,33.56,33.02,33.43,5429000,33.43
2010-10-19,33.35,33.35,32.84,32.96,3922300,32.96
2010-10-18,33.34,33.61,33.08,33.58,4047600,33.58
2010-10-15,33.50,33.50,32.97,33.27,4585500,33.27
2010-10-14,33.30,33.34,33.06,33.28,3536100,33.28
2010-10-13,33.16,33.42,33.03,33.22,6164100,33.22
2010-10-12,32.45,32.79,32.20,32.71,3592200,32.71
2010-10-11,32.63,32.74,32.16,32.56,5116800,32.56
2010-10-08,32.90,33.50,32.85,32.86,7192600,32.86
2010-10-07,32.45,32.76,32.30,32.73,4205700,32.73
2010-10-06,32.42,32.65,32.22,32.30,3852500,32.30
2010-10-05,31.80,32.45,31.79,32.38,4561200,32.38
2010-10-04,31.93,32.04,31.44,31.61,5048100,31.61
2010-10-01,31.89,31.94,31.36,31.92,6610800,31.92
2010-09-30,32.68,32.80,31.75,31.92,7260800,31.92
2010-09-29,32.86,32.97,32.53,32.57,3575200,32.57
2010-09-28,32.77,32.92,32.28,32.89,3827700,32.89
2010-09-27,32.45,32.76,32.26,32.64,6379800,32.64
2010-09-24,33.27,33.35,32.01,32.27,10233600,32.27
2010-09-23,33.07,33.27,32.75,33.01,3798800,33.01
2010-09-22,32.96,33.54,32.92,33.39,5214800,33.39
2010-09-21,33.25,33.31,32.62,32.85,4291300,32.85
2010-09-20,32.60,33.00,32.40,32.95,3586800,32.95
2010-09-17,33.39,33.45,32.37,32.38,8909100,32.38
2010-09-16,32.30,33.32,32.20,33.21,7676300,33.21
2010-09-15,32.17,32.58,32.11,32.54,4208500,32.54
2010-09-14,32.61,32.69,32.15,32.16,5721600,32.16
2010-09-13,32.84,33.15,32.68,32.68,5293800,32.68
2010-09-10,32.33,32.74,32.22,32.72,6107100,32.72
2010-09-09,32.19,32.19,31.70,31.85,4105700,31.85
2010-09-08,31.40,32.20,31.40,31.95,5094900,31.95
2010-09-07,31.83,32.00,31.37,31.39,4761900,31.39
2010-09-03,31.82,32.00,31.58,32.00,4127300,32.00
2010-09-02,31.34,31.67,31.24,31.54,3859300,31.54
2010-09-01,31.25,31.95,31.16,31.35,5891300,31.35
2010-08-31,30.52,30.89,30.33,30.81,6718700,30.81
2010-08-30,30.48,30.90,30.16,30.55,3589000,30.55
2010-08-27,30.20,30.64,29.86,30.53,5992900,30.53
2010-08-26,30.22,30.43,29.93,29.97,4548500,29.97
2010-08-25,29.75,30.13,29.64,30.11,6294600,30.11
2010-08-24,29.95,30.10,29.76,29.88,4526000,29.88
2010-08-23,30.77,31.00,30.31,30.33,3933300,30.33
2010-08-20,30.17,30.73,30.13,30.52,5688600,30.52
2010-08-19,30.77,30.86,30.22,30.23,5397300,30.23
2010-08-18,31.00,31.09,30.58,30.71,4753300,30.71
2010-08-17,30.42,30.96,30.07,30.78,6242800,30.78
2010-08-16,29.89,30.24,29.69,30.04,5079900,29.89
2010-08-13,30.59,30.78,29.99,30.05,6022200,29.90
2010-08-12,29.65,30.62,29.59,30.60,6338900,30.45
2010-08-11,30.03,30.29,29.79,29.84,5221100,29.69
2010-08-10,30.26,30.79,30.24,30.64,4481500,30.49
2010-08-09,30.10,30.64,29.83,30.63,6590400,30.48
2010-08-06,30.41,30.98,29.97,30.18,12834100,30.03
2010-08-05,28.76,30.40,28.76,30.25,17192900,30.10
2010-08-04,28.51,28.75,28.26,28.61,4557800,28.47
2010-08-03,28.60,29.17,28.41,28.49,7249200,28.35
2010-08-02,27.64,28.39,27.58,28.32,7491600,28.18
2010-07-30,26.90,27.54,26.50,27.36,6591900,27.22
2010-07-29,27.28,27.45,26.84,27.00,11662500,26.87
2010-07-28,27.87,27.99,27.60,27.66,3595400,27.52
