Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,45.67,45.86,45.53,45.84,3031400,45.84
2010-11-04,45.45,45.76,45.36,45.76,2856700,45.76
2010-11-03,44.79,45.26,44.65,45.14,3866600,45.14
2010-11-02,45.00,45.13,44.69,44.82,2997500,44.82
2010-11-01,44.55,45.00,44.40,44.72,2342600,44.72
2010-10-29,44.27,44.68,44.12,44.49,2556600,44.49
2010-10-28,44.75,44.76,44.14,44.37,2737900,44.37
2010-10-27,44.43,44.74,43.87,44.68,3588600,44.68
2010-10-26,43.79,44.25,43.45,44.19,3645600,44.19
2010-10-25,43.95,44.12,43.81,43.99,2474300,43.99
2010-10-22,43.70,43.88,43.44,43.80,2045200,43.80
2010-10-21,43.48,43.65,43.22,43.57,2653700,43.57
2010-10-20,42.73,43.39,42.60,43.29,3034600,43.29
2010-10-19,42.73,42.91,42.21,42.60,2623500,42.60
2010-10-18,42.74,43.00,42.59,42.96,2406000,42.96
2010-10-15,42.73,42.99,42.38,42.94,3056800,42.94
2010-10-14,42.45,42.67,42.20,42.47,1838200,42.47
2010-10-13,42.29,42.69,42.04,42.46,1796800,42.46
2010-10-12,41.97,42.06,41.50,42.00,1972200,42.00
2010-10-11,42.08,42.23,41.78,42.04,1244300,42.04
2010-10-08,42.19,42.29,41.78,42.10,2156600,42.10
2010-10-07,42.42,42.50,42.14,42.18,2397200,42.18
2010-10-06,42.17,42.31,41.95,42.11,2529700,42.11
2010-10-05,42.10,42.34,42.00,42.16,4299300,42.16
2010-10-04,41.89,42.17,41.51,41.75,3342200,41.75
2010-10-01,42.21,42.50,41.78,41.82,3529400,41.82
2010-09-30,42.40,42.64,41.69,42.03,4568800,42.03
2010-09-29,42.41,42.44,42.00,42.12,2870600,42.12
2010-09-28,42.36,42.72,41.55,42.48,3187400,42.48
2010-09-27,42.52,42.57,42.06,42.10,2485300,42.10
2010-09-24,41.57,42.64,41.57,42.64,2435600,42.64
2010-09-23,41.71,41.94,41.50,41.62,1934600,41.62
2010-09-22,41.81,42.33,41.75,41.91,2532500,41.91
2010-09-21,42.05,42.08,41.36,41.76,2492600,41.76
2010-09-20,41.50,42.13,41.36,42.03,2786800,42.03
2010-09-17,41.37,41.49,41.16,41.33,4944700,41.33
2010-09-16,41.00,41.23,40.99,41.13,1957500,41.13
2010-09-15,40.69,41.25,40.50,41.20,3015100,41.20
2010-09-14,40.33,40.74,40.30,40.55,1864200,40.55
2010-09-13,40.50,40.61,40.26,40.41,2208500,40.41
2010-09-10,39.95,40.25,39.83,40.10,1576700,40.10
2010-09-09,40.12,40.20,39.80,39.92,2195400,39.92
2010-09-08,39.45,39.87,39.27,39.66,2282400,39.66
2010-09-07,39.96,40.01,39.65,39.68,2175800,39.34
2010-09-03,40.14,40.46,39.85,40.08,3319800,39.74
2010-09-02,39.44,39.81,39.22,39.69,2568200,39.35
2010-09-01,38.81,39.73,38.80,39.37,3345300,39.03
2010-08-31,38.85,39.13,38.50,38.61,3515100,38.28
2010-08-30,39.26,39.37,38.83,38.83,2752800,38.50
2010-08-27,39.08,39.41,38.56,39.36,2833300,39.02
2010-08-26,39.01,39.18,38.64,38.75,2588100,38.42
2010-08-25,38.57,39.11,38.41,38.93,2509000,38.60
2010-08-24,38.90,39.19,38.54,38.81,2894800,38.48
2010-08-23,39.47,39.74,39.03,39.05,2320700,38.72
2010-08-20,39.31,39.56,39.10,39.40,2746000,39.06
2010-08-19,40.13,40.14,39.22,39.45,3210000,39.11
2010-08-18,40.23,40.34,39.83,40.22,3095400,39.88
