Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,29.80,29.86,29.55,29.83,1514000,29.83
2010-11-04,29.22,29.78,29.22,29.72,2122900,29.72
2010-11-03,29.34,29.37,28.87,29.04,1344900,29.04
2010-11-02,29.08,29.31,29.08,29.30,1665200,29.30
2010-11-01,29.17,29.29,28.65,28.85,1479900,28.85
2010-10-29,28.69,29.01,28.40,28.98,2753800,28.98
2010-10-28,28.78,28.84,28.44,28.60,2660600,28.60
2010-10-27,28.59,28.60,28.05,28.58,1970700,28.58
2010-10-26,28.70,28.88,28.59,28.68,1538300,28.68
2010-10-25,28.92,29.04,28.75,28.76,1578000,28.76
2010-10-22,28.91,29.02,28.57,28.83,1343400,28.83
2010-10-21,29.31,29.32,28.84,28.94,2453700,28.94
2010-10-20,29.04,29.45,28.96,29.18,1925100,29.18
2010-10-19,28.99,29.17,28.79,28.94,2598300,28.94
2010-10-18,28.94,29.41,28.91,29.24,3102600,29.24
2010-10-15,28.89,29.03,28.70,28.88,4193500,28.88
2010-10-14,28.92,29.06,28.68,28.77,1685700,28.77
2010-10-13,29.09,29.12,28.83,28.90,2472900,28.90
2010-10-12,29.10,29.15,28.83,28.91,2225000,28.91
2010-10-11,29.25,29.29,29.05,29.18,1433500,29.18
2010-10-08,29.20,29.30,28.99,29.18,1638600,29.18
2010-10-07,29.08,29.19,28.94,29.16,1926800,29.16
2010-10-06,28.73,29.12,28.73,28.93,2635300,28.93
2010-10-05,28.98,29.05,28.61,29.04,3443500,29.04
2010-10-04,28.79,28.92,28.48,28.66,2620200,28.66
2010-10-01,28.65,28.95,28.43,28.79,2363700,28.79
2010-09-30,28.64,28.70,28.20,28.40,2351800,28.40
2010-09-29,28.34,28.50,28.19,28.44,1580500,28.44
2010-09-28,28.23,28.42,28.01,28.37,1695200,28.37
2010-09-27,28.03,28.41,27.91,28.25,2430100,28.25
2010-09-24,27.57,28.02,27.51,27.96,1586500,27.96
2010-09-23,27.71,27.82,27.38,27.41,1987400,27.41
2010-09-22,27.56,27.99,27.53,27.81,1609800,27.81
2010-09-21,27.61,27.77,27.45,27.54,2010900,27.54
2010-09-20,27.53,27.68,27.42,27.61,2404000,27.61
2010-09-17,27.57,27.65,27.34,27.42,2846500,27.42
2010-09-16,27.77,27.77,27.47,27.56,1566300,27.56
2010-09-15,28.17,28.21,27.62,27.80,2111800,27.80
2010-09-14,28.08,28.29,27.87,28.15,2067100,28.15
2010-09-13,28.00,28.18,27.82,28.08,1600900,28.08
2010-09-10,27.70,27.82,27.56,27.79,1438300,27.79
2010-09-09,28.01,28.09,27.73,27.74,2844700,27.74
2010-09-08,28.13,28.24,27.63,27.71,2310500,27.71
2010-09-07,28.31,28.42,28.02,28.11,1997600,28.11
2010-09-03,28.79,28.79,28.46,28.65,3029900,28.26
2010-09-02,28.79,28.99,28.37,28.46,3445900,28.08
2010-09-01,28.38,28.97,28.29,28.89,2266000,28.50
2010-08-31,27.53,28.12,27.42,28.07,2879300,27.69
2010-08-30,28.24,28.35,27.57,27.61,2639800,27.24
2010-08-27,27.90,28.32,27.66,28.27,2291900,27.89
2010-08-26,28.01,28.06,27.68,27.75,2010400,27.38
2010-08-25,27.81,28.05,27.62,27.94,4409200,27.56
2010-08-24,27.41,28.11,27.31,28.04,3569100,27.66
2010-08-23,27.30,27.90,27.27,27.66,2862900,27.29
2010-08-20,26.88,27.19,26.62,27.14,1963000,26.78
2010-08-19,27.44,27.52,26.93,27.11,2100400,26.75
2010-08-18,28.02,28.02,27.44,27.59,3436100,27.22
2010-08-17,28.24,28.52,27.96,27.97,3847700,27.59
2010-08-16,27.44,28.09,27.35,28.09,4358800,27.71
2010-08-13,26.57,27.67,26.42,27.58,5025000,27.21
2010-08-12,26.75,26.94,26.60,26.72,2314500,26.36
2010-08-11,27.24,27.37,27.01,27.02,2629700,26.66
2010-08-10,27.04,27.80,26.91,27.62,2285100,27.25
2010-08-09,27.34,27.40,27.19,27.31,2475800,26.94
2010-08-06,26.89,27.20,26.71,27.20,2807100,26.83
2010-08-05,26.32,27.27,26.25,27.04,4766400,26.68
2010-08-04,26.14,26.19,25.88,26.16,1671600,25.81
2010-08-03,25.81,26.16,25.80,26.11,1412600,25.76
2010-08-02,25.75,26.00,25.66,25.91,1630200,25.56
2010-07-30,25.62,25.62,25.21,25.37,1744800,25.03
2010-07-29,26.32,26.41,25.61,25.80,1773700,25.45
2010-07-28,26.07,26.26,25.92,26.20,2625100,25.85
2010-07-27,25.80,26.19,25.72,26.12,2661300,25.77
2010-07-26,25.33,25.67,25.30,25.65,1230000,25.31
2010-07-23,25.12,25.42,24.85,25.29,1672700,24.95
2010-07-22,24.90,25.23,24.88,25.07,1490400,24.73
2010-07-21,25.09,25.09,24.52,24.68,1344100,24.35
