Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.65,37.73,37.32,37.70,3257200,37.70
2010-11-04,37.74,37.94,37.32,37.59,3772200,37.59
2010-11-03,37.73,37.77,37.16,37.55,3199400,37.55
2010-11-02,37.46,37.76,37.35,37.63,2515800,37.63
2010-11-01,37.58,37.77,37.00,37.28,2298900,37.28
2010-10-29,37.21,37.55,37.06,37.44,2675300,37.44
2010-10-28,37.02,37.44,37.00,37.21,3732800,37.21
2010-10-27,36.66,36.88,36.36,36.85,2989200,36.85
2010-10-26,36.37,36.75,36.36,36.66,2489300,36.66
2010-10-25,36.89,36.89,36.44,36.46,2774100,36.46
2010-10-22,36.98,36.98,36.52,36.70,4174500,36.70
2010-10-21,37.01,37.01,36.62,36.90,3258900,36.90
2010-10-20,36.66,36.90,36.50,36.82,3094700,36.82
2010-10-19,36.56,37.16,36.24,36.52,7545000,36.52
2010-10-18,36.01,36.49,36.00,36.33,3217300,36.33
2010-10-15,35.96,36.11,35.76,35.94,2553500,35.94
2010-10-14,35.82,35.94,35.69,35.79,2350500,35.79
2010-10-13,35.96,36.00,35.72,35.83,3192300,35.83
2010-10-12,36.02,36.09,35.68,35.86,4478000,35.86
2010-10-11,36.15,36.44,36.15,36.29,1452900,36.29
2010-10-08,36.16,36.38,35.91,36.19,2356800,36.19
2010-10-07,36.46,36.51,35.91,36.05,3093700,36.05
2010-10-06,36.30,36.41,36.06,36.26,1743700,36.26
2010-10-05,36.48,36.49,36.24,36.34,3964600,36.34
2010-10-04,36.28,36.52,36.03,36.20,2307000,36.20
2010-10-01,36.40,36.48,36.05,36.22,2417600,36.22
2010-09-30,36.63,36.68,36.07,36.23,3122300,36.23
2010-09-29,36.62,36.83,36.27,36.46,2424500,36.46
2010-09-28,36.64,36.84,36.24,36.72,2491900,36.72
2010-09-27,36.20,36.69,36.19,36.54,2013700,36.54
2010-09-24,36.42,36.63,36.35,36.50,3280800,36.50
2010-09-23,36.28,36.52,36.02,36.10,2047400,36.10
2010-09-22,36.03,36.57,36.00,36.43,2457100,36.43
2010-09-21,36.28,36.33,35.89,36.01,3426200,36.01
2010-09-20,35.88,36.41,35.88,36.34,2265000,36.34
2010-09-17,36.19,36.21,35.81,35.88,3398900,35.88
2010-09-16,36.08,36.09,35.85,36.00,2159600,36.00
2010-09-15,36.38,36.43,36.02,36.18,3604100,36.18
2010-09-14,36.66,36.70,36.26,36.42,2553200,36.42
2010-09-13,36.89,36.93,36.64,36.70,3946500,36.70
2010-09-10,36.51,36.73,36.02,36.63,5245600,36.63
2010-09-09,36.46,36.55,36.19,36.35,2001100,36.35
2010-09-08,36.28,36.31,36.01,36.08,2218400,36.08
2010-09-07,35.82,36.30,35.82,36.17,2783200,36.17
2010-09-03,36.07,36.19,35.67,36.12,2594400,36.12
2010-09-02,36.27,36.27,35.64,35.86,2744100,35.86
2010-09-01,35.74,36.36,35.57,36.11,3304600,36.11
2010-08-31,35.05,35.54,34.86,35.41,2958700,35.41
2010-08-30,35.68,35.77,35.16,35.17,2202400,35.17
2010-08-27,35.35,35.79,34.99,35.71,3141900,35.71
2010-08-26,35.48,35.50,35.10,35.20,2157400,35.20
2010-08-25,35.28,35.41,34.90,35.33,2935300,35.33
2010-08-24,34.87,35.66,34.87,35.41,3305900,35.41
2010-08-23,35.01,35.40,34.94,35.11,3964900,35.11
2010-08-20,34.61,34.95,34.50,34.82,2946700,34.82
2010-08-19,35.19,35.19,34.55,34.84,3482400,34.84
2010-08-18,35.83,35.86,34.92,35.22,5405600,35.22
2010-08-17,35.55,36.09,35.55,35.76,3245300,35.76
2010-08-16,35.37,35.78,35.06,35.73,2423500,35.73
2010-08-13,35.17,35.78,35.17,35.52,3158600,35.52
2010-08-12,35.22,35.48,35.06,35.35,2976700,35.35
2010-08-11,35.77,35.90,35.47,35.50,3069400,35.50
2010-08-10,35.52,36.45,35.49,36.27,3734500,36.27
2010-08-09,36.01,36.08,35.71,35.85,3955900,35.85
2010-08-06,35.91,36.04,35.57,35.98,4493200,35.98
2010-08-05,35.85,36.45,35.82,36.41,3865800,35.99
2010-08-04,35.90,36.03,35.67,35.99,4746700,35.57
2010-08-03,36.10,36.47,36.06,36.25,4500500,35.83
2010-08-02,36.20,36.32,35.73,36.27,4082400,35.85
2010-07-30,35.51,36.24,35.26,35.98,6137900,35.56
2010-07-29,36.75,36.82,35.91,36.10,5199300,35.68
2010-07-28,36.46,36.70,36.24,36.61,2690000,36.19
2010-07-27,36.27,36.80,36.15,36.63,4018600,36.21
2010-07-26,35.71,36.18,35.71,36.17,3139600,35.75
2010-07-23,35.75,36.00,35.52,35.80,4021600,35.39
2010-07-22,35.61,36.16,35.61,35.79,4019100,35.38
2010-07-21,35.97,35.97,34.97,35.26,4472200,34.85
2010-07-20,35.15,35.94,35.06,35.92,3950100,35.51
2010-07-19,34.97,35.49,34.86,35.38,3115700,34.97
2010-07-16,35.14,35.31,34.69,34.76,4397000,34.36
2010-07-15,34.77,35.33,34.60,35.28,3624400,34.87
2010-07-14,34.70,34.94,34.43,34.86,2926700,34.46
2010-07-13,34.95,34.95,34.45,34.77,4300900,34.37
2010-07-12,34.79,34.89,34.47,34.87,2822200,34.47
2010-07-09,34.79,34.87,34.26,34.84,3239400,34.44
2010-07-08,34.53,34.83,34.35,34.77,4263000,34.37
2010-07-07,33.47,34.42,33.27,34.37,7050200,33.97
2010-07-06,32.62,33.30,32.56,33.26,5648400,32.88
2010-07-02,32.35,32.60,32.20,32.39,3292600,32.02
2010-07-01,32.42,32.48,31.87,32.22,3940100,31.85
