Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,31.06,31.39,30.72,31.03,4738700,31.03
2010-11-04,31.19,31.24,30.61,30.88,4726100,30.88
2010-11-03,30.07,31.50,29.56,30.84,8188000,30.84
2010-11-02,30.09,30.66,29.96,29.97,7267900,29.97
2010-11-01,30.02,30.34,29.64,29.81,3799100,29.81
2010-10-29,30.36,30.72,29.82,29.86,4531000,29.86
2010-10-28,30.40,30.65,30.08,30.35,2785200,30.35
2010-10-27,30.53,30.78,30.10,30.18,3882100,30.18
2010-10-26,31.06,31.06,30.61,30.78,3475900,30.78
2010-10-25,31.56,31.79,31.22,31.27,2952100,31.27
2010-10-22,31.39,31.56,31.08,31.20,2901000,31.20
2010-10-21,31.38,31.50,31.01,31.39,2539400,31.39
2010-10-20,31.09,31.62,31.04,31.33,3374400,31.33
2010-10-19,31.53,31.65,30.73,30.90,3982300,30.90
2010-10-18,31.70,32.00,31.44,31.99,3478400,31.99
2010-10-15,31.86,32.06,31.54,31.74,3841200,31.74
2010-10-14,31.62,32.41,31.40,31.58,3523200,31.58
2010-10-13,31.24,31.97,31.00,31.67,3916600,31.67
2010-10-12,30.75,31.14,30.53,31.01,2243500,31.01
2010-10-11,30.68,31.09,30.62,30.90,2234300,30.90
2010-10-08,30.71,31.04,30.40,30.69,2405400,30.69
2010-10-07,30.47,30.88,30.38,30.68,4315500,30.68
2010-10-06,30.97,31.25,30.17,30.38,3179700,30.38
2010-10-05,30.75,31.11,30.53,31.06,3208600,31.06
2010-10-04,31.09,31.22,30.42,30.50,2366200,30.50
2010-10-01,31.61,31.70,30.79,31.20,2983600,31.20
2010-09-30,31.33,31.84,31.28,31.61,4842700,31.61
2010-09-29,31.05,31.21,30.71,31.17,3768700,31.17
2010-09-28,30.98,31.30,30.79,31.26,3473200,31.26
2010-09-27,30.89,31.12,30.81,30.81,3396500,30.81
2010-09-24,30.95,31.04,30.79,30.94,4477600,30.94
2010-09-23,30.55,30.98,30.40,30.63,5162600,30.63
2010-09-22,30.90,31.06,30.68,30.79,5465700,30.79
2010-09-21,30.51,31.44,30.47,31.05,5125100,31.05
2010-09-20,29.89,30.65,29.82,30.53,3624100,30.53
2010-09-17,30.53,30.60,29.56,29.71,6433800,29.71
2010-09-16,30.30,30.46,30.01,30.30,2968400,30.30
2010-09-15,30.37,30.50,29.86,30.35,4260200,30.35
2010-09-14,30.30,30.70,30.14,30.50,3517000,30.50
2010-09-13,30.17,30.69,30.15,30.44,5290200,30.44
2010-09-10,29.55,30.09,29.24,29.93,3634400,29.93
2010-09-09,29.40,29.79,29.29,29.46,4181200,29.46
2010-09-08,28.55,29.08,28.55,29.07,3252600,29.07
2010-09-07,28.64,28.84,28.36,28.57,2622900,28.57
2010-09-03,28.65,28.92,28.58,28.76,3711800,28.76
2010-09-02,28.05,28.41,27.67,28.41,3176700,28.41
2010-09-01,27.05,27.94,26.92,27.92,4657300,27.92
2010-08-31,26.64,27.20,26.42,26.72,3463400,26.72
2010-08-30,27.32,27.49,26.85,26.85,1865100,26.85
2010-08-27,27.00,27.38,26.49,27.33,2530100,27.33
2010-08-26,27.12,27.36,26.77,26.86,2895100,26.86
2010-08-25,26.53,27.22,26.45,27.05,3630500,27.05
2010-08-24,26.87,27.02,26.50,26.69,3988100,26.69
2010-08-23,27.23,27.52,27.11,27.15,2794700,27.15
2010-08-20,27.09,27.36,26.98,27.11,3015000,27.11
2010-08-19,28.21,28.22,27.23,27.25,4681100,27.25
2010-08-18,28.05,28.60,27.75,28.34,3783000,28.34
2010-08-17,28.10,28.35,27.80,28.11,2420100,28.11
2010-08-16,27.80,27.99,27.55,27.86,2419300,27.86
2010-08-13,27.99,28.26,27.80,28.14,2503700,28.14
2010-08-12,28.08,28.42,27.87,28.10,3386600,28.10
2010-08-11,29.36,29.36,27.89,28.28,7270900,28.28
2010-08-10,29.47,29.83,29.28,29.67,3996200,29.67
2010-08-09,30.11,30.39,29.73,29.74,3813000,29.74
2010-08-06,29.06,30.20,29.06,30.07,6633400,30.07
2010-08-05,28.78,29.42,28.62,29.42,3912000,29.42
2010-08-04,28.47,29.03,28.40,28.94,3222200,28.94
2010-08-03,28.46,29.10,28.29,28.45,6918500,28.45
2010-08-02,28.26,28.58,27.94,28.50,5107200,28.50
2010-07-30,27.18,28.09,27.03,27.85,4916000,27.85
2010-07-29,27.88,28.00,27.17,27.49,4673300,27.49
2010-07-28,28.14,28.14,26.95,27.55,6523200,27.55
2010-07-27,28.63,28.91,28.19,28.36,4092800,28.36
2010-07-26,28.13,28.74,28.12,28.58,3051200,28.58
2010-07-23,28.20,28.44,27.96,28.15,3204500,28.15
2010-07-22,27.69,28.40,27.41,28.27,4383000,28.27
2010-07-21,27.82,27.95,27.14,27.31,3053000,27.31
2010-07-20,27.26,27.83,27.18,27.70,5185800,27.70
2010-07-19,27.33,27.84,27.24,27.66,2952300,27.66
2010-07-16,28.05,28.21,27.11,27.16,5091700,27.16
2010-07-15,27.80,28.28,27.77,28.22,4435600,28.22
2010-07-14,27.51,28.07,27.37,27.76,3122000,27.76
2010-07-13,27.41,27.95,27.22,27.75,5175500,27.75
2010-07-12,26.83,27.24,26.44,27.21,6867500,27.21
2010-07-09,27.78,27.79,27.30,27.63,3988000,27.63
2010-07-08,27.35,27.71,27.28,27.64,4090800,27.64
2010-07-07,26.58,27.22,26.50,27.17,5309200,27.17
2010-07-06,26.62,26.79,26.25,26.49,5131400,26.49
2010-07-02,26.06,26.46,25.97,26.25,7035500,26.25
2010-07-01,26.29,26.30,25.00,25.99,9116200,25.99
2010-06-30,26.83,26.94,26.26,26.38,7823800,26.38
2010-06-29,27.81,27.81,26.73,26.90,8055900,26.90
2010-06-28,28.66,28.76,28.00,28.04,4491600,28.04
2010-06-25,27.99,28.87,27.99,28.47,7009900,28.47
2010-06-24,28.79,29.05,28.52,28.66,3815300,28.66
2010-06-23,29.21,29.30,28.80,28.93,5606100,28.93
2010-06-22,29.88,30.19,29.16,29.20,5126100,29.20
2010-06-21,30.78,30.97,29.78,29.91,4279200,29.91
2010-06-18,30.51,30.63,30.24,30.43,5582200,30.43
2010-06-17,29.77,30.68,29.65,30.63,8537500,30.63
2010-06-16,29.36,29.75,29.26,29.32,5604400,29.32
2010-06-15,29.45,29.69,29.26,29.59,3993400,29.59
2010-06-14,28.79,29.67,28.79,29.28,7929000,29.28
2010-06-11,28.61,29.06,28.09,28.62,7259400,28.62
2010-06-10,29.11,29.20,28.67,28.85,6697500,28.85
2010-06-09,29.50,29.81,28.75,28.81,6094700,28.81
2010-06-08,29.51,30.01,29.13,29.42,5561700,29.42
2010-06-07,30.37,30.72,29.31,29.47,8639900,29.47
2010-06-04,29.99,31.20,29.91,30.21,8681100,30.21
2010-06-03,29.67,30.43,29.63,30.42,6380500,30.42
2010-06-02,28.90,29.63,28.75,29.61,6487200,29.61
2010-06-01,28.91,29.48,28.73,28.79,3546500,28.79
