Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,57.71,58.31,57.28,57.76,3287100,57.76
2010-11-04,57.44,58.01,56.85,57.85,3411900,57.85
2010-11-03,56.51,56.70,55.44,56.69,2905100,56.69
2010-11-02,56.49,56.57,56.12,56.40,1389600,56.40
2010-11-01,56.28,56.80,55.35,55.92,1687500,55.92
2010-10-29,56.00,56.25,55.40,55.89,2168000,55.89
2010-10-28,56.71,56.75,55.55,56.22,2528300,56.22
2010-10-27,55.74,56.98,55.35,56.39,4820900,56.39
2010-10-26,54.97,55.48,54.80,55.19,2921900,55.19
2010-10-25,55.91,56.14,55.10,55.25,2922200,55.25
2010-10-22,55.64,55.64,55.07,55.46,2079100,55.46
2010-10-21,55.29,55.99,54.83,55.24,3303600,55.24
2010-10-20,55.06,55.61,54.76,55.03,3046000,55.03
2010-10-19,54.77,55.77,54.29,54.70,3098800,54.70
2010-10-18,54.54,55.91,54.54,55.64,2573300,55.64
2010-10-15,55.26,55.53,53.78,54.52,3328500,54.52
2010-10-14,54.83,55.76,54.50,54.83,3438800,54.83
2010-10-13,54.84,55.55,54.70,54.82,2623100,54.82
2010-10-12,53.90,54.61,53.66,54.50,2190400,54.50
2010-10-11,54.41,54.68,54.10,54.36,1630000,54.36
2010-10-08,53.79,54.72,53.56,54.35,2645900,54.35
2010-10-07,54.02,54.27,53.14,53.59,2448700,53.59
2010-10-06,52.69,53.81,52.20,53.74,3807600,53.74
2010-10-05,52.13,53.19,51.35,52.74,3737600,52.74
2010-10-04,51.98,52.08,50.92,51.45,2626700,51.45
2010-10-01,52.43,52.79,51.54,52.06,3229500,52.06
2010-09-30,52.33,52.92,51.70,51.71,3942200,51.71
2010-09-29,52.04,52.48,51.46,51.57,2408500,51.57
2010-09-28,52.21,52.64,51.09,52.47,2206200,52.47
2010-09-27,52.29,52.38,51.65,51.93,2321500,51.93
2010-09-24,51.25,52.37,51.25,52.35,2790700,52.35
2010-09-23,51.39,51.67,50.34,50.46,3793600,50.46
2010-09-22,52.99,53.28,51.72,51.98,2677900,51.98
2010-09-21,53.71,53.88,52.91,53.16,3015200,53.16
2010-09-20,52.12,53.75,51.99,53.61,3225100,53.61
2010-09-17,52.03,52.25,51.51,51.78,2564500,51.78
2010-09-16,51.72,51.88,51.26,51.85,1920900,51.85
2010-09-15,51.72,52.17,51.32,51.89,2765800,51.89
2010-09-14,52.03,52.75,51.51,52.24,3206600,52.24
2010-09-13,51.39,52.35,51.38,52.19,3444500,52.19
2010-09-10,50.82,50.99,50.21,50.77,1976500,50.77
2010-09-09,50.97,51.27,50.20,50.60,2347300,50.60
2010-09-08,50.03,51.00,49.97,50.10,3277800,50.10
2010-09-07,50.49,50.58,49.39,49.92,3068700,49.92
2010-09-03,50.49,51.04,50.26,50.94,3551000,50.94
2010-09-02,49.82,50.03,49.19,50.02,4351600,50.02
2010-09-01,48.04,49.61,48.00,49.57,5299000,49.57
2010-08-31,46.01,47.49,45.69,47.25,4107700,47.25
