Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,73.35,73.59,70.76,70.87,4128500,70.87
2010-11-04,73.41,73.70,72.89,73.54,3210000,73.54
2010-11-03,73.02,73.75,72.00,73.04,5093800,73.04
2010-11-02,74.68,74.94,74.44,74.53,2288100,74.53
2010-11-01,72.64,74.50,72.47,73.85,2786000,73.85
2010-10-29,72.51,72.64,71.53,72.41,3073900,72.41
2010-10-28,72.55,73.00,72.07,72.84,1479600,72.84
2010-10-27,71.50,72.29,71.45,72.17,2068500,72.17
2010-10-26,71.80,72.10,71.37,72.00,1283400,72.00
2010-10-25,72.06,72.06,71.17,71.80,1677100,71.80
2010-10-22,71.81,71.89,71.16,71.83,993700,71.83
2010-10-21,72.37,72.62,71.07,71.67,1705600,71.67
2010-10-20,71.97,72.73,71.65,72.19,1681700,72.19
2010-10-19,71.91,72.05,71.10,71.73,2619700,71.73
2010-10-18,71.97,72.98,71.14,72.61,8449300,72.61
2010-10-15,68.51,69.09,68.17,68.86,1836900,68.86
2010-10-14,68.73,68.94,67.99,68.26,1370500,68.26
2010-10-13,67.88,68.70,67.44,68.51,1861200,68.51
2010-10-12,67.64,68.06,67.06,67.54,2308300,67.54
2010-10-11,67.27,67.96,67.00,67.90,1303000,67.90
2010-10-08,66.94,67.52,66.63,67.32,1714100,67.32
2010-10-07,66.74,66.85,66.26,66.73,938000,66.73
2010-10-06,66.40,66.93,66.17,66.41,1248300,66.41
2010-10-05,65.71,66.74,65.52,66.62,1659800,66.62
2010-10-04,66.03,66.20,64.95,65.16,1344100,65.16
2010-10-01,66.86,66.92,65.65,66.25,1350400,66.25
2010-09-30,67.00,67.53,65.97,66.53,1872600,66.53
2010-09-29,66.65,66.86,66.25,66.71,1395500,66.71
2010-09-28,66.19,66.86,66.15,66.80,1768300,66.80
2010-09-27,66.50,66.63,65.89,66.17,1316200,66.17
2010-09-24,65.66,66.67,65.49,66.36,1227700,66.36
2010-09-23,65.23,65.69,64.82,64.93,1016600,64.93
2010-09-22,65.91,65.96,65.20,65.59,1486200,65.59
2010-09-21,66.31,66.37,65.48,65.97,1699500,65.97
2010-09-20,65.43,66.34,65.21,66.30,1399400,66.30
2010-09-17,64.98,65.50,64.72,65.21,2118700,65.21
2010-09-16,65.96,65.98,64.36,64.67,2733000,64.67
2010-09-15,65.63,66.47,65.44,66.14,1220100,66.14
2010-09-14,65.71,66.16,65.50,65.88,1168200,65.88
2010-09-13,66.09,66.16,65.46,65.78,1233500,65.78
2010-09-10,65.15,65.93,65.01,65.80,1787100,65.80
2010-09-09,64.76,65.38,64.57,65.14,1834400,65.14
2010-09-08,63.84,64.73,63.52,64.09,1594900,64.09
2010-09-07,63.57,64.04,63.35,63.58,1259200,63.58
2010-09-03,64.00,64.34,63.42,63.87,1364900,63.87
2010-09-02,63.27,63.76,63.04,63.67,1166500,63.67
2010-09-01,62.73,63.29,62.35,63.28,2406200,63.28
2010-08-31,61.85,62.56,61.39,61.42,2420500,61.42
2010-08-30,63.12,63.40,61.96,62.01,1705100,62.01
2010-08-27,63.63,63.79,62.29,63.17,1369100,63.17
2010-08-26,63.43,63.76,62.93,63.22,1955100,63.22
2010-08-25,63.23,64.50,62.78,63.36,2550200,63.36
2010-08-24,63.47,63.50,62.91,63.11,1920300,63.11
2010-08-23,63.21,64.22,63.04,63.84,1815400,63.84
2010-08-20,62.80,63.28,62.65,62.96,1829200,62.96
2010-08-19,63.43,63.44,62.65,63.06,1489500,63.06
2010-08-18,63.90,64.55,63.35,63.90,872100,63.90
2010-08-17,63.54,64.13,63.06,63.93,1001800,63.93
2010-08-16,63.13,63.28,62.05,62.97,1498700,62.97
2010-08-13,63.01,63.93,63.01,63.66,1190000,63.66
