Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,13.60,14.08,13.60,13.87,6982700,13.87
2010-11-04,13.51,13.69,13.46,13.55,7428300,13.55
2010-11-03,13.25,13.36,13.03,13.26,6099800,13.26
2010-11-02,13.07,13.23,13.00,13.17,5925400,13.17
2010-11-01,12.72,13.20,12.66,12.82,8237500,12.82
2010-10-29,12.29,12.67,12.22,12.59,6780300,12.59
2010-10-28,12.50,12.50,12.08,12.32,7809300,12.32
2010-10-27,12.63,12.72,12.16,12.40,13577500,12.40
2010-10-26,12.70,12.95,12.40,12.84,12710400,12.84
2010-10-25,13.53,13.63,13.35,13.37,6069200,13.37
2010-10-22,13.52,13.64,13.22,13.35,5893700,13.35
2010-10-21,14.03,14.11,13.22,13.53,9265700,13.53
2010-10-20,13.62,14.10,13.56,13.96,6253200,13.96
2010-10-19,13.80,13.92,13.40,13.56,6633300,13.56
2010-10-18,13.98,14.10,13.78,14.08,4640500,14.08
2010-10-15,14.37,14.37,13.82,14.00,7603600,14.00
2010-10-14,14.56,14.59,14.02,14.25,6105900,14.25
2010-10-13,14.68,14.75,14.54,14.62,4871700,14.62
2010-10-12,14.51,14.56,14.22,14.50,5450200,14.50
2010-10-11,14.55,14.76,14.42,14.64,4486000,14.64
2010-10-08,13.95,14.59,13.95,14.48,9160000,14.48
2010-10-07,14.15,14.22,13.70,13.90,4411100,13.90
2010-10-06,13.92,14.24,13.85,14.06,5584800,14.06
2010-10-05,13.76,13.91,13.56,13.85,6603600,13.85
2010-10-04,13.87,13.94,13.45,13.58,4859400,13.58
2010-10-01,13.98,14.11,13.76,13.97,5489200,13.97
2010-09-30,14.01,14.04,13.63,13.81,5126400,13.81
2010-09-29,13.67,13.97,13.53,13.85,4622400,13.85
2010-09-28,13.67,13.81,13.37,13.76,6248100,13.76
2010-09-27,13.56,13.70,13.40,13.55,4231000,13.55
2010-09-24,13.60,13.63,13.28,13.51,8026600,13.51
2010-09-23,13.55,13.69,13.20,13.29,6213800,13.29
2010-09-22,13.95,14.10,13.63,13.76,6114300,13.76
2010-09-21,13.95,14.07,13.71,13.86,6475500,13.86
