Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,31.13,31.36,30.86,31.27,4737600,31.27
2010-11-04,30.28,31.24,30.22,31.18,7777600,31.18
2010-11-03,30.46,30.52,29.62,29.97,5744700,29.97
2010-11-02,30.40,30.42,30.04,30.31,3781100,30.31
2010-11-01,30.56,30.76,29.91,30.18,6330100,30.18
2010-10-29,30.28,30.51,30.00,30.49,8706500,30.49
2010-10-28,31.00,31.16,30.13,30.43,12966400,30.43
2010-10-27,32.42,32.74,32.26,32.48,5080900,32.48
2010-10-26,32.87,33.08,32.62,32.67,5208200,32.67
2010-10-25,32.96,33.29,32.71,33.11,5292000,33.11
2010-10-22,32.66,32.93,32.58,32.79,2610800,32.79
2010-10-21,32.71,33.01,32.32,32.56,4387300,32.56
2010-10-20,32.32,32.79,32.25,32.60,5406300,32.60
2010-10-19,32.14,32.56,31.95,32.20,6193000,32.20
2010-10-18,32.40,32.61,32.39,32.56,5567000,32.56
2010-10-15,32.84,32.97,32.32,32.43,5500100,32.43
2010-10-14,32.80,33.29,32.50,32.67,4247700,32.67
2010-10-13,32.86,33.21,32.76,32.94,4528600,32.94
2010-10-12,32.39,32.62,32.13,32.52,3280400,32.52
2010-10-11,32.40,32.57,32.36,32.43,1601600,32.43
2010-10-08,32.31,32.54,32.19,32.42,2711800,32.42
2010-10-07,32.22,32.47,32.07,32.20,3172100,32.20
2010-10-06,32.30,32.36,31.84,32.12,3589900,32.12
2010-10-05,32.04,32.49,31.54,32.38,4820800,32.38
2010-10-04,31.95,32.07,31.52,31.70,3764200,31.70
2010-10-01,31.89,32.03,31.31,31.57,4375100,31.57
2010-09-30,31.76,32.36,31.54,31.55,5861400,31.55
2010-09-29,32.14,32.15,31.40,31.55,5873900,31.55
2010-09-28,31.62,32.27,31.33,32.16,7298000,32.16
2010-09-27,31.50,31.69,31.34,31.40,4544000,31.40
2010-09-24,30.81,31.61,30.71,31.60,5346600,31.60
2010-09-23,30.77,30.99,30.41,30.45,3794600,30.45
2010-09-22,31.18,31.22,30.88,30.96,4567700,30.96
2010-09-21,31.50,31.56,31.14,31.33,4500800,31.33
2010-09-20,31.02,31.54,30.89,31.51,4463900,31.51
2010-09-17,30.92,31.19,30.88,30.99,5468200,30.99
2010-09-16,30.33,30.87,30.26,30.85,5269900,30.85
2010-09-15,30.05,30.61,29.99,30.49,3364300,30.49
2010-09-14,30.25,30.46,30.02,30.27,4196500,30.27
2010-09-13,30.21,30.33,30.04,30.29,4655100,30.29
2010-09-10,29.88,29.93,29.48,29.87,3503700,29.87
2010-09-09,29.50,29.59,29.24,29.45,3236700,29.45
2010-09-08,28.80,29.15,28.80,29.10,3880200,29.10
2010-09-07,29.17,29.22,28.69,28.70,3063000,28.70
2010-09-03,28.83,29.45,28.75,29.42,4135700,29.42
2010-09-02,28.63,28.68,28.35,28.62,3144300,28.62
2010-09-01,27.93,28.68,27.66,28.67,5521100,28.67
2010-08-31,27.11,27.71,26.86,27.60,4268700,27.60
2010-08-30,27.84,27.96,27.23,27.26,3290400,27.26
2010-08-27,27.47,27.99,27.10,27.99,3536600,27.99
2010-08-26,28.01,28.04,27.35,27.41,3714000,27.21
2010-08-25,27.33,27.93,27.04,27.82,3958600,27.62
2010-08-24,27.62,27.88,27.42,27.52,3585700,27.32
2010-08-23,27.69,28.08,27.62,27.91,3544100,27.71
2010-08-20,27.81,28.03,27.53,27.75,3541000,27.55
2010-08-19,28.22,28.25,27.78,28.04,4293600,27.84
2010-08-18,28.30,28.56,27.97,28.36,2533000,28.15
2010-08-17,28.14,28.32,27.86,28.24,3872100,28.03
2010-08-16,27.93,27.97,27.64,27.94,4369700,27.74
2010-08-13,28.16,28.49,28.04,28.10,3240800,27.89
2010-08-12,27.89,28.30,27.82,28.22,3968100,28.01
2010-08-11,28.99,29.01,28.20,28.22,5698100,28.01
2010-08-10,29.43,29.64,28.85,29.42,3667300,29.21
2010-08-09,29.16,29.64,29.08,29.63,5274100,29.41
2010-08-06,29.19,29.55,28.62,28.98,6047600,28.77
2010-08-05,29.33,29.61,28.58,29.41,9532400,29.20
2010-08-04,28.63,28.83,28.43,28.61,8532600,28.40
2010-08-03,28.80,28.92,28.49,28.55,5120500,28.34
2010-08-02,28.66,28.90,28.54,28.83,4613200,28.62
2010-07-30,27.94,28.45,27.76,28.24,3922900,28.03
2010-07-29,28.40,28.83,27.87,28.25,5635300,28.04
2010-07-28,28.55,28.61,28.22,28.25,4150800,28.04
2010-07-27,28.60,28.79,28.38,28.61,5739400,28.40
2010-07-26,28.18,28.45,27.93,28.33,3919300,28.12
2010-07-23,28.05,28.52,27.78,28.28,5192300,28.07
2010-07-22,27.39,28.07,27.28,28.06,5828700,27.86
2010-07-21,28.47,28.54,27.40,27.43,4480800,27.23
2010-07-20,27.44,28.31,27.25,28.27,3907900,28.06
2010-07-19,27.93,28.06,27.52,27.90,3760300,27.70
2010-07-16,28.58,28.71,27.75,27.83,7322100,27.63
2010-07-15,29.01,29.01,28.48,28.88,4955500,28.67
2010-07-14,29.14,29.38,28.78,29.00,5845300,28.79
2010-07-13,29.31,29.55,29.18,29.32,4162900,29.11
2010-07-12,29.33,29.33,28.96,29.11,3656200,28.90
2010-07-09,29.35,29.48,29.14,29.44,2773600,29.23
2010-07-08,28.89,29.29,28.86,29.21,3354300,29.00
2010-07-07,27.92,28.89,27.82,28.81,5268100,28.60
2010-07-06,28.61,28.80,27.69,27.93,4988300,27.73
2010-07-02,28.63,28.84,28.01,28.28,3330100,28.07
2010-07-01,28.87,28.87,27.97,28.39,6115400,28.18
2010-06-30,29.11,29.28,28.68,28.73,5248400,28.52
2010-06-29,29.65,29.70,28.83,29.01,6005600,28.80
2010-06-28,30.82,30.94,29.93,30.00,4831700,29.78
2010-06-25,29.79,30.85,29.43,30.83,9614800,30.61
2010-06-24,30.25,30.35,29.50,29.57,5300000,29.35
2010-06-23,30.53,30.67,30.17,30.45,6765400,30.23
2010-06-22,30.26,31.04,30.20,30.55,6784500,30.33
2010-06-21,30.84,30.93,30.11,30.27,3675100,30.05
2010-06-18,30.17,30.61,30.04,30.54,4636400,30.32
2010-06-17,30.33,30.37,29.87,30.06,5162100,29.84
2010-06-16,30.49,30.51,30.12,30.22,4537900,30.00
2010-06-15,30.13,30.72,29.92,30.67,3133100,30.45
2010-06-14,30.21,30.55,29.93,29.95,3425100,29.73
2010-06-11,29.59,29.99,29.23,29.98,2747800,29.76
2010-06-10,29.19,29.85,29.03,29.80,4426600,29.58
2010-06-09,29.31,29.49,28.76,28.85,3904000,28.64
2010-06-08,28.79,29.26,28.41,29.25,4775900,29.04
2010-06-07,29.07,29.39,28.66,28.67,4490700,28.46
2010-06-04,29.62,29.77,28.86,28.94,5398600,28.73
2010-06-03,30.38,30.48,29.96,30.17,3403500,29.95
2010-06-02,29.78,30.23,29.60,30.22,5564800,30.00
2010-06-01,30.34,30.57,29.66,29.66,4388100,29.44
2010-05-28,30.68,31.02,30.40,30.63,4499300,30.41
2010-05-27,30.02,30.79,29.96,30.77,4012800,30.55
2010-05-26,30.27,30.27,29.46,29.53,3848500,29.31
2010-05-25,29.24,30.04,28.83,30.04,4782100,29.62
2010-05-24,30.62,30.62,29.81,29.84,4502000,29.43
2010-05-21,29.51,30.60,29.47,30.54,5876300,30.12
2010-05-20,30.80,31.00,30.02,30.07,7285600,29.65
2010-05-19,31.07,31.65,30.90,31.38,5459800,30.94
2010-05-18,32.18,32.34,31.28,31.38,4254900,30.94
2010-05-17,31.86,32.10,31.38,31.99,4593200,31.55
2010-05-14,32.25,32.38,31.62,31.87,4684000,31.43
2010-05-13,33.08,33.08,32.54,32.56,4349000,32.11
2010-05-12,32.92,33.20,32.87,33.11,5169100,32.65
2010-05-11,32.87,33.25,32.66,32.75,6094600,32.29
2010-05-10,33.36,33.36,32.50,33.32,6275300,32.86
2010-05-07,31.90,32.66,31.53,31.80,8952900,31.36
2010-05-06,32.54,33.04,31.01,32.06,9836500,31.61
2010-05-05,31.61,32.95,31.61,32.69,13110300,32.24
2010-05-04,32.68,32.69,31.91,32.08,8419200,31.63
2010-05-03,32.96,33.41,32.86,33.04,3824600,32.58
2010-04-30,33.15,33.45,32.58,32.67,5986100,32.22
2010-04-29,33.95,34.28,32.67,33.27,11904400,32.81
2010-04-28,33.57,34.19,33.50,33.77,6624900,33.30
2010-04-27,34.54,34.54,33.19,33.27,7799800,32.81
2010-04-26,35.19,35.29,34.74,34.80,4783800,34.32
2010-04-23,34.97,35.25,34.80,35.19,4811300,34.70
2010-04-22,34.61,35.19,34.37,35.17,4905900,34.68
2010-04-21,35.39,35.46,34.56,34.89,5969900,34.40
2010-04-20,34.50,35.51,34.21,35.43,10241700,34.94
2010-04-19,33.62,34.31,33.11,34.19,7697200,33.71
2010-04-16,34.16,34.53,33.49,33.85,8637200,33.38
2010-04-15,34.33,34.44,33.97,34.30,4530600,33.82
2010-04-14,33.26,34.48,33.20,34.33,8755800,33.85
2010-04-13,32.92,33.26,32.92,33.06,4307600,32.60
2010-04-12,33.15,33.18,32.90,33.04,2390500,32.58
2010-04-09,33.16,33.33,32.80,32.97,3045600,32.51
2010-04-08,32.76,33.13,32.53,33.10,4685400,32.64
2010-04-07,32.52,33.12,32.43,32.77,3948400,32.31
2010-04-06,32.58,32.74,32.37,32.62,3026200,32.17
2010-04-05,32.77,32.77,32.42,32.63,2285500,32.18
2010-04-01,32.44,32.66,32.29,32.49,2893500,32.04
2010-03-31,31.95,32.35,31.86,32.31,3573000,31.86
2010-03-30,32.22,32.25,31.94,32.06,2404300,31.61
2010-03-29,32.38,32.46,32.16,32.26,3419500,31.81
2010-03-26,31.67,32.48,31.66,32.20,6639500,31.75
2010-03-25,31.52,31.97,31.32,31.56,5614700,31.12
2010-03-24,31.28,31.48,31.09,31.33,3228100,30.89
2010-03-23,31.07,31.44,30.96,31.44,2925000,31.00
2010-03-22,31.02,31.24,30.91,31.08,5241400,30.65
2010-03-19,31.43,31.49,31.07,31.26,5370200,30.83
2010-03-18,31.28,31.43,30.99,31.38,4156200,30.94
2010-03-17,31.18,31.55,31.01,31.27,5769500,30.84
2010-03-16,30.96,31.03,30.70,31.02,4792600,30.59
2010-03-15,31.35,31.42,30.67,30.93,7307800,30.50
2010-03-12,31.96,32.01,31.36,31.47,4125800,31.03
2010-03-11,31.50,31.83,31.36,31.78,3010600,31.34
2010-03-10,31.65,31.75,31.34,31.60,4295300,31.16
2010-03-09,31.82,31.96,31.73,31.87,4049600,31.23
2010-03-08,32.11,32.24,31.96,31.99,4463800,31.35
2010-03-05,32.14,32.25,31.84,32.14,4967600,31.49
2010-03-04,32.07,32.09,31.82,31.94,5962100,31.30
2010-03-03,32.07,32.30,31.93,31.99,4420400,31.35
2010-03-02,31.66,32.18,31.62,32.02,5472100,31.38
2010-03-01,31.25,31.69,31.24,31.57,4535000,30.94
2010-02-26,31.21,31.40,30.95,31.25,3983700,30.62
2010-02-25,30.83,31.31,30.65,31.30,4250500,30.67
2010-02-24,31.18,31.30,31.00,31.28,4225600,30.65
2010-02-23,31.29,31.62,31.06,31.18,5503500,30.55
2010-02-22,31.22,31.48,31.02,31.41,3692400,30.78
2010-02-19,31.07,31.28,30.87,31.22,4879900,30.59
2010-02-18,30.56,31.30,30.56,31.25,4801300,30.62
2010-02-17,30.70,30.75,30.47,30.69,4745500,30.07
2010-02-16,30.02,30.56,29.85,30.52,5622600,29.91
2010-02-12,29.24,29.59,29.06,29.53,5884500,28.94
2010-02-11,28.56,29.84,28.24,29.41,5967700,28.82
2010-02-10,28.73,28.82,28.31,28.60,3970200,28.03
2010-02-09,28.64,28.79,28.23,28.73,2813600,28.15
2010-02-08,28.84,28.85,28.32,28.36,2845000,27.79
2010-02-05,28.69,29.01,28.13,28.91,5576600,28.33
2010-02-04,29.63,29.81,28.69,28.69,6428100,28.11
2010-02-03,30.36,30.36,29.61,29.83,4372700,29.23
2010-02-02,29.85,30.55,29.85,30.52,2854600,29.91
2010-02-01,30.11,30.26,29.73,29.95,2324400,29.35
2010-01-29,30.13,30.38,29.86,29.93,2893600,29.33
2010-01-28,30.52,30.52,29.69,29.95,2919000,29.35
2010-01-27,30.22,30.54,29.75,30.28,5202500,29.67
2010-01-26,30.28,31.07,30.10,30.28,4427200,29.67
2010-01-25,30.33,30.63,29.93,30.35,4136900,29.74
2010-01-22,30.83,31.04,29.92,29.98,7059000,29.38
2010-01-21,31.16,31.43,30.43,30.83,4900800,30.21
2010-01-20,31.23,31.23,30.69,31.22,3577200,30.59
2010-01-19,30.80,31.43,30.60,31.39,3008800,30.76
2010-01-15,31.56,31.56,30.68,30.91,4696600,30.29
2010-01-14,31.35,31.73,31.05,31.64,3368900,31.00
2010-01-13,31.19,31.68,31.19,31.46,3517200,30.83
2010-01-12,31.44,31.73,31.10,31.18,5354300,30.55
2010-01-11,31.34,31.44,31.04,31.21,2168200,30.58
2010-01-08,30.89,31.29,30.79,31.21,2806800,30.58
2010-01-07,30.85,31.16,30.61,31.08,3694900,30.46
2010-01-06,30.90,30.98,30.69,30.92,3399500,30.30
2010-01-05,30.48,30.97,30.14,30.91,5342100,30.29
2010-01-04,30.36,30.51,30.09,30.41,2631000,29.80
2009-12-31,30.54,30.76,30.01,30.04,2045300,29.44
2009-12-30,30.14,30.58,30.12,30.53,1860900,29.92
2009-12-29,30.45,30.50,30.14,30.33,2486200,29.72
2009-12-28,30.22,30.35,30.06,30.35,2138000,29.74
2009-12-24,30.17,30.43,30.13,30.23,1114900,29.62
2009-12-23,29.58,30.15,29.45,30.11,3381200,29.50
2009-12-22,29.31,29.79,29.25,29.61,3057300,29.02
2009-12-21,28.95,29.52,28.95,29.37,4107900,28.78
2009-12-18,28.37,28.86,28.37,28.82,6660600,28.24
2009-12-17,28.44,28.64,28.21,28.31,4201800,27.74
2009-12-16,28.53,28.81,28.44,28.72,3892200,28.14
2009-12-15,28.45,28.61,28.27,28.41,3104100,27.84
2009-12-14,28.76,28.79,28.51,28.63,4601700,28.05
2009-12-11,28.09,28.63,27.97,28.63,5183800,28.05
2009-12-10,27.97,27.97,27.74,27.90,4218800,27.34
2009-12-09,27.72,27.80,27.52,27.74,4867900,27.18
2009-12-08,28.09,28.19,27.72,27.73,5247200,27.17
2009-12-07,28.49,28.74,28.24,28.28,3035300,27.71
2009-12-04,28.56,28.70,27.91,28.60,5132400,28.03
2009-12-03,28.63,28.79,28.12,28.17,3398500,27.60
2009-12-02,28.56,28.83,28.41,28.48,2974400,27.91
2009-12-01,28.77,28.77,28.40,28.52,3863600,27.95
2009-11-30,28.32,28.47,27.91,28.41,5706200,27.84
2009-11-27,28.42,28.65,28.07,28.27,2195500,27.70
2009-11-25,29.01,29.25,28.80,29.10,4586000,28.52
2009-11-24,29.26,29.37,28.97,28.99,3721300,28.21
2009-11-23,29.50,29.54,29.10,29.37,3988300,28.58
2009-11-20,28.56,29.27,28.50,29.12,4836400,28.34
2009-11-19,29.03,29.18,28.52,28.87,3521300,28.09
2009-11-18,29.21,29.24,28.90,29.21,3309600,28.43
2009-11-17,29.34,29.43,28.97,29.20,2777400,28.42
2009-11-16,29.10,29.62,29.05,29.37,4701300,28.58
2009-11-13,28.86,29.06,28.57,28.91,4303800,28.13
2009-11-12,29.33,29.35,28.79,28.86,4352900,28.08
