Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,32.95,33.25,32.73,33.25,5931500,33.25
2010-11-04,32.00,33.21,31.94,33.04,12587200,33.04
2010-11-03,31.34,31.90,31.29,31.90,7590100,31.90
2010-11-02,31.56,31.79,31.35,31.60,5945900,31.60
2010-11-01,31.21,31.50,30.92,31.21,6581500,31.21
2010-10-29,30.91,31.45,30.66,31.24,7361300,31.24
2010-10-28,30.60,30.92,30.28,30.75,10208200,30.75
2010-10-27,30.14,31.20,30.06,31.04,11847800,31.04
2010-10-26,30.00,30.47,29.76,30.33,7434100,30.33
2010-10-25,29.52,30.46,29.52,30.24,9295000,30.24
2010-10-22,29.25,29.66,28.99,29.46,6091300,29.46
2010-10-21,28.74,29.21,28.58,29.14,11001700,29.14
2010-10-20,29.59,29.70,28.50,28.95,23516600,28.95
2010-10-19,29.46,29.95,28.71,29.50,14563500,29.50
2010-10-18,29.26,29.86,29.04,29.64,9118600,29.64
2010-10-15,29.81,29.88,29.34,29.82,8110300,29.82
2010-10-14,29.73,29.90,29.40,29.51,6423800,29.51
2010-10-13,29.93,30.00,29.31,29.66,12162900,29.66
2010-10-12,29.45,30.21,29.25,30.09,9780500,30.09
2010-10-11,29.38,29.87,29.15,29.50,8304800,29.50
2010-10-08,29.59,29.59,28.81,29.34,11117000,29.34
2010-10-07,29.52,29.60,29.03,29.51,8289200,29.51
2010-10-06,29.60,29.87,29.03,29.30,11989100,29.30
2010-10-05,29.62,30.17,29.50,29.98,12396300,29.98
2010-10-04,29.85,29.97,29.16,29.76,11726300,29.76
2010-10-01,30.16,30.63,29.65,30.09,12121000,30.09
2010-09-30,30.81,30.95,29.99,30.16,16140000,30.16
2010-09-29,30.20,30.97,30.17,30.62,24968300,30.62
2010-09-28,29.15,30.40,29.01,30.36,19657300,30.36
2010-09-27,28.97,29.28,28.67,29.06,7453800,29.06
2010-09-24,27.92,29.26,27.84,29.11,14362100,29.11
2010-09-23,27.13,27.78,26.85,27.49,8648600,27.49
2010-09-22,27.80,27.99,26.98,27.25,14300200,27.25
2010-09-21,28.80,28.83,28.28,28.40,7291000,28.40
2010-09-20,28.71,28.87,28.26,28.80,9872500,28.80
2010-09-17,28.16,28.77,28.04,28.70,12900100,28.70
2010-09-16,27.73,28.19,27.52,28.15,11966800,28.15
2010-09-15,27.53,27.87,27.16,27.84,8890400,27.84
2010-09-14,26.66,27.78,26.40,27.67,10914300,27.67
2010-09-13,26.49,26.88,26.47,26.67,6858500,26.67
2010-09-10,26.16,26.55,25.76,26.21,11247000,26.21
2010-09-09,27.46,27.46,26.10,26.30,10436600,26.30
2010-09-08,26.99,27.43,26.00,27.06,20683800,27.06
2010-09-07,26.80,26.93,26.42,26.60,7035100,26.60
2010-09-03,26.48,26.94,26.21,26.83,7026300,26.83
2010-09-02,25.81,26.48,25.67,26.36,7266800,26.36
2010-09-01,25.09,25.91,25.04,25.60,8506700,25.60
2010-08-31,24.59,25.08,24.48,24.65,7274200,24.65
2010-08-30,25.39,25.41,24.76,24.76,5377300,24.76
2010-08-27,25.01,25.62,24.51,25.54,9112000,25.54
2010-08-26,25.63,25.72,24.77,24.85,6493200,24.85
2010-08-25,24.97,25.62,24.72,25.54,8176400,25.54
2010-08-24,25.00,25.32,24.78,25.11,5637600,25.11
2010-08-23,25.76,25.83,25.20,25.32,5965000,25.32
2010-08-20,25.48,25.83,25.32,25.60,5438400,25.60
2010-08-19,25.60,25.96,25.24,25.50,6181600,25.50
2010-08-18,25.47,26.01,25.28,25.79,5525400,25.79
2010-08-17,25.19,25.88,25.04,25.54,8933000,25.54
2010-08-16,24.90,25.31,24.53,25.11,6027700,25.11
2010-08-13,25.25,25.50,24.94,24.94,6918700,24.94
2010-08-12,25.15,26.87,24.48,25.24,14517200,25.24
2010-08-11,26.95,27.18,26.59,26.87,10090000,26.87
2010-08-10,27.56,27.65,26.98,27.64,10370600,27.64
2010-08-09,27.86,27.90,27.46,27.73,4118200,27.73
2010-08-06,27.33,27.82,27.19,27.63,6797800,27.63
2010-08-05,27.76,28.15,27.60,27.69,5236400,27.63
2010-08-04,27.72,27.95,27.34,27.91,5057200,27.85
2010-08-03,27.78,27.83,27.40,27.73,5545600,27.67
2010-08-02,27.97,28.05,27.39,27.92,8544600,27.86
2010-07-30,27.45,27.91,26.93,27.72,10607800,27.66
2010-07-29,28.49,28.55,27.30,27.61,11464100,27.55
2010-07-28,28.59,28.77,28.13,28.28,8632500,28.22
2010-07-27,29.00,29.05,28.63,28.91,6939600,28.85
2010-07-26,28.85,29.01,28.47,29.01,6654700,28.95
2010-07-23,28.16,28.91,27.95,28.90,9746800,28.84
2010-07-22,27.43,28.69,27.28,28.50,12131800,28.44
2010-07-21,27.98,28.00,27.16,27.54,16627300,27.48
2010-07-20,27.60,28.33,27.20,28.31,9582200,28.25
2010-07-19,27.68,28.50,27.66,28.29,10563300,28.23
2010-07-16,28.18,28.18,27.50,27.53,9678900,27.47
2010-07-15,28.16,28.33,27.63,28.21,9973700,28.15
2010-07-14,28.61,28.92,27.88,28.04,9607200,27.98
2010-07-13,28.06,28.59,27.75,28.44,9787000,28.38
2010-07-12,27.63,28.09,27.52,27.79,7993800,27.73
2010-07-09,26.91,27.61,26.69,27.59,8036400,27.53
2010-07-08,26.92,26.99,26.40,26.84,7699700,26.78
2010-07-07,25.17,26.88,25.02,26.78,11313600,26.72
2010-07-06,25.27,25.55,24.77,25.08,6157200,25.03
2010-07-02,25.13,25.14,24.43,24.87,5444900,24.82
2010-07-01,24.75,25.23,24.20,25.06,9452800,25.01
2010-06-30,24.92,25.41,24.77,24.81,7515700,24.76
2010-06-29,25.24,25.29,24.76,24.96,8540100,24.91
2010-06-28,25.54,26.00,25.31,25.69,5543600,25.63
2010-06-25,25.55,25.64,25.11,25.51,5406200,25.45
2010-06-24,25.82,25.98,25.31,25.47,6334000,25.41
2010-06-23,25.45,26.23,25.28,25.94,8428000,25.88
2010-06-22,25.89,26.15,25.38,25.44,5613400,25.38
2010-06-21,26.14,26.34,25.56,25.77,5377200,25.71
2010-06-18,25.97,26.14,25.77,25.96,6040800,25.90
2010-06-17,26.06,26.23,25.63,25.97,8004400,25.91
2010-06-16,25.39,26.08,25.17,26.06,9772800,26.00
2010-06-15,24.47,25.54,24.32,25.49,9153200,25.43
2010-06-14,24.69,24.88,24.29,24.30,7718700,24.25
2010-06-11,23.34,24.49,23.34,24.38,11095100,24.33
2010-06-10,23.19,23.67,23.00,23.66,9791700,23.61
2010-06-09,23.46,23.69,22.77,22.85,8411600,22.80
2010-06-08,23.43,23.48,22.45,23.29,13208200,23.24
2010-06-07,23.83,24.18,23.14,23.27,10303200,23.22
2010-06-04,24.06,24.48,23.51,23.66,9819000,23.61
2010-06-03,23.87,24.48,23.84,24.47,8707400,24.42
2010-06-02,23.20,23.87,22.97,23.83,5741600,23.78
2010-06-01,23.42,23.79,23.05,23.07,6672600,23.02
2010-05-28,23.82,23.85,23.19,23.57,8515900,23.52
2010-05-27,23.32,23.83,23.29,23.82,8861000,23.77
2010-05-26,23.03,23.45,22.81,22.89,7972700,22.84
2010-05-25,22.46,22.93,21.97,22.91,9559800,22.86
2010-05-24,23.16,23.29,22.85,22.91,9596500,22.86
2010-05-21,22.44,23.68,22.31,23.27,12995800,23.22
2010-05-20,23.03,23.40,22.49,22.90,9931700,22.85
2010-05-19,23.33,23.85,22.97,23.60,9295000,23.55
2010-05-18,24.05,24.38,23.23,23.36,9453500,23.31
2010-05-17,23.40,24.17,23.22,24.13,11810300,24.08
2010-05-14,23.80,23.82,22.89,23.37,10671100,23.32
2010-05-13,24.42,24.57,23.84,23.96,9273900,23.91
2010-05-12,24.25,24.91,24.23,24.75,7400600,24.70
2010-05-11,24.19,24.70,23.92,24.18,7320100,24.13
2010-05-10,24.57,24.72,23.97,24.44,7387900,24.39
2010-05-07,23.58,23.92,22.50,23.47,18093600,23.42
2010-05-06,24.50,24.88,22.47,23.95,13914400,23.90
2010-05-05,24.53,25.01,24.06,24.70,8243400,24.60
2010-05-04,25.54,25.59,24.27,24.70,12863000,24.60
2010-05-03,25.56,25.96,25.33,25.93,8573300,25.82
2010-04-30,26.02,26.09,25.35,25.36,8529300,25.25
2010-04-29,25.61,26.01,25.54,25.96,9630400,25.85
2010-04-28,25.52,25.82,25.25,25.73,11634400,25.62
2010-04-27,26.20,26.25,25.32,25.35,16599800,25.24
2010-04-26,26.55,26.77,26.40,26.62,7750700,26.51
2010-04-23,26.76,26.79,26.01,26.53,8959900,26.42
2010-04-22,25.99,26.79,25.45,26.70,16831100,26.59
2010-04-21,26.90,27.48,25.49,26.14,26537100,26.03
2010-04-20,26.11,26.90,26.11,26.75,11121700,26.64
2010-04-19,26.28,26.40,25.57,26.07,7307800,25.96
2010-04-16,26.39,26.48,25.84,26.25,9470600,26.14
2010-04-15,26.08,26.62,26.04,26.52,6040800,26.41
2010-04-14,25.97,26.25,25.88,26.12,11272800,26.01
2010-04-13,25.49,25.78,25.34,25.72,6381300,25.61
2010-04-12,25.12,25.58,24.93,25.41,5537600,25.30
2010-04-09,24.85,24.97,24.73,24.91,3190600,24.81
2010-04-08,25.03,25.03,24.52,24.82,5421200,24.72
2010-04-07,25.04,25.40,24.87,25.09,5574700,24.98
2010-04-06,24.84,25.30,24.77,25.17,5521300,25.06
2010-04-05,24.35,25.21,24.35,25.08,5362700,24.97
2010-04-01,24.47,24.94,24.22,24.37,5447800,24.27
2010-03-31,24.15,24.59,24.14,24.30,6781100,24.20
2010-03-30,24.26,24.64,24.20,24.50,5322700,24.40
2010-03-29,24.42,24.63,24.29,24.31,5935800,24.21
2010-03-26,24.56,24.66,24.15,24.32,6587000,24.22
2010-03-25,24.72,24.90,24.29,24.31,10544400,24.21
2010-03-24,25.19,25.24,24.47,24.52,11067600,24.42
2010-03-23,25.54,25.72,25.26,25.66,5949100,25.55
2010-03-22,24.62,25.42,24.55,25.41,8935100,25.30
2010-03-19,25.33,25.45,24.63,24.66,11630800,24.56
2010-03-18,25.58,25.72,25.11,25.39,7471000,25.28
2010-03-17,25.50,25.75,25.30,25.57,6147600,25.46
