Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,12.90,13.06,12.86,12.98,15163400,12.98
2010-11-04,12.65,12.89,12.64,12.89,16341100,12.89
2010-11-03,12.48,12.55,12.33,12.54,12324600,12.54
2010-11-02,12.42,12.50,12.32,12.48,11575000,12.48
2010-11-01,12.36,12.44,12.17,12.37,16335500,12.37
2010-10-29,12.28,12.38,12.21,12.35,11137400,12.35
2010-10-28,12.18,12.29,12.14,12.25,12635800,12.25
2010-10-27,11.99,12.24,11.96,12.24,11833100,12.24
2010-10-26,12.05,12.20,11.97,12.09,11561600,12.09
2010-10-25,12.22,12.25,12.14,12.15,12380000,12.15
2010-10-22,11.90,12.16,11.84,12.13,18248400,12.13
2010-10-21,11.96,12.00,11.80,11.90,14562000,11.90
2010-10-20,11.82,12.05,11.81,11.94,16526500,11.94
2010-10-19,11.89,12.02,11.60,11.78,26941600,11.78
2010-10-18,11.98,12.03,11.77,11.95,13884500,11.95
2010-10-15,12.05,12.05,11.86,12.02,20040300,12.02
2010-10-14,12.00,12.07,11.86,11.91,16167200,11.91
2010-10-13,12.00,12.05,11.81,11.97,16470800,11.97
2010-10-12,11.83,11.99,11.70,11.96,18305200,11.96
2010-10-11,11.82,11.92,11.77,11.82,14540100,11.82
2010-10-08,11.63,11.86,11.48,11.82,25834800,11.82
2010-10-07,11.81,11.83,11.63,11.73,18464100,11.73
2010-10-06,11.80,11.81,11.60,11.73,18998300,11.73
2010-10-05,11.61,11.90,11.60,11.86,20998300,11.86
2010-10-04,11.66,11.73,11.36,11.49,15753100,11.49
2010-10-01,11.79,11.83,11.59,11.71,18017200,11.71
2010-09-30,11.71,11.85,11.51,11.68,23697300,11.68
2010-09-29,11.65,11.82,11.51,11.68,21920400,11.68
2010-09-28,11.59,11.77,11.43,11.73,21370600,11.73
2010-09-27,11.58,11.70,11.50,11.54,12055600,11.54
2010-09-24,11.47,11.68,11.41,11.63,22056300,11.63
