Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,56.02,56.09,54.88,55.42,6891400,55.42
2010-11-04,56.99,57.40,55.65,56.01,9590100,56.01
2010-11-03,57.26,57.72,57.07,57.30,4425800,57.30
2010-11-02,57.61,57.85,57.21,57.34,4076500,57.34
2010-11-01,57.02,57.95,56.91,57.43,4081600,57.43
2010-10-29,56.95,57.46,56.80,57.19,3384000,57.19
2010-10-28,57.36,57.63,56.91,57.27,4181300,57.27
2010-10-27,56.75,57.18,56.46,57.03,5668700,57.03
2010-10-26,57.11,57.50,56.60,57.26,7050800,57.26
2010-10-25,57.98,58.42,57.72,57.95,5179400,57.95
2010-10-22,57.59,57.79,57.25,57.55,3728000,57.55
2010-10-21,57.81,57.99,56.95,57.62,4685300,57.62
2010-10-20,57.83,58.36,57.17,57.73,6026300,57.73
2010-10-19,57.67,58.74,56.85,57.33,8711800,57.33
2010-10-18,56.37,57.96,56.21,57.96,10188400,57.96
2010-10-15,55.26,56.81,55.02,56.71,11203900,56.71
2010-10-14,55.11,55.50,54.60,54.86,9063400,54.86
2010-10-13,55.89,56.10,55.44,55.49,8041400,55.49
2010-10-12,55.77,56.12,55.48,55.94,6272500,55.94
2010-10-11,56.28,56.35,55.86,56.10,4345600,56.10
2010-10-08,56.10,56.66,55.89,56.39,4481900,56.39
2010-10-07,55.97,56.27,54.16,55.96,5906400,55.96
2010-10-06,55.88,56.11,55.32,55.83,4655800,55.83
2010-10-05,55.24,56.25,55.20,56.12,5588200,56.12
2010-10-04,55.32,55.61,54.68,55.05,4844300,55.05
2010-10-01,55.57,55.73,54.86,55.51,4586600,55.51
2010-09-30,55.02,55.57,54.65,55.11,6269000,55.11
2010-09-29,55.97,55.99,54.07,54.94,8480500,54.94
2010-09-28,55.90,56.50,55.18,56.00,4609400,56.00
2010-09-27,55.94,56.43,55.64,55.69,4416800,55.69
2010-09-24,55.78,56.37,55.30,56.32,5286500,56.32
2010-09-23,55.89,56.44,55.66,55.72,4592400,55.72
2010-09-22,55.51,56.84,55.51,56.27,5071000,56.27
2010-09-21,55.88,56.00,55.34,55.75,5147500,55.75
2010-09-20,55.19,56.08,54.97,55.94,6304000,55.94
2010-09-17,55.19,55.43,55.00,55.22,6500700,55.22
2010-09-16,55.20,55.22,54.77,55.10,4061600,55.10
2010-09-15,54.22,55.41,54.07,55.30,5081600,55.30
2010-09-14,54.20,54.97,54.12,54.52,6371300,54.52
2010-09-13,54.74,54.75,54.10,54.40,6323600,54.40
2010-09-10,53.86,54.62,53.70,54.35,4862800,54.35
2010-09-09,53.33,53.90,53.18,53.79,5580900,53.79
2010-09-08,52.47,53.14,52.26,52.94,4900300,52.94
2010-09-07,52.65,52.87,52.31,52.51,2760100,52.51
2010-09-03,52.57,53.07,52.57,52.91,5355300,52.91
2010-09-02,52.59,52.66,52.18,52.51,3272800,52.51
2010-09-01,51.61,52.75,51.28,52.59,4772000,52.59
2010-08-31,51.39,51.66,50.85,51.04,6636000,51.04
2010-08-30,51.72,52.58,51.63,51.63,4689400,51.63
2010-08-27,51.00,52.41,50.26,52.08,7091200,52.08
2010-08-26,51.96,52.07,50.73,50.93,5266500,50.93
2010-08-25,50.88,52.02,50.71,51.84,5125900,51.84
2010-08-24,51.70,51.70,50.91,51.06,5937600,51.06
2010-08-23,52.47,52.97,51.93,51.95,3466100,51.95
2010-08-20,52.55,52.67,52.07,52.34,4318700,52.34
2010-08-19,53.91,53.99,52.29,52.72,4895600,52.72
2010-08-18,53.69,54.30,53.15,54.14,5547500,54.14
2010-08-17,53.89,54.38,53.69,53.96,4999100,53.96
2010-08-16,54.38,54.60,53.57,54.08,5639300,54.08
2010-08-13,54.39,55.36,54.18,55.02,5511900,55.02
2010-08-12,53.63,54.98,53.04,54.75,6232300,54.75
2010-08-11,54.75,54.90,53.50,53.69,5466100,53.69
2010-08-10,55.37,56.13,54.83,55.72,4151200,55.72
2010-08-09,55.97,56.00,55.42,55.66,3318100,55.66
2010-08-06,54.71,56.00,54.52,55.94,3474200,55.94
2010-08-05,55.38,55.61,55.17,55.32,3067400,55.32
2010-08-04,55.01,55.96,54.68,55.76,4815700,55.76
2010-08-03,54.52,55.28,54.49,54.71,3964700,54.71
2010-08-02,55.25,55.34,54.68,54.87,5526600,54.87
2010-07-30,53.21,55.04,52.43,54.53,7205400,54.53
2010-07-29,54.14,54.40,52.83,53.37,5908400,53.37
2010-07-28,54.60,54.68,52.76,53.76,4945400,53.76
2010-07-27,53.92,55.06,53.78,54.51,7667700,54.51
2010-07-26,52.58,53.89,52.58,53.67,4091300,53.67
2010-07-23,53.02,53.18,51.61,52.75,8760900,52.75
2010-07-22,52.62,53.83,52.62,53.31,5049300,53.31
2010-07-21,53.10,53.31,52.09,52.25,6019900,52.25
