Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,41.08,41.78,40.95,41.78,3876400,41.78
2010-11-04,40.21,41.10,39.96,41.09,4543600,41.09
2010-11-03,39.85,40.10,39.77,39.94,3210700,39.94
2010-11-02,39.88,39.99,39.69,39.89,2671700,39.89
2010-11-01,40.01,40.17,39.56,39.77,2428500,39.77
2010-10-29,39.88,40.43,39.42,39.75,6026400,39.75
2010-10-28,40.96,40.98,40.34,40.66,2350200,40.66
2010-10-27,40.05,40.88,40.05,40.87,2921000,40.72
2010-10-26,40.10,40.44,40.05,40.38,2201000,40.23
2010-10-25,40.29,40.40,40.17,40.30,1691200,40.15
2010-10-22,40.14,40.19,39.96,40.02,1525200,39.87
2010-10-21,39.78,40.36,39.59,40.06,2539100,39.91
2010-10-20,39.59,39.71,39.42,39.65,2148600,39.50
2010-10-19,39.43,39.91,39.18,39.49,2891000,39.35
2010-10-18,39.42,40.04,39.30,40.04,2158000,39.89
2010-10-15,39.73,39.73,39.25,39.46,2512300,39.32
2010-10-14,39.34,39.55,39.13,39.49,2310800,39.35
2010-10-13,39.61,39.61,39.14,39.46,2079500,39.32
2010-10-12,38.97,39.55,38.82,39.50,2315500,39.36
2010-10-11,39.33,39.49,38.95,38.99,2374100,38.85
2010-10-08,39.44,39.47,38.96,39.41,2466300,39.27
2010-10-07,39.68,39.85,39.27,39.37,1912300,39.23
2010-10-06,39.67,39.72,39.35,39.52,2223800,39.37
2010-10-05,39.25,39.75,39.25,39.67,3438800,39.52
2010-10-04,38.79,39.24,38.72,39.20,3941700,39.06
2010-10-01,39.39,39.50,38.97,39.28,14637300,39.14
2010-09-30,39.47,39.71,39.03,39.11,5116100,38.97
2010-09-29,39.49,40.08,39.35,39.62,3352400,39.47
2010-09-28,39.48,39.73,39.30,39.57,3250500,39.42
2010-09-27,38.62,39.91,38.56,39.45,2586600,39.31
2010-09-24,38.62,39.73,38.62,39.45,3326600,39.31
2010-09-23,38.50,38.97,38.23,38.25,2927400,38.11
2010-09-22,38.84,38.92,38.46,38.75,2257600,38.61
2010-09-21,38.68,39.19,38.67,38.80,2064600,38.66
2010-09-20,38.12,38.84,38.00,38.81,4586900,38.67
2010-09-17,37.93,38.26,37.81,38.12,2350300,37.98
2010-09-16,37.68,37.90,37.57,37.89,1447600,37.75
2010-09-15,37.51,37.88,37.40,37.77,1988900,37.63
2010-09-14,38.00,38.11,37.77,37.82,2063300,37.68
2010-09-13,38.17,38.29,37.99,38.17,1699000,38.03
2010-09-10,38.10,38.16,37.51,37.77,1161600,37.63
2010-09-09,38.35,38.49,37.78,38.06,1240700,37.92
2010-09-08,37.83,38.10,37.69,37.78,1023800,37.64
2010-09-07,38.09,38.24,37.58,37.58,1665100,37.44
2010-09-03,38.00,38.39,37.81,38.37,2507800,38.23
2010-09-02,37.13,37.81,37.01,37.80,2421300,37.66
2010-09-01,36.56,37.22,36.37,37.16,2644400,37.02
2010-08-31,36.37,36.64,35.96,36.24,3293000,36.11
2010-08-30,37.00,37.12,36.39,36.39,2012600,36.26
2010-08-27,36.35,37.17,36.14,37.17,1982000,37.03
2010-08-26,36.65,36.83,36.16,36.27,1412600,36.14
2010-08-25,36.48,36.62,36.15,36.48,2477200,36.35
2010-08-24,36.60,36.88,36.29,36.57,2218800,36.44
2010-08-23,37.05,37.24,36.90,36.92,1682100,36.78
2010-08-20,36.64,36.96,36.50,36.91,2243500,36.77
2010-08-19,37.29,37.34,36.90,36.96,2778800,36.82
2010-08-18,37.18,37.57,36.96,37.44,2315000,37.30
2010-08-17,37.11,37.68,36.78,37.44,2720800,37.30
2010-08-16,36.77,36.96,36.52,36.74,1346700,36.61
2010-08-13,37.00,37.18,36.86,36.91,1799500,36.77
2010-08-12,37.07,37.29,36.77,37.17,1900500,37.03
2010-08-11,37.89,37.95,37.33,37.33,3870400,37.19
2010-08-10,38.48,38.68,38.09,38.45,2647900,38.31
2010-08-09,38.23,38.77,38.13,38.68,3312900,38.54
2010-08-06,37.78,38.22,37.21,38.20,5013000,38.06
2010-08-05,37.57,38.34,37.38,38.02,8322600,37.88
2010-08-04,37.99,38.06,37.49,37.73,3957000,37.59
2010-08-03,38.05,38.27,37.70,37.80,4788600,37.66
2010-08-02,38.08,38.39,37.95,38.13,5289100,37.99
2010-07-30,36.66,37.96,36.53,37.67,4841600,37.53
2010-07-29,36.79,36.98,36.24,36.63,5054000,36.50
2010-07-28,36.29,36.86,36.26,36.65,4116500,36.37
2010-07-27,37.09,37.09,36.29,36.41,6860100,36.13
2010-07-26,36.45,36.91,35.87,36.81,2887200,36.52
2010-07-23,36.58,36.68,36.27,36.62,4356300,36.34
2010-07-22,35.97,36.77,35.55,36.47,5065000,36.19
2010-07-21,36.40,36.50,35.59,35.63,4806800,35.35
2010-07-20,35.52,36.04,35.16,35.99,5013900,35.71
2010-07-19,36.28,36.33,35.40,35.68,5693500,35.40
2010-07-16,36.55,36.93,36.10,36.24,6481200,35.96
2010-07-15,37.01,37.07,36.62,36.98,8944100,36.69
2010-07-14,36.81,37.31,36.47,37.10,11266500,36.81
2010-07-13,35.73,37.15,35.70,37.07,15442100,36.78
2010-07-12,35.48,36.31,35.10,35.62,22718000,35.34
2010-07-09,38.26,38.37,38.05,38.34,788600,38.04
2010-07-08,38.23,38.39,37.82,38.21,1064100,37.91
2010-07-07,37.44,38.15,37.26,38.10,1326200,37.80
2010-07-06,37.50,37.79,36.95,37.24,1439400,36.95
2010-07-02,36.85,37.37,36.84,37.11,1449800,36.82
2010-07-01,37.01,37.01,36.32,36.78,2248300,36.50
2010-06-30,37.58,37.79,37.06,37.12,2249800,36.83
2010-06-29,38.17,38.28,37.50,37.72,2018600,37.43
2010-06-28,38.83,38.87,38.42,38.60,1236300,38.30
2010-06-25,38.54,38.85,38.07,38.72,2490500,38.42
2010-06-24,38.90,39.02,38.32,38.40,1394300,38.10
2010-06-23,39.05,39.19,38.72,38.94,1287800,38.64
2010-06-22,39.62,39.84,39.07,39.10,1248600,38.80
2010-06-21,40.04,40.04,39.40,39.56,1238500,39.25
2010-06-18,39.79,39.80,39.60,39.74,1696700,39.43
2010-06-17,39.40,39.67,39.24,39.66,1173800,39.35
2010-06-16,39.11,39.46,39.02,39.38,1376400,39.07
2010-06-15,38.86,39.29,38.30,39.25,2100400,38.95
2010-06-14,38.65,39.25,38.25,38.27,2247900,37.97
2010-06-11,38.03,38.59,37.78,38.59,2031900,38.29
2010-06-10,38.38,38.41,37.90,38.36,3249200,38.06
2010-06-09,38.88,39.05,37.69,37.80,2751000,37.51
2010-06-08,38.43,38.77,38.02,38.70,1956600,38.40
2010-06-07,38.58,38.96,38.42,38.42,1941000,38.12
2010-06-04,39.27,39.44,38.32,38.42,2097600,38.12
2010-06-03,39.58,39.90,39.58,39.81,1403300,39.50
2010-06-02,38.88,39.65,38.74,39.65,1602400,39.34
2010-06-01,39.25,39.31,38.63,38.63,1993000,38.33
2010-05-28,39.44,39.87,39.11,39.47,1813200,39.16
2010-05-27,38.92,39.66,38.70,39.61,2345400,39.30
2010-05-26,39.05,39.12,38.43,38.48,1874100,38.18
2010-05-25,38.31,38.82,38.11,38.78,2032500,38.48
2010-05-24,39.20,39.69,38.94,38.95,1498300,38.65
2010-05-21,38.64,39.64,38.35,39.64,2811800,39.33
2010-05-20,40.10,40.42,38.88,38.92,3746000,38.62
2010-05-19,40.62,41.11,40.14,40.45,2833000,40.14
2010-05-18,41.85,41.99,40.58,40.70,2994300,40.38
2010-05-17,41.68,42.00,41.29,41.85,2078700,41.53
2010-05-14,42.17,42.50,41.41,41.61,2573900,41.29
2010-05-13,42.99,43.03,42.42,42.42,1018600,42.09
2010-05-12,42.60,43.00,42.51,42.99,1314300,42.66
2010-05-11,41.97,42.98,41.93,42.40,1467800,42.07
2010-05-10,42.73,42.73,41.60,42.34,2107000,42.01
2010-05-07,40.01,41.50,40.01,41.13,3326500,40.81
2010-05-06,41.90,42.12,40.11,41.14,4216200,40.82
2010-05-05,41.93,42.49,41.78,42.01,1743900,41.68
2010-05-04,41.89,42.31,41.54,42.04,2416100,41.71
2010-05-03,42.69,42.69,41.90,42.41,1690100,42.08
2010-04-30,43.26,43.50,42.09,42.46,3751600,42.13
2010-04-29,43.53,44.14,43.35,44.00,2812000,43.66
2010-04-28,43.30,43.70,43.06,43.47,1544500,42.98
2010-04-27,43.61,44.09,42.95,43.03,1463400,42.55
2010-04-26,44.07,44.30,43.81,43.81,902000,43.32
2010-04-23,44.23,44.25,43.87,44.08,1085800,43.59
2010-04-22,43.91,44.34,43.52,44.26,1044700,43.77
2010-04-21,43.94,44.16,43.76,44.12,1122600,43.63
2010-04-20,43.41,44.05,43.34,44.01,1456600,43.52
2010-04-19,42.91,43.36,42.88,43.34,1179300,42.86
2010-04-16,43.41,43.93,43.08,43.08,2449400,42.60
2010-04-15,43.16,43.56,42.99,43.41,1706100,42.93
2010-04-14,43.39,43.50,43.13,43.31,1232700,42.83
2010-04-13,43.35,43.45,43.18,43.36,775900,42.88
2010-04-12,43.01,43.42,42.99,43.42,852400,42.93
2010-04-09,43.23,43.37,43.06,43.14,1013000,42.66
2010-04-08,43.01,43.25,42.98,43.18,1167700,42.70
2010-04-07,42.98,43.25,42.84,43.07,1074900,42.59
2010-04-06,42.88,43.13,42.83,43.01,918600,42.53
2010-04-05,42.99,43.00,42.81,42.93,596900,42.45
2010-04-01,42.81,43.00,42.61,42.99,1146900,42.51
2010-03-31,42.57,42.94,42.57,42.71,1004800,42.23
2010-03-30,42.99,43.16,42.83,42.89,1231500,42.41
2010-03-29,42.59,43.06,42.47,42.90,1672700,42.42
2010-03-26,42.41,42.77,42.39,42.58,1233900,42.10
2010-03-25,42.61,42.79,42.44,42.59,1145700,42.11
2010-03-24,42.75,42.78,42.36,42.42,1328300,41.95
2010-03-23,42.49,42.89,42.48,42.89,935700,42.41
2010-03-22,41.84,42.80,41.62,42.69,1786100,42.21
2010-03-19,42.37,42.68,42.34,42.65,3298600,42.17
2010-03-18,42.02,42.35,42.00,42.34,1454200,41.87
2010-03-17,41.87,42.20,41.80,42.02,1394400,41.55
2010-03-16,41.73,41.95,41.60,41.88,1077000,41.41
2010-03-15,41.39,41.92,41.28,41.90,1767200,41.43
2010-03-12,41.49,41.78,41.31,41.54,1766000,41.08
2010-03-11,40.97,41.32,40.83,41.32,1361100,40.86
2010-03-10,41.32,41.34,40.78,40.97,1128100,40.51
2010-03-09,41.33,41.55,41.16,41.31,1182800,40.85
2010-03-08,41.40,41.55,41.29,41.43,1111200,40.97
2010-03-05,41.01,41.49,40.65,41.46,1427600,41.00
2010-03-04,40.86,40.99,40.63,40.84,911800,40.38
2010-03-03,41.00,41.18,40.76,40.84,937600,40.38
2010-03-02,40.92,40.99,40.71,40.94,743200,40.48
2010-03-01,40.83,41.07,40.74,40.98,994600,40.52
2010-02-26,41.05,41.13,40.87,40.94,1446300,40.48
2010-02-25,40.43,41.04,40.29,40.99,1621800,40.53
2010-02-24,40.69,40.93,40.37,40.74,1544300,40.28
2010-02-23,40.47,40.80,40.25,40.59,1739100,40.14
2010-02-22,40.53,40.60,40.35,40.46,1147600,40.01
2010-02-19,40.26,40.70,40.00,40.57,1829300,40.12
2010-02-18,40.06,40.50,40.06,40.27,1394900,39.82
2010-02-17,40.06,40.51,39.49,40.28,1909500,39.83
2010-02-16,40.03,40.09,39.44,39.90,1358600,39.45
2010-02-12,39.16,39.88,39.16,39.81,2295400,39.37
2010-02-11,39.53,39.72,39.18,39.41,1359700,38.97
2010-02-10,39.78,39.96,39.42,39.64,1287100,39.20
2010-02-09,39.92,40.03,39.61,39.83,1764500,39.39
2010-02-08,39.68,40.05,39.48,39.65,2752500,39.21
2010-02-05,38.88,39.89,38.72,39.71,5676000,39.27
2010-02-04,38.99,39.19,38.45,38.81,2819900,38.38
2010-02-03,39.31,39.50,39.14,39.31,1314800,38.87
2010-02-02,38.79,39.46,38.61,39.46,1497800,39.02
2010-02-01,39.10,39.27,38.60,38.79,3274100,38.36
2010-01-29,39.02,39.19,38.80,38.90,2207700,38.47
2010-01-28,39.25,39.25,38.87,39.02,2735000,38.58
2010-01-27,39.22,39.26,38.78,39.18,2135300,38.59
2010-01-26,38.79,39.29,38.79,39.04,2105200,38.46
2010-01-25,38.85,39.07,38.68,38.93,1833900,38.35
2010-01-22,38.27,38.83,38.25,38.53,2752500,37.95
2010-01-21,38.01,38.46,37.90,38.20,2212900,37.63
2010-01-20,37.45,38.20,37.40,38.09,2593900,37.52
2010-01-19,37.57,38.00,37.33,37.83,1270800,37.26
2010-01-15,37.53,37.78,37.39,37.56,3660800,37.00
2010-01-14,37.88,37.88,37.50,37.76,1553500,37.20
2010-01-13,38.00,38.25,37.75,38.06,910400,37.49
2010-01-12,38.00,38.20,37.85,37.99,1444100,37.42
2010-01-11,38.10,38.20,37.88,38.05,1444800,37.48
2010-01-08,37.53,37.89,37.35,37.89,1980600,37.32
2010-01-07,37.82,37.82,37.46,37.58,1740900,37.02
2010-01-06,37.75,37.79,37.50,37.69,1816600,37.13
2010-01-05,37.72,37.85,37.51,37.70,4986100,37.14
2010-01-04,38.45,38.50,37.81,37.94,3407100,37.37
2009-12-31,38.74,38.74,38.34,38.34,949700,37.77
2009-12-30,38.53,38.88,38.50,38.74,588500,38.16
2009-12-29,38.49,39.10,38.49,38.77,815000,38.19
2009-12-28,39.02,39.12,38.48,38.67,1047700,38.09
2009-12-24,38.91,39.10,38.73,39.06,389200,38.48
2009-12-23,38.89,38.94,38.43,38.67,903500,38.09
2009-12-22,38.04,38.77,38.04,38.69,1045300,38.11
2009-12-21,38.04,38.46,37.85,38.12,1831400,37.55
2009-12-18,37.93,38.12,37.46,37.77,2625600,37.21
2009-12-17,37.69,38.03,37.42,37.89,1963400,37.32
2009-12-16,38.05,38.05,37.74,37.80,1575100,37.23
2009-12-15,37.54,37.87,37.40,37.86,2160400,37.29
2009-12-14,38.06,38.06,37.60,37.72,1020100,37.16
2009-12-11,37.97,38.01,37.66,37.73,1895700,37.17
2009-12-10,38.26,38.26,37.72,37.87,1151800,37.30
2009-12-09,37.70,38.05,37.56,37.92,1234000,37.35
2009-12-08,37.94,38.41,37.70,37.88,1818400,37.31
2009-12-07,38.50,38.67,38.35,38.38,1690200,37.81
2009-12-04,38.53,38.66,38.30,38.60,3083800,38.02
2009-12-03,38.32,38.80,38.23,38.31,3127800,37.74
2009-12-02,38.66,38.76,38.13,38.47,3053400,37.89
2009-12-01,39.45,39.45,38.28,38.60,1612200,38.02
2009-11-30,38.48,38.78,38.16,38.73,2803800,38.15
2009-11-27,38.46,38.91,38.29,38.39,1037300,37.82
2009-11-25,39.33,39.57,39.14,39.24,1129400,38.65
2009-11-24,39.53,39.53,39.10,39.14,1458900,38.55
2009-11-23,39.50,39.53,38.88,39.40,1936500,38.81
2009-11-20,38.90,39.18,38.53,39.03,2782600,38.45
2009-11-19,38.83,39.46,38.43,39.07,4205200,38.49
2009-11-18,40.34,40.41,39.86,40.04,2555900,39.44
2009-11-17,40.80,40.80,40.42,40.47,3162200,39.86
2009-11-16,40.53,41.00,40.42,40.92,3008400,40.31
2009-11-13,40.32,40.32,39.97,40.21,2644100,39.61
2009-11-12,40.09,40.55,40.01,40.12,3282300,39.52
2009-11-11,39.80,40.38,39.64,40.16,3174900,39.56
2009-11-10,40.03,40.27,39.56,39.68,3356800,39.09
2009-11-09,39.55,40.08,39.22,40.08,2764200,39.48
2009-11-06,38.87,39.50,38.69,39.40,2851100,38.81
2009-11-05,38.83,39.22,38.69,39.17,2933200,38.58
2009-11-04,38.87,39.10,38.56,38.57,3597400,37.99
2009-11-03,38.41,38.85,38.41,38.54,3744600,37.96
2009-11-02,38.76,39.31,38.31,38.78,4453900,38.20
2009-10-30,38.50,39.47,36.81,38.51,12143600,37.93
2009-10-29,40.74,41.24,40.41,41.19,2185800,40.57
2009-10-28,40.64,41.00,40.36,40.43,1967800,39.68
2009-10-27,40.81,41.14,40.63,40.80,1314000,40.04
2009-10-26,40.61,40.97,40.38,40.80,2080100,40.04
2009-10-23,41.21,41.21,40.39,40.50,1605700,39.75
2009-10-22,40.05,41.15,39.95,41.03,2428700,40.27
2009-10-21,40.54,41.05,39.93,40.01,2140900,39.27
2009-10-20,41.52,41.52,40.47,40.54,2058800,39.79
2009-10-19,41.58,41.75,41.32,41.48,1186000,40.71
2009-10-16,41.14,41.63,40.98,41.46,1985500,40.69
2009-10-15,40.63,41.98,40.63,41.64,1419700,40.86
2009-10-14,41.32,41.83,41.02,41.78,2074100,41.00
2009-10-13,40.92,41.14,40.66,40.99,1232300,40.23
2009-10-12,41.17,41.48,40.79,41.01,1015800,40.25
2009-10-09,41.22,42.32,41.06,41.11,1601900,40.34
2009-10-08,40.95,41.27,40.88,41.05,1435000,40.29
2009-10-07,40.82,41.16,40.38,40.81,1732000,40.05
2009-10-06,40.94,41.18,40.50,41.01,2101500,40.25
2009-10-05,40.65,40.75,40.06,40.66,2072300,39.90
2009-10-02,40.43,40.74,40.29,40.35,2464200,39.60
2009-10-01,40.82,41.45,40.58,40.74,2827200,39.98
2009-09-30,41.28,41.43,40.44,40.69,2825700,39.93
2009-09-29,42.05,42.05,41.21,41.24,2237000,40.47
2009-09-28,40.44,42.35,40.42,42.08,2815300,41.30
2009-09-25,40.73,41.41,40.27,40.34,2745300,39.59
2009-09-24,41.25,41.49,40.65,40.84,2165000,40.08
2009-09-23,41.01,41.63,41.01,41.18,1897600,40.41
2009-09-22,41.85,41.85,40.87,41.06,1776600,40.30
2009-09-21,41.34,41.95,41.34,41.51,1408700,40.74
2009-09-18,41.96,42.21,41.50,41.72,2438600,40.94
2009-09-17,42.10,42.44,41.78,41.78,2234100,41.00
2009-09-16,41.61,42.46,41.35,42.44,2492400,41.65
2009-09-15,41.84,42.04,41.37,41.58,1404900,40.81
2009-09-14,41.27,41.89,41.15,41.87,1728500,41.09
2009-09-11,42.19,42.40,41.40,41.46,1747700,40.69
2009-09-10,42.70,42.83,41.83,42.11,1955900,41.33
2009-09-09,41.94,42.92,41.73,42.85,2592300,42.05
2009-09-08,42.04,42.24,41.47,41.94,2191400,41.16
2009-09-04,42.07,42.32,41.47,41.89,1318400,41.11
2009-09-03,41.34,41.52,41.00,41.50,1582300,40.73
2009-09-02,41.05,41.61,40.90,41.22,2297000,40.45
2009-09-01,41.71,41.88,41.13,41.20,2898200,40.43
2009-08-31,41.79,42.10,41.63,41.76,2433500,40.98
2009-08-28,41.63,42.38,41.36,42.06,2556400,41.28
2009-08-27,41.29,41.56,41.20,41.49,1678800,40.72
2009-08-26,42.02,42.16,41.37,41.55,1647800,40.78
2009-08-25,42.29,42.42,41.87,42.00,1659300,41.22
2009-08-24,41.81,42.84,41.79,42.00,2653600,41.22
2009-08-21,41.67,41.87,41.33,41.67,2090200,40.89
2009-08-20,41.31,41.52,40.60,41.52,1725700,40.75
2009-08-19,40.69,41.53,40.67,41.33,1746700,40.56
2009-08-18,41.18,41.36,40.91,41.27,2594000,40.50
2009-08-17,40.62,41.45,40.47,41.16,2544300,40.39
2009-08-14,41.30,41.33,40.93,41.20,2074200,40.43
2009-08-13,41.33,41.61,41.06,41.54,1623400,40.77
2009-08-12,40.98,41.84,40.87,41.58,2478400,40.81
2009-08-11,40.25,41.53,40.24,41.21,3344000,40.44
2009-08-10,40.48,40.84,40.24,40.55,2206000,39.80
2009-08-07,40.22,40.87,40.02,40.80,3683500,40.04
2009-08-06,40.43,40.43,39.79,40.16,2949800,39.41
2009-08-05,39.93,40.21,39.72,40.14,4090100,39.39
2009-08-04,39.62,40.00,39.29,39.90,2981000,39.16
2009-08-03,39.76,40.29,39.18,39.42,2889400,38.69
2009-07-31,39.44,39.75,39.24,39.45,2736200,38.72
2009-07-30,40.11,40.58,38.96,39.64,5597000,38.90
2009-07-29,38.02,40.03,37.88,39.89,5601300,39.00
2009-07-28,37.27,38.22,37.21,38.09,2396700,37.24
2009-07-27,36.89,37.46,36.71,37.41,2587100,36.58
2009-07-24,36.91,37.25,36.85,36.92,2891900,36.10
2009-07-23,36.94,37.76,36.93,37.16,3421000,36.33
2009-07-22,36.75,37.34,36.74,36.84,2480700,36.02
2009-07-21,37.47,37.81,36.93,37.13,2215300,36.30
2009-07-20,37.74,38.69,37.11,37.35,2672200,36.52
2009-07-17,38.22,38.37,37.39,37.72,2620600,36.88
2009-07-16,37.69,38.44,37.65,38.26,2402800,37.41
2009-07-15,37.78,38.17,37.47,37.93,3378500,37.08
2009-07-14,37.43,37.60,36.78,37.57,1764700,36.73
2009-07-13,36.75,37.51,36.58,37.51,3435000,36.67
2009-07-10,36.75,36.91,36.45,36.68,2081100,35.86
2009-07-09,36.94,37.56,36.57,36.83,2184100,36.01
2009-07-08,36.77,37.00,36.36,36.81,3085100,35.99
2009-07-07,37.26,37.58,36.57,36.59,2244800,35.77
2009-07-06,36.42,37.38,36.42,37.38,2295900,36.55
2009-07-02,37.18,37.83,36.56,36.56,2150500,35.74
2009-07-01,37.89,38.15,37.14,37.91,1815900,37.06
2009-06-30,37.64,38.00,37.13,37.87,2504000,37.03
2009-06-29,37.04,37.86,37.04,37.70,3103700,36.86
2009-06-26,37.58,37.64,36.84,37.00,2181700,36.17
2009-06-25,37.15,37.67,36.87,37.56,2126100,36.72
2009-06-24,37.63,37.69,36.98,37.20,2577600,36.37
2009-06-23,37.56,37.90,37.26,37.52,2150200,36.68
2009-06-22,37.35,37.96,37.11,37.43,3251300,36.60
2009-06-19,37.14,37.87,37.00,37.63,3778900,36.79
2009-06-18,36.65,37.02,36.48,36.96,1794000,36.14
2009-06-17,36.16,37.08,36.11,36.59,2705300,35.77
2009-06-16,36.47,36.80,36.19,36.24,4000300,35.43
2009-06-15,36.84,36.88,36.41,36.42,3302800,35.61
2009-06-12,36.81,37.07,36.41,36.99,2114300,36.17
2009-06-11,36.91,37.02,36.19,36.86,2279200,36.04
2009-06-10,36.91,36.91,36.49,36.77,1980100,35.95
2009-06-09,36.64,37.02,36.34,36.81,2249700,35.99
