Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,107.26,108.75,106.83,108.69,4445700,108.69
2010-11-04,105.18,109.24,105.18,107.79,6979000,107.79
2010-11-03,103.26,103.42,100.71,102.58,3494400,102.58
2010-11-02,102.07,103.94,101.39,103.12,2361400,103.12
2010-11-01,102.34,102.69,100.39,101.00,2134300,101.00
2010-10-29,99.93,101.30,99.76,101.02,1970800,101.02
2010-10-28,101.24,101.35,99.82,100.36,2139400,100.36
2010-10-27,99.41,100.63,98.31,100.51,2738200,100.51
2010-10-26,100.03,100.60,99.32,100.37,3311800,100.37
2010-10-25,102.16,103.41,101.01,101.07,2762200,101.07
2010-10-22,103.14,103.48,100.79,101.30,3507200,101.30
2010-10-21,103.67,103.85,102.16,102.97,2656900,102.97
2010-10-20,101.88,104.04,101.87,103.40,3175600,103.40
2010-10-19,104.05,104.80,101.32,102.28,5056000,102.13
2010-10-18,104.46,106.68,103.83,106.35,3787000,106.19
2010-10-15,104.10,104.22,102.74,104.14,3884700,103.99
2010-10-14,103.25,104.12,102.38,103.23,3154500,103.08
2010-10-13,102.42,103.79,101.64,103.29,3091200,103.14
2010-10-12,101.41,102.16,100.23,101.57,2522700,101.42
2010-10-11,101.58,102.69,101.22,102.01,2114000,101.86
2010-10-08,99.64,101.94,99.17,101.53,3150800,101.38
2010-10-07,100.17,100.80,98.52,99.65,2894300,99.50
2010-10-06,98.63,99.83,98.33,99.76,2611700,99.61
2010-10-05,98.24,99.17,97.55,98.90,3418400,98.75
2010-10-04,97.59,98.90,96.51,97.01,2779800,96.87
2010-10-01,98.98,99.38,97.43,98.28,4554400,98.14
2010-09-30,98.79,99.09,96.21,97.76,3196900,97.62
2010-09-29,96.79,98.61,96.66,98.03,2627400,97.89
2010-09-28,97.94,98.09,95.68,97.10,2455700,96.96
2010-09-27,98.16,98.75,97.54,97.56,1929700,97.42
2010-09-24,96.23,98.65,95.43,98.13,3463500,97.99
2010-09-23,94.52,96.03,94.13,94.99,2651400,94.85
2010-09-22,96.21,97.60,95.24,95.42,2122300,95.28
2010-09-21,95.90,96.81,95.08,96.07,3200300,95.93
2010-09-20,94.90,96.44,94.13,96.03,3076100,95.89
2010-09-17,94.74,95.22,92.57,94.48,3904100,94.34
2010-09-16,93.66,95.02,93.62,94.30,2328300,94.16
2010-09-15,94.04,94.59,93.26,94.23,2820000,94.09
2010-09-14,94.43,95.97,93.97,94.70,2887500,94.56
2010-09-13,94.71,94.99,93.96,94.60,2514100,94.46
2010-09-10,93.41,94.05,92.98,93.73,3502400,93.59
2010-09-09,93.49,93.61,91.90,92.71,3243600,92.57
2010-09-08,90.35,92.46,90.35,91.95,2846300,91.82
2010-09-07,92.04,92.33,90.31,90.36,3988800,90.23
2010-09-03,92.43,93.65,91.78,92.62,4539000,92.48
2010-09-02,92.64,92.64,87.58,91.30,15580400,91.17
2010-09-01,91.24,93.10,91.22,92.46,3450400,92.32
2010-08-31,89.05,90.31,88.70,89.85,3940800,89.72
2010-08-30,89.75,91.06,89.49,89.55,3309600,89.42
2010-08-27,87.88,90.14,86.60,89.97,3787300,89.84
2010-08-26,87.38,89.42,87.17,87.29,5175000,87.16
2010-08-25,86.85,87.06,85.35,86.66,5612700,86.53
2010-08-24,88.00,88.86,87.35,87.48,6400400,87.35
2010-08-23,90.90,91.18,89.35,89.46,3645100,89.33
2010-08-20,90.97,91.24,90.00,90.53,3396200,90.40
2010-08-19,92.49,92.83,91.17,91.75,3400300,91.62
2010-08-18,92.54,93.25,91.60,92.83,2690000,92.69
2010-08-17,92.35,93.50,92.01,93.00,3294500,92.86
2010-08-16,90.80,91.69,90.50,91.40,2661400,91.27
2010-08-13,91.68,92.58,91.06,91.26,2733000,91.13
2010-08-12,91.26,93.34,91.00,91.85,3960400,91.72
2010-08-11,93.50,93.76,92.03,92.33,3971000,92.19
2010-08-10,94.93,95.90,93.83,95.46,3559000,95.32
2010-08-09,96.31,96.82,95.23,96.22,2377200,96.08
2010-08-06,96.34,96.58,94.11,95.95,4642200,95.81
2010-08-05,97.10,97.85,96.20,97.55,3410600,97.41
2010-08-04,98.15,98.67,96.52,97.76,4428600,97.62
2010-08-03,98.18,98.62,97.13,98.02,3696800,97.88
2010-08-02,97.04,98.80,96.67,98.47,4229200,98.33
2010-07-30,94.07,96.26,93.80,95.58,4850300,95.44
2010-07-29,94.79,96.19,94.49,95.40,5126900,95.26
2010-07-28,94.49,95.42,93.61,94.37,3536600,94.23
2010-07-27,96.07,96.45,93.91,94.92,5501400,94.78
2010-07-26,94.46,95.60,93.50,95.50,8226500,95.36
2010-07-23,89.22,93.43,89.07,92.79,29232100,92.65
2010-07-22,88.73,90.12,87.80,89.28,7117500,89.15
2010-07-21,87.45,88.85,87.00,87.45,10297400,87.32
2010-07-20,84.46,88.62,84.46,88.28,4318100,88.15
2010-07-19,83.91,85.81,83.50,85.59,5180200,85.31
2010-07-16,85.67,85.67,82.38,82.75,5485200,82.48
2010-07-15,86.87,87.16,84.29,86.13,5286200,85.85
2010-07-14,86.41,87.23,85.62,86.83,2546500,86.55
2010-07-13,86.40,87.34,85.90,86.65,4190800,86.37
2010-07-12,86.75,86.75,84.20,85.07,6736800,84.80
