Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,66.39,67.68,66.11,67.61,6272100,67.61
2010-11-04,64.72,66.22,64.17,65.96,5100800,65.96
2010-11-03,64.10,64.26,62.15,63.64,4635200,63.64
2010-11-02,62.49,64.56,61.34,63.82,6256400,63.82
2010-11-01,62.31,64.39,62.09,63.16,7050800,63.16
2010-10-29,61.68,62.50,61.57,61.57,3008500,61.57
2010-10-28,63.31,63.93,61.36,61.77,5980000,61.77
2010-10-27,62.42,62.86,60.81,62.56,3565400,62.56
2010-10-26,62.15,63.84,62.00,63.44,4529600,63.44
2010-10-25,62.56,63.37,61.91,62.78,5322600,62.78
2010-10-22,59.32,62.69,59.31,62.51,10777200,62.51
2010-10-21,57.23,58.90,56.97,58.79,5886700,58.79
2010-10-20,56.35,57.63,56.20,57.39,3231700,57.39
2010-10-19,57.47,57.80,55.65,56.05,4421400,56.05
2010-10-18,57.67,58.72,57.31,58.48,2682900,58.48
2010-10-15,57.65,57.75,56.03,57.64,4011100,57.64
2010-10-14,58.44,58.76,57.21,57.23,3477100,57.23
2010-10-13,58.66,59.28,58.04,58.44,3271700,58.44
2010-10-12,58.40,58.84,57.35,58.30,2980900,58.30
2010-10-11,58.10,59.05,57.62,58.78,2881000,58.78
2010-10-08,57.00,58.30,56.32,58.19,4427100,58.19
2010-10-07,57.94,57.99,56.40,56.80,2889000,56.80
2010-10-06,57.17,57.74,56.59,57.37,3901600,57.37
2010-10-05,57.12,57.70,56.42,57.47,5179400,57.47
2010-10-04,56.95,57.35,55.71,56.30,3532800,56.30
2010-10-01,57.96,58.24,56.82,57.06,4162400,57.06
2010-09-30,57.97,58.19,56.60,57.05,5214600,57.05
2010-09-29,56.63,58.00,56.63,57.54,4420900,57.54
2010-09-28,57.61,57.67,56.62,56.94,4503200,56.94
2010-09-27,56.72,58.42,56.72,57.68,4192900,57.68
2010-09-24,56.30,57.37,56.04,57.02,5605900,57.02
2010-09-23,54.07,56.05,53.79,55.46,3870600,55.46
2010-09-22,55.82,56.44,54.80,54.99,5105700,54.99
2010-09-21,55.40,56.04,54.51,55.78,4528100,55.78
2010-09-20,54.47,55.91,54.13,55.40,5010100,55.40
2010-09-17,54.48,54.80,53.72,54.14,6754700,54.14
2010-09-16,53.71,54.24,53.51,54.11,4260800,54.11
2010-09-15,51.86,54.23,51.85,54.11,4845700,54.11
2010-09-14,53.28,53.57,52.60,52.65,4255500,52.65
2010-09-13,54.24,54.27,52.82,53.32,4597500,53.32
2010-09-10,53.22,54.30,52.30,52.91,6075100,52.91
2010-09-09,53.47,53.75,52.15,52.28,4071300,52.28
2010-09-08,50.03,52.39,50.03,52.39,4808400,52.39
2010-09-07,51.48,51.68,49.76,50.27,6123800,50.27
2010-09-03,51.44,52.24,50.52,52.06,5618000,52.06
2010-09-02,49.48,51.29,49.05,50.24,10480000,50.15
2010-09-01,47.34,48.87,47.18,48.79,6511500,48.70
2010-08-31,45.59,46.48,45.32,45.99,5093000,45.91
