Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,86.87,87.10,86.21,86.65,529300,86.65
2010-11-04,86.63,86.87,86.08,86.86,998000,86.86
2010-11-03,86.50,86.50,84.29,85.46,833400,85.46
2010-11-02,85.68,86.86,85.68,86.36,750700,86.36
2010-11-01,85.50,86.10,84.56,84.95,449400,84.95
2010-10-29,84.88,85.67,84.44,84.97,995800,84.97
2010-10-28,84.77,85.75,84.35,85.15,741200,85.15
2010-10-27,85.07,85.17,83.80,84.17,1529500,84.17
2010-10-26,85.26,85.78,84.50,85.70,696900,85.70
2010-10-25,84.92,86.50,84.63,85.74,1164600,85.74
2010-10-22,84.75,84.90,84.43,84.74,679800,84.74
2010-10-21,83.76,84.96,83.22,84.93,1914600,84.93
2010-10-20,81.65,83.22,81.46,83.10,779400,83.10
2010-10-19,81.88,82.26,80.90,81.30,873000,81.30
2010-10-18,81.79,83.01,81.73,82.95,888800,82.95
2010-10-15,82.86,82.95,81.32,81.66,1353800,81.66
2010-10-14,82.04,82.86,81.42,82.10,939900,82.10
2010-10-13,82.98,83.22,82.29,82.91,1570500,82.91
2010-10-12,82.18,82.72,81.70,82.58,1290700,82.58
2010-10-11,82.89,83.33,82.30,82.53,1154600,82.53
2010-10-08,82.39,82.92,82.37,82.70,1382100,82.70
2010-10-07,84.40,84.69,82.33,82.41,1835500,82.41
2010-10-06,84.08,84.56,83.71,84.02,1277400,84.02
2010-10-05,82.92,84.29,82.90,84.20,1069400,84.20
2010-10-04,82.94,83.00,81.88,82.07,943800,82.07
2010-10-01,83.22,84.00,82.52,83.02,1508300,83.02
2010-09-30,83.16,84.28,82.55,82.82,1526100,82.82
2010-09-29,83.27,83.30,82.20,82.85,1057000,82.85
2010-09-28,84.00,84.06,82.67,83.97,1059800,83.48
2010-09-27,84.08,84.25,83.71,83.86,1474600,83.37
2010-09-24,83.87,84.43,83.50,84.20,1263700,83.71
2010-09-23,82.37,83.53,82.27,82.94,1392200,82.46
2010-09-22,83.07,83.38,82.47,83.18,1299900,82.69
2010-09-21,83.04,83.45,82.51,83.00,1634300,82.52
2010-09-20,82.33,83.26,82.08,83.05,1298100,82.57
2010-09-17,82.46,82.59,81.71,82.20,2845900,81.72
2010-09-16,80.84,82.00,80.20,81.75,1910600,81.27
2010-09-15,79.88,81.60,79.47,81.38,1793500,80.91
2010-09-14,78.73,80.83,78.66,80.21,2794800,79.74
2010-09-13,78.70,78.97,78.24,78.78,1105200,78.32
2010-09-10,78.07,78.37,77.80,77.95,920900,77.50
2010-09-09,78.51,79.31,77.83,77.95,1238900,77.50
2010-09-08,77.30,78.85,77.12,77.79,1740100,77.34
2010-09-07,77.80,78.00,76.86,77.38,1156000,76.93
2010-09-03,77.99,78.04,77.31,78.04,1513000,77.58
2010-09-02,75.21,77.30,74.75,77.19,2083300,76.74
2010-09-01,74.97,74.97,74.04,74.75,2487600,74.31
2010-08-31,73.46,74.34,73.45,74.03,1216300,73.60
2010-08-30,74.12,74.54,73.70,73.70,1204900,73.27
2010-08-27,74.21,74.53,73.46,74.42,1671700,73.99
2010-08-26,74.19,74.59,73.54,73.56,1205500,73.13
2010-08-25,73.31,73.87,72.81,73.55,1673400,73.12
2010-08-24,73.97,74.80,73.27,73.84,1522700,73.41
2010-08-23,75.61,76.10,74.58,74.69,876700,74.25
2010-08-20,75.00,75.50,74.30,75.01,1042100,74.57
2010-08-19,76.68,76.68,74.18,75.59,1834000,75.15
2010-08-18,76.81,77.32,76.29,77.03,1027100,76.58
2010-08-17,76.72,77.84,76.57,76.72,1754500,76.27
2010-08-16,74.84,76.57,74.51,75.90,1070500,75.46
2010-08-13,74.31,75.79,74.15,75.68,1588500,75.24
2010-08-12,74.29,74.98,73.82,74.70,1399500,74.26
2010-08-11,75.51,75.63,74.31,75.40,1400500,74.96
2010-08-10,76.17,77.48,75.84,76.93,1318800,76.48
2010-08-09,76.68,77.10,76.49,77.00,907700,76.55
2010-08-06,76.59,77.22,75.47,76.22,1296500,75.78
2010-08-05,76.33,77.14,76.06,77.06,1485100,76.61
