Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,52.87,53.01,52.55,52.88,730300,52.88
2010-11-04,52.20,53.04,51.84,52.95,1629900,52.95
2010-11-03,51.04,51.50,50.76,51.50,776100,51.50
2010-11-02,50.60,51.48,50.36,51.12,1132500,51.12
2010-11-01,50.28,50.55,49.65,49.98,688200,49.98
2010-10-29,49.18,50.20,48.87,50.13,999100,50.13
2010-10-28,49.72,49.84,48.96,49.39,486800,49.39
2010-10-27,49.37,49.78,48.85,49.47,1057200,49.47
2010-10-26,49.68,50.09,49.24,49.88,1358100,49.88
2010-10-25,49.54,50.38,49.43,50.04,815000,50.04
2010-10-22,49.29,49.48,48.82,49.12,1145400,49.12
2010-10-21,49.00,49.42,48.26,49.40,1656700,49.40
2010-10-20,48.38,48.77,47.37,48.67,2654100,48.67
2010-10-19,49.03,49.55,48.31,48.77,2013100,48.77
2010-10-18,50.15,50.44,49.75,49.89,1260000,49.89
2010-10-15,49.98,50.15,49.37,50.15,1135100,50.15
2010-10-14,49.79,49.88,49.02,49.44,1048400,49.44
2010-10-13,49.56,50.23,49.09,49.87,1361300,49.87
2010-10-12,49.24,49.56,48.60,49.28,639500,49.28
2010-10-11,49.21,49.49,49.02,49.32,789700,49.32
2010-10-08,49.51,49.56,49.03,49.25,1047400,49.25
2010-10-07,49.66,49.67,48.90,49.42,955200,49.42
2010-10-06,50.08,50.31,49.10,49.44,1048900,49.44
2010-10-05,48.95,50.31,48.92,50.15,1118900,50.15
2010-10-04,48.83,48.95,47.84,48.25,723500,48.25
2010-10-01,49.50,49.66,48.63,49.06,778200,49.06
2010-09-30,49.54,49.98,48.87,48.98,1314100,48.98
2010-09-29,48.64,49.33,48.36,49.18,1048200,49.18
2010-09-28,48.55,49.02,47.53,48.92,805700,48.92
2010-09-27,48.54,48.90,48.00,48.46,882100,48.46
2010-09-24,47.47,48.72,47.34,48.72,813700,48.72
2010-09-23,46.30,47.52,46.04,46.84,957000,46.84
2010-09-22,47.56,48.00,46.66,46.74,947500,46.74
