Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,68.34,68.73,67.97,68.56,687200,68.56
2010-11-04,69.72,69.72,68.48,68.60,1814300,68.60
2010-11-03,70.30,70.40,69.02,69.31,2114100,69.31
2010-11-02,71.05,71.28,70.24,70.43,1772800,70.43
2010-11-01,71.05,71.09,70.62,71.00,800900,71.00
2010-10-29,70.56,70.95,70.51,70.89,728500,70.89
2010-10-28,71.10,71.15,70.56,70.79,567900,70.79
2010-10-27,70.42,70.86,70.34,70.80,966800,70.80
2010-10-26,70.10,71.09,70.10,70.84,2389100,70.84
2010-10-25,70.24,70.25,69.90,69.99,582600,69.99
2010-10-22,70.00,70.23,69.90,70.13,693600,70.13
2010-10-21,69.93,70.23,69.88,70.15,1029600,70.15
2010-10-20,69.95,70.11,69.80,70.03,469800,70.03
2010-10-19,69.47,70.04,69.47,69.95,707000,69.95
2010-10-18,69.51,69.90,69.41,69.82,1379400,69.82
2010-10-15,69.90,70.00,69.55,69.71,855900,69.71
2010-10-14,69.91,70.04,69.47,69.65,1174900,69.65
2010-10-13,69.91,70.00,69.66,69.81,2254600,69.81
2010-10-12,69.51,70.02,69.51,69.92,995300,69.92
2010-10-11,69.71,70.00,69.50,69.78,5902100,69.78
2010-10-08,68.91,68.93,67.37,67.85,2409600,67.85
2010-10-07,68.77,68.79,68.36,68.57,425500,68.57
2010-10-06,68.13,68.74,68.11,68.73,979900,68.73
2010-10-05,68.64,68.64,68.08,68.32,553000,68.32
2010-10-04,68.01,68.28,67.78,68.25,784200,68.25
2010-10-01,68.23,68.33,67.95,68.30,943800,68.30
2010-09-30,68.20,68.30,67.87,67.95,610700,67.95
2010-09-29,67.66,68.09,67.65,68.00,384700,68.00
2010-09-28,67.80,68.20,67.60,68.04,630200,68.04
2010-09-27,67.66,67.97,67.60,67.84,364800,67.84
2010-09-24,67.94,68.00,67.69,67.95,707300,67.95
2010-09-23,67.32,67.99,67.32,67.63,383000,67.63
2010-09-22,67.68,67.88,67.56,67.72,551900,67.72
2010-09-21,67.48,67.99,67.46,67.65,889900,67.65
2010-09-20,67.68,67.88,67.52,67.75,846600,67.75
2010-09-17,67.43,67.96,67.13,67.70,2589000,67.70
2010-09-16,67.10,67.40,66.84,67.30,1260600,67.30
