Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,55.67,56.87,55.14,55.92,1457200,55.92
2010-11-04,53.99,55.69,53.73,55.65,1901400,55.65
2010-11-03,53.16,53.42,51.30,52.84,1535200,52.84
2010-11-02,53.46,53.46,52.23,52.89,1054800,52.89
2010-11-01,53.17,53.45,51.77,52.40,1456300,52.40
2010-10-29,51.24,52.88,51.15,52.69,1298600,52.69
2010-10-28,50.76,51.92,50.56,51.42,2017500,51.42
2010-10-27,48.56,50.31,48.37,50.21,1982600,50.21
2010-10-26,47.26,49.74,45.51,48.96,3589200,48.96
2010-10-25,47.77,48.66,47.70,47.82,1135800,47.82
2010-10-22,47.16,47.33,46.44,46.83,1022200,46.83
2010-10-21,48.33,48.44,45.99,47.00,1180700,47.00
2010-10-20,46.99,48.40,46.80,47.90,1176000,47.90
2010-10-19,46.66,47.24,46.12,46.70,2049900,46.70
2010-10-18,47.82,47.82,46.82,47.73,2022400,47.73
2010-10-15,49.24,49.29,45.89,47.91,4487400,47.91
2010-10-14,48.94,49.14,48.25,48.57,1121500,48.57
2010-10-13,48.99,49.89,48.78,49.02,1344800,49.02
2010-10-12,48.28,48.60,47.20,48.40,1736700,48.40
2010-10-11,48.91,49.25,48.19,48.73,850800,48.73
2010-10-08,46.42,49.10,46.36,48.93,1695600,48.93
2010-10-07,47.37,47.37,45.94,46.03,1358900,46.03
2010-10-06,46.96,47.72,46.70,46.87,1671800,46.87
2010-10-05,46.29,47.49,46.03,47.43,1200500,47.43
2010-10-04,46.76,46.82,45.19,45.47,1206600,45.47
2010-10-01,47.27,47.65,46.73,46.95,1193000,46.95
2010-09-30,47.04,47.37,45.75,46.45,1820700,46.45
2010-09-29,45.51,46.59,45.20,46.35,1197800,46.35
2010-09-28,46.45,46.45,44.90,45.75,1926600,45.75
2010-09-27,45.81,46.57,45.40,46.04,1281800,46.04
2010-09-24,43.63,45.84,43.63,45.83,1690200,45.83
2010-09-23,43.20,44.06,42.66,42.77,1401200,42.77
2010-09-22,44.09,45.19,43.92,44.15,1614500,44.15
2010-09-21,45.40,45.42,44.12,44.15,1728600,44.15
2010-09-20,45.53,45.59,44.56,45.42,1204900,45.42
2010-09-17,45.90,45.98,44.62,45.31,1445600,45.31
2010-09-16,45.40,45.98,44.93,45.56,1208200,45.56
2010-09-15,46.27,46.35,45.24,45.66,1067400,45.66
2010-09-14,47.25,47.28,46.27,46.66,1318200,46.66
2010-09-13,46.43,47.99,46.43,47.71,2015400,47.53
2010-09-10,44.48,45.94,44.08,45.58,1301600,45.41
2010-09-09,45.77,45.98,43.88,44.28,898600,44.11
2010-09-08,44.06,45.31,44.06,44.92,1150600,44.75
2010-09-07,44.48,44.74,43.80,44.00,1120400,43.83
2010-09-03,45.14,45.45,44.41,44.92,1310000,44.75
2010-09-02,43.56,44.04,42.88,44.04,1245000,43.87
2010-09-01,41.81,43.48,41.58,43.40,1730400,43.24
2010-08-31,40.37,41.50,40.13,40.72,1753000,40.57
2010-08-30,41.41,41.88,40.71,40.76,1317300,40.61
2010-08-27,41.03,41.81,39.96,41.75,2290500,41.59
2010-08-26,41.28,41.60,40.29,40.33,2197600,40.18
2010-08-25,39.96,40.93,39.35,40.80,2844400,40.65
2010-08-24,41.06,41.59,40.28,40.53,3426100,40.38
2010-08-23,44.01,44.27,42.54,42.56,2110500,42.40
2010-08-20,44.32,45.02,43.16,43.70,1864500,43.54
2010-08-19,46.63,47.51,44.74,44.99,2058700,44.82
2010-08-18,46.05,46.86,45.50,46.52,1501800,46.34
2010-08-17,45.30,46.46,44.66,46.13,1859500,45.96
2010-08-16,43.80,45.08,43.54,44.35,1185500,44.18
2010-08-13,44.32,45.17,44.08,44.20,1773500,44.03
2010-08-12,43.85,45.21,43.34,44.67,3011900,44.50
2010-08-11,47.09,47.15,44.69,44.88,2856100,44.71
2010-08-10,49.31,49.66,48.03,48.56,2279600,48.38
2010-08-09,49.09,49.72,48.34,49.42,1356600,49.23
2010-08-06,46.99,48.75,46.83,48.41,1510200,48.23
2010-08-05,47.52,48.15,47.13,47.65,1339500,47.47
2010-08-04,48.08,48.20,46.87,47.85,1660200,47.67
2010-08-03,49.03,49.15,47.63,48.05,1878800,47.87
2010-08-02,48.73,49.65,48.30,49.37,1732600,49.18
2010-07-30,46.58,47.85,46.13,47.61,2179000,47.43
2010-07-29,49.06,49.94,46.50,47.16,2168800,46.98
2010-07-28,50.86,50.86,48.07,48.37,3201400,48.19
2010-07-27,53.41,53.41,51.31,52.04,1862600,51.84
2010-07-26,52.27,53.15,51.62,53.11,1328700,52.91
2010-07-23,49.71,52.34,49.18,52.30,2179200,52.10
2010-07-22,48.41,50.14,48.08,49.96,2397100,49.77
2010-07-21,47.93,48.88,46.90,47.30,2035400,47.12
2010-07-20,44.06,47.53,44.06,47.36,2406800,47.18
2010-07-19,45.24,46.12,44.55,45.21,2187200,45.04
2010-07-16,46.94,46.94,44.66,44.73,2121600,44.56
2010-07-15,48.80,48.80,46.25,47.33,1628700,47.15
2010-07-14,48.61,48.95,47.59,48.57,1211000,48.39
2010-07-13,48.18,49.20,48.13,48.58,2092000,48.40
2010-07-12,48.47,48.47,46.37,46.81,1090500,46.63
2010-07-09,48.26,49.27,47.69,48.77,1010300,48.59
2010-07-08,47.28,47.86,46.45,47.80,1965200,47.62
2010-07-07,44.05,46.72,43.90,46.61,1597600,46.43
2010-07-06,45.64,45.95,43.63,44.12,1677900,43.95
2010-07-02,44.52,44.77,43.60,44.08,1681900,43.91
2010-07-01,44.16,45.35,42.52,44.47,2536100,44.30
2010-06-30,45.01,46.42,44.01,44.19,1827600,44.02
2010-06-29,48.09,48.29,44.77,45.14,3244100,44.97
2010-06-28,50.30,50.50,48.67,49.31,1401300,49.12
2010-06-25,48.87,50.30,48.44,50.21,2840000,50.02
2010-06-24,50.35,50.44,48.61,48.78,1471900,48.60
2010-06-23,50.94,51.23,49.23,50.81,1446300,50.62
2010-06-22,52.25,53.09,50.16,50.40,1736600,50.21
2010-06-21,53.19,55.05,51.81,52.31,1736700,52.11
2010-06-18,52.66,52.96,51.86,52.07,1785200,51.87
2010-06-17,54.50,54.93,51.97,52.60,2616800,52.40
2010-06-16,54.49,55.09,53.65,54.18,1694300,53.98
2010-06-15,52.93,55.00,52.09,54.95,2043800,54.74
2010-06-14,52.88,53.88,52.03,52.12,1815200,51.92
2010-06-11,50.99,52.08,50.80,51.95,1554700,51.75
2010-06-10,49.68,51.91,49.68,51.85,2175800,51.65
2010-06-09,48.52,50.34,48.21,48.81,3008700,48.63
2010-06-08,46.62,47.79,46.16,47.70,2327200,47.52
2010-06-07,48.79,48.79,46.39,46.51,2587600,46.33
2010-06-04,50.38,51.50,47.85,48.22,2502900,48.04
2010-06-03,53.17,53.44,51.08,51.97,1610600,51.77
2010-06-02,50.98,52.75,50.34,52.73,2874000,52.53
2010-06-01,53.56,54.50,50.87,50.94,2544800,50.75
2010-05-28,54.41,55.98,54.08,54.68,2021600,54.47
2010-05-27,53.21,55.14,52.75,55.08,2038100,54.87
2010-05-26,52.72,53.76,50.84,51.32,3080500,51.13
2010-05-25,46.09,52.16,46.09,52.07,4188800,51.87
2010-05-24,49.57,50.89,48.81,48.87,2084100,48.51
2010-05-21,45.30,50.08,45.30,50.00,3867200,49.63
2010-05-20,49.02,49.81,46.52,46.86,3937400,46.51
2010-05-19,51.28,52.98,49.60,51.15,2026900,50.77
2010-05-18,53.20,54.54,51.50,51.68,2034700,51.30
2010-05-17,53.87,54.08,50.95,52.32,2797100,51.93
2010-05-14,54.71,55.17,52.57,53.70,1516200,53.30
2010-05-13,56.12,58.00,55.55,55.76,1632100,55.35
2010-05-12,53.93,56.36,53.93,56.30,2360900,55.88
2010-05-11,54.66,54.78,53.09,53.46,2505700,53.06
2010-05-10,53.92,55.77,53.60,55.60,2882700,55.19
2010-05-07,50.38,52.99,49.06,50.80,3819900,50.42
2010-05-06,50.19,53.10,47.12,50.39,3682700,50.01
2010-05-05,49.75,51.66,48.79,50.55,3159800,50.17
2010-05-04,52.06,52.47,50.62,51.36,2174100,50.98
2010-05-03,53.81,54.18,52.19,53.47,2104200,53.07
2010-04-30,53.90,54.14,53.16,53.47,2725100,53.07
2010-04-29,53.86,54.05,52.59,53.76,2687400,53.36
2010-04-28,54.28,55.00,52.53,52.93,3253700,52.54
2010-04-27,57.33,57.64,54.15,54.40,2655400,54.00
2010-04-26,57.14,58.25,56.80,57.52,1564000,57.09
2010-04-23,55.75,56.65,55.55,56.56,1553400,56.14
2010-04-22,54.64,55.96,54.33,55.84,2826600,55.42
2010-04-21,52.69,55.41,52.56,55.16,5005200,54.75
2010-04-20,51.46,52.09,50.91,51.67,1609100,51.29
2010-04-19,51.70,52.10,50.33,51.10,2192000,50.72
2010-04-16,53.61,54.17,51.60,52.19,2624500,51.80
2010-04-15,55.20,55.43,54.00,54.08,1594200,53.68
2010-04-14,55.93,56.26,54.55,55.25,2170300,54.84
2010-04-13,55.57,56.40,54.80,55.13,2202500,54.72
2010-04-12,55.73,56.14,55.23,55.94,1215600,55.52
2010-04-09,55.58,56.47,55.03,55.69,1761500,55.28
2010-04-08,54.38,55.50,53.56,55.35,2006700,54.94
2010-04-07,55.22,55.95,54.13,54.71,1589700,54.30
2010-04-06,55.82,56.61,55.40,55.64,2027100,55.23
2010-04-05,55.29,56.29,54.83,56.23,1726900,55.81
2010-04-01,54.91,55.25,54.33,54.80,1808700,54.39
2010-03-31,54.18,55.00,53.77,53.99,1458200,53.59
2010-03-30,55.81,56.23,53.85,54.46,1861400,54.05
2010-03-29,54.09,56.00,53.67,55.73,3280100,55.32
2010-03-26,52.54,54.23,52.33,53.22,2249300,52.82
2010-03-25,54.90,55.24,52.29,52.40,2908400,52.01
2010-03-24,53.74,54.55,53.49,54.19,2111300,53.79
2010-03-23,52.64,54.23,52.07,54.10,2435000,53.70
2010-03-22,50.40,53.05,50.00,52.38,2201600,51.99
2010-03-19,51.79,52.74,50.66,51.17,4393000,50.79
2010-03-18,52.51,52.85,50.66,50.88,4063600,50.50
2010-03-17,51.75,52.98,51.49,52.57,2012800,52.18
2010-03-16,50.84,51.65,50.67,51.54,1378400,51.16
2010-03-15,50.40,50.94,49.91,50.46,1956000,50.08
2010-03-12,50.08,50.99,50.08,50.79,1710300,50.41
2010-03-11,49.06,49.73,48.62,49.60,2056100,49.23
2010-03-10,49.65,50.35,49.09,49.46,2378400,49.09
2010-03-09,48.80,50.08,48.60,49.61,2681200,49.24
2010-03-08,48.83,49.60,48.69,49.41,2176300,48.86
2010-03-05,48.27,48.99,48.27,48.69,1526100,48.15
2010-03-04,46.74,48.44,46.74,47.49,2326100,46.96
2010-03-03,46.60,47.59,46.50,46.77,1732800,46.25
2010-03-02,45.87,46.95,45.46,46.45,2442400,45.94
2010-03-01,43.85,45.59,43.47,45.46,2426200,44.96
2010-02-26,42.90,43.80,42.38,43.66,1365700,43.18
2010-02-25,42.22,43.25,41.45,43.12,1908400,42.64
2010-02-24,43.79,44.28,42.64,42.99,2054100,42.51
2010-02-23,45.66,46.08,43.62,43.73,1991800,43.25
2010-02-22,46.47,46.61,45.69,45.86,1476800,45.35
2010-02-19,44.18,46.35,44.15,46.09,2915700,45.58
2010-02-18,43.60,44.81,43.60,44.53,1824300,44.04
2010-02-17,44.77,44.81,43.31,44.03,2276500,43.54
2010-02-16,43.48,44.49,43.27,44.07,2027400,43.58
2010-02-12,40.98,42.53,40.50,42.41,2137800,41.94
2010-02-11,40.52,42.01,40.37,41.87,2303300,41.41
2010-02-10,41.55,41.74,40.16,40.48,2249100,40.03
2010-02-09,41.63,42.91,41.20,41.95,2624300,41.49
2010-02-08,41.16,41.93,39.76,40.70,2344500,40.25
2010-02-05,40.29,41.18,39.00,40.99,2566000,40.54
2010-02-04,42.24,42.35,39.71,39.73,3345100,39.29
2010-02-03,44.56,45.31,43.00,43.14,2477500,42.66
2010-02-02,44.14,44.96,42.85,44.81,2138100,44.31
2010-02-01,41.54,43.96,41.30,43.88,2216100,43.39
