Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,113.24,115.00,111.94,113.33,851100,113.33
2010-11-04,111.64,113.34,110.12,113.09,917200,113.09
2010-11-03,108.08,110.23,107.55,110.16,840700,110.16
2010-11-02,108.11,108.61,107.28,108.31,630900,108.31
2010-11-01,106.72,108.19,105.94,106.89,696300,106.89
2010-10-29,105.47,106.72,105.04,106.31,613700,106.31
2010-10-28,108.79,109.69,104.85,105.80,893900,105.80
2010-10-27,108.61,109.18,107.45,108.40,774600,108.40
2010-10-26,109.25,109.98,108.68,109.36,607700,109.36
2010-10-25,110.94,111.11,109.59,109.73,720200,109.73
2010-10-22,110.90,111.48,109.65,110.08,729700,110.08
2010-10-21,112.36,113.05,110.27,110.48,946000,110.48
2010-10-20,109.89,114.11,109.89,112.67,968900,112.67
2010-10-19,111.30,112.33,109.00,109.44,801300,109.44
2010-10-18,109.95,112.43,109.91,112.40,709800,112.40
2010-10-15,110.96,111.00,109.11,110.05,801400,110.05
2010-10-14,110.80,110.80,109.01,109.87,751200,109.87
2010-10-13,109.93,111.58,109.40,110.80,978000,110.80
2010-10-12,106.81,109.90,106.31,109.64,1145500,109.64
2010-10-11,105.72,107.50,105.67,106.97,601500,106.97
2010-10-08,104.85,106.02,103.56,105.76,692100,105.76
2010-10-07,105.15,105.45,104.19,104.51,727800,104.51
2010-10-06,106.41,106.70,104.28,104.53,1187700,104.53
2010-10-05,106.73,106.84,105.43,106.57,1363100,106.57
2010-10-04,104.67,106.20,104.67,106.00,876800,106.00
2010-10-01,105.21,105.32,103.17,105.13,938800,105.13
2010-09-30,104.61,106.17,103.50,103.93,1258600,103.93
2010-09-29,104.89,104.89,103.41,104.00,799100,104.00
2010-09-28,105.25,105.99,103.18,105.85,905200,104.96
2010-09-27,106.69,106.69,104.62,104.97,931700,104.08
2010-09-24,105.13,107.12,104.80,106.90,1063600,106.00
2010-09-23,106.25,107.37,103.25,103.58,1520600,102.71
2010-09-22,109.04,109.56,107.07,107.46,1340500,106.55
2010-09-21,112.34,112.37,109.11,109.26,1083200,108.34
2010-09-20,110.38,112.92,109.84,112.24,1045200,111.29
2010-09-17,111.02,111.25,109.58,109.66,1285500,108.73
2010-09-16,111.31,111.58,110.35,110.51,721800,109.58
2010-09-15,109.30,111.71,109.18,111.58,916000,110.64
2010-09-14,108.30,110.14,107.53,109.46,866900,108.54
2010-09-13,107.88,109.03,107.11,108.98,951400,108.06
2010-09-10,106.69,107.33,106.16,107.09,429100,106.19
2010-09-09,109.70,110.00,106.10,106.39,719000,105.49
2010-09-08,109.21,109.46,107.85,108.37,640800,107.46
2010-09-07,109.05,109.82,108.39,108.44,825200,107.53
2010-09-03,109.84,110.48,109.08,110.39,844500,109.46
2010-09-02,108.87,109.37,107.85,108.35,1057600,107.44
2010-09-01,107.00,108.63,106.11,108.50,1571900,107.58
2010-08-31,102.79,105.44,102.18,105.22,1054900,104.33
2010-08-30,103.69,104.61,102.81,102.87,752500,102.00
2010-08-27,104.51,104.91,102.04,103.85,1328200,102.97
2010-08-26,105.89,106.49,103.29,103.62,948400,102.75
2010-08-25,102.78,105.40,102.13,105.11,998700,104.22
2010-08-24,102.28,104.15,101.51,103.16,771800,102.29
2010-08-23,105.02,105.38,103.83,103.86,747500,102.98
2010-08-20,103.06,104.68,102.45,104.45,836500,103.57
2010-08-19,104.95,105.09,103.21,104.01,1409600,103.13
2010-08-18,105.22,106.10,104.39,105.50,953200,104.61
2010-08-17,103.85,105.75,102.84,105.22,1323300,104.33
2010-08-16,101.63,103.14,101.44,102.22,660100,101.36
2010-08-13,101.33,102.95,101.23,102.18,899500,101.32
2010-08-12,101.06,102.29,100.72,101.47,1190700,100.61
2010-08-11,101.51,103.35,100.83,102.45,1574700,101.59
2010-08-10,102.88,105.90,102.53,105.00,1624200,104.11
2010-08-09,102.44,103.92,101.35,103.83,780200,102.95
2010-08-06,101.05,102.47,100.49,101.34,1118700,100.49
2010-08-05,101.56,103.36,101.54,102.43,898200,101.57
2010-08-04,102.39,103.63,101.31,102.57,1874300,101.70
2010-08-03,106.79,106.84,105.05,105.23,950600,104.34
2010-08-02,107.41,107.67,105.71,106.89,1499700,105.99
2010-07-30,103.52,106.26,103.29,105.09,963900,104.20
2010-07-29,108.63,108.63,103.70,104.59,831400,103.71
2010-07-28,105.58,109.00,104.93,107.06,1341900,106.16
2010-07-27,107.03,108.35,105.49,106.64,970400,105.74
2010-07-26,104.25,106.95,103.50,106.83,876400,105.93
2010-07-23,102.02,104.49,100.28,104.25,1134900,103.37
2010-07-22,99.81,103.40,99.70,102.73,1319800,101.86
2010-07-21,101.05,101.44,98.53,98.81,1290600,97.98
2010-07-20,97.70,101.22,96.30,100.94,1321000,100.09
2010-07-19,96.89,100.00,95.54,99.32,1321900,98.48
2010-07-16,99.59,99.99,95.88,96.43,920300,95.62
2010-07-15,99.88,100.81,97.47,100.49,702100,99.64
2010-07-14,100.03,100.66,98.31,99.77,732800,98.93
2010-07-13,100.88,101.37,99.66,100.44,1049000,99.59
2010-07-12,98.66,99.99,97.46,99.41,650200,98.57
2010-07-09,96.98,99.28,96.98,98.98,912400,98.14
2010-07-08,97.12,98.21,95.58,97.69,1678300,96.87
2010-07-07,89.83,94.81,89.75,94.72,1286400,93.92
2010-07-06,93.37,93.98,88.83,89.74,1104300,88.98
2010-07-02,93.14,93.33,90.56,91.30,928600,90.53
2010-07-01,93.17,94.11,90.39,92.89,1371000,92.11
2010-06-30,94.78,96.43,93.21,93.37,1297900,92.58
2010-06-29,96.59,96.84,93.70,94.42,1734100,93.62
2010-06-28,100.38,100.38,97.38,97.86,741800,97.03
2010-06-25,95.83,101.02,95.83,100.72,1855000,98.98
