Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,29.21,29.84,29.00,29.78,8607500,29.78
2010-11-04,29.16,29.26,28.41,29.02,9665700,29.02
2010-11-03,29.08,29.11,28.51,28.75,6466100,28.75
2010-11-02,29.27,29.38,28.79,28.86,7919200,28.86
2010-11-01,30.45,30.45,28.92,29.06,9173200,29.06
2010-10-29,30.67,30.68,29.92,30.45,8046300,30.45
2010-10-28,30.13,31.57,29.01,31.01,28161700,31.01
2010-10-27,32.68,34.87,32.55,32.86,9981300,32.86
2010-10-26,32.83,33.12,32.50,32.83,4257100,32.83
2010-10-25,34.40,34.40,32.97,33.02,4874600,33.02
2010-10-22,33.99,34.54,33.96,34.43,2695700,34.43
2010-10-21,34.01,34.18,33.56,33.85,3861600,33.85
2010-10-20,34.36,34.43,33.76,33.81,4145200,33.81
2010-10-19,34.04,35.17,33.81,34.34,7001500,34.34
2010-10-18,34.73,34.84,34.27,34.39,3485200,34.39
2010-10-15,35.13,35.26,34.63,34.86,2936600,34.86
2010-10-14,35.37,35.64,34.51,34.88,4364400,34.88
2010-10-13,34.78,35.75,34.60,35.49,6286300,35.49
2010-10-12,36.00,36.20,33.81,34.54,25259000,34.54
2010-10-11,33.09,33.38,32.83,33.16,2404400,33.16
2010-10-08,31.94,33.10,31.88,32.93,3237500,32.93
2010-10-07,31.90,32.11,31.60,31.79,1466000,31.79
2010-10-06,32.13,32.22,31.56,31.69,2289700,31.69
2010-10-05,31.87,32.36,31.70,32.13,3171900,32.13
2010-10-04,31.81,31.81,31.25,31.53,2506400,31.53
2010-10-01,32.12,32.34,31.79,32.12,2445200,32.12
2010-09-30,32.52,32.59,31.94,32.11,2635600,32.11
2010-09-29,32.74,32.86,32.19,32.27,3269700,32.27
2010-09-28,31.55,32.92,31.40,32.87,4887400,32.87
2010-09-27,31.76,32.46,31.37,31.50,2450300,31.50
2010-09-24,32.20,32.37,31.96,32.19,2406200,32.19
2010-09-23,31.45,32.02,31.32,31.80,2836900,31.80
2010-09-22,31.61,31.89,31.49,31.68,2855100,31.68
2010-09-21,31.76,31.84,31.43,31.55,3769500,31.55
2010-09-20,31.31,31.90,31.19,31.78,3108100,31.78
2010-09-17,31.28,31.43,31.07,31.07,3603600,31.07
2010-09-16,31.20,31.26,31.02,31.16,2235900,31.16
2010-09-15,30.55,31.37,30.48,31.28,2974300,31.28
2010-09-14,30.40,30.82,30.29,30.60,1660900,30.60
2010-09-13,30.79,30.82,30.35,30.42,2930200,30.42
2010-09-10,30.92,30.92,30.27,30.47,1479000,30.47
2010-09-09,30.74,31.04,30.63,30.79,2055800,30.79
2010-09-08,29.96,30.62,29.96,30.42,1640300,30.42
2010-09-07,30.36,30.44,29.86,29.96,1922100,29.96
2010-09-03,30.31,30.54,30.09,30.44,1784500,30.44
2010-09-02,29.44,29.97,29.36,29.92,2659400,29.92
2010-09-01,29.52,29.82,29.26,29.31,3276400,29.31
2010-08-31,28.75,29.43,28.72,29.10,2418900,29.10
2010-08-30,29.56,29.65,28.92,28.95,1561100,28.95
2010-08-27,29.10,29.68,28.70,29.61,2152700,29.61
2010-08-26,29.44,29.65,28.88,28.96,1924600,28.96
2010-08-25,29.36,29.44,28.88,29.36,2615900,29.36
2010-08-24,29.34,29.64,29.16,29.48,2895200,29.48
2010-08-23,29.21,30.13,29.21,29.79,3466300,29.79
2010-08-20,29.20,29.32,28.79,29.00,2244900,29.00
2010-08-19,29.68,29.68,29.21,29.44,1935100,29.44
2010-08-18,29.92,30.23,29.55,29.85,2100900,29.85
2010-08-17,29.75,30.14,29.51,29.94,2804200,29.94
2010-08-16,29.23,29.52,28.97,29.48,2939800,29.48
2010-08-13,29.51,29.71,29.30,29.40,2275900,29.40
2010-08-12,29.43,29.73,29.03,29.69,2868200,29.47
2010-08-11,30.64,30.85,29.74,29.85,5130200,29.63
2010-08-10,30.86,31.29,30.65,31.06,3461000,30.83
2010-08-09,31.23,31.46,31.03,31.10,2341400,30.87
2010-08-06,30.79,31.11,30.49,31.11,5056200,30.88
2010-08-05,31.34,31.55,31.02,31.06,3254200,30.83
2010-08-04,31.45,31.59,31.25,31.47,2728600,31.24
2010-08-03,31.78,31.78,31.35,31.44,2569600,31.21
2010-08-02,31.45,31.92,31.23,31.83,4259400,31.59
2010-07-30,29.84,31.26,29.71,31.13,5787600,30.90
2010-07-29,30.43,31.49,29.96,30.27,9396800,30.05
2010-07-28,29.82,30.01,29.50,29.53,3185900,29.31
2010-07-27,30.12,30.16,29.78,29.98,4927500,29.76
2010-07-26,29.45,29.90,29.13,29.90,3277000,29.68
2010-07-23,29.09,29.62,28.83,29.44,3909600,29.22
2010-07-22,28.56,29.29,28.43,29.10,4045800,28.88
2010-07-21,28.50,28.73,28.03,28.19,3837400,27.98
2010-07-20,28.16,28.49,27.86,28.46,4740000,28.25
2010-07-19,28.94,29.04,28.49,28.61,2509400,28.40
2010-07-16,29.21,29.27,28.66,28.69,4520600,28.48
2010-07-15,29.25,29.36,28.82,29.30,2167900,29.08
2010-07-14,29.16,29.39,28.89,29.29,2544300,29.07
2010-07-13,28.82,29.34,28.64,29.19,3068900,28.97
2010-07-12,28.18,28.60,28.16,28.42,2095300,28.21
2010-07-09,28.00,28.37,27.98,28.27,1909700,28.06
2010-07-08,28.18,28.23,27.56,28.07,2628100,27.86
2010-07-07,26.87,27.83,26.87,27.83,3136500,27.62
2010-07-06,27.00,27.39,26.61,26.77,3640100,26.57
2010-07-02,26.80,27.06,26.33,26.46,3068200,26.26
2010-07-01,26.41,26.93,26.18,26.87,5430300,26.67
2010-06-30,26.97,27.48,26.45,26.50,7250600,26.30
2010-06-29,27.47,27.63,26.76,27.07,4256800,26.87
2010-06-28,27.62,27.89,27.32,27.78,2289500,27.57
2010-06-25,27.45,27.77,27.17,27.49,4218800,27.29
2010-06-24,28.20,28.20,27.41,27.45,3877700,27.25
2010-06-23,28.74,28.97,28.02,28.36,3450700,28.15
2010-06-22,28.74,29.32,28.66,28.71,4236900,28.50
2010-06-21,29.11,29.50,28.55,28.65,2974900,28.44
2010-06-18,28.97,29.02,28.66,28.74,4182700,28.53
2010-06-17,28.51,28.86,28.16,28.86,4075700,28.65
2010-06-16,28.53,28.60,28.22,28.55,2388100,28.34
2010-06-15,28.41,28.73,28.28,28.72,3220000,28.51
2010-06-14,28.35,28.75,28.13,28.17,3429500,27.96
2010-06-11,28.02,28.11,27.55,28.09,4746900,27.88
2010-06-10,27.75,28.36,27.75,28.20,5197100,27.99
2010-06-09,27.31,28.01,27.17,27.36,8679500,27.16
2010-06-08,25.77,27.16,25.75,27.11,9275000,26.91
2010-06-07,25.81,26.26,25.73,25.82,5717500,25.63
2010-06-04,25.85,26.10,25.67,25.73,6520700,25.54
2010-06-03,26.30,26.48,26.03,26.29,4077800,26.10
2010-06-02,25.93,26.15,25.51,26.12,4354100,25.93
2010-06-01,26.31,26.36,25.85,25.86,4127700,25.67
2010-05-28,27.13,27.16,26.46,26.49,5330300,26.29
2010-05-27,26.52,27.06,26.51,27.06,4934800,26.86
2010-05-26,26.21,26.48,26.09,26.18,7333100,25.99
2010-05-25,25.47,26.16,25.00,26.12,7036900,25.93
2010-05-24,26.48,26.56,25.94,25.95,5793300,25.76
2010-05-21,26.01,26.96,26.01,26.66,4920100,26.46
2010-05-20,26.86,26.93,26.15,26.33,6646000,26.13
2010-05-19,27.60,27.64,26.88,27.21,5642700,27.01
2010-05-18,27.99,28.50,27.63,27.67,5236700,27.46
2010-05-17,27.58,28.22,27.52,28.17,6256500,27.74
2010-05-14,28.28,28.38,27.26,27.51,6298100,27.09
2010-05-13,28.52,29.07,28.35,28.40,5092000,27.97
2010-05-12,28.74,28.91,28.12,28.53,9947400,28.10
2010-05-11,29.21,29.39,28.69,28.79,8317500,28.35
2010-05-10,29.83,30.33,29.22,29.51,6787700,29.06
2010-05-07,29.14,29.14,27.88,28.59,17195400,28.16
2010-05-06,30.17,30.27,25.63,29.16,15220300,28.72
2010-05-05,30.76,31.06,30.02,30.21,6088000,29.75
2010-05-04,31.16,31.34,30.81,30.99,7133800,30.52
2010-05-03,32.26,32.53,31.61,31.90,7515200,31.42
2010-04-30,31.56,33.03,31.09,32.33,6348600,31.84
2010-04-29,32.89,33.01,32.40,32.67,4281700,32.17
2010-04-28,32.90,32.95,32.22,32.64,4599500,32.15
2010-04-27,33.44,33.46,32.62,32.69,4715200,32.19
2010-04-26,33.49,34.04,33.28,33.74,5657500,33.23
2010-04-23,33.13,33.51,32.98,33.40,4513200,32.89
2010-04-22,33.31,33.31,32.86,33.01,7788200,32.51
2010-04-21,33.86,33.95,33.44,33.60,4137100,33.09
2010-04-20,33.93,34.31,33.56,33.76,5544500,33.25
2010-04-19,33.81,33.94,33.52,33.73,4278800,33.22
2010-04-16,33.39,33.96,33.26,33.86,8180900,33.35
2010-04-15,33.22,33.97,33.08,33.56,8261300,33.05
2010-04-14,31.99,33.22,31.96,33.13,14318200,32.63
2010-04-13,33.86,34.34,31.68,31.99,21265700,31.50
2010-04-12,34.47,34.94,34.44,34.76,2485300,34.23
2010-04-09,33.96,34.59,33.79,34.33,4266200,33.81
2010-04-08,33.55,33.99,33.35,33.83,2745800,33.32
2010-04-07,33.79,33.80,33.38,33.78,3630800,33.27
2010-04-06,33.68,33.79,33.52,33.74,1508900,33.23
2010-04-05,34.24,34.38,33.75,33.90,2395900,33.39
2010-04-01,34.05,34.30,33.89,34.13,3236800,33.61
2010-03-31,34.00,34.18,33.47,33.87,4529400,33.36
2010-03-30,34.07,34.24,33.74,34.14,3035600,33.62
2010-03-29,33.35,34.32,33.35,33.96,4278300,33.45
