Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.78,38.00,37.62,37.99,884000,37.99
2010-11-04,36.87,37.86,36.67,37.79,1224700,37.79
2010-11-03,36.32,36.71,35.95,36.38,1555900,36.38
2010-11-02,36.11,36.36,36.02,36.31,2841300,36.31
2010-11-01,36.53,36.53,35.56,35.80,1663400,35.80
2010-10-29,36.66,36.92,36.31,36.35,1120600,36.35
2010-10-28,37.75,37.75,36.75,36.78,1880300,36.78
2010-10-27,37.61,38.65,37.10,37.99,2343200,37.99
2010-10-26,39.22,39.85,39.08,39.16,1448200,39.16
2010-10-25,39.21,39.77,39.21,39.51,910600,39.51
2010-10-22,38.97,39.12,38.70,38.90,761400,38.90
2010-10-21,39.17,39.35,38.53,38.98,561600,38.98
2010-10-20,38.14,39.26,37.97,39.02,759600,39.02
2010-10-19,37.67,38.33,37.52,37.99,1065600,37.99
2010-10-18,38.23,38.54,38.17,38.28,736700,38.28
2010-10-15,38.36,38.74,37.84,38.24,1870200,38.24
2010-10-14,38.39,38.69,37.85,38.15,458200,38.15
2010-10-13,38.39,38.58,38.09,38.42,654200,38.42
2010-10-12,38.26,38.28,37.73,38.18,611800,38.18
2010-10-11,38.08,38.47,37.86,38.29,419700,38.29
2010-10-08,37.63,38.19,37.51,38.04,414100,38.04
2010-10-07,37.87,37.91,37.36,37.59,421200,37.59
2010-10-06,37.79,37.91,37.58,37.74,562400,37.74
2010-10-05,37.07,38.05,36.86,37.73,773600,37.73
2010-10-04,37.19,37.46,36.44,36.68,878000,36.68
2010-10-01,37.32,37.54,36.88,37.24,481400,37.24
2010-09-30,37.39,37.90,36.99,37.12,829300,37.12
2010-09-29,36.62,37.45,36.52,37.18,785300,37.18
2010-09-28,36.38,36.80,35.54,36.73,716400,36.73
2010-09-27,36.46,36.77,36.30,36.36,663100,36.36
2010-09-24,36.09,36.65,35.98,36.46,943000,36.46
2010-09-23,35.59,36.23,35.39,35.53,676200,35.53
2010-09-22,36.48,36.82,35.76,36.02,715600,36.02
2010-09-21,36.89,36.89,36.33,36.56,591000,36.56
2010-09-20,36.25,37.00,36.04,36.89,967100,36.89
2010-09-17,35.86,36.41,35.55,36.15,885800,36.15
2010-09-16,35.10,35.85,34.95,35.64,632100,35.64
2010-09-15,35.21,35.57,34.98,35.47,657900,35.47
2010-09-14,35.35,35.51,34.68,35.32,601700,35.32
2010-09-13,35.06,35.61,34.92,35.39,654200,35.39
2010-09-10,34.65,35.10,34.55,34.61,644000,34.61
2010-09-09,34.87,34.96,34.35,34.49,533500,34.49
2010-09-08,34.25,34.59,34.15,34.44,578100,34.44
2010-09-07,34.69,34.69,34.24,34.31,546200,34.31
2010-09-03,34.81,35.00,34.55,34.89,548600,34.89
2010-09-02,33.76,34.34,33.56,34.27,741400,34.27
2010-09-01,33.07,33.87,32.88,33.78,741300,33.78
2010-08-31,32.26,32.79,32.02,32.52,1047400,32.52
2010-08-30,32.53,32.78,32.38,32.39,712100,32.39
2010-08-27,32.46,33.00,31.97,32.99,875800,32.79
2010-08-26,32.54,32.81,31.95,32.16,802800,31.97
2010-08-25,32.42,32.52,31.66,32.33,1962300,32.13
2010-08-24,32.87,33.01,32.34,32.73,867300,32.53
2010-08-23,33.91,34.31,33.31,33.37,882100,33.17
2010-08-20,33.73,34.08,33.36,33.81,597700,33.61
2010-08-19,34.65,34.75,33.64,34.05,688700,33.84
2010-08-18,34.86,35.16,34.61,34.89,518300,34.68
2010-08-17,34.40,35.08,34.19,34.86,701800,34.65
2010-08-16,33.84,34.36,33.76,34.17,663000,33.96
2010-08-13,34.26,34.53,34.10,34.14,550900,33.93
2010-08-12,34.06,34.81,33.97,34.44,859500,34.23
2010-08-11,35.31,35.45,34.35,34.69,1386100,34.48
2010-08-10,36.16,36.54,35.75,36.06,1080500,35.84
2010-08-09,36.36,36.56,36.20,36.46,565800,36.24
2010-08-06,35.98,36.31,35.25,36.18,1001200,35.96
2010-08-05,36.22,36.54,36.08,36.43,823500,36.21
2010-08-04,36.59,36.74,36.25,36.56,920900,36.34
2010-08-03,36.95,37.16,36.48,36.56,711400,36.34
2010-08-02,36.61,37.07,36.47,36.93,1132300,36.71
2010-07-30,35.69,36.40,35.56,35.85,1748300,35.63
2010-07-29,36.51,36.82,35.73,36.20,2539200,35.98
2010-07-28,38.26,38.81,35.74,36.17,2712000,35.95
2010-07-27,38.32,38.32,37.43,37.91,1197800,37.68
2010-07-26,37.30,38.27,37.25,38.04,1427400,37.81
2010-07-23,35.08,37.22,34.89,37.14,2011800,36.91
2010-07-22,34.53,35.60,34.43,35.15,841400,34.94
2010-07-21,34.79,34.79,33.73,34.03,574500,33.82
2010-07-20,33.26,34.49,33.16,34.45,677600,34.24
2010-07-19,33.67,33.98,33.35,33.87,522900,33.66
2010-07-16,34.51,34.51,33.49,33.56,814200,33.36
2010-07-15,34.81,34.81,34.06,34.67,500000,34.46
2010-07-14,34.77,35.15,34.59,34.88,683000,34.67
2010-07-13,35.12,35.48,34.93,34.97,1218900,34.76
2010-07-12,34.45,34.93,34.30,34.76,940200,34.55
2010-07-09,34.08,34.65,33.92,34.62,787900,34.41
2010-07-08,33.68,34.08,33.47,33.99,910200,33.78
2010-07-07,31.93,33.46,31.93,33.46,1727600,33.26
2010-07-06,32.28,32.60,31.34,31.67,1413800,31.48
2010-07-02,32.19,32.33,31.64,31.87,802000,31.68
2010-07-01,32.07,32.37,31.27,32.11,2005000,31.92
2010-06-30,32.29,32.79,32.00,32.13,1623500,31.94
2010-06-29,33.60,33.61,32.16,32.39,1953200,32.19
2010-06-28,34.51,34.51,33.82,34.19,1028200,33.98
2010-06-25,33.87,34.54,33.50,34.37,1887300,34.16
2010-06-24,33.82,34.04,33.28,33.71,1301100,33.51
2010-06-23,33.79,34.12,33.15,33.95,1124500,33.74
2010-06-22,34.64,35.10,33.96,34.04,1251100,33.83
2010-06-21,35.61,35.61,34.31,34.55,1256600,34.34
