Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,43.61,44.27,43.61,44.07,13047400,44.07
2010-11-04,42.63,43.92,42.25,43.73,13169100,43.73
2010-11-03,42.39,42.55,41.46,42.07,11717300,42.07
2010-11-02,41.95,42.59,41.84,42.39,9220100,42.39
2010-11-01,41.49,41.97,41.35,41.56,8446000,41.56
2010-10-29,41.09,41.48,40.91,41.46,9575100,41.46
2010-10-28,40.91,41.59,40.86,41.22,14732600,41.22
2010-10-27,39.69,40.79,39.62,40.68,15600900,40.68
2010-10-26,39.14,40.25,39.14,40.10,12241400,40.10
2010-10-25,39.09,39.68,38.88,39.30,13588100,39.30
2010-10-22,40.40,40.49,38.96,39.03,17323300,39.03
2010-10-21,39.76,40.35,39.62,40.27,12490900,40.27
2010-10-20,39.50,39.94,39.36,39.73,9239800,39.73
2010-10-19,39.39,40.37,39.15,39.31,18099000,39.31
2010-10-18,39.01,39.58,38.75,39.55,9998000,39.55
2010-10-15,39.75,39.80,39.03,39.09,14884400,39.09
2010-10-14,39.12,39.61,39.01,39.44,14643600,39.44
2010-10-13,38.92,39.86,38.74,39.26,19502400,39.26
2010-10-12,37.94,38.76,37.90,38.54,19989300,38.54
2010-10-11,38.17,38.45,37.90,37.94,10914000,37.94
2010-10-08,37.88,38.17,37.59,37.99,13339900,37.99
2010-10-07,38.18,38.18,37.77,37.82,18598200,37.82
2010-10-06,38.46,38.68,37.92,38.02,21059200,38.02
2010-10-05,39.30,39.33,37.33,38.28,68417100,38.10
2010-10-04,41.59,41.79,38.68,39.05,38499800,38.87
2010-10-01,42.37,42.56,41.55,41.78,10672000,41.58
2010-09-30,43.35,43.50,41.98,42.03,12293300,41.83
2010-09-29,43.50,43.93,42.78,43.01,7914500,42.81
2010-09-28,43.50,43.87,42.96,43.69,6560500,43.48
2010-09-27,43.25,43.80,42.74,43.44,9272600,43.24
2010-09-24,42.91,43.23,42.68,43.13,10150200,42.93
2010-09-23,42.36,43.00,42.21,42.36,8687600,42.16
2010-09-22,42.51,43.13,42.15,42.79,11372900,42.59
2010-09-21,43.16,43.38,42.66,42.78,9322100,42.58
2010-09-20,41.56,43.29,41.56,43.12,11751400,42.92
2010-09-17,41.04,41.48,40.65,41.37,29144100,41.18
2010-09-16,40.79,41.12,40.58,40.96,7239800,40.77
2010-09-15,40.10,40.94,39.80,40.85,7993000,40.66
2010-09-14,40.96,41.14,40.16,40.38,9461300,40.19
2010-09-13,40.75,41.41,40.65,41.22,8239600,41.03
2010-09-10,40.72,40.72,39.99,40.19,7389300,40.00
2010-09-09,40.75,41.06,40.07,40.69,7918400,40.50
2010-09-08,40.33,40.66,39.76,40.07,9172200,39.88
2010-09-07,41.48,41.53,40.04,40.09,9780700,39.90
2010-09-03,41.30,41.83,41.22,41.80,10887700,41.60
2010-09-02,41.27,41.28,40.06,40.88,11712500,40.69
2010-09-01,40.55,41.35,40.34,41.07,7717300,40.88
2010-08-31,39.73,40.39,39.47,39.87,8312900,39.68
2010-08-30,40.69,40.92,39.87,39.89,5103100,39.70
2010-08-27,40.00,40.93,39.56,40.91,7486500,40.72
2010-08-26,40.02,40.38,39.46,39.73,6936400,39.54
2010-08-25,39.39,39.94,39.14,39.80,6409300,39.61
2010-08-24,39.72,39.98,39.24,39.57,7564200,39.38
2010-08-23,40.95,40.95,40.17,40.20,5156000,40.01
2010-08-20,41.00,41.07,40.06,40.76,7878500,40.57
2010-08-19,41.45,41.53,40.90,40.96,9474700,40.77
2010-08-18,41.73,41.89,41.12,41.69,8703300,41.49
2010-08-17,41.88,42.01,41.47,41.74,8561600,41.54
2010-08-16,41.53,41.96,41.28,41.54,7156200,41.34
2010-08-13,42.10,42.32,41.72,41.73,6453400,41.53
2010-08-12,42.51,42.96,42.05,42.15,8676100,41.95
2010-08-11,43.31,43.39,42.85,42.96,10159600,42.76
2010-08-10,43.19,44.22,43.09,44.09,8527900,43.88
2010-08-09,43.81,44.05,43.37,43.75,5085000,43.54
2010-08-06,42.56,43.50,42.49,43.50,8052700,43.30
2010-08-05,43.77,44.00,42.89,43.22,12460900,43.02
2010-08-04,44.75,45.04,43.59,44.11,15944000,43.90
2010-08-03,44.84,45.00,44.41,44.60,7290400,44.39
2010-08-02,45.01,45.20,44.78,44.99,9555200,44.78
2010-07-30,43.74,44.89,43.74,44.64,7333600,44.43
2010-07-29,44.76,45.00,44.00,44.56,7116900,44.35
2010-07-28,44.60,44.98,44.20,44.58,6399900,44.37
2010-07-27,45.59,45.68,44.30,44.55,10163600,44.34
2010-07-26,44.81,45.55,44.73,45.43,9498300,45.22
2010-07-23,43.14,44.87,42.57,44.79,15324900,44.58
2010-07-22,41.87,43.49,41.76,43.19,10875300,42.99
2010-07-21,42.31,42.65,41.00,41.15,9540600,40.96
2010-07-20,40.87,42.21,40.76,42.06,7589600,41.86
2010-07-19,41.50,41.84,40.46,41.58,7378200,41.38
2010-07-16,43.10,43.17,41.25,41.38,14179100,41.19
2010-07-15,43.97,44.00,42.34,43.43,9838400,43.23
2010-07-14,43.95,44.17,43.27,43.70,7158100,43.49
2010-07-13,43.27,44.43,43.26,44.17,8623100,43.96
2010-07-12,42.40,42.96,42.25,42.83,6981200,42.63
2010-07-09,42.11,42.61,41.93,42.58,8292400,42.38
2010-07-08,41.70,42.18,41.41,42.12,11511600,41.92
2010-07-07,39.07,41.22,39.02,41.15,12115800,40.96
2010-07-06,40.16,40.33,38.74,39.21,10308600,39.03
2010-07-02,39.81,39.89,38.91,39.42,6928100,39.23
2010-07-01,39.55,40.08,38.42,39.48,8747200,39.29
2010-06-30,39.82,40.60,39.58,39.70,8975500,39.51
2010-06-29,41.49,41.54,39.75,40.09,12254700,39.72
2010-06-28,42.52,42.74,41.81,42.11,8870400,41.72
2010-06-25,41.51,42.67,40.94,42.67,23429700,42.28
2010-06-24,41.82,42.34,40.94,41.06,9669400,40.68
2010-06-23,41.99,42.48,41.12,42.17,9454100,41.78
2010-06-22,42.64,42.92,41.84,41.94,9893800,41.56
2010-06-21,42.76,43.14,42.03,42.60,12073600,42.21
2010-06-18,42.14,42.26,41.67,42.03,9287500,41.64
2010-06-17,42.70,42.73,41.45,42.06,8013300,41.67
2010-06-16,41.44,42.51,41.19,42.34,11552200,41.95
2010-06-15,40.46,41.64,40.18,41.59,10114800,41.21
2010-06-14,40.47,40.68,39.87,39.89,8484900,39.52
2010-06-11,39.49,40.20,39.33,40.13,7805300,39.76
2010-06-10,38.70,40.12,38.67,40.03,11784300,39.66
2010-06-09,38.83,39.24,37.97,38.11,12270200,37.76
2010-06-08,37.94,38.52,37.13,38.43,11586000,38.08
2010-06-07,38.69,39.05,37.61,37.71,11251100,37.36
2010-06-04,39.47,39.83,38.20,38.41,13697400,38.06
2010-06-03,41.31,41.37,40.18,40.54,8858400,40.17
2010-06-02,39.46,41.00,39.00,40.97,16206600,40.59
2010-06-01,39.18,40.30,39.05,39.19,12525800,38.83
2010-05-28,40.17,40.71,39.55,39.87,12494000,39.50
2010-05-27,39.03,40.42,39.03,40.33,14744100,39.96
2010-05-26,39.46,39.66,37.96,38.17,13489100,37.82
2010-05-25,37.96,39.00,37.60,39.00,14758200,38.64
2010-05-24,39.91,40.00,38.93,39.04,10313800,38.68
2010-05-21,37.57,40.06,37.36,39.82,18743300,39.45
2010-05-20,39.67,40.57,38.56,38.62,19590900,38.27
2010-05-19,39.35,40.78,39.14,40.17,15596900,39.80
2010-05-18,41.56,41.74,39.26,39.84,18848000,39.47
2010-05-17,41.25,41.74,39.80,41.22,15067500,40.84
2010-05-14,42.03,42.11,40.06,40.64,27485400,40.27
2010-05-13,43.85,44.06,42.72,42.81,10075400,42.42
2010-05-12,43.56,44.21,43.18,44.10,9824700,43.70
2010-05-11,42.79,44.27,42.55,43.33,12343200,42.93
2010-05-10,42.99,43.30,42.57,43.09,16791900,42.69
2010-05-07,42.24,42.84,40.50,40.60,30788700,40.23
2010-05-06,44.35,45.14,40.16,42.50,22510800,42.11
2010-05-05,45.41,46.19,43.93,44.43,15037800,44.02
2010-05-04,46.70,46.80,45.45,45.86,10577700,45.44
2010-05-03,46.21,47.37,46.12,47.20,7564200,46.77
2010-04-30,47.52,48.03,45.80,46.12,14019700,45.70
2010-04-29,46.63,47.81,46.41,47.60,12613700,47.16
2010-04-28,46.23,46.37,45.52,46.08,9533700,45.66
2010-04-27,46.71,47.49,45.61,45.79,11299500,45.37
2010-04-26,47.12,47.97,46.81,47.14,11163600,46.71
2010-04-23,47.92,49.19,47.66,48.05,17470200,47.61
2010-04-22,45.66,47.11,45.18,46.77,12864900,46.34
2010-04-21,46.16,46.38,45.50,45.99,7741700,45.57
2010-04-20,46.11,46.29,45.52,46.20,8074900,45.78
2010-04-19,44.81,45.79,44.63,45.76,10527600,45.34
2010-04-16,46.49,46.61,44.18,45.10,18333300,44.69
