Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,70.85,71.65,70.50,71.27,3612600,71.27
2010-11-04,70.00,71.58,69.78,70.85,5758100,70.85
2010-11-03,69.66,69.73,68.04,68.94,4670800,68.94
2010-11-02,70.85,70.98,68.80,69.78,6339800,69.36
2010-11-01,70.71,71.89,69.91,70.48,3321400,70.06
2010-10-29,71.15,71.46,70.36,70.64,3192300,70.21
2010-10-28,71.30,71.79,70.35,71.27,4119800,70.84
2010-10-27,70.87,71.11,69.71,70.86,3808200,70.43
2010-10-26,71.10,71.65,70.73,71.30,3544500,70.87
2010-10-25,71.68,72.49,71.47,71.66,4802900,71.23
2010-10-22,71.38,71.63,70.61,71.26,3062400,70.83
2010-10-21,71.61,71.88,70.57,71.50,4622700,71.07
2010-10-20,70.00,71.94,69.57,71.36,8067700,70.93
2010-10-19,69.57,69.96,68.35,69.05,4493400,68.63
2010-10-18,70.19,71.05,70.03,70.23,4818500,69.81
2010-10-15,71.85,71.90,70.05,70.11,5641300,69.69
2010-10-14,71.73,72.00,70.85,71.36,3841500,70.93
2010-10-13,70.73,72.17,70.66,71.47,6038900,71.04
2010-10-12,70.16,70.60,68.91,70.22,4381600,69.80
2010-10-11,69.51,70.25,69.23,69.99,3469400,69.57
2010-10-08,68.47,69.71,68.15,69.23,3335700,68.81
2010-10-07,68.97,69.14,67.80,68.46,5501400,68.05
2010-10-06,68.61,69.39,68.41,68.58,4718400,68.17
2010-10-05,67.02,68.98,67.02,68.60,7517800,68.19
2010-10-04,66.57,67.89,65.86,66.33,4073700,65.93
2010-10-01,67.54,67.98,66.67,66.83,4483000,66.43
2010-09-30,67.09,67.97,66.05,66.54,8214300,66.14
2010-09-29,64.71,66.26,64.44,65.97,5874700,65.57
2010-09-28,63.85,64.67,62.94,64.52,3561500,64.13
2010-09-27,64.61,64.70,63.80,63.89,2762400,63.51
2010-09-24,63.52,64.83,63.33,64.60,4626900,64.21
2010-09-23,63.31,63.49,62.56,62.65,3656800,62.27
2010-09-22,64.38,64.86,63.63,63.90,3635500,63.52
2010-09-21,63.80,64.50,63.39,64.23,5361200,63.84
2010-09-20,62.99,63.90,62.53,63.72,4169100,63.34
2010-09-17,63.26,63.34,62.00,62.95,10702700,62.57
2010-09-16,62.39,63.35,62.20,62.58,4676500,62.20
2010-09-15,62.49,62.79,61.89,62.73,4928100,62.35
2010-09-14,64.02,64.35,62.43,62.76,6025500,62.38
2010-09-13,64.73,64.98,63.92,64.19,3119100,63.80
2010-09-10,63.38,64.10,62.96,63.84,3210300,63.46
2010-09-09,65.51,65.63,62.95,63.44,4190700,63.06
2010-09-08,63.60,65.00,63.58,64.50,3747800,64.11
2010-09-07,64.25,64.25,63.29,63.42,2529800,63.04
2010-09-03,64.47,65.42,64.09,64.64,3471600,64.25
2010-09-02,62.34,63.39,62.20,63.39,3465800,63.01
2010-09-01,61.79,63.09,61.66,62.29,5688800,61.92
2010-08-31,62.00,62.18,60.80,61.13,5309500,60.76
2010-08-30,63.00,63.19,62.10,62.10,3279200,61.73
2010-08-27,61.13,63.34,60.57,63.16,6851600,62.78
2010-08-26,61.36,62.56,61.07,61.32,4883300,60.95
2010-08-25,60.49,61.11,59.48,60.76,5143200,60.39
2010-08-24,62.55,62.81,60.53,60.93,9981400,60.56
2010-08-23,65.09,65.24,63.21,63.30,3887800,62.92
2010-08-20,64.20,64.73,63.59,64.60,3865900,64.21
2010-08-19,65.74,65.82,64.15,64.62,4200700,64.23
2010-08-18,66.05,66.36,64.99,66.00,2812800,65.60
2010-08-17,65.16,66.91,64.65,65.99,4303900,65.59
2010-08-16,64.27,64.93,63.65,64.40,3033200,64.01
2010-08-13,64.59,65.70,64.54,64.84,3665200,64.45
2010-08-12,64.65,65.27,64.44,64.70,3847700,64.31
2010-08-11,67.18,67.26,64.92,65.60,5230700,65.21
2010-08-10,68.29,68.97,67.54,68.62,4126200,68.21
2010-08-09,69.17,69.47,68.45,68.99,2904300,68.57
2010-08-06,68.03,68.72,67.36,68.70,4498800,68.29
2010-08-05,68.73,69.25,68.33,68.71,4312900,68.30
2010-08-04,69.42,69.93,69.16,69.25,3860000,68.83
2010-08-03,69.31,70.00,68.93,69.54,3773400,68.70
2010-08-02,69.01,69.93,68.50,69.69,5430800,68.85
2010-07-30,66.61,68.38,66.47,68.14,6022000,67.32
2010-07-29,67.85,68.53,66.69,67.22,4458600,66.41
2010-07-28,67.62,68.00,66.90,67.32,5540700,66.51
2010-07-27,69.25,69.75,68.40,68.62,5686800,67.80
2010-07-26,68.15,68.99,68.00,68.85,5836600,68.02
2010-07-23,66.49,68.17,66.36,67.93,5023400,67.11
2010-07-22,64.02,67.11,64.02,66.60,7572300,65.80
2010-07-21,64.40,64.81,62.67,63.18,4459500,62.42
2010-07-20,62.26,64.00,61.83,63.88,5068600,63.11
2010-07-19,62.72,63.36,62.04,63.18,5031500,62.42
2010-07-16,63.96,64.26,61.68,61.90,7016400,61.16
2010-07-15,65.65,65.78,63.36,64.37,8068800,63.60
2010-07-14,64.29,65.39,64.05,64.75,3822500,63.97
2010-07-13,65.15,65.36,64.18,64.43,6208300,63.66
2010-07-12,64.55,64.98,64.01,64.34,2299500,63.57
2010-07-09,65.20,65.20,64.01,64.66,3145000,63.88
2010-07-08,64.09,64.89,63.55,64.73,4489200,63.95
2010-07-07,61.48,63.37,61.03,63.30,4785100,62.54
2010-07-06,62.71,63.02,60.65,61.36,5444200,60.62
2010-07-02,62.32,62.50,61.17,61.94,3561300,61.20
2010-07-01,62.48,62.72,61.31,62.26,6465100,61.51
2010-06-30,63.05,64.21,62.58,62.75,7102200,62.00
2010-06-29,66.11,66.20,62.56,63.04,9210000,62.28
2010-06-28,68.43,68.62,67.26,67.30,5517000,66.49
2010-06-25,67.31,68.77,66.67,68.77,13325500,67.94
2010-06-24,67.17,68.24,67.14,67.43,7768700,66.62
2010-06-23,66.42,67.88,65.65,67.45,6098600,66.64
2010-06-22,67.97,68.47,66.15,66.28,4188200,65.48
2010-06-21,68.95,69.34,67.57,67.97,4109500,67.15
2010-06-18,67.38,68.14,67.16,67.96,6213700,67.14
2010-06-17,67.48,67.49,65.88,67.26,3637100,66.45
2010-06-16,66.93,67.56,66.60,67.03,4451700,66.22
2010-06-15,65.67,67.57,65.47,67.48,6400600,66.67
2010-06-14,66.22,66.55,64.71,64.82,6000100,64.04
2010-06-11,63.16,65.70,63.15,65.38,8461800,64.59
2010-06-10,62.81,64.01,62.30,63.89,5682900,63.12
2010-06-09,61.48,63.18,61.17,61.71,7726900,60.97
2010-06-08,60.33,61.10,59.84,61.02,7191200,60.29
2010-06-07,61.69,61.70,60.07,60.11,5918400,59.39
