Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,12.17,12.71,12.16,12.36,405209500,12.36
2010-11-04,11.79,12.24,11.70,12.13,310632200,12.13
2010-11-03,11.46,11.55,11.31,11.52,175825700,11.52
2010-11-02,11.56,11.59,11.30,11.40,176164600,11.40
2010-11-01,11.50,11.58,11.36,11.50,151884100,11.50
2010-10-29,11.50,11.54,11.36,11.45,126214000,11.45
2010-10-28,11.72,11.72,11.41,11.53,180103300,11.53
2010-10-27,11.32,11.67,11.25,11.54,274569900,11.54
2010-10-26,11.08,11.48,11.03,11.30,232427800,11.30
2010-10-25,11.56,11.59,11.07,11.16,327083100,11.16
2010-10-22,11.47,11.58,11.37,11.44,173339200,11.44
2010-10-21,11.84,11.88,11.32,11.36,317351800,11.36
2010-10-20,11.60,11.88,11.17,11.75,654354900,11.75
2010-10-19,12.34,12.45,11.71,11.80,573711800,11.80
2010-10-18,11.96,12.37,11.83,12.34,416485100,12.34
2010-10-15,12.66,12.68,11.74,11.98,596439000,11.98
2010-10-14,13.00,13.03,12.42,12.60,510009000,12.60
2010-10-13,13.60,13.64,13.25,13.29,174396800,13.29
2010-10-12,13.10,13.53,13.09,13.52,136345700,13.52
2010-10-11,13.20,13.25,13.11,13.15,101025600,13.15
2010-10-08,13.34,13.49,13.10,13.18,172319500,13.18
2010-10-07,13.47,13.50,13.23,13.31,112068400,13.31
2010-10-06,13.63,13.66,13.32,13.39,150554300,13.39
2010-10-05,13.32,13.64,13.21,13.56,190773500,13.56
2010-10-04,13.27,13.45,13.13,13.15,133369500,13.15
2010-10-01,13.22,13.42,13.06,13.30,168586600,13.30
2010-09-30,13.21,13.39,13.05,13.10,148828900,13.10
2010-09-29,13.24,13.29,13.05,13.11,156442200,13.11
2010-09-28,13.31,13.32,13.15,13.27,124743600,13.27
2010-09-27,13.61,13.63,13.23,13.24,123657600,13.24
2010-09-24,13.37,13.60,13.30,13.60,142196200,13.60
2010-09-23,13.31,13.43,13.12,13.17,153204600,13.17
2010-09-22,13.63,13.77,13.41,13.42,141117900,13.42
2010-09-21,13.95,14.00,13.64,13.65,168144100,13.65
2010-09-20,13.46,13.81,13.37,13.74,130367700,13.74
2010-09-17,13.69,13.70,13.34,13.40,132469900,13.40
2010-09-16,13.62,13.66,13.51,13.55,120526300,13.55
2010-09-15,13.62,13.79,13.51,13.71,134539400,13.71
2010-09-14,13.96,13.97,13.64,13.68,139745400,13.68
2010-09-13,13.94,14.06,13.87,13.95,163599900,13.95
2010-09-10,13.60,13.66,13.51,13.55,85884600,13.55
2010-09-09,13.58,13.87,13.48,13.50,168549000,13.50
2010-09-08,13.26,13.49,13.23,13.37,102391700,13.37
2010-09-07,13.38,13.42,13.20,13.21,127258400,13.21
2010-09-03,13.50,13.69,13.33,13.50,141386400,13.50
2010-09-02,13.15,13.44,13.15,13.28,154643300,13.28
2010-09-01,12.64,13.21,12.60,13.21,204034200,13.21
2010-08-31,12.33,12.52,12.18,12.46,172987600,12.45
2010-08-30,12.54,12.60,12.27,12.32,126732000,12.31
2010-08-27,12.57,12.72,12.41,12.64,158558400,12.63
2010-08-26,12.74,12.90,12.47,12.47,137778600,12.46
2010-08-25,12.56,12.72,12.42,12.66,159923400,12.65
2010-08-24,12.75,12.83,12.59,12.64,156884400,12.63
2010-08-23,13.07,13.10,12.86,12.87,114682800,12.86
2010-08-20,12.98,12.99,12.75,12.87,164506800,12.86
2010-08-19,13.28,13.37,13.01,13.02,153344800,13.01
2010-08-18,13.25,13.50,13.24,13.32,137585300,13.31
2010-08-17,13.41,13.45,13.15,13.21,132047600,13.20
2010-08-16,13.13,13.29,13.09,13.19,99799300,13.18
2010-08-13,13.11,13.34,13.11,13.23,107923800,13.22
2010-08-12,13.05,13.35,13.02,13.06,146852800,13.05
2010-08-11,13.50,13.52,13.16,13.19,182937400,13.18
2010-08-10,13.77,13.82,13.61,13.63,131286100,13.62
2010-08-09,14.06,14.07,13.75,13.91,121443000,13.90
2010-08-06,13.91,14.04,13.75,13.96,135088300,13.95
2010-08-05,14.09,14.13,13.96,14.02,110927900,14.01
2010-08-04,14.36,14.39,14.12,14.19,131865800,14.18
2010-08-03,14.36,14.46,14.29,14.34,96776700,14.33
2010-08-02,14.38,14.47,14.23,14.44,130216100,14.43
2010-07-30,13.88,14.24,13.85,14.04,130077700,14.03
2010-07-29,14.15,14.21,13.90,14.03,124734700,14.02
2010-07-28,14.12,14.24,13.96,13.99,110133600,13.98
2010-07-27,14.52,14.65,14.18,14.19,176895900,14.18
2010-07-26,13.85,14.21,13.71,14.15,159255000,14.14
2010-07-23,13.68,13.80,13.47,13.74,133979700,13.73
2010-07-22,13.55,13.89,13.54,13.66,185760900,13.65
2010-07-21,13.96,13.97,13.33,13.36,203245200,13.35
2010-07-20,13.36,13.85,13.30,13.77,180152700,13.76
2010-07-19,13.97,14.02,13.30,13.61,314752200,13.60
2010-07-16,14.63,14.67,13.96,13.98,438430600,13.97
2010-07-15,15.66,15.69,15.06,15.39,177237600,15.38
2010-07-14,15.60,15.72,15.42,15.67,115645600,15.66
2010-07-13,15.48,15.72,15.40,15.67,130720700,15.66
2010-07-12,15.07,15.25,14.97,15.21,92146300,15.20
2010-07-09,14.86,15.13,14.75,15.11,86584400,15.10
2010-07-08,14.88,14.94,14.60,14.86,132297400,14.85
2010-07-07,14.12,14.73,14.10,14.71,150021000,14.70
2010-07-06,14.13,14.31,13.83,14.06,120153500,14.05
2010-07-02,14.10,14.10,13.68,13.84,140988600,13.83
2010-07-01,14.32,14.35,13.50,14.02,256787300,14.01
2010-06-30,14.62,14.80,14.30,14.37,138978000,14.36
2010-06-29,15.01,15.05,14.45,14.57,201991800,14.56
2010-06-28,15.50,15.55,15.21,15.24,110641800,15.23
2010-06-25,15.26,15.62,15.11,15.42,175269500,15.41
2010-06-24,15.27,15.31,14.98,15.02,167776300,15.01
2010-06-23,15.60,15.71,15.29,15.43,132920800,15.42
2010-06-22,15.78,15.91,15.56,15.58,108235700,15.57
2010-06-21,16.03,16.10,15.75,15.79,109114600,15.78
2010-06-18,15.88,15.91,15.74,15.82,105721700,15.81
2010-06-17,15.96,16.07,15.59,15.82,127136400,15.81
2010-06-16,15.70,15.97,15.65,15.87,110926700,15.86
2010-06-15,15.56,15.84,15.31,15.80,129815000,15.79
2010-06-14,15.70,15.79,15.39,15.41,120504600,15.40
2010-06-11,15.33,15.70,15.31,15.60,115114300,15.59
2010-06-10,15.27,15.48,15.11,15.46,124056500,15.45
2010-06-09,15.43,15.49,14.94,15.01,150844900,15.00
2010-06-08,14.88,15.35,14.79,15.33,167648900,15.32
2010-06-07,15.36,15.40,14.77,14.83,158959100,14.82
2010-06-04,15.50,15.73,15.25,15.35,148415800,15.34
2010-06-03,15.96,16.07,15.69,15.81,124229100,15.80
2010-06-02,15.58,15.92,15.35,15.89,127114500,15.88
2010-06-01,15.58,15.98,15.40,15.44,126185400,15.42
2010-05-28,16.17,16.18,15.71,15.74,160778500,15.72
2010-05-27,15.81,16.20,15.59,16.18,163490700,16.16
2010-05-26,15.91,16.10,15.38,15.47,225933000,15.45
2010-05-25,14.91,15.54,14.80,15.49,263919800,15.47
2010-05-24,15.98,16.08,15.39,15.40,170656700,15.38
2010-05-21,14.96,16.00,14.95,15.99,266468500,15.97
2010-05-20,15.96,16.05,15.28,15.30,301263900,15.28
2010-05-19,15.80,16.46,15.80,16.31,260711100,16.29
2010-05-18,16.71,16.75,15.67,15.95,216050700,15.93
2010-05-17,16.39,16.45,15.85,16.35,181966800,16.33
2010-05-14,16.71,16.72,16.12,16.34,212906900,16.32
2010-05-13,17.03,17.18,16.85,16.87,135257500,16.85
2010-05-12,17.27,17.33,16.99,17.07,179359300,17.05
2010-05-11,17.08,17.49,16.97,17.16,188202400,17.14
2010-05-10,17.23,17.39,17.01,17.30,268476800,17.27
2010-05-07,16.48,16.79,15.95,16.18,388118300,16.16
2010-05-06,17.48,17.61,15.50,16.28,465091500,16.26
2010-05-05,17.20,17.84,16.89,17.53,195023300,17.50
