Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,51.42,51.58,51.07,51.52,2172300,51.52
2010-11-04,51.04,51.59,51.04,51.47,3377300,51.47
2010-11-03,50.77,51.24,50.33,50.70,2267300,50.70
2010-11-02,50.99,51.17,50.75,50.84,2417200,50.84
2010-11-01,51.04,51.22,50.47,50.62,2555100,50.62
2010-10-29,50.81,50.97,50.39,50.93,3664700,50.93
2010-10-28,50.95,51.27,50.72,50.97,4451600,50.97
2010-10-27,50.73,50.82,50.24,50.80,2401900,50.80
2010-10-26,50.42,51.11,50.28,51.00,3510900,51.00
2010-10-25,51.40,51.90,50.34,50.43,5352500,50.43
2010-10-22,50.94,51.51,50.21,51.12,4183700,51.12
2010-10-21,49.94,51.77,49.75,51.07,8874100,51.07
2010-10-20,48.60,49.55,48.60,49.39,3949600,49.39
2010-10-19,48.62,49.10,48.45,48.60,4697000,48.60
2010-10-18,48.69,49.15,48.52,49.00,5880200,49.00
2010-10-15,49.77,49.86,48.67,48.76,8089800,48.76
2010-10-14,49.55,49.93,49.14,49.47,3888300,49.47
2010-10-13,49.48,49.62,49.10,49.39,3630800,49.39
2010-10-12,49.23,49.47,49.04,49.42,3166400,49.42
2010-10-11,49.20,49.44,49.02,49.35,2278700,49.35
2010-10-08,48.92,49.30,48.63,49.16,3069900,49.16
2010-10-07,48.58,48.92,48.39,48.78,3812200,48.78
2010-10-06,48.19,48.58,47.96,48.56,3131300,48.56
2010-10-05,47.84,48.39,47.69,48.33,3508800,48.33
2010-10-04,47.66,47.71,47.17,47.58,2832100,47.58
2010-10-01,48.11,48.23,47.30,47.65,3381000,47.65
2010-09-30,47.55,48.10,47.55,47.71,3121200,47.71
2010-09-29,47.64,47.96,47.43,47.62,2618800,47.62
2010-09-28,47.94,48.10,47.65,47.95,3435500,47.95
2010-09-27,48.18,48.36,47.79,47.79,3697700,47.79
2010-09-24,48.20,49.58,46.56,48.02,11100100,48.02
2010-09-23,47.60,47.91,47.43,47.64,3731600,47.64
2010-09-22,47.72,48.40,47.54,47.91,5964400,47.91
2010-09-21,45.98,47.42,45.97,47.40,8071900,47.40
2010-09-20,45.00,45.76,44.82,45.74,2837300,45.74
2010-09-17,45.01,45.19,44.62,44.99,5062800,44.99
2010-09-16,45.11,45.31,44.71,44.98,3629800,44.98
2010-09-15,43.90,45.14,43.77,45.09,3511500,45.09
2010-09-14,43.14,44.27,42.82,44.06,4182300,44.06
2010-09-13,43.31,43.51,43.10,43.27,2528300,43.27
2010-09-10,42.93,43.28,42.83,43.07,2503600,43.07
2010-09-09,43.48,43.48,42.70,42.82,4897800,42.82
2010-09-08,43.05,43.44,42.76,42.97,4235200,42.97
2010-09-07,44.21,44.74,44.07,44.38,3066800,44.09
2010-09-03,44.14,44.34,43.76,44.23,2043100,43.94
2010-09-02,43.57,44.17,43.46,44.00,1847300,43.71
2010-09-01,42.94,43.61,42.93,43.47,2985700,43.19
2010-08-31,42.94,43.16,42.47,42.55,3132600,42.27
2010-08-30,43.63,43.92,43.19,43.20,1922700,42.92
2010-08-27,43.59,43.82,43.06,43.75,3047400,43.46
2010-08-26,44.21,44.43,43.45,43.45,4022700,43.17
2010-08-25,43.60,44.32,43.60,44.16,5332100,43.87
2010-08-24,44.10,44.35,43.33,44.00,4735000,43.71
2010-08-23,44.79,45.43,44.66,44.77,3055600,44.48
2010-08-20,44.92,44.97,44.19,44.57,3961400,44.28
2010-08-19,45.65,45.73,44.74,44.99,3002900,44.70
2010-08-18,46.03,46.20,45.53,45.83,2071400,45.53
2010-08-17,45.64,46.18,45.40,45.91,2533500,45.61
2010-08-16,45.52,45.74,45.06,45.47,2377500,45.17
