Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,43.78,45.41,43.68,44.75,7281300,44.75
2010-11-04,43.16,43.83,43.02,43.68,4728300,43.68
2010-11-03,42.79,42.95,42.12,42.75,3118400,42.75
2010-11-02,42.38,42.94,42.18,42.63,3707700,42.63
2010-11-01,42.98,43.13,42.00,42.17,5217100,42.17
2010-10-29,42.84,43.06,42.66,42.98,3546000,42.98
2010-10-28,43.11,43.24,42.71,42.90,4664300,42.90
2010-10-27,42.56,42.93,41.96,42.86,5181300,42.86
2010-10-26,42.99,43.28,42.51,42.92,4617100,42.92
2010-10-25,43.07,43.85,42.98,43.08,5342900,43.08
2010-10-22,42.38,42.80,42.16,42.74,3371300,42.74
2010-10-21,42.45,42.89,41.95,42.36,5029100,42.36
2010-10-20,42.03,42.89,42.03,42.28,5570600,42.28
2010-10-19,41.92,42.80,41.78,42.03,8178200,42.03
2010-10-18,42.08,42.55,41.70,42.53,5109000,42.53
2010-10-15,41.35,42.36,41.00,42.15,8742100,42.15
2010-10-14,41.02,41.04,40.60,40.98,5502000,40.98
2010-10-13,40.93,41.99,40.93,41.03,7025400,41.03
2010-10-12,40.70,40.98,40.23,40.73,5350500,40.73
2010-10-11,41.23,41.40,40.70,40.86,3491300,40.86
2010-10-08,41.07,41.29,40.12,41.09,6659700,41.09
2010-10-07,40.98,41.33,40.70,41.19,3568200,41.19
2010-10-06,40.92,41.17,40.24,40.82,5048700,40.82
2010-10-05,40.60,41.24,40.36,40.88,6417800,40.88
2010-10-04,40.59,40.63,39.70,40.25,7698700,40.25
2010-10-01,41.07,41.24,39.77,40.76,8970600,40.76
2010-09-30,40.87,41.21,40.52,40.83,8185400,40.68
2010-09-29,40.12,40.65,39.80,40.37,5610100,40.22
2010-09-28,39.72,40.26,38.84,40.18,5527400,40.03
2010-09-27,40.41,40.47,39.40,39.44,5674300,39.30
2010-09-24,39.19,39.88,39.19,39.60,5154200,39.45
2010-09-23,37.79,39.25,37.75,38.63,6669600,38.49
2010-09-22,37.93,38.58,37.91,38.30,5232500,38.16
2010-09-21,38.44,38.54,37.80,38.05,5000400,37.91
2010-09-20,37.78,38.48,37.37,38.32,7986500,38.18
