Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,85.50,85.50,84.49,85.00,466300,85.00
2010-11-04,84.97,85.50,84.76,85.49,428100,85.49
2010-11-03,84.27,84.53,83.71,84.47,389200,84.47
2010-11-02,83.96,84.15,83.75,84.02,480900,84.02
2010-11-01,83.32,83.71,82.92,83.54,363800,83.54
2010-10-29,83.08,83.22,82.51,83.12,356500,83.12
2010-10-28,83.89,83.99,82.79,83.25,387400,83.25
2010-10-27,83.19,83.59,82.58,83.48,532500,83.48
2010-10-26,83.18,83.86,82.40,83.81,710700,83.81
2010-10-25,83.57,84.29,83.43,83.47,594200,83.47
2010-10-22,84.15,85.55,81.97,83.01,1617200,83.01
2010-10-21,85.00,85.48,84.56,85.14,910500,85.14
2010-10-20,84.15,85.30,84.04,84.70,600800,84.52
2010-10-19,84.49,84.83,83.35,83.84,1042900,83.66
2010-10-18,84.47,85.24,84.39,85.16,439400,84.98
2010-10-15,84.07,84.76,83.65,84.37,740300,84.19
2010-10-14,83.62,83.91,83.12,83.62,455000,83.44
2010-10-13,83.72,83.95,83.50,83.58,700000,83.40
2010-10-12,83.09,83.78,82.88,83.53,511600,83.35
2010-10-11,82.86,83.56,82.79,83.56,392500,83.38
2010-10-08,82.57,83.15,82.27,82.98,435000,82.80
2010-10-07,83.00,83.00,81.83,82.40,690000,82.22
2010-10-06,83.25,83.60,82.87,82.95,759400,82.77
2010-10-05,82.09,83.38,82.09,83.20,699800,83.02
2010-10-04,81.49,81.94,80.82,81.45,598600,81.28
2010-10-01,81.88,82.49,81.11,81.76,661800,81.59
2010-09-30,81.70,82.20,80.94,81.43,692900,81.26
2010-09-29,81.59,81.99,81.16,81.52,586200,81.35
2010-09-28,79.96,81.60,79.68,81.56,797400,81.39
2010-09-27,79.85,80.06,79.27,79.96,530800,79.79
2010-09-24,79.30,79.95,79.14,79.84,945000,79.67
2010-09-23,79.68,80.01,78.72,78.75,834000,78.58
2010-09-22,80.63,80.98,79.86,80.11,634900,79.94
2010-09-21,80.84,80.84,80.16,80.48,657400,80.31
2010-09-20,80.47,81.04,80.34,80.93,677600,80.76
2010-09-17,80.89,81.25,80.10,80.20,1121600,80.03
2010-09-16,79.24,80.56,79.04,80.53,1152100,80.36
2010-09-15,77.22,79.95,77.22,79.94,1300100,79.77
2010-09-14,76.56,77.75,76.54,77.45,699600,77.29
2010-09-13,77.61,77.62,76.19,76.77,1081000,76.61
2010-09-10,76.49,77.47,75.88,77.31,852100,77.15
2010-09-09,78.13,78.15,77.11,77.44,750100,77.28
2010-09-08,77.42,77.75,76.55,77.39,973700,77.23
2010-09-07,77.85,78.15,77.11,77.73,497400,77.56
