Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,121.94,125.00,121.89,124.59,955100,124.59
2010-11-04,120.47,122.61,119.65,122.16,1021900,122.16
2010-11-03,118.61,119.69,117.86,119.57,806300,119.57
2010-11-02,118.47,119.26,118.02,118.62,895800,118.62
2010-11-01,115.17,117.33,114.85,117.12,985000,117.12
2010-10-29,114.04,115.19,113.73,114.70,718400,114.70
2010-10-28,114.62,115.49,110.15,114.81,2230400,114.81
2010-10-27,114.59,116.28,114.59,116.01,857800,116.01
2010-10-26,115.30,116.40,114.91,115.98,805800,115.98
2010-10-25,116.98,117.47,115.70,115.78,680900,115.78
2010-10-22,115.72,117.48,115.68,115.87,784100,115.87
2010-10-21,116.01,118.00,112.15,115.67,1147800,115.67
2010-10-20,114.09,117.03,113.80,116.12,1237800,116.12
2010-10-19,115.22,116.56,113.06,113.61,1337400,113.61
2010-10-18,115.83,117.29,115.10,116.56,1085200,116.56
2010-10-15,117.07,117.65,115.45,116.41,839300,116.41
2010-10-14,116.44,118.34,115.21,116.19,1125600,116.19
2010-10-13,115.10,118.84,115.10,116.98,1404800,116.98
2010-10-12,113.72,116.34,113.01,115.50,1879700,115.50
2010-10-11,113.29,113.99,112.73,113.39,594800,113.39
2010-10-08,113.29,113.74,111.93,113.38,610100,113.38
2010-10-07,113.29,114.00,112.19,112.74,1193900,112.74
2010-10-06,112.14,112.60,111.03,112.54,907700,112.54
2010-10-05,108.23,112.22,106.85,112.03,1518700,112.03
2010-10-04,107.77,108.71,106.04,106.82,854700,106.82
2010-10-01,108.21,109.00,106.54,107.91,1333600,107.91
2010-09-30,107.68,109.19,106.31,106.90,908200,106.90
2010-09-29,107.29,107.84,106.27,106.79,748000,106.79
2010-09-28,107.22,108.40,105.27,107.99,1014300,107.99
2010-09-27,107.80,108.34,106.88,107.42,1025200,107.20
2010-09-24,104.60,107.78,104.38,106.97,1044000,106.75
2010-09-23,104.08,104.85,102.98,103.06,883200,102.85
2010-09-22,105.96,107.25,104.45,104.98,935900,104.77
2010-09-21,108.29,108.29,106.06,106.39,1147600,106.17
2010-09-20,106.35,108.41,106.10,108.24,1083100,108.02
2010-09-17,107.37,107.37,104.71,105.76,1289600,105.54
2010-09-16,106.53,106.82,105.73,106.49,640000,106.27
2010-09-15,105.44,107.10,104.92,107.00,682200,106.78
2010-09-14,105.69,107.43,105.25,106.07,889700,105.85
2010-09-13,105.24,106.75,105.14,106.20,1023300,105.98
2010-09-10,105.12,105.19,103.28,104.01,1253800,103.80
2010-09-09,104.21,105.81,103.29,104.99,1497900,104.77
2010-09-08,101.65,103.30,101.23,102.73,894600,102.52
2010-09-07,101.53,102.29,100.47,101.10,946200,100.89
2010-09-03,102.05,102.66,101.70,102.64,1499600,102.43
2010-09-02,100.39,101.51,100.22,101.06,889700,100.85
2010-09-01,98.10,101.06,97.18,100.36,1550100,100.15
2010-08-31,95.90,97.13,94.99,96.51,992200,96.31
2010-08-30,97.77,98.07,96.33,96.35,830700,96.15
2010-08-27,96.38,98.33,95.10,98.32,994700,98.12
2010-08-26,97.38,98.14,95.56,96.01,981500,95.81
2010-08-25,95.14,97.10,93.95,96.66,1081400,96.46
2010-08-24,97.30,97.47,95.55,95.71,1079300,95.51
2010-08-23,99.61,99.68,98.45,98.47,762900,98.27
2010-08-20,97.46,99.28,96.93,98.92,968700,98.72
2010-08-19,100.31,101.19,98.08,98.42,1050900,98.22
2010-08-18,101.17,101.86,100.48,101.35,545600,101.14
2010-08-17,100.21,102.30,99.74,101.50,923700,101.29
2010-08-16,98.88,100.26,98.61,99.07,887300,98.87
2010-08-13,99.13,100.91,99.13,99.53,1070200,99.33
2010-08-12,100.19,100.81,99.02,100.13,1153700,99.92
2010-08-11,103.81,104.47,100.63,100.70,1410700,100.49
2010-08-10,103.31,106.15,102.66,105.44,1467300,105.22
2010-08-09,101.96,104.24,101.96,104.24,1248600,104.03
2010-08-06,102.02,103.27,100.74,102.70,1048400,102.49
2010-08-05,102.07,102.91,102.01,102.80,818300,102.59
2010-08-04,102.67,103.60,101.65,103.13,994100,102.92
2010-08-03,103.67,103.67,102.30,102.54,1426500,102.33
2010-08-02,102.33,104.82,101.27,103.59,1608800,103.38
2010-07-30,98.78,102.20,96.65,100.58,1736000,100.37
2010-07-29,97.22,100.99,97.22,99.82,1963000,99.62
2010-07-28,98.10,99.04,96.22,96.24,1159900,96.04
2010-07-27,98.66,99.42,98.04,98.45,1268300,98.25
2010-07-26,95.61,98.41,95.16,98.37,1408800,98.17
2010-07-23,94.32,95.87,93.60,95.52,1097600,95.32
2010-07-22,91.99,95.14,91.88,94.98,1844300,94.79
2010-07-21,93.44,93.44,90.60,90.74,1555700,90.55
2010-07-20,89.42,92.34,88.85,92.19,1387200,92.00
2010-07-19,90.49,91.48,89.38,91.08,816900,90.89
2010-07-16,92.38,92.90,89.88,90.14,1294400,89.96
2010-07-15,93.73,94.03,91.45,93.75,1145400,93.56
2010-07-14,94.05,94.24,92.47,93.65,978500,93.46
2010-07-13,92.67,95.30,92.67,94.60,1631800,94.41
2010-07-12,91.95,92.50,90.70,91.65,840700,91.46
2010-07-09,90.13,92.28,90.13,92.24,1147900,92.05
