Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,62.57,62.91,62.36,62.87,184500,62.87
2010-11-04,62.13,62.68,61.91,62.68,238100,62.68
2010-11-03,61.38,61.63,60.86,61.63,229600,61.63
2010-11-02,61.37,61.50,61.14,61.22,313800,61.22
2010-11-01,61.09,61.35,60.45,60.97,210400,60.97
2010-10-29,60.04,60.89,59.98,60.81,362500,60.81
2010-10-28,59.86,60.24,59.70,60.06,425000,60.06
2010-10-27,60.20,60.20,58.85,59.65,486600,59.65
2010-10-26,61.30,61.34,60.39,60.41,491300,60.41
2010-10-25,62.29,62.55,61.23,61.40,477600,61.40
2010-10-22,62.64,62.88,61.56,61.93,373700,61.93
2010-10-21,63.08,63.53,62.53,62.56,220500,62.56
2010-10-20,62.15,63.11,62.05,62.87,216400,62.87
2010-10-19,62.17,62.43,61.77,62.04,234700,62.04
2010-10-18,62.39,62.63,62.12,62.58,147300,62.58
2010-10-15,62.49,62.91,62.06,62.28,232500,62.28
2010-10-14,62.07,62.61,61.93,62.28,221000,62.28
2010-10-13,61.77,62.24,61.50,62.07,260300,62.07
2010-10-12,61.24,61.67,60.72,61.45,232400,61.45
2010-10-11,61.13,61.36,60.63,61.26,168500,61.26
2010-10-08,61.20,61.42,60.36,61.11,277700,61.11
2010-10-07,62.06,62.31,60.84,61.05,322000,61.05
2010-10-06,62.19,62.45,61.40,61.78,311100,61.78
2010-10-05,62.00,62.36,61.72,62.18,342000,62.18
2010-10-04,62.07,62.23,61.43,61.75,247300,61.75
2010-10-01,61.68,62.08,61.47,62.08,347200,62.08
2010-09-30,61.79,62.38,60.87,61.64,263000,61.64
2010-09-29,61.50,61.76,60.94,61.49,294800,61.49
2010-09-28,61.25,61.82,60.52,61.77,177400,61.77
2010-09-27,61.85,62.02,61.23,61.24,270600,61.24
2010-09-24,61.42,62.18,60.92,61.82,260800,61.82
2010-09-23,60.63,61.17,60.21,60.89,355900,60.89
2010-09-22,61.00,61.24,60.52,60.99,420400,60.99
2010-09-21,61.67,61.85,60.91,60.95,292500,60.95
2010-09-20,61.28,61.80,60.99,61.63,232000,61.63
2010-09-17,61.13,61.68,60.76,61.03,953900,61.03
2010-09-16,59.89,60.89,59.81,60.85,387500,60.85
2010-09-15,60.12,60.28,59.92,59.97,467800,59.97
2010-09-14,58.48,60.34,58.34,60.24,553800,60.24
2010-09-13,59.37,59.46,58.38,58.47,381200,58.47
2010-09-10,59.42,59.42,58.81,58.98,818700,58.98
2010-09-09,59.59,59.85,59.12,59.29,481800,59.29
2010-09-08,59.17,59.68,59.03,59.05,600500,59.05
2010-09-07,59.00,59.40,58.80,58.94,437600,58.94
2010-09-03,58.95,59.10,58.59,59.08,445900,59.08
2010-09-02,59.96,59.96,57.10,58.27,958400,58.27
2010-09-01,61.77,61.77,54.25,58.52,1070700,58.22
2010-08-31,61.01,61.43,60.60,61.29,675300,60.98
2010-08-30,61.88,62.38,61.09,61.09,337000,60.78
2010-08-27,61.53,62.19,60.84,62.10,266900,61.78
2010-08-26,61.94,61.94,61.11,61.21,215700,60.90
2010-08-25,61.80,61.98,61.00,61.68,148900,61.36
2010-08-24,61.19,62.23,60.79,61.87,391600,61.55
2010-08-23,61.71,62.29,61.41,61.52,196400,61.20
2010-08-20,60.61,61.41,60.61,61.25,222200,60.94
2010-08-19,62.13,62.13,60.92,61.22,272200,60.91
2010-08-18,62.79,62.79,61.74,62.16,268800,61.84
2010-08-17,60.94,62.93,60.79,62.72,429300,62.40
2010-08-16,60.51,60.59,59.99,60.54,240400,60.23
2010-08-13,60.93,61.21,60.64,60.88,229200,60.57
2010-08-12,60.85,61.21,60.37,61.03,400700,60.72
2010-08-11,62.22,62.22,61.26,61.36,420700,61.05
2010-08-10,62.44,63.15,62.17,62.90,322200,62.58
2010-08-09,62.40,63.17,62.40,62.64,218200,62.32
2010-08-06,62.77,62.77,61.01,62.54,452200,62.22
2010-08-05,64.29,64.29,62.90,63.22,407600,62.90
2010-08-04,64.37,65.03,64.19,64.52,276200,64.19
2010-08-03,64.31,64.93,64.30,64.44,143800,64.11
2010-08-02,64.05,64.85,64.05,64.75,297900,64.42
2010-07-30,62.98,63.43,62.42,63.21,378200,62.89
2010-07-29,64.00,64.14,63.05,63.47,285600,63.14
2010-07-28,64.63,64.67,63.66,63.78,199200,63.45
2010-07-27,64.36,65.05,64.09,64.63,282000,64.30
2010-07-26,62.96,64.18,62.76,64.15,413500,63.82
2010-07-23,62.06,63.12,62.06,63.08,230000,62.76
2010-07-22,61.53,62.33,61.53,62.13,270600,61.81
2010-07-21,62.61,62.70,60.87,60.98,394500,60.67
2010-07-20,59.90,62.56,59.90,62.45,728500,62.13
2010-07-19,61.03,61.04,60.42,60.81,143100,60.50
2010-07-16,61.70,61.75,60.50,60.74,316300,60.43
2010-07-15,61.14,62.06,60.98,61.77,277100,61.45
2010-07-14,60.66,61.58,60.59,61.25,267700,60.94
2010-07-13,60.96,61.43,60.74,60.92,317200,60.61
2010-07-12,60.95,61.11,60.34,60.64,291400,60.33
2010-07-09,61.61,61.75,60.88,61.21,357400,60.90
2010-07-08,60.36,61.61,60.21,61.61,565100,61.29
2010-07-07,58.68,60.10,58.68,60.10,401900,59.79
2010-07-06,58.36,59.35,58.16,58.68,422400,58.38
2010-07-02,57.36,59.02,57.36,57.91,438000,57.61
2010-07-01,57.34,57.48,56.21,57.22,509600,56.93
2010-06-30,57.73,57.81,56.97,57.23,324200,56.94
2010-06-29,58.42,58.57,57.14,57.73,517700,57.43
2010-06-28,58.64,59.43,58.37,58.99,368000,58.69
2010-06-25,59.50,60.05,58.10,58.32,1089600,58.02
2010-06-24,59.36,59.83,58.93,59.49,443900,59.19
2010-06-23,59.67,59.91,58.68,59.39,388000,59.09
2010-06-22,59.82,60.44,59.69,59.74,409200,59.43
2010-06-21,59.94,60.48,59.39,59.74,262200,59.43
2010-06-18,60.09,60.30,59.43,59.47,360900,59.17
2010-06-17,60.34,60.39,59.38,60.12,304600,59.81
2010-06-16,59.56,60.16,59.28,60.13,305600,59.82
2010-06-15,59.40,60.00,58.93,59.98,324600,59.67
2010-06-14,58.84,59.85,58.82,59.39,363800,59.09
2010-06-11,58.81,58.85,57.91,58.75,380500,58.45
2010-06-10,58.79,59.60,58.08,59.17,475300,58.87
2010-06-09,57.30,58.21,56.01,58.11,586800,57.81
2010-06-08,55.48,57.26,55.31,57.18,535400,56.89
2010-06-07,56.00,56.42,55.53,55.54,359600,55.26
2010-06-04,56.06,56.80,55.55,55.87,463200,55.58
2010-06-03,56.88,57.32,56.38,57.12,282200,56.83
2010-06-02,55.27,56.98,54.86,56.98,408900,56.39
2010-06-01,55.10,55.95,54.73,55.08,311100,54.51
2010-05-28,56.39,56.51,55.46,55.46,486500,54.89
2010-05-27,55.00,56.53,54.95,56.45,384500,55.86
2010-05-26,54.64,55.21,54.30,54.45,540300,53.89
2010-05-25,53.44,54.61,53.22,54.58,400600,54.01
2010-05-24,55.21,55.65,55.00,55.06,228400,54.49
2010-05-21,54.30,55.62,53.82,55.62,377000,55.04
2010-05-20,56.35,56.42,55.04,55.04,417300,54.47
2010-05-19,57.30,57.74,56.98,57.41,238400,56.81
2010-05-18,58.61,59.23,57.38,57.58,370100,56.98
2010-05-17,57.50,58.02,56.99,57.75,243100,57.15
2010-05-14,58.36,58.43,56.90,57.25,323900,56.66
2010-05-13,58.75,59.14,58.45,58.46,264900,57.85
2010-05-12,57.57,58.95,57.56,58.89,355900,58.28
2010-05-11,56.83,57.81,56.50,57.58,243000,56.98
2010-05-10,56.47,57.40,55.70,57.26,497000,56.67
2010-05-07,56.06,56.20,54.63,55.16,503500,54.59
2010-05-06,56.81,57.87,53.89,56.06,639700,55.48
2010-05-05,56.38,56.97,56.24,56.79,468900,56.20
2010-05-04,58.14,58.14,55.84,56.52,515600,55.93
2010-05-03,58.57,58.67,58.16,58.47,266800,57.86
2010-04-30,58.64,59.34,58.16,58.18,315500,57.58
2010-04-29,58.37,59.18,58.20,58.76,264900,58.15
2010-04-28,58.30,58.31,57.27,58.05,272200,57.45
2010-04-27,59.21,59.47,58.10,58.17,233600,57.57
2010-04-26,59.37,60.20,59.37,59.53,152100,58.91
2010-04-23,59.39,59.51,59.03,59.51,139600,58.89
2010-04-22,58.94,59.50,58.83,59.43,185400,58.81
2010-04-21,59.25,59.68,59.18,59.32,184500,58.71
2010-04-20,59.42,59.42,58.48,59.29,249400,58.68
2010-04-19,58.69,59.21,58.60,59.15,199300,58.54
2010-04-16,59.53,59.81,58.52,58.62,334300,58.01
2010-04-15,59.57,59.68,58.98,59.67,288800,59.05
2010-04-14,60.06,60.24,59.28,59.75,249900,59.13
2010-04-13,60.13,60.29,59.58,60.18,96700,59.56
2010-04-12,59.90,60.23,59.80,60.13,212900,59.51
2010-04-09,59.26,59.96,59.26,59.86,227800,59.24
2010-04-08,59.23,59.44,59.03,59.41,152400,58.79
2010-04-07,59.93,59.93,59.10,59.32,188600,58.71
2010-04-06,59.90,59.95,59.19,59.94,256800,59.32
2010-04-05,60.09,60.44,60.01,60.16,334600,59.54
2010-04-01,59.65,60.00,59.65,60.00,199300,59.38
2010-03-31,59.25,59.62,58.95,59.45,376900,58.83
2010-03-30,59.14,59.62,59.08,59.40,331200,58.78
2010-03-29,57.56,58.79,57.40,58.78,304600,58.17
2010-03-26,57.47,57.91,57.17,57.29,234700,56.70
2010-03-25,57.87,57.87,57.42,57.44,192200,56.84
2010-03-24,57.81,58.00,57.40,57.57,186700,56.97
2010-03-23,57.79,58.08,57.26,58.01,166100,57.41
2010-03-22,57.45,57.97,56.90,57.66,215300,57.06
2010-03-19,57.40,58.01,57.09,57.57,568200,56.97
2010-03-18,56.75,58.01,56.46,57.37,320900,56.78
2010-03-17,55.63,56.57,55.52,56.46,296600,55.87
2010-03-16,55.10,55.75,54.94,55.56,221200,54.98
2010-03-15,55.46,55.68,54.86,55.05,226100,54.48
2010-03-12,55.25,55.74,55.06,55.39,480900,54.82
2010-03-11,54.77,55.38,54.21,55.36,275200,54.79
2010-03-10,55.62,55.86,54.06,54.79,349600,54.22
2010-03-09,55.33,56.06,55.07,55.89,447400,55.31
2010-03-08,55.31,55.74,55.11,55.47,218700,54.90
2010-03-05,55.03,55.55,55.03,55.51,280300,54.93
2010-03-04,53.92,54.84,53.80,54.62,271900,54.05
2010-03-03,53.94,54.43,53.83,54.02,306300,53.16
2010-03-02,53.55,54.05,53.34,53.94,354900,53.08
2010-03-01,52.61,54.61,52.61,53.43,344700,52.58
2010-02-26,53.27,53.27,52.21,52.36,422000,51.53
2010-02-25,52.70,53.20,51.94,53.07,321400,52.23
2010-02-24,52.76,53.46,52.40,53.22,270400,52.38
2010-02-23,52.84,52.85,51.96,52.39,168300,51.56
2010-02-22,53.11,53.23,52.69,52.83,123200,51.99
2010-02-19,52.73,53.25,52.27,52.94,197500,52.10
2010-02-18,52.08,52.87,52.08,52.77,150700,51.93
2010-02-17,51.20,52.10,50.99,52.00,198200,51.18
2010-02-16,50.64,51.16,50.56,51.15,278900,50.34
2010-02-12,50.54,50.95,50.06,50.65,346100,49.85
2010-02-11,50.78,50.87,49.88,50.75,296100,49.95
2010-02-10,50.71,51.28,50.34,50.75,167900,49.95
2010-02-09,50.20,51.44,50.11,50.80,293900,49.99
2010-02-08,49.87,50.25,49.50,49.56,344900,48.77
2010-02-05,49.41,49.76,48.93,49.50,246500,48.71
2010-02-04,51.23,51.48,49.45,49.49,228900,48.71
2010-02-03,51.79,52.19,51.26,51.38,169700,50.57
2010-02-02,51.83,52.07,51.01,52.03,211100,51.20
2010-02-01,51.68,51.76,51.32,51.69,174700,50.87
2010-01-29,51.64,51.64,50.80,51.32,308400,50.51
2010-01-28,51.61,52.01,51.09,51.22,189600,50.41
2010-01-27,51.58,51.58,50.85,51.42,231300,50.60
2010-01-26,51.67,51.77,50.94,51.58,163900,50.76
2010-01-25,52.17,52.17,51.35,51.76,182000,50.94
2010-01-22,52.39,52.60,51.59,51.71,234200,50.89
2010-01-21,53.81,53.86,52.35,52.66,257500,51.82
2010-01-20,53.47,53.47,52.56,53.43,221600,52.58
2010-01-19,53.81,53.94,53.27,53.87,243700,53.02
2010-01-15,54.76,54.97,53.64,53.84,318100,52.99
2010-01-14,54.99,55.18,54.46,54.69,174700,53.82
2010-01-13,53.97,55.56,53.84,55.14,281100,54.27
2010-01-12,53.50,54.03,53.38,54.02,259100,53.16
2010-01-11,53.71,53.87,53.21,53.64,223700,52.79
2010-01-08,53.47,53.48,52.85,53.44,216400,52.59
2010-01-07,54.08,54.08,53.20,53.45,214100,52.60
2010-01-06,53.33,54.08,53.24,53.98,399500,53.12
2010-01-05,53.64,53.87,52.62,53.24,402100,52.40
2010-01-04,53.57,54.23,53.54,53.80,311800,52.95
2009-12-31,54.29,54.46,53.55,53.57,228600,52.72
2009-12-30,54.03,54.46,53.91,54.03,278500,53.17
2009-12-29,53.75,54.50,53.63,54.21,283900,53.35
2009-12-28,53.41,53.80,53.18,53.75,213500,52.90
2009-12-24,53.15,53.48,53.03,53.42,78100,52.57
2009-12-23,52.75,53.10,52.42,52.98,379700,52.14
2009-12-22,52.29,52.56,51.98,52.48,262700,51.65
2009-12-21,52.39,52.80,52.17,52.35,238600,51.52
2009-12-18,52.97,52.97,52.12,52.47,492400,51.64
2009-12-17,53.10,53.23,52.50,52.51,338500,51.68
2009-12-16,53.89,54.02,53.04,53.10,302700,52.26
2009-12-15,53.42,53.90,53.36,53.54,347500,52.69
2009-12-14,53.40,54.04,53.26,53.32,506200,52.47
2009-12-11,52.46,53.36,52.36,52.99,382900,52.15
2009-12-10,52.02,52.61,51.86,52.33,285900,51.50
2009-12-09,52.33,52.71,50.98,51.85,423700,51.03
2009-12-08,53.69,55.47,51.83,52.12,936100,51.29
2009-12-07,52.26,52.81,51.66,52.23,773900,51.40
2009-12-04,51.88,52.25,51.10,52.07,443800,51.24
2009-12-03,50.38,51.03,50.18,50.29,335900,49.49
2009-12-02,50.94,51.33,50.34,50.55,444000,49.45
2009-12-01,51.66,51.77,51.07,51.08,459700,49.97
2009-11-30,50.26,51.24,50.01,51.17,443400,50.06
2009-11-27,50.26,50.75,49.65,50.39,184600,49.30
2009-11-25,51.39,51.50,50.52,51.10,448100,49.99
2009-11-24,51.90,52.00,51.09,51.38,426800,50.27
2009-11-23,51.37,52.00,51.14,51.96,190400,50.83
2009-11-20,50.28,51.06,49.01,50.91,301000,49.81
2009-11-19,50.66,50.66,49.76,50.46,170500,49.36
2009-11-18,51.32,51.56,50.76,50.97,173200,49.86
2009-11-17,51.04,51.55,50.97,51.45,136000,50.33
2009-11-16,51.15,51.52,50.86,51.30,190300,50.19
2009-11-13,50.78,51.30,50.53,50.99,230000,49.88
2009-11-12,51.16,51.18,50.52,50.67,200000,49.57
2009-11-11,50.75,51.13,50.45,50.98,228600,49.87
2009-11-10,50.48,50.83,50.33,50.63,314500,49.53
2009-11-09,49.79,50.36,49.70,50.34,299100,49.25
2009-11-06,49.00,49.76,49.00,49.43,206000,48.36
2009-11-05,48.64,49.47,48.64,49.17,272600,48.10
2009-11-04,48.42,49.10,47.77,48.37,386300,47.32
2009-11-03,49.02,49.18,47.98,48.58,312700,47.53
2009-11-02,48.71,49.63,48.46,49.13,644900,48.06
2009-10-30,48.48,49.65,48.48,48.81,441400,47.75
2009-10-29,47.84,48.76,47.40,48.71,290300,47.65
2009-10-28,48.38,48.61,47.68,47.74,215400,46.70
2009-10-27,48.22,48.80,47.90,48.27,290400,47.22
2009-10-26,48.33,49.38,47.63,48.09,320900,47.05
2009-10-23,49.25,49.33,48.15,48.33,297600,47.28
2009-10-22,49.06,49.56,48.63,49.45,293300,48.38
2009-10-21,49.27,50.20,49.11,49.18,240700,48.11
2009-10-20,49.21,49.89,49.05,49.30,274000,48.23
2009-10-19,48.78,50.20,48.77,49.36,405500,48.29
2009-10-16,50.27,50.51,48.42,48.62,632300,47.56
2009-10-15,47.14,50.53,47.14,50.44,516500,49.35
2009-10-14,49.74,50.56,49.06,49.18,329400,48.11
2009-10-13,49.37,49.82,49.04,49.64,310100,48.56
2009-10-12,50.32,50.76,48.74,49.34,211100,48.27
2009-10-09,48.64,49.24,48.16,48.79,251200,47.73
2009-10-08,48.83,48.93,48.23,48.75,347300,47.69
2009-10-07,48.94,53.78,48.00,48.56,201800,47.51
2009-10-06,48.19,49.05,47.60,48.77,282700,47.71
2009-10-05,48.21,48.28,47.55,48.24,506600,47.19
2009-10-02,48.75,49.27,48.04,48.20,501400,47.15
2009-10-01,48.18,48.87,47.69,48.47,557700,47.42
2009-09-30,48.51,48.71,47.55,48.22,408100,47.17
2009-09-29,49.00,49.22,48.35,48.70,369400,47.64
2009-09-28,49.00,49.42,48.32,48.75,374800,47.69
2009-09-25,49.21,49.70,48.53,48.67,335300,47.61
2009-09-24,49.02,49.30,48.69,49.03,497300,47.97
2009-09-23,49.00,49.62,48.83,48.93,432700,47.87
2009-09-22,48.84,49.28,48.82,49.02,562700,47.96
2009-09-21,47.85,49.16,47.56,48.99,843100,47.93
2009-09-18,49.70,50.62,48.10,48.10,2831800,47.06
2009-09-17,49.67,49.75,48.81,49.32,637400,48.25
2009-09-16,49.28,49.78,48.47,49.73,462700,48.65
2009-09-15,49.80,49.84,48.84,49.07,759900,48.01
2009-09-14,47.28,49.75,47.06,49.44,951900,48.37
2009-09-11,47.51,47.84,47.12,47.36,548000,46.33
2009-09-10,45.55,47.35,45.39,47.35,651900,46.32
2009-09-09,46.40,46.98,45.34,45.55,665300,44.56
2009-09-08,45.93,46.55,45.93,46.23,722900,45.23
2009-09-04,45.00,45.87,45.00,45.81,376500,44.82
2009-09-03,46.54,46.84,44.70,45.31,823500,44.33
2009-09-02,44.49,47.88,44.29,46.39,1652900,45.10
2009-09-01,44.29,45.25,43.32,43.82,731900,42.60
2009-08-31,44.75,45.31,44.43,44.72,319000,43.48
2009-08-28,44.30,45.05,43.93,44.91,396100,43.66
2009-08-27,43.95,44.35,43.44,44.23,250700,43.00
2009-08-26,44.95,45.24,43.90,43.97,585200,42.75
2009-08-25,44.96,45.50,44.87,45.12,252400,43.87
2009-08-24,44.75,45.34,44.55,44.99,318600,43.74
2009-08-21,43.54,44.92,43.54,44.77,459200,43.53
2009-08-20,43.30,43.98,42.94,43.31,574800,42.11
2009-08-19,43.18,43.98,42.99,43.11,637300,41.91
2009-08-18,43.25,43.74,43.15,43.29,268800,42.09
2009-08-17,44.00,44.15,43.30,43.48,503900,42.27
2009-08-14,43.72,44.34,43.66,44.27,360100,43.04
2009-08-13,42.81,43.71,42.81,43.66,466400,42.45
2009-08-12,42.73,43.29,42.51,42.97,279800,41.78
2009-08-11,42.67,43.19,42.59,42.95,182700,41.76
2009-08-10,42.80,43.19,42.41,43.07,289200,41.87
2009-08-07,42.84,43.12,42.63,42.84,274700,41.65
2009-08-06,42.70,43.04,42.22,42.36,527700,41.18
2009-08-05,44.72,44.83,42.49,42.57,654200,41.39
2009-08-04,44.52,45.15,44.42,44.62,402000,43.38
2009-08-03,44.37,44.80,43.64,44.53,241100,43.29
2009-07-31,44.01,44.53,43.80,43.95,241600,42.73
2009-07-30,44.14,44.52,43.23,44.15,366400,42.92
2009-07-29,43.57,43.91,43.30,43.67,209800,42.46
2009-07-28,43.42,44.13,43.42,43.97,215800,42.75
2009-07-27,43.83,44.21,43.25,43.73,184400,42.52
2009-07-24,43.64,44.40,43.52,43.83,233800,42.61
2009-07-23,42.67,44.00,42.67,43.72,302900,42.51
2009-07-22,42.88,43.18,42.07,42.48,380700,41.30
2009-07-21,42.74,43.05,42.28,42.89,365600,41.70
2009-07-20,42.95,42.95,41.72,42.48,622100,41.30
2009-07-17,43.60,43.78,42.94,43.11,329500,41.91
