Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,50.84,51.13,49.63,49.94,5205200,49.94
2010-11-04,50.00,50.90,49.93,50.74,5742600,50.74
2010-11-03,49.49,49.65,48.66,49.30,3833600,49.30
2010-11-02,48.93,49.61,48.60,49.28,4102600,49.28
2010-11-01,48.43,49.49,47.87,48.37,9856400,48.37
2010-10-29,45.80,46.44,45.37,46.42,4533200,46.42
2010-10-28,46.73,46.73,45.39,45.99,3977500,45.99
2010-10-27,46.53,46.60,46.02,46.48,3301200,46.33
2010-10-26,46.36,47.04,46.18,46.92,2928500,46.77
2010-10-25,46.81,47.55,46.38,46.58,3953300,46.43
2010-10-22,45.33,46.65,45.33,46.57,4699500,46.42
2010-10-21,45.36,46.00,44.54,45.10,4122600,44.95
2010-10-20,44.22,45.44,44.14,45.19,4589200,45.04
2010-10-19,44.08,44.38,43.43,44.21,5655300,44.07
2010-10-18,45.35,45.44,44.57,45.12,3426800,44.97
2010-10-15,45.11,45.68,44.38,45.62,4767200,45.47
2010-10-14,45.32,45.61,44.08,44.85,5258500,44.71
2010-10-13,44.87,45.83,44.85,45.26,3265400,45.11
2010-10-12,44.30,45.16,43.56,44.73,4314200,44.59
2010-10-11,44.56,45.28,44.26,44.48,2348700,44.34
2010-10-08,43.81,45.00,43.61,44.56,3224800,44.42
2010-10-07,44.52,44.60,43.24,43.76,4479500,43.62
2010-10-06,43.87,44.37,43.77,44.32,4953700,44.18
2010-10-05,43.51,44.21,43.18,43.87,5958900,43.73
2010-10-04,43.36,43.62,42.21,42.82,4366100,42.68
2010-10-01,43.17,43.66,42.80,43.53,5271500,43.39
2010-09-30,42.61,43.13,42.32,42.60,7722000,42.46
2010-09-29,40.58,42.34,40.55,42.11,5044300,41.97
2010-09-28,40.57,41.02,40.03,40.88,3157900,40.75
2010-09-27,41.28,41.59,40.61,40.63,2939100,40.50
2010-09-24,39.89,41.38,39.83,41.06,4898600,40.93
2010-09-23,39.61,39.72,38.89,39.37,5110400,39.24
2010-09-22,40.33,40.74,39.83,39.99,4042400,39.86
2010-09-21,40.52,40.80,40.00,40.26,4309600,40.13
2010-09-20,40.11,40.87,39.52,40.59,3836000,40.46
2010-09-17,39.98,40.02,39.42,39.88,3444400,39.75
2010-09-16,39.83,40.24,39.46,39.87,3313300,39.74
2010-09-15,39.75,40.08,39.16,39.99,2863500,39.86
2010-09-14,40.28,40.85,39.72,40.13,4306500,40.00
2010-09-13,39.97,40.55,39.50,40.44,4610700,40.31
2010-09-10,39.21,39.61,39.01,39.39,4987300,39.26
2010-09-09,39.89,40.36,38.91,39.03,6330300,38.90
2010-09-08,38.99,39.94,38.76,39.42,5293600,39.29
2010-09-07,39.01,39.25,38.54,38.86,4358900,38.73
2010-09-03,40.00,40.45,39.31,39.49,4971500,39.36
2010-09-02,39.38,39.79,38.75,39.71,4804700,39.58
2010-09-01,38.12,39.76,38.12,39.50,6265700,39.37
2010-08-31,37.79,38.39,37.15,37.58,5306700,37.46
2010-08-30,38.65,38.70,38.12,38.14,3941500,38.02
2010-08-27,37.96,38.81,36.76,38.72,5305200,38.60
2010-08-26,39.15,39.32,37.22,37.59,6811600,37.47
2010-08-25,38.52,39.04,37.87,38.94,5469900,38.81
2010-08-24,38.46,39.43,38.11,38.79,5544400,38.66
2010-08-23,38.73,39.45,38.38,39.01,4230900,38.88
2010-08-20,39.34,39.58,38.37,39.01,5048000,38.88
2010-08-19,40.43,40.57,39.39,39.75,4518400,39.62
2010-08-18,40.86,40.98,40.02,40.69,3515900,40.56
2010-08-17,40.48,41.56,40.20,41.00,5364300,40.87
2010-08-16,39.60,40.05,39.45,39.93,3059500,39.80
2010-08-13,39.78,40.54,39.75,39.79,5337500,39.66
2010-08-12,39.44,40.36,39.29,39.94,5153900,39.81
2010-08-11,40.09,40.59,39.45,40.19,7521200,40.06
2010-08-10,41.20,41.45,40.51,41.05,7230000,40.92
2010-08-09,42.13,42.25,41.23,41.83,5112100,41.70
2010-08-06,42.12,42.20,41.18,41.73,7935300,41.60
2010-08-05,42.54,43.29,42.36,42.48,9275300,42.34
2010-08-04,43.60,43.60,41.45,42.83,19155800,42.69
2010-08-03,45.50,45.69,42.79,43.66,27055800,43.52
2010-08-02,49.18,50.50,49.01,50.23,4731800,50.07
2010-07-30,47.63,48.62,47.41,48.27,3829900,48.11
2010-07-29,49.26,49.63,48.04,48.38,3613500,48.22
2010-07-28,48.79,49.33,48.10,48.88,2773500,48.57
2010-07-27,49.88,49.98,47.98,48.89,3850800,48.58
2010-07-26,49.48,49.71,48.92,49.69,3709000,49.38
2010-07-23,48.78,49.16,47.75,49.07,5229000,48.76
2010-07-22,49.02,49.82,48.75,49.41,6502500,49.10
2010-07-21,49.39,49.88,47.67,48.26,7383900,47.96
2010-07-20,47.00,49.31,46.98,49.17,6670000,48.86
2010-07-19,46.68,48.28,46.40,47.70,7306300,47.40
2010-07-16,46.70,46.70,45.55,46.00,6638200,45.71
2010-07-15,46.92,47.30,45.72,47.16,4671000,46.86
2010-07-14,46.07,47.46,45.98,46.95,3932800,46.65
2010-07-13,46.51,47.06,45.81,46.69,5411000,46.40
2010-07-12,46.05,47.00,45.09,46.01,3920700,45.72
2010-07-09,46.21,46.43,45.66,46.26,3332900,45.97
2010-07-08,45.96,46.30,44.79,46.19,3940600,45.90
2010-07-07,44.05,45.19,43.99,45.14,6175600,44.86
2010-07-06,43.17,45.45,42.97,43.93,8171900,43.65
2010-07-02,42.10,42.88,41.85,42.30,5332900,42.03
2010-07-01,42.53,42.86,40.83,41.73,7907900,41.47
2010-06-30,40.86,42.61,40.79,41.57,7142500,41.31
2010-06-29,41.19,41.23,40.14,40.84,6776700,40.58
2010-06-28,42.86,43.35,41.92,42.00,3164600,41.74
2010-06-25,41.77,42.99,41.27,42.75,7528000,42.48
2010-06-24,42.27,42.69,41.34,41.51,4374500,41.25
2010-06-23,42.30,42.79,41.60,42.52,4337300,42.25
2010-06-22,44.26,44.34,41.86,42.15,7204200,41.89
2010-06-21,45.25,45.42,43.66,44.09,5519700,43.81
2010-06-18,43.92,45.05,43.57,44.67,6702000,44.39
2010-06-17,43.83,44.10,43.21,43.86,5022900,43.58
2010-06-16,43.20,44.33,43.11,43.98,5366200,43.70
2010-06-15,42.58,43.75,42.03,43.59,4009100,43.32
2010-06-14,43.46,43.46,41.81,41.94,5116500,41.68
