Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,29.14,30.44,29.02,30.12,3287600,30.12
2010-11-04,29.89,30.00,28.84,29.26,6226500,29.26
2010-11-03,31.20,31.62,31.01,31.41,1355300,31.41
2010-11-02,31.05,31.23,30.95,31.11,1981300,31.11
2010-11-01,31.37,31.50,30.82,30.90,2677500,30.90
2010-10-29,32.41,32.46,31.00,31.37,3182200,31.37
2010-10-28,33.02,33.09,32.33,32.44,1234900,32.44
2010-10-27,33.53,33.63,32.67,32.83,1511300,32.83
2010-10-26,33.61,33.96,33.23,33.72,1200300,33.72
2010-10-25,33.69,33.88,33.54,33.66,1542800,33.66
2010-10-22,33.40,33.58,33.30,33.50,861700,33.50
2010-10-21,33.40,33.58,33.18,33.38,1183700,33.38
2010-10-20,33.42,33.58,33.14,33.31,1030900,33.31
2010-10-19,33.10,33.75,32.91,33.28,2062200,33.28
2010-10-18,33.13,33.49,33.01,33.40,1079100,33.40
2010-10-15,33.20,33.28,32.74,33.12,1488000,33.12
2010-10-14,32.85,33.06,32.51,32.94,1595200,32.94
2010-10-13,33.70,33.73,32.64,32.93,2784000,32.93
2010-10-12,33.42,34.00,33.31,33.90,916400,33.90
2010-10-11,33.19,33.90,33.00,33.55,1247600,33.55
2010-10-08,32.94,33.23,32.71,33.17,1488700,33.17
2010-10-07,32.96,33.04,32.47,32.93,2126800,32.93
2010-10-06,33.03,33.21,32.50,32.77,1620700,32.77
2010-10-05,33.50,33.57,32.93,32.94,2011800,32.94
2010-10-04,33.42,33.62,32.95,33.18,966900,33.18
2010-10-01,33.38,33.64,33.28,33.44,1040700,33.44
2010-09-30,34.16,34.28,32.67,33.25,2409900,33.25
2010-09-29,34.43,34.50,33.97,34.00,1385000,34.00
2010-09-28,34.10,34.55,33.67,34.44,736600,34.44
2010-09-27,34.28,34.36,34.02,34.09,477500,34.09
2010-09-24,34.10,34.44,33.84,34.29,856400,34.29
2010-09-23,33.31,33.98,33.24,33.49,636600,33.49
2010-09-22,33.66,33.84,33.23,33.65,1214200,33.65
2010-09-21,34.18,34.18,33.52,33.74,1220600,33.74
2010-09-20,33.64,34.22,33.46,34.17,970400,34.17
2010-09-17,33.63,33.78,33.17,33.53,1429900,33.53
2010-09-16,33.52,33.75,33.24,33.62,811500,33.62
2010-09-15,33.15,33.67,33.11,33.66,1136000,33.66
2010-09-14,33.19,33.79,33.19,33.36,906000,33.36
2010-09-13,33.33,33.43,33.03,33.17,765900,33.17
2010-09-10,32.94,33.22,32.91,33.05,796000,33.05
2010-09-09,33.45,33.51,32.73,32.89,836700,32.89
2010-09-08,32.79,33.16,32.74,33.00,800700,33.00
2010-09-07,32.98,33.11,32.66,32.68,1107400,32.68
2010-09-03,33.10,33.80,32.87,33.15,1320000,33.15
2010-09-02,32.23,33.05,32.23,32.87,1306000,32.87
2010-09-01,31.52,32.16,31.49,31.99,1590900,31.99
2010-08-31,30.88,31.60,30.65,31.26,1572400,31.26
2010-08-30,31.25,31.56,31.01,31.01,1232200,31.01
2010-08-27,30.53,31.46,30.34,31.34,1619300,31.34
2010-08-26,30.76,31.02,30.30,30.35,2559400,30.35
2010-08-25,30.64,30.78,30.04,30.48,2554700,30.48
2010-08-24,30.94,31.47,30.50,30.86,3849500,30.86
2010-08-23,31.82,32.31,31.66,31.75,2753400,31.75
2010-08-20,30.83,31.98,30.81,31.80,1930800,31.80
2010-08-19,30.96,31.37,30.70,31.08,1574200,31.08
2010-08-18,30.80,31.71,30.80,31.27,1449500,31.27
2010-08-17,30.68,31.09,30.54,30.82,1336400,30.82
2010-08-16,30.41,30.66,30.04,30.50,1270200,30.50
2010-08-13,30.73,31.02,30.39,30.64,1207000,30.64
2010-08-12,30.36,31.18,30.02,30.88,1344400,30.88
2010-08-11,30.71,31.10,30.52,30.74,1603900,30.74
2010-08-10,31.90,32.05,31.05,31.13,2584600,31.13
2010-08-09,32.09,32.63,32.09,32.13,1147200,32.13
2010-08-06,31.98,32.11,31.44,32.11,1512800,32.11
2010-08-05,32.79,32.80,31.28,32.18,2737300,32.18
2010-08-04,34.21,34.58,33.79,34.45,1280200,34.45
2010-08-03,34.90,34.90,33.87,34.18,1288600,34.18
2010-08-02,34.83,35.25,34.58,35.07,1194900,35.07
2010-07-30,33.82,34.42,33.55,34.31,1584100,34.31
2010-07-29,35.27,35.46,33.97,34.17,1826800,34.17
2010-07-28,35.53,35.77,34.87,35.00,1154200,35.00
2010-07-27,36.41,36.48,35.47,35.67,1020800,35.67
2010-07-26,35.78,36.29,35.46,36.16,765700,36.16
2010-07-23,34.57,35.68,34.28,35.68,1219600,35.68
2010-07-22,34.03,34.80,33.98,34.56,956600,34.56
2010-07-21,34.27,34.30,33.46,33.75,1156900,33.75
2010-07-20,33.13,34.18,33.01,34.08,864700,34.08
2010-07-19,33.46,33.78,33.17,33.59,876500,33.59
2010-07-16,34.55,34.55,33.38,33.39,1300500,33.39
2010-07-15,34.06,34.80,33.65,34.72,1228500,34.72
2010-07-14,34.11,34.30,33.59,34.10,851200,34.10
2010-07-13,33.70,34.27,33.39,34.16,1278900,34.16
2010-07-12,33.15,33.55,33.03,33.29,986000,33.29
2010-07-09,33.28,33.34,32.86,33.28,1241700,33.28
2010-07-08,33.66,33.66,32.68,33.02,2027900,33.02
2010-07-07,32.55,33.42,32.51,33.40,1992900,33.40
2010-07-06,33.00,33.53,32.31,32.76,1383200,32.76
2010-07-02,32.94,33.60,32.48,32.77,1638400,32.77
2010-07-01,32.21,32.98,31.72,32.70,1697500,32.70
2010-06-30,32.51,32.97,32.01,32.09,2198400,32.09
2010-06-29,32.35,33.24,32.13,32.49,3291600,32.49
2010-06-28,32.56,33.09,32.12,32.89,2341800,32.89
2010-06-25,32.28,32.53,31.90,32.40,3444300,32.40
2010-06-24,32.67,32.69,32.06,32.30,2327700,32.30
2010-06-23,31.80,33.10,31.71,32.83,2745100,32.83
2010-06-22,33.12,33.57,31.27,31.56,6165200,31.56
2010-06-21,35.00,35.10,34.05,34.30,1868000,34.30
2010-06-18,34.90,35.32,34.30,34.56,3614000,34.56
2010-06-17,35.02,35.13,34.45,34.85,1529100,34.85
2010-06-16,35.01,35.13,34.57,34.87,1342700,34.87
2010-06-15,34.45,35.34,34.32,35.17,1808800,35.17
2010-06-14,33.85,34.49,33.74,34.26,1557800,34.26
2010-06-11,33.49,33.97,33.23,33.65,1328500,33.65
2010-06-10,33.16,33.85,33.09,33.79,1373300,33.79
2010-06-09,33.22,33.64,32.64,32.81,1725100,32.81
2010-06-08,32.78,33.11,32.16,33.06,1989900,33.06
2010-06-07,34.19,34.46,32.70,32.79,2191800,32.79
2010-06-04,34.45,34.91,34.09,34.22,1732900,34.22
2010-06-03,35.25,35.65,34.76,35.21,1688300,35.21
2010-06-02,35.01,35.27,34.64,35.25,1832300,35.25
2010-06-01,35.00,35.78,34.76,34.76,2109100,34.76
2010-05-28,36.04,36.48,35.00,35.33,2545700,35.33
2010-05-27,37.00,37.44,34.42,36.04,4624000,36.04
2010-05-26,36.66,36.94,35.75,35.87,1819000,35.87
2010-05-25,35.02,36.18,34.89,36.10,2184700,36.10
2010-05-24,36.35,36.83,35.94,35.99,1538200,35.99
2010-05-21,34.11,36.47,34.03,36.27,1962500,36.27
2010-05-20,35.26,35.75,34.71,34.91,1601800,34.91
2010-05-19,35.93,36.26,35.38,36.05,1468500,36.05
2010-05-18,37.04,37.27,35.89,35.99,1000800,35.99
2010-05-17,36.06,36.91,35.77,36.76,1450400,36.76
2010-05-14,36.06,36.44,35.86,36.09,1132600,36.09
2010-05-13,37.30,37.43,36.25,36.35,1289100,36.35
2010-05-12,36.82,37.41,36.66,37.30,1211400,37.30
2010-05-11,36.46,37.22,36.13,36.69,1532400,36.69
2010-05-10,36.94,37.53,36.38,36.88,1607800,36.88
2010-05-07,35.50,36.50,34.49,34.91,2708700,34.91
2010-05-06,36.35,36.53,34.00,35.56,3987900,35.56
2010-05-05,37.35,38.33,37.15,37.48,1646600,37.48
2010-05-04,37.80,37.93,36.85,37.64,2015100,37.64
2010-05-03,38.35,38.92,37.93,38.30,1674400,38.30
2010-04-30,39.18,39.57,38.03,38.20,1352000,38.20
2010-04-29,39.16,39.24,38.79,39.03,1404100,39.03
2010-04-28,39.56,39.83,38.54,38.88,1681000,38.88
2010-04-27,40.61,40.65,39.47,39.56,1189900,39.56
2010-04-26,41.42,41.42,40.78,40.87,1194000,40.87
2010-04-23,40.53,41.19,40.25,41.14,1216300,41.14
2010-04-22,39.13,40.53,38.77,40.42,1349700,40.42
2010-04-21,39.23,39.37,38.75,39.23,1421900,39.23
2010-04-20,39.63,39.85,39.04,39.33,1401400,39.33
2010-04-19,39.44,39.50,38.20,38.88,1762600,38.88
2010-04-16,39.64,39.68,39.26,39.59,1830000,39.59
2010-04-15,39.99,40.05,39.48,39.72,1179100,39.72
2010-04-14,39.10,40.05,39.04,39.96,2485800,39.96
2010-04-13,38.60,38.92,38.39,38.77,1690400,38.77
2010-04-12,39.32,39.49,38.64,38.67,1632900,38.67
2010-04-09,38.87,39.37,38.40,39.22,1778500,39.22
2010-04-08,38.75,38.97,38.32,38.91,1808100,38.91
2010-04-07,37.56,38.90,37.51,38.71,3449400,38.71
2010-04-06,37.20,37.54,37.20,37.43,1726400,37.43
2010-04-05,36.88,37.28,36.74,37.28,1328300,37.28
2010-04-01,36.52,37.03,36.40,36.82,1318100,36.82
2010-03-31,37.18,37.18,36.35,36.42,1207000,36.42
2010-03-30,37.33,37.65,36.93,37.37,723000,37.37
2010-03-29,37.65,37.82,36.84,37.32,1206200,37.32
2010-03-26,37.53,37.99,37.37,37.51,1096600,37.51
2010-03-25,37.40,37.81,37.33,37.36,854000,37.36
2010-03-24,37.78,37.87,37.10,37.24,931200,37.24
2010-03-23,37.78,37.95,37.31,37.91,1131600,37.91
2010-03-22,36.21,37.74,35.81,37.65,1377400,37.65
