Date,Open,High,Low,Close,Volume,Adj Close
2010-04-29,23.18,23.18,23.18,23.18,000,23.18
2010-04-28,23.12,23.22,22.66,23.18,11505400,23.18
2010-04-27,23.93,24.07,22.91,22.94,11932100,22.94
2010-04-26,24.38,24.53,24.09,24.12,2437800,24.12
2010-04-23,23.50,24.40,23.33,24.32,6000200,24.32
2010-04-22,22.59,23.47,22.47,23.32,4248100,23.32
2010-04-21,22.76,23.13,22.56,22.94,6229800,22.94
2010-04-20,21.96,22.89,21.88,22.73,9870300,22.73
2010-04-19,21.47,21.96,21.43,21.70,4460200,21.70
2010-04-16,22.06,22.25,21.46,21.65,4744900,21.65
2010-04-15,22.30,22.53,22.20,22.35,2294000,22.35
2010-04-14,22.06,22.40,21.74,22.39,2592700,22.39
2010-04-13,22.17,22.17,21.52,21.96,3343700,21.96
2010-04-12,22.16,22.42,22.13,22.20,1756100,22.20
2010-04-09,22.33,22.37,21.93,22.23,2926000,22.23
2010-04-08,22.16,22.26,21.93,22.16,4407200,22.16
2010-04-07,22.54,22.60,22.11,22.27,3219000,22.27
2010-04-06,22.32,22.70,22.23,22.59,3418300,22.59
2010-04-05,22.19,22.66,22.00,22.54,2442100,22.54
2010-04-01,21.61,22.03,21.56,22.03,4227700,22.03
2010-03-31,21.17,21.46,21.04,21.40,4766100,21.40
2010-03-30,20.86,21.04,20.67,20.93,4543700,20.93
2010-03-29,20.73,21.07,20.67,20.87,4348000,20.87
2010-03-26,20.58,20.92,20.42,20.58,4396900,20.58
2010-03-25,21.48,21.50,20.51,20.51,3363000,20.51
2010-03-24,21.29,21.47,21.14,21.21,3394800,21.21
2010-03-23,21.63,21.68,21.26,21.45,5135600,21.45
2010-03-22,21.32,21.96,21.15,21.62,4153300,21.62
2010-03-19,22.22,22.45,21.47,21.56,5686800,21.56
2010-03-18,23.27,23.43,22.32,22.36,3723700,22.36
2010-03-17,23.13,23.56,23.05,23.40,4820500,23.40
2010-03-16,22.70,23.03,22.53,22.99,5279000,22.99
2010-03-15,22.51,22.72,22.22,22.55,7148500,22.55
2010-03-12,22.79,22.87,22.44,22.64,4589100,22.64
2010-03-11,22.52,22.63,22.40,22.63,3340400,22.63
2010-03-10,22.55,22.83,22.30,22.57,5538400,22.57
2010-03-09,22.59,22.83,22.41,22.55,6042300,22.55
2010-03-08,23.02,23.25,22.72,22.79,1849900,22.79
2010-03-05,22.87,23.01,22.70,22.96,7627500,22.96
2010-03-04,22.60,22.88,22.43,22.61,6063300,22.61
2010-03-03,22.49,22.87,22.35,22.61,4191200,22.61
