Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.48,28.24,26.41,28.17,23632800,28.17
2010-11-04,25.98,26.59,25.76,26.50,11556800,26.50
2010-11-03,25.05,25.78,25.02,25.76,11355100,25.76
2010-11-02,25.12,25.26,24.99,25.08,8147500,25.08
2010-11-01,25.19,25.35,24.77,25.05,6884900,25.05
2010-10-29,25.17,25.31,24.95,25.06,6038900,25.06
2010-10-28,25.34,25.38,24.98,25.17,8971200,25.17
2010-10-27,24.86,25.36,24.77,25.22,8357700,25.22
2010-10-26,24.74,25.09,24.65,25.03,10644600,24.94
2010-10-25,25.57,25.57,24.90,24.93,7704200,24.84
2010-10-22,25.47,25.63,25.19,25.27,7785300,25.18
2010-10-21,25.70,25.76,25.13,25.50,10836600,25.41
2010-10-20,26.13,26.15,25.52,25.55,12712800,25.46
2010-10-19,26.00,26.63,25.82,25.99,14593800,25.90
2010-10-18,25.85,26.73,25.78,26.62,9342400,26.52
2010-10-15,26.34,26.42,25.80,25.84,14349400,25.75
2010-10-14,26.63,26.63,25.85,26.11,13453700,26.02
2010-10-13,26.68,27.11,26.26,26.63,10936700,26.53
2010-10-12,26.64,26.72,26.33,26.58,8202300,26.48
2010-10-11,26.51,26.68,26.36,26.56,4595300,26.46
2010-10-08,26.53,26.60,26.27,26.54,5638500,26.44
2010-10-07,26.90,26.96,26.36,26.46,10095300,26.36
2010-10-06,26.39,26.89,26.35,26.81,5583000,26.71
2010-10-05,26.31,26.70,26.23,26.46,14024900,26.36
2010-10-04,26.24,26.47,26.08,26.21,8613900,26.12
2010-10-01,26.51,26.68,26.14,26.34,6157100,26.25
2010-09-30,26.00,26.50,25.96,26.13,8462500,26.04
2010-09-29,25.81,26.02,25.67,25.79,5265600,25.70
2010-09-28,25.82,25.96,25.47,25.86,4998300,25.77
2010-09-27,26.04,26.07,25.64,25.66,4982600,25.57
2010-09-24,25.44,26.14,25.44,26.13,8071000,26.04
2010-09-23,25.24,25.56,25.11,25.13,5625200,25.04
2010-09-22,25.54,25.85,25.40,25.42,6575300,25.33
2010-09-21,25.98,26.17,25.53,25.62,6271200,25.53
2010-09-20,25.53,26.02,25.44,25.94,4643600,25.85
2010-09-17,25.75,25.99,25.25,25.43,6754300,25.34
2010-09-16,25.65,25.72,25.43,25.55,4402900,25.46
2010-09-15,25.46,25.74,25.20,25.68,5232500,25.59
2010-09-14,26.03,26.07,25.50,25.59,7205700,25.50
2010-09-13,26.14,26.32,25.88,26.07,6439300,25.98
2010-09-10,25.63,25.75,25.44,25.50,4333800,25.41
2010-09-09,25.93,26.13,25.38,25.57,6796800,25.48
2010-09-08,25.56,26.00,25.55,25.62,4708400,25.53
2010-09-07,25.88,26.04,25.45,25.47,5297600,25.38
2010-09-03,25.56,26.15,25.54,26.07,8371200,25.98
2010-09-02,25.06,25.27,24.94,25.27,4308400,25.18
2010-09-01,24.52,25.12,24.39,25.12,8087600,25.03
2010-08-31,24.05,24.32,23.78,24.26,8560500,24.17
2010-08-30,24.52,24.64,24.17,24.17,5453000,24.08
2010-08-27,24.31,24.65,24.08,24.65,7727100,24.56
2010-08-26,24.30,24.38,24.08,24.18,8032900,24.09
2010-08-25,24.15,24.32,23.91,24.16,8731900,24.07
2010-08-24,24.35,24.49,23.89,24.34,10426500,24.25
2010-08-23,24.77,24.89,24.50,24.51,4228100,24.42
2010-08-20,24.49,24.74,24.45,24.65,6710500,24.56
2010-08-19,24.99,25.05,24.53,24.59,6291600,24.50
2010-08-18,25.32,25.36,25.02,25.11,5116800,25.02
2010-08-17,24.91,25.40,24.79,25.26,7699500,25.17
2010-08-16,24.71,24.90,24.53,24.70,4375600,24.61
2010-08-13,24.79,25.03,24.73,24.80,5582300,24.71
2010-08-12,24.61,24.95,24.50,24.79,6689000,24.70
2010-08-11,25.06,25.08,24.74,24.77,8994000,24.68
2010-08-10,25.47,25.69,25.23,25.44,6496000,25.35
2010-08-09,25.88,25.91,25.46,25.74,4519000,25.65
2010-08-06,25.60,25.75,25.18,25.73,7666600,25.64
2010-08-05,25.59,25.91,25.53,25.90,3793300,25.81
2010-08-04,25.73,25.87,25.59,25.75,5194900,25.66
2010-08-03,25.71,25.90,25.53,25.71,6641800,25.62
2010-08-02,25.45,25.86,25.33,25.83,6498600,25.74
2010-07-30,25.01,25.27,24.93,25.07,6381500,24.98
2010-07-29,25.44,25.73,25.18,25.26,6571800,25.17
2010-07-28,26.11,26.23,25.15,25.29,12322300,25.20
2010-07-27,26.58,26.76,26.11,26.15,7246500,25.97
2010-07-26,25.74,26.40,25.74,26.31,6884600,26.13
2010-07-23,25.58,25.88,25.29,25.82,10613400,25.64
2010-07-22,25.36,25.92,25.27,25.70,9390400,25.52
2010-07-21,25.85,25.97,25.10,25.18,10329800,25.00
2010-07-20,25.17,25.59,25.13,25.53,12937800,25.35
2010-07-19,25.86,25.91,25.44,25.64,8672100,25.46
2010-07-16,26.56,26.66,25.67,25.73,10637300,25.55
2010-07-15,26.54,26.91,26.25,26.79,8062300,26.60
2010-07-14,26.63,26.81,26.42,26.61,7324900,26.42
2010-07-13,26.48,26.95,26.46,26.85,10718800,26.66
2010-07-12,26.10,26.39,26.03,26.27,4736900,26.09
2010-07-09,25.97,26.24,25.75,26.23,5400600,26.05
2010-07-08,26.52,26.57,25.66,25.96,9691000,25.78
2010-07-07,25.75,26.35,25.50,26.32,15504200,26.14
2010-07-06,24.87,25.16,24.54,24.74,8302700,24.57
2010-07-02,24.79,24.98,24.48,24.58,7152100,24.41
2010-07-01,24.60,24.90,24.13,24.77,11326700,24.60
2010-06-30,25.11,25.39,24.63,24.69,11476200,24.52
2010-06-29,25.64,25.75,24.97,25.11,12048100,24.93
2010-06-28,25.99,26.29,25.87,25.95,6320700,25.77
2010-06-25,25.71,26.07,25.52,25.88,12397200,25.70
2010-06-24,26.00,26.04,25.47,25.52,10143800,25.34
2010-06-23,26.23,26.46,25.96,26.12,6990900,25.94
2010-06-22,26.41,26.74,26.24,26.25,8751000,26.07
2010-06-21,26.85,26.91,26.31,26.42,9302000,26.23
2010-06-18,26.32,26.61,26.26,26.58,8383700,26.39
2010-06-17,26.33,26.40,26.00,26.31,5819900,26.13
2010-06-16,26.23,26.50,26.14,26.37,7351100,26.18
2010-06-15,25.90,26.50,25.73,26.50,8529300,26.31
2010-06-14,26.31,26.31,25.65,25.67,10808500,25.49
2010-06-11,25.63,26.21,25.60,26.19,8452900,26.01
2010-06-10,25.66,25.99,25.47,25.92,18693100,25.74
2010-06-09,25.53,25.63,25.18,25.33,33604900,25.15
2010-06-08,25.71,25.77,24.90,25.41,33538200,25.23
2010-06-07,26.17,26.29,25.61,25.62,17283500,25.44
2010-06-04,26.38,26.69,25.90,26.00,29161900,25.82
2010-06-03,27.31,27.43,26.97,27.28,7625100,27.09
2010-06-02,26.64,27.32,26.62,27.29,8240100,27.10
2010-06-01,27.05,27.19,26.48,26.50,10873400,26.31
2010-05-28,27.95,27.98,27.12,27.20,10945900,27.01
2010-05-27,27.96,28.10,27.63,28.03,9877300,27.83
2010-05-26,27.55,27.97,27.24,27.34,11113800,27.15
2010-05-25,26.59,27.19,26.25,27.19,16989400,27.00
2010-05-24,27.66,27.93,27.15,27.17,8602000,26.98
2010-05-21,26.68,27.91,26.63,27.82,20287300,27.62
2010-05-20,28.14,28.45,27.64,27.65,13043000,27.46
2010-05-19,29.01,29.37,28.56,28.78,12907100,28.58
2010-05-18,30.08,30.08,29.00,29.16,11629000,28.96
2010-05-17,29.68,29.85,29.24,29.80,8153800,29.59
2010-05-14,29.91,30.02,29.51,29.70,13136200,29.49
2010-05-13,30.76,30.82,29.90,29.98,14142200,29.77
2010-05-12,31.17,31.23,30.76,30.92,10638100,30.70
2010-05-11,31.27,31.48,30.60,30.98,15410600,30.76
2010-05-10,31.34,31.69,30.64,31.57,8431500,31.35
2010-05-07,30.33,31.04,29.90,30.06,18173100,29.85
2010-05-06,31.01,31.53,29.00,30.22,14134700,30.01
2010-05-05,30.20,31.71,30.05,31.18,10496600,30.96
2010-05-04,31.02,31.08,30.45,30.61,8978600,30.39
2010-05-03,31.16,31.48,31.03,31.33,5017700,31.11
2010-04-30,31.82,31.92,31.09,31.13,7649500,30.91
2010-04-29,31.56,32.17,31.37,31.97,6080900,31.75
2010-04-28,31.13,31.50,30.95,31.24,6220600,31.02
2010-04-27,31.40,31.80,30.81,30.87,9439000,30.56
2010-04-26,31.87,32.03,31.64,31.65,8207800,31.34
2010-04-23,32.33,32.33,31.77,31.95,9437100,31.63
2010-04-22,31.94,32.42,31.75,32.42,10387300,32.10
2010-04-21,32.11,32.45,31.95,32.22,10298500,31.90
2010-04-20,31.91,32.32,31.54,32.15,11037200,31.83
2010-04-19,31.75,32.18,31.39,32.14,8607900,31.82
2010-04-16,31.87,32.04,30.77,31.57,13359100,31.26
2010-04-15,32.25,32.49,31.91,32.02,8431600,31.70
2010-04-14,32.31,32.50,31.58,32.18,13733000,31.86
2010-04-13,32.48,32.65,32.06,32.47,5111800,32.15
2010-04-12,32.10,32.65,32.10,32.54,6469700,32.22
