Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,65.70,66.12,65.61,66.06,409700,66.06
2010-11-04,65.00,65.94,64.97,65.73,715200,65.73
2010-11-03,64.30,64.48,63.66,64.46,720500,64.46
2010-11-02,63.89,64.38,63.47,64.29,631600,64.29
2010-11-01,64.41,64.50,62.92,63.16,768200,63.16
2010-10-29,62.04,64.65,61.77,64.36,2203000,64.36
2010-10-28,61.59,61.86,59.90,61.80,1440400,61.80
2010-10-27,61.07,61.43,60.42,60.80,1024800,60.80
2010-10-26,61.16,61.79,60.87,61.57,876400,61.57
2010-10-25,61.93,62.00,61.34,61.50,1203800,61.50
2010-10-22,62.28,62.39,61.34,61.38,703800,61.38
2010-10-21,62.44,62.51,61.63,62.14,582800,62.14
2010-10-20,61.75,62.56,61.48,62.14,515700,62.14
2010-10-19,61.75,62.28,61.30,61.55,553500,61.55
2010-10-18,62.09,62.68,61.84,62.38,869200,62.38
2010-10-15,62.20,62.30,61.40,62.18,653700,62.18
2010-10-14,62.03,62.25,61.56,61.74,819900,61.74
2010-10-13,61.00,62.37,60.93,61.97,652100,61.97
2010-10-12,60.62,60.99,60.09,60.81,511400,60.81
2010-10-11,60.26,60.71,60.13,60.62,425200,60.62
2010-10-08,60.29,60.42,59.89,60.12,1150600,60.12
2010-10-07,60.54,60.55,59.92,60.00,391800,60.00
2010-10-06,60.39,60.57,60.09,60.22,485900,60.22
2010-10-05,59.62,60.60,59.60,60.50,742300,60.50
2010-10-04,59.33,59.70,58.73,58.99,601400,58.99
2010-10-01,59.18,59.49,58.91,59.39,646200,59.39
2010-09-30,59.34,59.91,58.71,58.85,729300,58.85
2010-09-29,59.48,59.75,58.86,58.87,907100,58.87
2010-09-28,59.45,59.86,58.98,59.75,856600,59.75
2010-09-27,60.15,60.49,59.42,59.42,670100,59.42
2010-09-24,59.54,60.35,59.31,60.21,444800,60.21
2010-09-23,58.94,59.54,58.68,58.89,407400,58.89
2010-09-22,59.57,60.06,59.03,59.41,619800,59.41
2010-09-21,59.86,60.01,59.35,59.75,635200,59.75
2010-09-20,59.92,60.06,59.57,60.02,576100,60.02
2010-09-17,59.50,60.00,59.45,59.97,868300,59.97
