Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,6.51,6.96,6.48,6.92,30340500,6.92
2010-11-04,6.54,6.58,6.41,6.49,12143700,6.49
2010-11-03,6.46,6.49,6.38,6.46,12206700,6.46
2010-11-02,6.39,6.44,6.36,6.44,11782800,6.44
2010-11-01,6.37,6.48,6.29,6.32,13822700,6.32
2010-10-29,6.38,6.39,6.32,6.39,16061500,6.39
2010-10-28,6.51,6.55,6.24,6.38,30272400,6.38
2010-10-27,6.26,6.32,6.21,6.31,7357800,6.31
2010-10-26,6.30,6.31,6.25,6.29,6439300,6.29
2010-10-25,6.35,6.38,6.30,6.31,12280600,6.31
2010-10-22,6.36,6.40,6.26,6.30,11783400,6.30
2010-10-21,6.33,6.43,6.29,6.34,30297900,6.34
2010-10-20,6.19,6.70,6.17,6.30,66236300,6.30
2010-10-19,6.16,6.17,5.95,5.97,15213100,5.97
2010-10-18,6.18,6.20,6.09,6.20,23835200,6.20
2010-10-15,6.18,6.29,6.12,6.15,12182700,6.15
2010-10-14,6.21,6.23,6.09,6.16,7352600,6.16
2010-10-13,6.15,6.25,6.09,6.21,9419400,6.21
2010-10-12,6.10,6.15,6.07,6.13,14564700,6.13
2010-10-11,6.12,6.14,6.09,6.13,5870900,6.13
2010-10-08,6.18,6.25,6.12,6.13,11596500,6.13
2010-10-07,6.16,6.20,6.10,6.16,6999200,6.16
2010-10-06,6.17,6.22,6.10,6.14,13265600,6.14
2010-10-05,6.10,6.24,6.09,6.24,17497000,6.24
2010-10-04,6.06,6.13,6.01,6.08,8330100,6.08
2010-10-01,6.15,6.20,6.03,6.07,12427200,6.07
2010-09-30,6.11,6.24,6.06,6.13,21732800,6.13
2010-09-29,6.10,6.15,6.02,6.11,30986800,6.11
2010-09-28,5.77,6.18,5.71,6.18,47903100,6.18
2010-09-27,5.70,5.75,5.66,5.73,9864400,5.73
2010-09-24,5.58,5.75,5.55,5.75,14368100,5.75
2010-09-23,5.57,5.63,5.53,5.53,8972600,5.53
2010-09-22,5.59,5.64,5.51,5.62,10246100,5.62
2010-09-21,5.55,5.81,5.51,5.59,33293400,5.59
2010-09-20,5.46,5.56,5.40,5.54,10990800,5.54
2010-09-17,5.49,5.51,5.35,5.42,16856800,5.42
2010-09-16,5.39,5.50,5.32,5.45,15806100,5.45
2010-09-15,5.30,5.45,5.24,5.39,15481800,5.39
2010-09-14,5.22,5.36,5.18,5.33,22239000,5.33
2010-09-13,5.38,5.45,5.22,5.24,16923500,5.24
2010-09-10,5.21,5.43,5.21,5.33,20933100,5.33
2010-09-09,5.20,5.34,5.20,5.30,18481800,5.30
2010-09-08,5.23,5.24,5.09,5.15,14606000,5.15
2010-09-07,5.34,5.35,5.17,5.21,14900500,5.21
2010-09-03,5.31,5.40,5.25,5.35,18322900,5.35
2010-09-02,5.16,5.33,5.11,5.31,21487800,5.31
2010-09-01,5.26,5.33,5.04,5.13,38200800,5.13
2010-08-31,5.38,5.43,5.14,5.19,33721600,5.19
2010-08-30,5.47,5.47,5.39,5.40,8246400,5.40
2010-08-27,5.45,5.49,5.33,5.49,7899600,5.49
2010-08-26,5.46,5.49,5.32,5.40,17947100,5.40
2010-08-25,5.45,5.49,5.38,5.45,14433800,5.45
2010-08-24,5.56,5.57,5.29,5.49,22667700,5.49
2010-08-23,5.71,5.75,5.61,5.63,9275300,5.63
2010-08-20,5.78,5.82,5.58,5.69,14843200,5.69
2010-08-19,5.91,5.97,5.79,5.84,21874800,5.84
2010-08-18,5.77,6.05,5.77,5.95,34454600,5.95
2010-08-17,5.50,5.88,5.43,5.80,60495300,5.80
2010-08-16,5.44,5.52,5.41,5.47,12655800,5.47
2010-08-13,5.52,5.57,5.42,5.48,12853700,5.48
2010-08-12,5.56,5.62,5.50,5.52,10972600,5.52
2010-08-11,5.76,5.76,5.56,5.57,15585100,5.57
2010-08-10,5.82,5.90,5.76,5.84,12666200,5.84
2010-08-09,5.81,5.89,5.76,5.88,11152800,5.88
2010-08-06,5.65,5.82,5.63,5.80,15416300,5.80
2010-08-05,5.71,5.88,5.66,5.69,26469700,5.69
2010-08-04,5.54,5.79,5.51,5.75,15611000,5.75
2010-08-03,5.55,5.61,5.50,5.55,15787900,5.55
2010-08-02,5.68,5.77,5.53,5.54,35647900,5.54
2010-07-30,5.58,5.63,5.52,5.60,14809200,5.60
2010-07-29,5.73,5.74,5.57,5.60,27578800,5.60
2010-07-28,5.88,5.91,5.67,5.69,18402100,5.69
2010-07-27,5.99,6.00,5.88,5.90,13101000,5.90
2010-07-26,5.93,6.00,5.91,5.95,10653000,5.95
2010-07-23,5.93,6.00,5.87,5.95,26065100,5.95
2010-07-22,6.01,6.15,5.90,5.93,25635000,5.93
2010-07-21,6.32,6.40,5.82,5.97,49810800,5.97
2010-07-20,6.04,6.27,6.03,6.27,17968600,6.27
2010-07-19,6.12,6.21,6.04,6.11,20625100,6.11
2010-07-16,6.55,6.60,6.11,6.11,31285000,6.11
2010-07-15,6.51,6.62,6.40,6.59,17339100,6.59
2010-07-14,6.50,6.53,6.42,6.52,10707100,6.52
2010-07-13,6.51,6.52,6.42,6.50,13833400,6.50
2010-07-12,6.45,6.46,6.36,6.45,13328900,6.45
2010-07-09,6.37,6.47,6.32,6.46,17211100,6.46
2010-07-08,6.33,6.38,6.16,6.38,19958100,6.38
2010-07-07,6.03,6.29,5.95,6.28,28488100,6.28
2010-07-06,6.16,6.24,6.00,6.03,18972600,6.03
2010-07-02,5.93,6.19,5.90,6.14,20750700,6.14
2010-07-01,5.79,5.92,5.72,5.90,25649800,5.90
2010-06-30,5.75,5.88,5.73,5.80,16513600,5.80
2010-06-29,5.99,6.00,5.76,5.77,24997900,5.77
2010-06-28,6.11,6.16,5.99,6.05,20468600,6.05
2010-06-25,5.98,6.14,5.91,6.11,29084400,6.11
2010-06-24,6.02,6.13,5.91,5.96,23325600,5.96
2010-06-23,6.03,6.08,5.93,6.04,18937600,6.04
2010-06-22,6.13,6.25,6.02,6.02,12843500,6.02
2010-06-21,6.41,6.41,6.15,6.18,20700800,6.18
2010-06-18,6.14,6.36,6.02,6.33,38085000,6.33
2010-06-17,6.08,6.17,5.98,6.11,13266400,6.11
2010-06-16,6.06,6.12,6.01,6.10,22903600,6.10
2010-06-15,5.89,6.12,5.87,6.11,23260200,6.11
2010-06-14,5.83,5.91,5.78,5.82,23418100,5.82
2010-06-11,5.52,5.79,5.50,5.77,33208700,5.77
2010-06-10,5.49,5.65,5.49,5.57,16844100,5.57
2010-06-09,5.54,5.60,5.43,5.44,17307700,5.44
2010-06-08,5.57,5.59,5.41,5.52,27117300,5.52
2010-06-07,5.78,5.78,5.57,5.59,27471500,5.59
2010-06-04,5.95,5.98,5.73,5.74,43520800,5.74
2010-06-03,6.15,6.15,5.96,6.03,20417700,6.03
2010-06-02,6.00,6.14,5.96,6.11,18485200,6.11
2010-06-01,6.00,6.10,5.97,5.97,16857700,5.97
2010-05-28,6.20,6.20,6.04,6.05,14094100,6.05
2010-05-27,6.14,6.20,6.01,6.20,16716400,6.20
2010-05-26,6.10,6.17,6.04,6.04,21360600,6.04
2010-05-25,6.14,6.14,5.91,6.10,32867900,6.10
2010-05-24,6.21,6.39,6.16,6.25,16728600,6.25
2010-05-21,6.30,6.41,6.15,6.24,29046600,6.24
2010-05-20,6.58,6.58,6.33,6.34,20074400,6.34
2010-05-19,6.68,6.73,6.57,6.70,18865100,6.70
