Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,88.63,90.51,88.40,90.15,1118800,90.15
2010-11-04,88.48,88.78,87.74,88.64,1228300,88.64
2010-11-03,87.47,87.88,86.80,87.35,869500,87.35
2010-11-02,87.28,87.50,86.53,87.40,810700,87.40
2010-11-01,86.59,86.93,85.85,86.32,1014100,86.32
2010-10-29,85.88,86.36,85.73,86.19,1153200,86.19
2010-10-28,87.91,88.06,86.05,86.25,1121500,86.25
2010-10-27,88.62,89.23,86.69,87.34,1888500,87.34
2010-10-26,90.19,90.23,89.18,89.87,1022900,89.87
2010-10-25,91.18,91.45,90.48,90.73,853800,90.73
2010-10-22,90.21,91.04,89.56,90.50,881500,90.50
2010-10-21,90.11,91.23,89.47,90.14,873300,90.14
2010-10-20,88.16,90.88,87.96,89.89,1674500,89.89
2010-10-19,87.50,88.99,87.11,87.81,1583200,87.81
2010-10-18,86.53,88.46,86.20,88.45,1436200,88.45
2010-10-15,87.60,87.99,86.62,86.96,940000,86.96
2010-10-14,86.50,87.34,86.27,87.17,1019600,87.17
2010-10-13,86.35,87.54,86.02,86.83,1258100,86.83
2010-10-12,84.72,85.99,84.36,85.85,797800,85.85
2010-10-11,84.86,85.41,84.63,85.07,635600,85.07
2010-10-08,85.04,85.18,84.20,84.86,1018500,84.86
2010-10-07,85.20,85.68,84.61,84.99,704800,84.99
2010-10-06,84.70,85.00,84.05,84.81,974100,84.81
2010-10-05,84.47,85.21,83.62,85.08,1298000,85.08
2010-10-04,83.57,84.03,82.90,83.57,1006500,83.57
2010-10-01,83.90,83.99,82.71,83.64,1213500,83.64
2010-09-30,83.95,84.95,82.63,83.12,1829400,83.12
2010-09-29,84.69,84.81,83.12,83.48,1078500,83.48
2010-09-28,84.95,85.21,83.23,84.96,1228100,84.96
2010-09-27,85.73,85.84,84.46,85.03,892500,84.53
2010-09-24,85.00,86.03,84.83,85.78,1389700,85.28
2010-09-23,85.50,85.92,83.70,83.98,1690400,83.49
2010-09-22,87.78,88.24,86.07,86.54,1368900,86.03
2010-09-21,88.01,89.26,87.90,88.01,1561400,87.49
2010-09-20,87.67,89.25,87.25,88.88,1141200,88.36
2010-09-17,87.06,87.37,86.41,87.10,873800,86.59
2010-09-16,87.19,87.42,86.33,86.77,615900,86.26
2010-09-15,86.05,87.55,85.51,87.50,871500,86.99
2010-09-14,85.87,86.89,85.31,86.40,858600,85.89
2010-09-13,85.89,86.32,85.49,86.26,1188400,85.75
2010-09-10,85.41,86.10,84.71,85.20,1251500,84.70
2010-09-09,88.15,88.16,84.97,85.10,1458400,84.60
2010-09-08,85.89,87.04,85.86,86.80,1094200,86.29
2010-09-07,87.09,87.57,86.45,86.52,992300,86.01
2010-09-03,87.54,88.37,86.67,87.85,1508900,87.33
2010-09-02,84.65,86.54,84.61,86.42,1922200,85.91
2010-09-01,82.80,84.79,82.19,84.47,1622800,83.97
2010-08-31,81.00,81.93,80.42,81.40,1189500,80.92
2010-08-30,81.28,82.17,81.03,81.06,879900,80.58
2010-08-27,81.34,82.21,79.38,81.72,1343700,81.24
2010-08-26,81.88,82.06,80.48,80.65,1288000,80.18
2010-08-25,79.44,81.73,79.21,81.39,950700,80.91
2010-08-24,80.98,80.98,79.64,79.94,1524200,79.47
2010-08-23,81.57,82.36,81.42,81.53,1024400,81.05
2010-08-20,80.53,81.45,80.28,81.23,815300,80.75
2010-08-19,82.74,82.83,80.53,81.24,1522800,80.76
2010-08-18,83.78,84.00,82.72,83.17,1149000,82.68
2010-08-17,81.78,84.38,81.37,83.65,1426900,83.16
2010-08-16,80.57,81.61,80.00,81.04,976800,80.56
2010-08-13,81.10,82.00,80.99,81.02,1280800,80.54
2010-08-12,81.45,82.86,81.28,81.32,1300400,80.84
2010-08-11,83.20,84.16,82.34,82.86,1387600,82.37
2010-08-10,85.35,85.61,83.79,84.59,1115200,84.09
2010-08-09,85.04,86.08,84.45,85.87,959800,85.37
2010-08-06,84.46,84.89,83.26,84.73,890100,84.23
2010-08-05,84.99,85.70,84.48,84.89,1201900,84.39
2010-08-04,84.25,85.92,84.00,85.65,1650600,85.15
2010-08-03,84.72,84.72,83.18,84.11,1732800,83.62
2010-08-02,83.76,85.66,82.99,85.08,2529600,84.58
2010-07-30,80.14,82.36,79.94,81.90,1631400,81.42
2010-07-29,82.18,82.18,80.27,81.10,1557100,80.62
2010-07-28,81.26,82.56,80.86,81.54,1227700,81.06
2010-07-27,82.00,82.50,80.37,81.63,1371200,81.15
2010-07-26,80.14,81.86,79.46,81.75,1161900,81.27
2010-07-23,78.84,80.10,77.62,79.97,1399400,79.50
2010-07-22,77.13,79.78,76.53,79.14,1709800,78.67
2010-07-21,78.37,78.50,75.74,76.08,1351800,75.63
2010-07-20,75.00,78.04,74.68,77.97,1828300,77.51
2010-07-19,74.75,76.68,73.93,76.25,1497700,75.80
2010-07-16,76.41,76.95,74.03,74.71,1791200,74.27
2010-07-15,77.15,77.50,75.35,77.31,953700,76.86
2010-07-14,76.58,77.62,75.93,77.01,964000,76.56
2010-07-13,76.53,77.66,76.07,77.38,1355700,76.92
2010-07-12,75.17,75.75,74.15,75.51,866800,75.07
2010-07-09,73.89,75.29,73.68,75.23,1261600,74.79
2010-07-08,73.70,74.37,72.33,73.85,1553400,73.42
2010-07-07,69.42,72.84,69.08,72.77,2130000,72.34
2010-07-06,71.27,72.08,68.47,69.08,2404800,68.67
2010-07-02,71.60,71.85,69.50,69.70,1242000,69.29
2010-07-01,71.56,71.93,69.84,71.25,1592600,70.83
2010-06-30,72.06,73.49,71.07,71.34,1630200,70.92
2010-06-29,73.60,73.93,71.82,72.34,2258700,71.91
2010-06-28,76.21,76.44,74.49,74.65,1242200,74.21
2010-06-25,74.78,76.99,74.37,76.74,1671100,75.79
2010-06-24,76.05,76.36,74.12,74.24,1656200,73.32
2010-06-23,76.50,77.51,75.42,76.53,1348900,75.58
2010-06-22,79.72,79.77,76.27,76.36,1758200,75.42
2010-06-21,81.08,81.80,79.22,79.39,1286700,78.41
2010-06-18,80.25,80.42,79.66,80.09,1613900,79.10
2010-06-17,80.60,80.79,79.54,79.97,1635000,78.98
2010-06-16,80.49,81.12,79.87,80.45,1384700,79.46
2010-06-15,79.75,81.23,79.04,81.08,1655900,80.08
2010-06-14,79.81,80.52,78.45,79.26,1852500,78.28
2010-06-11,77.16,79.10,77.14,79.02,1541000,78.04
2010-06-10,75.80,78.47,75.35,78.19,2181700,77.22
2010-06-09,74.46,76.45,74.18,74.62,2039300,73.70
2010-06-08,72.27,74.05,70.91,73.80,1986700,72.89
2010-06-07,72.34,73.95,71.84,72.12,1998500,71.23
2010-06-04,73.60,74.76,71.52,71.81,2811500,70.92
2010-06-03,76.53,76.55,75.04,75.66,1913700,74.73
2010-06-02,76.31,76.46,74.44,76.18,2739500,75.24
2010-06-01,76.15,77.75,75.67,75.91,1714800,74.97
2010-05-28,77.90,78.24,76.19,76.68,1752700,75.73
2010-05-27,75.55,78.23,74.90,78.12,1833500,77.15
2010-05-26,75.67,76.72,73.52,73.84,1769200,72.93
2010-05-25,71.69,74.89,70.94,74.83,2491100,73.91
2010-05-24,75.62,75.95,73.61,73.63,1332300,72.72
2010-05-21,71.31,75.60,71.31,75.50,2679900,74.57
2010-05-20,74.36,75.11,72.67,72.72,2579000,71.82
2010-05-19,76.18,77.86,74.18,76.05,1869400,75.11
2010-05-18,79.45,79.97,76.21,76.57,1737700,75.62
