Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,4.33,4.51,4.32,4.49,1053792600,4.49
2010-11-04,4.22,4.33,4.19,4.33,657658100,4.33
2010-11-03,4.17,4.19,4.15,4.19,304864700,4.19
2010-11-02,4.19,4.20,4.15,4.17,223198100,4.17
2010-11-01,4.18,4.20,4.10,4.15,291692200,4.15
2010-10-29,4.16,4.18,4.15,4.17,188011900,4.17
2010-10-28,4.19,4.20,4.15,4.17,260476300,4.17
2010-10-27,4.16,4.19,4.14,4.17,267996400,4.17
2010-10-26,4.16,4.21,4.15,4.18,420734100,4.18
2010-10-25,4.22,4.23,4.14,4.21,764068500,4.21
2010-10-22,4.10,4.14,4.09,4.11,313922300,4.11
2010-10-21,4.13,4.17,4.03,4.07,435845900,4.07
2010-10-20,4.10,4.12,4.03,4.11,494611900,4.11
2010-10-19,4.13,4.19,4.04,4.06,706704100,4.06
2010-10-18,4.00,4.20,3.97,4.17,944395100,4.17
2010-10-15,4.10,4.11,3.91,3.95,1060142800,3.95
2010-10-14,4.17,4.17,3.99,4.06,982574600,4.06
2010-10-13,4.25,4.30,4.18,4.25,1072641600,4.25
2010-10-12,4.15,4.24,4.13,4.24,482456900,4.24
2010-10-11,4.21,4.21,4.12,4.18,431410600,4.18
2010-10-08,4.18,4.20,4.14,4.19,351899700,4.19
2010-10-07,4.14,4.19,4.13,4.18,490906300,4.18
2010-10-06,4.14,4.16,4.08,4.10,483676800,4.10
2010-10-05,4.07,4.15,4.07,4.13,635838200,4.13
2010-10-04,4.08,4.12,4.03,4.03,422115000,4.03
2010-10-01,3.98,4.10,3.94,4.09,773813900,4.09
2010-09-30,3.96,4.01,3.89,3.91,477631100,3.91
2010-09-29,3.89,3.99,3.87,3.92,506653200,3.92
2010-09-28,3.89,3.90,3.84,3.88,292721000,3.88
2010-09-27,3.90,3.93,3.87,3.87,366293900,3.87
2010-09-24,3.86,3.91,3.85,3.90,392042500,3.90
2010-09-23,3.84,3.89,3.80,3.80,383215000,3.80
2010-09-22,3.93,3.98,3.88,3.88,438376600,3.88
2010-09-21,4.02,4.02,3.94,3.94,371149300,3.94
2010-09-20,3.95,4.00,3.94,3.99,344732800,3.99
2010-09-17,4.00,4.02,3.95,3.95,558593200,3.95
2010-09-16,3.89,3.98,3.88,3.97,376987100,3.97
2010-09-15,3.92,3.93,3.90,3.92,247900800,3.92
2010-09-14,3.98,3.99,3.91,3.94,383461300,3.94
2010-09-13,3.96,4.01,3.96,3.99,458012300,3.99
2010-09-10,3.92,3.94,3.90,3.91,256441700,3.91
2010-09-09,3.89,3.95,3.88,3.91,450787800,3.91
2010-09-08,3.85,3.86,3.83,3.84,248619300,3.84
2010-09-07,3.88,3.88,3.82,3.83,264575000,3.83
2010-09-03,3.94,3.98,3.90,3.91,435494600,3.91
2010-09-02,3.84,3.93,3.83,3.88,473480300,3.88
2010-09-01,3.75,3.85,3.74,3.85,531818800,3.85
2010-08-31,3.68,3.73,3.63,3.71,614033800,3.71
2010-08-30,3.75,3.76,3.67,3.67,316232700,3.67
2010-08-27,3.70,3.76,3.64,3.76,558360000,3.76
2010-08-26,3.73,3.75,3.66,3.66,334219600,3.66
2010-08-25,3.70,3.72,3.64,3.68,508046500,3.68
2010-08-24,3.70,3.75,3.68,3.71,442049100,3.71
2010-08-23,3.79,3.83,3.75,3.75,293380400,3.75
2010-08-20,3.78,3.79,3.71,3.75,519542400,3.75
2010-08-19,3.85,3.89,3.78,3.79,538674100,3.79
2010-08-18,3.86,3.90,3.84,3.86,478409100,3.86
2010-08-17,3.92,3.92,3.83,3.85,424781800,3.85
2010-08-16,3.87,3.91,3.85,3.87,239115200,3.87
2010-08-13,3.90,3.95,3.88,3.88,274472800,3.88
2010-08-12,3.84,3.89,3.83,3.87,335605100,3.87
2010-08-11,3.95,3.97,3.84,3.85,574038000,3.85
2010-08-10,4.03,4.06,4.00,4.00,373301600,4.00
2010-08-09,4.08,4.12,4.01,4.08,279381300,4.08
2010-08-06,4.07,4.08,4.01,4.06,296072800,4.06
2010-08-05,4.11,4.11,4.07,4.10,190936500,4.10
2010-08-04,4.15,4.16,4.11,4.14,277075900,4.14
2010-08-03,4.16,4.17,4.11,4.13,211696200,4.13
2010-08-02,4.19,4.20,4.16,4.19,293851400,4.19
2010-07-30,4.06,4.12,4.06,4.10,269780300,4.10
2010-07-29,4.14,4.15,4.06,4.12,393959200,4.12
2010-07-28,4.13,4.16,4.07,4.09,331900100,4.09
2010-07-27,4.21,4.27,4.16,4.16,535210300,4.16
2010-07-26,4.02,4.15,4.02,4.15,430662400,4.15
2010-07-23,4.02,4.06,3.99,4.02,376751900,4.02
2010-07-22,3.99,4.09,3.99,4.09,421434500,4.09
2010-07-21,4.05,4.06,3.92,3.94,425204700,3.94
2010-07-20,3.91,4.06,3.90,3.99,547451700,3.99
2010-07-19,3.93,4.04,3.85,3.98,600923500,3.98
2010-07-16,4.05,4.10,3.90,3.90,806248800,3.90
2010-07-15,4.23,4.24,4.05,4.16,680225000,4.16
2010-07-14,4.27,4.28,4.15,4.21,482988800,4.21
2010-07-13,4.19,4.30,4.18,4.30,646888000,4.30
2010-07-12,4.05,4.13,4.04,4.11,394703600,4.11
2010-07-09,3.97,4.05,3.94,4.04,419284800,4.04
2010-07-08,3.95,4.00,3.92,3.97,466634600,3.97
2010-07-07,3.82,3.91,3.77,3.90,472954900,3.90
2010-07-06,3.87,3.90,3.72,3.79,514543800,3.79
2010-07-02,3.82,3.89,3.71,3.79,385168800,3.79
2010-07-01,3.83,3.85,3.62,3.78,862064900,3.78
2010-06-30,3.81,3.86,3.71,3.76,532053600,3.76
2010-06-29,3.92,3.92,3.71,3.73,797453400,3.73
2010-06-28,3.93,4.02,3.92,4.00,541266400,4.00
2010-06-25,3.85,3.95,3.82,3.94,703576900,3.94
2010-06-24,3.86,3.86,3.77,3.78,566347900,3.78
2010-06-23,3.95,3.98,3.87,3.89,462659500,3.89
2010-06-22,4.00,4.03,3.94,3.94,487724700,3.94
2010-06-21,4.05,4.07,4.01,4.02,571555300,4.02
2010-06-18,3.97,4.01,3.93,4.01,688399200,4.01
2010-06-17,4.01,4.03,3.91,3.96,587343000,3.96
2010-06-16,3.96,4.00,3.93,3.99,407834000,3.99
2010-06-15,3.93,3.99,3.89,3.99,422475100,3.99
2010-06-14,3.92,3.93,3.88,3.88,382287800,3.88
2010-06-11,3.86,3.92,3.85,3.88,438593900,3.88
2010-06-10,3.95,3.96,3.87,3.90,709891300,3.90
2010-06-09,3.78,3.89,3.76,3.87,1148565000,3.87
2010-06-08,3.69,3.75,3.65,3.72,830227800,3.72
2010-06-07,3.81,3.82,3.62,3.64,862038700,3.64
2010-06-04,3.85,3.92,3.77,3.79,1067564800,3.79
2010-06-03,3.96,4.03,3.93,3.96,714056300,3.96
2010-06-02,3.89,3.93,3.85,3.92,561663400,3.92
2010-06-01,3.90,3.96,3.84,3.85,566346800,3.85
2010-05-28,4.02,4.04,3.95,3.96,632866000,3.96
2010-05-27,4.03,4.07,3.98,4.02,754608900,4.02
2010-05-26,3.97,4.03,3.86,3.86,1247672600,3.86
2010-05-25,3.64,3.80,3.56,3.78,1020764400,3.78
2010-05-24,3.86,3.95,3.77,3.78,843004900,3.78
2010-05-21,3.54,3.81,3.53,3.75,1335158300,3.75
2010-05-20,3.75,3.77,3.61,3.63,1164290900,3.63
2010-05-19,3.73,3.85,3.71,3.81,920452400,3.81
2010-05-18,3.95,3.96,3.71,3.73,889274200,3.73
2010-05-17,4.00,4.01,3.76,3.86,945217500,3.86
2010-05-14,4.03,4.04,3.91,3.98,872801200,3.98
2010-05-13,4.15,4.16,4.08,4.09,509105300,4.09
2010-05-12,4.23,4.23,4.14,4.18,656696200,4.18
2010-05-11,4.13,4.24,4.11,4.17,754750300,4.17
2010-05-10,4.33,4.35,4.16,4.22,1098132300,4.22
2010-05-07,4.08,4.13,3.92,4.00,1224586900,4.00
2010-05-06,4.20,4.27,3.90,4.04,1707246000,4.04
2010-05-05,4.16,4.25,4.04,4.18,1001622700,4.18
2010-05-04,4.34,4.36,4.23,4.26,973523700,4.26
2010-05-03,4.46,4.48,4.38,4.41,449462600,4.41
2010-04-30,4.55,4.55,4.37,4.37,803417700,4.37
2010-04-29,4.53,4.63,4.50,4.56,716470900,4.56
2010-04-28,4.42,4.56,4.40,4.45,1104870100,4.45
2010-04-27,4.55,4.57,4.33,4.34,1339794400,4.34
2010-04-26,4.79,4.80,4.60,4.61,1244785400,4.61
2010-04-23,4.87,4.95,4.83,4.86,761640600,4.86
2010-04-22,4.85,4.89,4.77,4.87,808646700,4.87
2010-04-21,5.03,5.04,4.82,4.93,987875700,4.93
2010-04-20,5.02,5.06,4.92,4.97,1027385300,4.97
2010-04-19,4.65,4.93,4.64,4.88,1860066800,4.88
2010-04-16,4.82,4.83,4.41,4.56,1864141200,4.56
2010-04-15,4.99,5.07,4.74,4.81,1536536700,4.81
2010-04-14,4.72,4.94,4.70,4.93,1039545300,4.93
2010-04-13,4.62,4.68,4.59,4.62,596761800,4.62
2010-04-12,4.63,4.64,4.58,4.64,434849700,4.64
2010-04-09,4.54,4.57,4.52,4.55,664460000,4.55
2010-04-08,4.35,4.49,4.31,4.47,559356200,4.47
2010-04-07,4.31,4.40,4.30,4.36,621528000,4.36
2010-04-06,4.27,4.30,4.25,4.29,318121900,4.29
2010-04-05,4.27,4.28,4.23,4.26,344533300,4.26
2010-04-01,4.11,4.18,4.02,4.18,302091000,4.18
2010-03-31,4.08,4.11,4.01,4.05,550358900,4.05
2010-03-30,4.13,4.18,4.05,4.09,624391300,4.09
2010-03-29,4.38,4.41,4.11,4.18,886268400,4.18
