Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.56,23.60,23.26,23.46,2123600,23.46
2010-11-04,23.49,23.60,23.42,23.56,3076300,23.56
2010-11-03,23.35,23.42,23.04,23.26,3756700,23.26
2010-11-02,23.36,23.53,23.22,23.35,2319000,23.35
2010-11-01,23.30,23.40,23.11,23.25,3972100,23.25
2010-10-29,22.80,23.24,22.67,23.20,4337900,23.20
2010-10-28,23.10,23.10,22.65,22.89,2385800,22.89
2010-10-27,22.73,23.00,22.52,22.99,4155400,22.99
2010-10-26,22.70,22.98,22.60,22.94,4781100,22.94
2010-10-25,23.00,23.03,22.73,22.75,4551800,22.75
2010-10-22,22.26,23.04,22.08,22.87,5005800,22.87
2010-10-21,21.88,22.06,21.55,21.76,3722900,21.76
2010-10-20,21.85,22.10,21.75,21.79,5193600,21.79
2010-10-19,21.94,22.06,21.61,21.78,4752100,21.78
2010-10-18,22.11,22.19,21.98,22.16,2627600,22.16
2010-10-15,22.17,22.17,21.90,22.17,4111500,22.17
2010-10-14,21.93,22.17,21.86,22.00,3791000,22.00
2010-10-13,21.80,22.08,21.80,21.92,6432300,21.92
2010-10-12,21.68,21.88,21.45,21.74,5031700,21.74
2010-10-11,21.93,22.00,21.60,21.68,3448300,21.68
2010-10-08,21.69,22.17,21.62,21.82,6382700,21.82
2010-10-07,21.44,21.62,21.31,21.39,4252600,21.39
2010-10-06,21.53,21.61,21.15,21.33,3993300,21.33
2010-10-05,21.50,21.75,21.38,21.61,4505300,21.61
2010-10-04,21.26,21.41,21.08,21.18,4799200,21.18
2010-10-01,21.29,21.46,21.08,21.25,3161500,21.25
2010-09-30,21.42,21.63,20.84,21.12,4188900,21.12
2010-09-29,21.08,21.36,21.05,21.24,3491000,21.24
2010-09-28,21.03,21.26,20.62,21.19,4362100,21.19
2010-09-27,21.21,21.21,20.85,20.91,2256400,20.91
2010-09-24,20.84,21.15,20.67,21.15,3702800,21.15
2010-09-23,20.48,20.87,20.40,20.68,3472000,20.68
2010-09-22,20.59,21.07,20.59,20.65,4199100,20.65
2010-09-21,20.66,20.84,20.57,20.62,4134600,20.62
2010-09-20,20.57,20.82,20.46,20.71,4472300,20.71
2010-09-17,20.34,20.57,20.24,20.44,5288100,20.44
2010-09-16,20.16,20.25,20.05,20.23,2797700,20.23
2010-09-15,19.81,20.23,19.76,20.19,5185600,20.19
2010-09-14,20.04,20.19,19.96,19.96,4358700,19.96
2010-09-13,19.90,20.23,19.85,20.17,4878600,20.17
2010-09-10,19.43,19.90,19.35,19.78,4275700,19.78
2010-09-09,19.50,19.54,19.25,19.36,3470100,19.36
2010-09-08,19.12,19.40,19.11,19.30,5795600,19.30
2010-09-07,19.01,19.28,18.99,19.05,4601800,19.05
2010-09-03,18.85,19.09,18.64,19.09,4544000,19.09
2010-09-02,18.56,18.68,18.37,18.67,2753500,18.67
2010-09-01,18.24,18.68,18.18,18.57,4076100,18.57
2010-08-31,17.88,18.12,17.70,17.99,6289700,17.99
2010-08-30,18.17,18.36,17.95,18.00,3195200,18.00
2010-08-27,18.21,18.36,17.82,18.30,3817400,18.30
2010-08-26,18.19,18.32,18.06,18.13,4288800,18.13
2010-08-25,18.06,18.22,17.87,18.15,4220700,18.15
2010-08-24,18.24,18.30,18.04,18.19,4651600,18.19
2010-08-23,18.42,18.65,18.34,18.42,3812300,18.42
2010-08-20,18.25,18.47,18.13,18.35,3593700,18.35
2010-08-19,18.58,18.84,18.23,18.39,4151900,18.39
2010-08-18,18.57,18.70,18.34,18.57,3320600,18.57
2010-08-17,18.49,18.95,18.44,18.66,3448400,18.66
2010-08-16,18.18,18.44,18.04,18.38,3700600,18.38
2010-08-13,18.21,18.37,18.13,18.32,3386900,18.32
2010-08-12,18.21,18.38,18.13,18.31,3371700,18.31
2010-08-11,18.95,19.02,18.51,18.54,4351800,18.54
2010-08-10,19.66,19.72,19.05,19.30,5541500,19.30
2010-08-09,19.93,19.94,19.79,19.85,2056300,19.85
2010-08-06,19.65,19.88,19.43,19.82,3606500,19.82
2010-08-05,19.86,19.90,19.65,19.79,3161500,19.79
2010-08-04,19.79,20.00,19.64,19.98,3217500,19.94
2010-08-03,19.90,19.95,19.62,19.69,3546100,19.65
2010-08-02,19.73,20.01,19.64,19.94,3399800,19.90
2010-07-30,19.24,19.68,19.09,19.56,4448400,19.52
2010-07-29,19.72,19.88,19.10,19.39,3863600,19.35
2010-07-28,19.81,19.90,19.56,19.67,4664400,19.63
2010-07-27,19.74,19.89,19.58,19.83,4360100,19.79
2010-07-26,19.34,19.72,19.24,19.70,3981700,19.66
2010-07-23,19.32,19.44,18.97,19.38,5649700,19.34
2010-07-22,18.81,19.32,18.81,19.10,6222500,19.06
2010-07-21,19.38,19.45,18.63,18.75,7052000,18.71
2010-07-20,18.95,19.38,18.71,19.38,5967800,19.34
2010-07-19,19.07,19.31,18.99,19.29,4442000,19.25
2010-07-16,19.42,19.42,18.69,19.00,8542600,18.96
2010-07-15,19.35,19.47,19.12,19.43,4329300,19.39
2010-07-14,19.45,19.53,19.17,19.32,5654700,19.28
2010-07-13,19.10,19.59,19.05,19.44,6060200,19.40
2010-07-12,18.72,18.99,18.64,18.89,7015200,18.85
2010-07-09,18.50,18.77,18.45,18.77,5028700,18.73
2010-07-08,18.75,18.79,18.37,18.56,6676500,18.52
2010-07-07,18.12,18.71,18.12,18.67,5533700,18.63
2010-07-06,18.14,18.29,17.86,18.07,5465500,18.03
2010-07-02,18.07,18.17,17.84,17.96,5337900,17.92
2010-07-01,18.40,18.46,17.80,18.00,10518100,17.96
2010-06-30,18.65,18.84,18.40,18.40,7410900,18.36
2010-06-29,19.02,19.11,18.57,18.72,6536600,18.68
2010-06-28,19.50,19.56,19.12,19.36,3561800,19.32
2010-06-25,19.29,19.56,19.11,19.46,5796100,19.42
2010-06-24,19.46,19.55,19.14,19.23,3894500,19.19
2010-06-23,19.68,19.81,19.50,19.58,4273000,19.54
2010-06-22,20.06,20.24,19.65,19.71,4345200,19.67
2010-06-21,20.30,20.53,20.00,20.06,4544200,20.02
2010-06-18,20.21,20.35,20.05,20.11,5875600,20.07
2010-06-17,20.36,20.40,20.01,20.18,3996400,20.14
2010-06-16,20.15,20.42,20.15,20.32,2623800,20.28
2010-06-15,19.67,20.41,19.61,20.39,4739700,20.35
2010-06-14,19.78,20.06,19.59,19.60,4895400,19.56
2010-06-11,19.42,19.68,19.36,19.66,4669000,19.62
2010-06-10,19.26,19.73,19.17,19.68,4403500,19.64
2010-06-09,19.20,19.48,18.97,18.99,4369900,18.95
2010-06-08,19.07,19.11,18.79,19.07,4966300,19.03
2010-06-07,19.48,19.55,18.90,18.93,4731200,18.89
2010-06-04,19.95,20.03,19.36,19.41,4379900,19.37
2010-06-03,19.95,20.40,19.79,20.33,5097200,20.29
2010-06-02,19.34,19.91,19.04,19.91,7326100,19.87
2010-06-01,20.09,20.24,19.62,19.63,5277700,19.59
2010-05-28,20.11,20.40,19.81,20.25,5504400,20.21
2010-05-27,20.09,20.38,19.94,20.37,3843700,20.33
2010-05-26,19.89,20.15,19.56,19.68,5665600,19.64
2010-05-25,19.37,19.85,19.19,19.85,7376200,19.77
2010-05-24,19.85,20.03,19.64,19.76,5558500,19.68
2010-05-21,19.46,20.00,19.31,19.89,6462600,19.81
2010-05-20,20.08,20.20,19.63,19.68,6524800,19.60
2010-05-19,20.51,20.64,20.24,20.47,6838900,20.39
2010-05-18,20.87,20.97,20.42,20.55,7960900,20.47
2010-05-17,20.52,20.75,20.31,20.68,8998200,20.60
2010-05-14,20.82,20.89,19.80,20.51,19212300,20.43
2010-05-13,21.67,22.28,21.61,21.88,8077200,21.79
2010-05-12,21.47,22.11,21.40,21.93,6941300,21.84
2010-05-11,20.99,21.80,20.92,21.47,5837400,21.38
2010-05-10,21.03,21.35,20.88,21.14,6991400,21.06
2010-05-07,20.90,21.18,20.18,20.49,13180900,20.41
2010-05-06,21.82,21.92,20.08,21.08,11385200,21.00
2010-05-05,22.17,22.28,21.87,21.98,5745100,21.89
2010-05-04,22.66,22.67,22.11,22.16,6157400,22.07
2010-05-03,22.86,23.10,22.67,22.91,5500800,22.82
2010-04-30,23.46,23.51,22.81,22.82,5025100,22.73
2010-04-29,23.33,23.45,23.05,23.42,4021800,23.33
2010-04-28,23.29,23.37,23.05,23.27,4429200,23.18
2010-04-27,23.61,23.78,23.18,23.22,6146500,23.13
2010-04-26,23.50,23.76,23.45,23.64,3111100,23.55
2010-04-23,23.72,23.72,23.28,23.54,4859300,23.45
2010-04-22,23.37,23.74,23.13,23.72,3535100,23.62
2010-04-21,23.26,23.54,23.22,23.52,3276100,23.43
2010-04-20,22.86,23.61,22.86,23.35,4951300,23.26
2010-04-19,22.83,23.04,22.61,22.86,3831800,22.77
2010-04-16,22.99,23.24,22.79,22.84,4762600,22.75
2010-04-15,23.20,23.26,23.01,23.06,3537500,22.97
2010-04-14,22.94,23.28,22.88,23.23,3335800,23.14
2010-04-13,22.86,23.02,22.72,22.93,3305400,22.84
2010-04-12,23.00,23.13,22.85,23.06,2650000,22.97
2010-04-09,22.83,22.98,22.78,22.94,3606700,22.85
2010-04-08,22.55,23.04,22.49,22.86,4271900,22.77
2010-04-07,23.29,23.31,22.55,22.63,8541000,22.54
2010-04-06,23.16,23.48,22.52,23.40,17409600,23.31
2010-04-05,23.38,23.91,23.30,23.85,3593800,23.75
2010-04-01,23.44,23.70,23.09,23.29,3203700,23.20
2010-03-31,23.39,23.65,23.29,23.47,3747400,23.38
2010-03-30,23.38,23.62,23.24,23.43,2440900,23.34
2010-03-29,23.32,23.61,23.32,23.38,3038800,23.29
2010-03-26,23.58,23.58,23.24,23.41,4093000,23.32
2010-03-25,23.71,23.89,23.43,23.45,4630400,23.36
2010-03-24,23.66,23.80,23.64,23.72,3284800,23.62
2010-03-23,23.59,23.82,23.40,23.80,4844000,23.70
2010-03-22,23.40,23.68,23.28,23.60,4597600,23.51
2010-03-19,23.75,23.75,23.14,23.45,4899600,23.36
2010-03-18,23.54,23.60,23.37,23.51,2688100,23.42
2010-03-17,23.33,23.63,23.25,23.51,3910500,23.42
2010-03-16,23.03,23.26,22.95,23.24,3895100,23.15
2010-03-15,22.93,23.06,22.70,22.99,3833300,22.90
2010-03-12,22.65,22.85,22.51,22.78,4040300,22.69
2010-03-11,22.60,22.70,22.41,22.66,5750500,22.57
2010-03-10,22.94,22.94,22.45,22.60,7537700,22.51
2010-03-09,22.71,22.99,22.65,22.87,3530100,22.78
2010-03-08,22.82,22.89,22.70,22.81,2835500,22.72
