Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,22.24,22.28,21.97,22.14,2880500,22.14
2010-11-04,22.38,22.43,22.12,22.19,4105700,22.19
2010-11-03,22.35,22.38,22.05,22.26,1778100,22.26
2010-11-02,22.34,22.47,22.18,22.28,3065200,22.28
2010-11-01,22.54,22.56,22.10,22.23,3722500,22.23
2010-10-29,22.47,22.62,22.45,22.49,2491100,22.49
2010-10-28,22.54,22.66,22.47,22.57,2608100,22.57
2010-10-27,22.44,22.46,22.19,22.41,3774000,22.41
2010-10-26,22.89,22.98,22.58,22.68,3839400,22.45
2010-10-25,23.02,23.16,22.86,22.92,3459600,22.69
2010-10-22,22.86,23.00,22.81,22.95,3180600,22.72
2010-10-21,22.66,22.88,22.56,22.88,4550000,22.65
2010-10-20,22.62,22.73,22.51,22.61,3345400,22.38
2010-10-19,22.43,22.69,22.42,22.56,4175600,22.33
2010-10-18,22.40,22.68,22.40,22.60,9930600,22.37
2010-10-15,22.79,22.79,22.37,22.42,4629700,22.19
2010-10-14,22.59,22.85,22.53,22.61,4863400,22.38
2010-10-13,22.09,22.58,22.06,22.58,6395300,22.35
2010-10-12,21.93,22.09,21.86,22.03,3476700,21.81
2010-10-11,21.92,22.04,21.85,21.96,4248200,21.74
2010-10-08,22.03,22.04,21.78,21.87,3856600,21.65
2010-10-07,22.13,22.16,21.86,21.93,2941300,21.71
2010-10-06,22.26,22.32,21.97,22.03,6346300,21.81
2010-10-05,22.19,22.39,22.04,22.32,5176400,22.09
2010-10-04,22.15,22.20,21.91,22.00,3492400,21.78
2010-10-01,22.06,22.17,21.92,22.13,4101900,21.91
2010-09-30,22.01,22.13,21.71,21.94,5564200,21.72
2010-09-29,21.86,22.10,21.83,21.96,5139200,21.74
2010-09-28,21.85,21.99,21.65,21.98,3627500,21.76
2010-09-27,21.71,21.88,21.68,21.78,5139700,21.56
2010-09-24,21.63,21.78,21.58,21.78,5222900,21.56
2010-09-23,21.26,21.59,21.24,21.56,6776400,21.34
2010-09-22,21.45,21.63,21.40,21.42,6609900,21.20
2010-09-21,21.25,21.75,21.03,21.57,16315900,21.35
2010-09-20,22.13,22.38,22.02,22.37,3961900,22.14
2010-09-17,22.10,22.23,22.02,22.09,2780000,21.87
2010-09-16,22.00,22.12,21.89,22.06,3402100,21.84
2010-09-15,21.90,22.31,21.90,22.31,3352900,22.08
2010-09-14,21.72,22.08,21.67,21.96,3060400,21.74
2010-09-13,22.09,22.12,21.76,21.85,3150700,21.63
2010-09-10,21.81,22.01,21.78,21.95,3306400,21.73
2010-09-09,22.15,22.16,21.82,21.83,3133700,21.61
2010-09-08,21.94,22.00,21.87,21.92,3362000,21.70
2010-09-07,21.90,21.98,21.79,21.89,2822300,21.67
2010-09-03,22.11,22.11,21.87,21.99,2277800,21.77
2010-09-02,22.11,22.15,21.92,21.96,2851900,21.74
2010-09-01,21.77,22.02,21.72,22.01,3339500,21.79
2010-08-31,21.44,21.66,21.34,21.59,4433800,21.37
2010-08-30,21.59,21.72,21.44,21.46,2576100,21.24
2010-08-27,21.55,21.75,21.28,21.74,2492300,21.52
2010-08-26,21.69,21.69,21.42,21.49,3186900,21.27
2010-08-25,21.24,21.64,21.24,21.60,4119900,21.38
2010-08-24,21.31,21.47,21.23,21.36,4722700,21.14
2010-08-23,21.50,21.62,21.47,21.49,3961600,21.27
2010-08-20,21.56,21.65,21.34,21.45,5406900,21.23
2010-08-19,21.91,22.10,21.50,21.74,4419800,21.52
2010-08-18,21.84,22.13,21.78,22.12,5224400,21.90
2010-08-17,21.75,21.95,21.60,21.81,4534700,21.59
2010-08-16,21.53,21.61,21.34,21.60,3316700,21.38
2010-08-13,21.41,21.68,21.34,21.62,3399100,21.40
