Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,35.69,35.70,35.06,35.21,2500200,35.21
2010-11-04,35.57,35.74,35.32,35.69,4147700,35.69
2010-11-03,35.47,35.47,34.75,35.34,3561500,35.34
2010-11-02,35.17,35.67,35.08,35.37,3682400,35.37
2010-11-01,34.94,35.50,34.47,34.88,3031000,34.88
2010-10-29,34.24,34.91,34.23,34.69,4012200,34.69
2010-10-28,33.62,34.75,33.47,34.33,5055300,34.33
2010-10-27,33.17,33.61,32.85,33.41,5068100,33.41
2010-10-26,32.24,34.23,32.08,32.98,12988500,32.98
2010-10-25,32.12,32.77,32.04,32.41,3618700,32.41
2010-10-22,31.99,32.15,31.91,31.99,2699800,31.99
2010-10-21,32.26,32.42,31.83,32.00,2898900,32.00
2010-10-20,32.21,32.52,32.13,32.17,2324500,32.17
2010-10-19,32.91,33.01,32.04,32.17,3719900,32.17
2010-10-18,33.16,33.43,32.95,33.29,2016400,33.29
2010-10-15,33.56,33.69,33.04,33.22,2245800,33.22
2010-10-14,33.20,33.42,32.98,33.31,3683100,33.31
2010-10-13,32.97,33.36,32.85,33.18,1992200,33.18
2010-10-12,32.66,32.93,32.54,32.84,2646200,32.84
2010-10-11,32.58,32.78,32.56,32.66,1118800,32.66
2010-10-08,32.89,32.89,32.55,32.61,1699600,32.61
2010-10-07,32.63,33.03,32.53,32.77,1959200,32.77
2010-10-06,32.79,32.99,32.43,32.46,3711400,32.46
2010-10-05,32.47,33.13,32.40,32.95,2506800,32.95
2010-10-04,32.68,32.82,31.88,32.18,2498800,32.18
2010-10-01,33.28,33.31,32.70,32.85,1541900,32.85
2010-09-30,33.42,33.42,32.75,33.04,2853800,33.04
2010-09-29,32.92,33.40,32.71,33.15,2088700,33.15
2010-09-28,32.98,33.29,32.50,33.20,1509100,33.01
2010-09-27,33.34,33.34,32.79,32.85,1913400,32.66
2010-09-24,32.85,33.55,32.75,33.45,2242800,33.25
2010-09-23,32.55,33.12,32.46,32.53,3349600,32.34
2010-09-22,32.95,33.12,32.66,32.80,1767000,32.61
2010-09-21,33.01,33.27,32.87,33.11,2079600,32.92
2010-09-20,32.66,33.18,32.55,33.11,1341100,32.92
2010-09-17,32.69,32.84,32.29,32.64,3356500,32.45
2010-09-16,32.83,32.90,32.12,32.56,3218000,32.37
2010-09-15,31.64,33.03,31.60,32.98,5305200,32.79
2010-09-14,31.59,31.96,31.45,31.79,1656600,31.60
2010-09-13,31.90,32.00,31.46,31.60,1483100,31.41
