Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,83.25,83.84,82.93,83.54,6271600,83.54
2010-11-04,80.82,83.28,80.76,83.18,13044100,83.18
2010-11-03,79.82,79.95,78.55,79.88,5771800,79.88
2010-11-02,79.99,80.43,79.52,79.75,4941400,79.75
2010-11-01,78.97,80.18,78.51,79.27,7470500,79.27
2010-10-29,77.61,78.75,77.58,78.60,4551000,78.60
2010-10-28,78.87,79.00,76.78,77.74,7055800,77.74
2010-10-27,78.20,78.41,77.12,78.22,6782800,78.22
2010-10-26,78.11,79.06,77.87,78.65,6240500,78.65
2010-10-25,78.71,80.00,78.50,79.05,6484700,79.05
2010-10-22,78.76,78.91,77.86,78.33,6445800,78.33
2010-10-21,80.99,81.20,77.51,78.89,17710400,78.89
2010-10-20,78.90,80.78,78.81,80.32,9662300,79.88
2010-10-19,78.97,79.71,77.77,78.55,9857200,78.12
2010-10-18,79.95,80.51,79.66,80.24,6542700,79.80
2010-10-15,80.28,80.47,79.00,79.75,6522900,79.31
2010-10-14,80.49,80.83,79.27,79.91,5663900,79.47
2010-10-13,80.36,81.19,80.08,80.29,8493200,79.85
2010-10-12,79.75,79.75,78.30,79.34,10034200,78.91
2010-10-11,80.03,80.75,79.51,79.98,4593700,79.54
2010-10-08,79.41,81.00,78.93,80.37,14296600,79.93
2010-10-07,79.46,79.79,77.85,78.74,8978100,78.31
2010-10-06,79.60,79.90,78.48,79.08,6252200,78.65
2010-10-05,78.48,79.76,78.20,79.40,7140300,78.97
2010-10-04,78.02,78.26,76.51,77.27,6418700,76.85
2010-10-01,78.29,78.88,77.53,78.22,8540800,77.79
2010-09-30,80.04,80.08,78.21,78.68,11940800,78.25
2010-09-29,79.60,80.00,79.42,79.99,7939900,79.55
2010-09-28,79.44,79.94,78.43,79.67,7784800,79.23
2010-09-27,79.70,79.98,78.90,79.54,8361900,79.10
2010-09-24,77.80,79.93,77.62,79.73,14218600,79.29
2010-09-23,75.42,77.50,75.00,76.26,8745800,75.84
2010-09-22,76.25,76.50,75.50,76.18,8386100,75.76
2010-09-21,74.79,77.11,74.72,76.39,14968300,75.97
2010-09-20,73.26,74.80,72.88,74.75,8886300,74.34
2010-09-17,72.22,73.31,71.09,73.18,11341800,72.78
2010-09-16,71.92,72.35,71.28,72.00,6233000,71.61
2010-09-15,71.38,72.27,70.80,72.13,5506100,71.73
2010-09-14,72.28,72.37,71.57,71.83,6040400,71.44
2010-09-13,71.96,72.48,71.71,72.24,7694600,71.84
2010-09-10,70.93,71.56,70.37,71.26,5018300,70.87
2010-09-09,71.56,71.83,70.01,70.64,5355900,70.25
2010-09-08,69.98,71.48,69.95,70.74,6323200,70.35
2010-09-07,69.78,70.05,68.80,69.70,6841700,69.32
2010-09-03,69.95,70.59,69.54,70.08,7837700,69.70
2010-09-02,68.35,68.79,67.75,68.54,5293400,68.16
2010-09-01,67.05,68.54,66.35,68.16,9071200,67.79
2010-08-31,64.14,65.85,63.92,65.16,6760700,64.80
2010-08-30,66.14,66.16,64.46,64.47,5133900,64.12
2010-08-27,64.76,66.15,63.36,65.90,7486300,65.54
2010-08-26,64.83,65.82,63.77,63.95,7075100,63.60
2010-08-25,64.29,64.98,63.34,64.70,8679500,64.35
2010-08-24,65.59,65.84,64.31,65.04,9669800,64.68
2010-08-23,68.70,69.75,66.72,66.84,8878600,66.47
2010-08-20,69.40,69.54,67.46,68.86,8022000,68.48
2010-08-19,69.87,70.50,68.42,69.29,9625400,68.91
2010-08-18,69.82,70.44,69.06,69.75,4988000,69.37
2010-08-17,69.44,70.76,69.30,69.74,5946900,69.36
2010-08-16,67.62,68.98,67.06,68.49,5432500,68.11
2010-08-13,67.74,68.46,67.21,68.01,6659300,67.64
2010-08-12,67.50,68.00,66.78,67.50,7639900,67.13
2010-08-11,70.01,70.16,68.35,68.71,9221200,68.33
2010-08-10,70.88,71.99,70.58,71.42,6082400,71.03
2010-08-09,72.06,72.18,71.42,72.07,3625400,71.68
2010-08-06,71.01,71.93,70.30,71.56,5463400,71.17
2010-08-05,70.82,72.25,70.81,71.96,7415000,71.57
2010-08-04,70.28,71.47,70.28,71.12,6204800,70.73
2010-08-03,70.57,71.03,69.88,70.37,5878900,69.98
2010-08-02,70.74,71.70,70.07,71.05,6304100,70.66
2010-07-30,68.39,70.25,68.39,69.75,7218100,69.37
2010-07-29,69.84,70.29,68.21,69.40,7671300,69.02
2010-07-28,68.70,69.85,68.70,69.72,7609900,69.34
2010-07-27,70.18,70.18,68.09,69.18,11948000,68.80
2010-07-26,69.41,70.08,69.08,69.99,8878400,69.61
2010-07-23,67.50,69.64,67.33,69.31,8865900,68.93
2010-07-22,67.41,68.62,66.46,68.00,15905800,67.63
2010-07-21,66.99,68.05,66.19,66.87,11432400,66.50
2010-07-20,63.56,66.77,63.56,66.43,9468600,66.07
2010-07-19,64.36,65.23,63.56,64.80,6826400,64.45
2010-07-16,65.76,65.79,63.75,63.94,8504100,63.59
2010-07-15,66.38,66.59,65.36,66.51,8101700,65.71
