Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,59.94,59.94,59.09,59.47,2781400,59.47
2010-11-04,59.37,60.03,59.03,60.01,2492300,60.01
2010-11-03,58.88,58.98,58.42,58.98,1798300,58.98
2010-11-02,58.57,58.94,58.49,58.75,1528200,58.75
2010-11-01,58.17,58.84,57.86,58.26,2214000,58.26
2010-10-29,57.56,58.14,57.48,58.02,2562000,58.02
2010-10-28,58.43,58.69,57.41,57.57,2434100,57.57
2010-10-27,58.25,58.44,57.60,58.17,2021800,58.17
2010-10-26,58.10,58.68,58.05,58.58,2022400,58.58
2010-10-25,58.26,58.75,58.22,58.23,1940900,58.23
2010-10-22,58.57,58.95,57.80,57.92,2223800,57.92
2010-10-21,58.99,59.18,58.02,58.36,2525200,58.36
2010-10-20,57.73,58.87,57.61,58.71,3043100,58.71
2010-10-19,57.62,58.15,57.33,57.71,2375200,57.71
2010-10-18,57.60,58.03,57.60,58.02,1803500,58.02
2010-10-15,57.73,57.87,57.32,57.59,2576600,57.59
2010-10-14,57.03,57.98,57.03,57.45,2718400,57.45
2010-10-13,57.00,57.56,56.99,57.13,2443400,57.13
2010-10-12,56.45,56.98,56.30,56.87,1621100,56.87
2010-10-11,56.29,56.64,56.23,56.49,1296800,56.49
2010-10-08,56.15,56.46,55.79,56.33,1435500,56.33
2010-10-07,56.22,56.32,55.83,56.05,2145100,56.05
2010-10-06,56.54,56.74,55.98,56.12,2775300,56.12
2010-10-05,56.57,56.75,55.83,56.57,3883500,56.57
2010-10-04,56.18,56.69,55.79,56.09,2145700,56.09
2010-10-01,56.99,56.99,55.86,56.37,3307300,56.37
2010-09-30,57.01,57.60,56.98,56.99,2676100,56.99
2010-09-29,57.29,57.30,56.57,56.76,2474000,56.76
2010-09-28,57.17,57.67,56.68,57.52,1890000,57.52
2010-09-27,57.05,57.41,56.83,56.91,2102600,56.91
2010-09-24,56.87,57.36,56.73,57.16,2428300,57.16
2010-09-23,56.55,57.04,56.26,56.28,1950800,56.28
2010-09-22,57.51,57.82,56.91,56.94,2917500,56.94
2010-09-21,58.23,58.28,57.24,57.32,2932600,57.32
2010-09-20,57.88,58.20,57.59,58.14,2563800,58.14
2010-09-17,57.73,57.96,57.50,57.66,3753400,57.66
2010-09-16,57.08,57.60,56.97,57.56,1980500,57.56
2010-09-15,56.52,57.49,56.42,57.35,2283800,57.35
2010-09-14,56.70,57.48,56.47,57.10,3434000,56.73
2010-09-13,56.55,56.85,56.02,56.82,3031800,56.45
2010-09-10,56.13,56.19,55.59,56.05,1899500,55.69
2010-09-09,56.23,56.28,55.66,56.06,2494200,55.70
2010-09-08,55.54,56.10,55.48,55.77,2801800,55.41
2010-09-07,56.04,56.10,55.39,55.41,2495500,55.05
2010-09-03,55.82,56.45,55.71,56.45,2687700,56.08
2010-09-02,55.69,55.94,54.96,55.63,3363400,55.27
2010-09-01,55.50,55.96,55.13,55.85,3686000,55.49
2010-08-31,54.34,55.24,54.19,55.13,4971300,54.77
2010-08-30,54.25,54.70,54.16,54.40,3359200,54.05
2010-08-27,53.80,54.49,53.45,54.48,2694200,54.13
2010-08-26,54.11,54.25,53.35,53.44,3063400,53.09
2010-08-25,53.26,54.00,53.09,53.83,3825700,53.48
2010-08-24,52.75,53.90,52.61,53.61,3712500,53.26
2010-08-23,53.47,53.71,53.18,53.27,2646600,52.92
2010-08-20,52.90,53.56,52.90,53.39,2935500,53.04
2010-08-19,53.37,53.37,52.83,53.03,3022100,52.69
2010-08-18,53.47,54.05,53.39,53.65,2346400,53.30
2010-08-17,53.58,54.00,53.46,53.62,2198100,53.27
