Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,24.41,24.68,24.39,24.61,4131500,24.61
2010-11-04,23.96,24.49,23.92,24.40,9176600,24.40
2010-11-03,24.04,24.08,23.79,23.85,5228600,23.85
2010-11-02,24.25,24.47,23.95,24.06,5390900,24.06
2010-11-01,23.78,24.30,23.78,24.05,8136200,24.05
2010-10-29,24.23,24.31,23.92,24.01,4981200,24.01
2010-10-28,23.83,24.75,23.83,24.15,15648300,24.15
2010-10-27,23.95,24.05,23.36,23.53,7334900,23.53
2010-10-26,24.00,24.23,23.83,24.18,4916600,24.18
2010-10-25,24.80,24.85,24.11,24.11,4901700,24.11
2010-10-22,24.46,24.64,24.38,24.63,3068300,24.63
2010-10-21,24.27,24.57,24.14,24.38,4222100,24.38
2010-10-20,24.19,24.92,24.10,24.19,5456300,24.19
2010-10-19,23.99,24.21,23.77,24.14,3934000,24.14
2010-10-18,24.39,24.88,24.02,24.16,3075900,24.16
2010-10-15,24.01,24.24,23.79,24.10,8622100,24.10
2010-10-14,23.43,24.02,23.23,23.89,10102700,23.89
2010-10-13,23.00,23.13,22.86,23.04,7187400,23.04
2010-10-12,22.61,22.95,22.51,22.85,3924600,22.85
2010-10-11,22.75,22.77,22.51,22.68,3215700,22.68
2010-10-08,22.32,22.62,22.32,22.55,5871200,22.55
2010-10-07,22.55,22.77,22.32,22.34,8720000,22.34
2010-10-06,22.41,22.56,22.24,22.51,7637400,22.51
2010-10-05,22.15,22.45,21.94,22.32,6748900,22.32
2010-10-04,22.50,22.50,21.66,22.01,10028900,22.01
2010-10-01,31.00,31.80,30.63,31.80,16959300,21.80
2010-09-30,31.19,31.45,30.90,31.00,6570800,21.25
2010-09-29,30.92,31.12,30.87,31.08,2644800,21.31
2010-09-28,30.70,31.05,30.45,31.01,4470200,21.26
2010-09-27,30.11,30.80,30.07,30.58,5447900,20.96
2010-09-24,30.09,30.38,29.95,30.20,3114900,20.70
2010-09-23,29.78,30.14,29.62,29.81,3949600,20.44
2010-09-22,30.11,30.42,29.84,29.99,2787700,20.56
2010-09-21,30.06,30.33,29.74,30.25,4232900,20.74
2010-09-20,30.24,30.45,29.87,30.06,3303300,20.61
2010-09-17,30.45,30.53,30.14,30.19,2789300,20.70
2010-09-16,30.21,30.34,30.03,30.26,2401300,20.74
2010-09-15,30.02,30.35,29.91,30.34,2261900,20.80
2010-09-14,30.24,30.46,30.09,30.10,5569800,20.63
2010-09-13,30.41,30.60,30.25,30.42,6471500,20.85
2010-09-10,29.94,30.32,29.89,30.17,6172600,20.68
2010-09-09,29.77,29.93,29.70,29.76,2330100,20.40
2010-09-08,29.54,29.91,29.54,29.69,3029600,20.35
2010-09-07,28.60,29.93,28.53,29.56,4883300,20.20
2010-09-03,29.23,29.42,28.93,29.37,2704700,20.07
2010-09-02,29.08,29.21,28.80,29.00,2889900,19.82
2010-09-01,28.69,29.25,28.68,29.15,2423600,19.92
2010-08-31,28.08,28.62,28.05,28.46,2770200,19.45
2010-08-30,28.42,28.66,28.25,28.28,1858900,19.33
2010-08-27,28.42,28.71,28.05,28.67,1437800,19.59
2010-08-26,28.16,28.56,28.16,28.33,2538800,19.36
2010-08-25,28.12,28.23,27.88,28.12,4709800,19.22
2010-08-24,28.26,28.49,27.99,28.21,4914700,19.28
2010-08-23,29.01,29.25,28.63,28.64,2490800,19.57
2010-08-20,28.65,29.05,28.65,29.02,2901700,19.83
2010-08-19,29.20,29.27,28.67,28.84,3476600,19.71
2010-08-18,28.94,29.38,28.77,29.34,4508000,20.05
2010-08-17,28.72,28.86,28.50,28.80,3893400,19.68
2010-08-16,28.54,28.75,28.30,28.58,2176800,19.53
2010-08-13,28.43,28.79,28.39,28.71,2683900,19.62
2010-08-12,28.21,28.57,28.06,28.53,2449600,19.50
2010-08-11,28.72,28.86,28.45,28.46,2020600,19.45
2010-08-10,29.17,29.31,28.90,29.14,3141800,19.92
2010-08-09,29.23,29.40,29.13,29.39,1852300,20.09
2010-08-06,28.79,29.29,28.54,29.17,2574700,19.94
2010-08-05,29.27,29.27,28.97,29.14,3830900,19.92
2010-08-04,29.23,29.46,29.10,29.41,3626900,20.10
2010-08-03,29.03,29.26,28.84,29.25,3604100,19.99
2010-08-02,28.89,29.05,28.83,28.99,3857500,19.81
2010-07-30,28.51,28.92,28.40,28.70,2677800,19.61
2010-07-29,28.77,29.00,28.55,28.77,4537000,19.66
2010-07-28,28.52,28.85,28.24,28.71,4885000,19.62
2010-07-27,28.86,28.95,28.39,28.48,5615400,19.46
2010-07-26,28.45,28.90,28.44,28.87,3838000,19.73
2010-07-23,28.21,28.51,28.02,28.51,3870500,19.49
2010-07-22,27.90,28.26,27.90,28.22,3007100,19.29
2010-07-21,28.13,28.29,27.63,27.70,2759700,18.93
2010-07-20,27.59,28.08,27.59,28.06,3060800,19.18
2010-07-19,27.74,28.00,27.58,27.89,2308700,19.06
2010-07-16,27.81,28.00,27.59,27.69,3562400,18.92
2010-07-15,28.04,28.12,27.67,27.98,3353300,19.12
2010-07-14,28.06,28.16,27.86,28.02,2563400,19.15
2010-07-13,27.93,28.19,27.71,28.16,8016400,19.25
2010-07-12,27.60,27.71,27.35,27.67,2861000,18.91
2010-07-09,27.43,27.75,27.26,27.68,3407500,18.92
2010-07-08,27.25,27.91,27.20,27.50,3935400,18.79
2010-07-07,26.34,27.08,26.25,27.06,3165000,18.49
2010-07-06,26.17,26.63,26.12,26.40,3543800,18.04
2010-07-02,26.10,26.35,25.84,26.03,2731700,17.79
2010-07-01,25.82,26.12,25.56,25.97,4987600,17.75
2010-06-30,25.86,26.26,25.76,25.86,5285000,17.67
2010-06-29,26.16,26.18,25.76,25.96,6566100,17.74
2010-06-28,26.14,26.58,25.99,26.51,2913000,18.12
2010-06-25,26.38,26.40,25.86,25.88,8345300,17.69
2010-06-24,26.68,26.73,26.23,26.31,4540200,17.98
2010-06-23,26.59,26.86,26.42,26.67,4145000,18.23
2010-06-22,26.92,27.06,26.54,26.65,4691200,18.21
2010-06-21,27.30,27.50,26.85,26.98,2462700,18.44
2010-06-18,27.35,27.50,26.96,27.04,4876900,18.48
2010-06-17,27.06,27.41,26.83,27.32,5897800,18.67
2010-06-16,26.84,27.00,26.23,26.88,8506000,18.37
2010-06-15,26.47,26.59,26.26,26.51,4327100,18.12
2010-06-14,26.39,26.54,26.17,26.25,4787900,17.94
2010-06-11,25.85,26.29,25.55,26.27,3388800,17.95
2010-06-10,26.03,26.03,25.65,26.02,4937600,17.78
2010-06-09,25.29,25.75,25.19,25.35,6201200,17.33
2010-06-08,24.90,25.41,24.77,25.35,8586300,17.26
2010-06-07,25.43,25.74,24.82,24.87,6501500,16.94
2010-06-04,25.70,26.01,25.37,25.47,4755900,17.35
2010-06-03,25.86,26.13,25.77,26.10,4742200,17.77
2010-06-02,26.03,26.24,25.57,25.93,8070800,17.66
2010-06-01,26.06,26.36,25.80,25.90,6929700,17.64
2010-05-28,26.60,26.60,26.02,26.10,4429500,17.77
2010-05-27,25.34,26.60,25.34,26.58,7686100,18.10
2010-05-26,25.47,25.83,25.00,25.01,8425700,17.03
2010-05-25,24.75,25.47,24.64,25.44,6645900,17.33
2010-05-24,25.21,25.51,25.01,25.24,3937300,17.19
2010-05-21,24.67,25.74,24.29,25.36,10333300,17.27
2010-05-20,25.16,25.68,25.02,25.05,8565300,17.06
2010-05-19,25.70,25.93,25.35,25.76,6169200,17.54
2010-05-18,26.47,26.59,25.80,25.81,8781800,17.58
2010-05-17,26.64,27.03,26.00,26.33,6677600,17.93
2010-05-14,27.49,27.50,26.46,26.57,8819400,18.09
2010-05-13,27.87,28.11,27.64,27.69,3878200,18.86
2010-05-12,27.17,28.02,27.15,27.85,7490200,18.97
2010-05-11,27.06,27.36,26.80,27.07,5766900,18.44
2010-05-10,26.51,27.50,26.51,27.39,8248600,18.65
2010-05-07,25.98,26.31,25.62,25.84,10895100,17.60
2010-05-06,26.81,27.03,24.39,26.00,14249000,17.71
2010-05-05,27.50,27.60,26.86,26.96,8410500,18.36
2010-05-04,27.68,27.95,27.59,27.74,5222800,18.89
2010-05-03,27.85,28.20,27.79,27.99,3179500,19.06
2010-04-30,28.19,28.32,27.73,27.73,5080400,18.88
2010-04-29,28.26,28.33,28.01,28.25,5759800,19.24
2010-04-28,28.28,28.35,27.89,27.99,9585500,19.06
2010-04-27,28.12,28.67,28.02,28.16,11929800,19.18
2010-04-26,28.18,28.37,28.03,28.15,3888900,19.17
2010-04-23,28.03,28.29,27.92,28.25,3506400,19.24
2010-04-22,27.98,28.19,27.92,28.03,5339500,19.09
2010-04-21,28.18,28.23,28.03,28.10,4597500,19.14
2010-04-20,28.14,28.32,27.96,28.11,5046400,19.14
2010-04-19,28.38,28.46,28.09,28.15,3810400,19.17
2010-04-16,28.47,28.81,28.16,28.37,4535600,19.32
2010-04-15,28.68,28.85,28.46,28.53,3479500,19.43
2010-04-14,28.33,28.93,28.33,28.80,7298500,19.61
2010-04-13,28.33,28.45,28.16,28.38,6460100,19.33
2010-04-12,28.20,28.51,28.19,28.39,5158800,19.33
2010-04-09,28.00,28.31,27.71,28.26,4733500,19.25
2010-04-08,28.05,28.17,27.93,28.03,6476400,19.09
2010-04-07,28.06,28.32,27.99,28.14,5755400,19.16
2010-04-06,28.13,28.38,28.09,28.18,5746200,19.19
2010-04-05,27.82,28.32,27.82,28.26,4632600,19.25
2010-04-01,27.75,28.03,27.73,27.89,4404900,18.99
2010-03-31,27.88,27.92,27.53,27.66,6818300,18.84
2010-03-30,28.05,28.05,27.73,27.80,3905600,18.93
2010-03-29,27.64,28.16,27.53,28.09,8313700,19.13
2010-03-26,27.17,27.64,27.10,27.60,7232800,18.80
2010-03-25,27.38,27.58,27.07,27.11,7237100,18.46
2010-03-24,27.28,27.43,27.04,27.20,5971800,18.52
2010-03-23,27.47,27.50,27.11,27.35,4188900,18.63
2010-03-22,27.10,27.51,27.04,27.48,4335500,18.71
2010-03-19,27.09,27.17,26.72,26.96,6976900,18.36
2010-03-18,27.14,27.25,26.99,27.16,6262000,18.50
2010-03-17,27.31,27.60,27.12,27.23,8804600,18.54
2010-03-16,26.91,27.33,26.90,27.33,7127200,18.61
2010-03-15,26.66,26.98,26.65,26.90,4050700,18.32
2010-03-12,26.64,27.32,26.52,27.01,9968700,18.39
2010-03-11,26.00,26.76,26.00,26.69,10308900,18.18
2010-03-10,26.11,26.20,25.98,26.06,11620900,17.75
2010-03-09,26.10,26.32,25.95,26.10,7661600,17.71
2010-03-08,25.83,26.26,25.73,26.17,8254600,17.76
2010-03-05,25.98,26.18,25.83,25.86,5469300,17.55
2010-03-04,26.32,26.48,25.85,25.92,10001500,17.59
2010-03-03,26.20,26.60,26.16,26.34,10625900,17.88
2010-03-02,25.63,26.28,25.54,26.23,17124200,17.80
2010-03-01,25.47,25.70,25.40,25.60,21656300,17.37
2010-02-26,25.26,25.78,25.15,25.55,16424800,17.34
2010-02-25,25.11,26.00,24.90,25.48,60906300,17.29
2010-02-24,19.27,19.33,18.92,19.18,4266700,13.02
2010-02-23,19.54,19.61,19.19,19.27,4127600,13.08
2010-02-22,19.76,19.83,19.57,19.59,2502100,13.30
2010-02-19,19.84,19.84,19.66,19.74,2755000,13.40
2010-02-18,19.47,19.89,19.47,19.87,3526900,13.49
2010-02-17,19.43,19.75,19.25,19.52,4678200,13.25
2010-02-16,19.44,19.54,19.24,19.30,4668000,13.10
2010-02-12,19.05,19.38,18.84,19.28,5407300,13.08
2010-02-11,19.47,19.57,19.13,19.20,5913800,13.03
2010-02-10,20.31,20.34,19.33,19.45,8896700,13.20
2010-02-09,20.13,20.60,20.13,20.34,5110500,13.80
2010-02-08,20.14,20.24,19.92,19.95,2238200,13.54
2010-02-05,20.15,20.18,19.91,20.10,3558700,13.64
2010-02-04,20.70,20.70,20.17,20.17,2412600,13.69
2010-02-03,20.73,20.95,20.64,20.87,3225500,14.16
2010-02-02,20.50,20.97,20.37,20.86,2662100,14.16
2010-02-01,20.34,20.47,20.20,20.46,2194200,13.89
2010-01-29,20.19,20.60,20.15,20.19,3679400,13.70
2010-01-28,20.56,20.56,20.17,20.22,3840600,13.72
2010-01-27,20.70,20.71,20.31,20.51,3827900,13.92
2010-01-26,20.78,20.90,20.64,20.78,2374100,14.10
2010-01-25,21.11,21.11,20.87,20.92,2855800,14.20
2010-01-22,20.84,21.19,20.75,20.95,4192100,14.22
2010-01-21,21.10,21.28,20.80,20.85,4260000,14.15
2010-01-20,21.08,21.21,20.85,21.16,3750000,14.36
2010-01-19,21.25,21.31,21.10,21.23,3329800,14.41
2010-01-15,21.23,21.34,21.08,21.25,4290100,14.42
2010-01-14,21.24,21.38,21.11,21.24,2982200,14.42
2010-01-13,21.03,21.42,21.03,21.33,3000400,14.48
2010-01-12,21.00,21.29,20.89,20.98,2554900,14.24
2010-01-11,21.14,21.21,20.77,21.13,3335500,14.34
2010-01-08,21.35,21.46,21.08,21.18,4020000,14.37
2010-01-07,21.69,21.69,21.38,21.46,2707600,14.56
2010-01-06,21.76,21.98,21.65,21.69,3300400,14.72
2010-01-05,21.58,21.98,21.30,21.72,7785200,14.74
2010-01-04,21.44,21.57,21.24,21.57,3156300,14.64
2009-12-31,21.40,21.53,21.20,21.20,1628000,14.39
2009-12-30,21.16,21.45,21.07,21.43,2295300,14.54
2009-12-29,21.22,21.35,21.17,21.23,1353400,14.41
2009-12-28,21.43,21.47,21.12,21.21,2140600,14.39
2009-12-24,21.34,21.48,21.20,21.41,656600,14.53
2009-12-23,21.05,21.40,21.05,21.32,2689800,14.47
2009-12-22,20.76,21.03,20.57,21.03,2672900,14.27
2009-12-21,20.41,20.77,20.39,20.71,2367600,14.06
2009-12-18,20.34,20.51,20.14,20.43,4711600,13.87
2009-12-17,19.98,20.47,19.76,20.34,4698100,13.80
2009-12-16,19.90,20.23,19.82,20.05,3421000,13.61
2009-12-15,19.91,19.99,19.76,19.94,2765900,13.53
2009-12-14,19.71,19.99,19.71,19.91,3226300,13.51
2009-12-11,19.77,20.03,19.62,19.76,3422500,13.41
2009-12-10,19.85,20.00,19.73,19.83,3216300,13.46
2009-12-09,19.63,19.86,19.47,19.80,3616000,13.44
2009-12-08,19.87,19.87,19.56,19.63,4257400,13.32
2009-12-07,19.82,20.00,19.65,19.91,3217400,13.51
2009-12-04,20.18,20.18,19.74,19.91,3430200,13.51
2009-12-03,19.95,20.10,19.84,19.86,3473100,13.48
2009-12-02,19.78,20.02,19.72,19.97,3016300,13.55
2009-12-01,19.78,19.95,19.73,19.75,3605800,13.40
2009-11-30,19.91,19.98,19.59,19.65,5927600,13.34
2009-11-27,19.98,20.00,19.72,19.93,1291400,13.53
2009-11-25,20.32,20.44,20.18,20.37,2238500,13.82
2009-11-24,20.40,20.60,20.12,20.30,3577400,13.78
2009-11-23,20.57,20.74,20.50,20.60,2314400,13.93
2009-11-20,20.17,20.49,20.12,20.42,2779000,13.80
2009-11-19,20.51,20.60,20.15,20.23,3153300,13.68
2009-11-18,20.67,20.75,20.46,20.62,3366800,13.94
2009-11-17,20.54,20.79,20.50,20.73,2504800,14.01
2009-11-16,20.27,20.67,20.23,20.64,4489000,13.95
2009-11-13,20.18,20.37,20.00,20.23,3474500,13.68
2009-11-12,20.29,20.47,20.11,20.14,3220500,13.62
2009-11-11,20.09,20.29,19.97,20.27,3458000,13.70
2009-11-10,19.79,20.09,19.62,20.03,3429000,13.54
2009-11-09,19.84,20.12,19.77,20.10,2973900,13.59
2009-11-06,19.60,19.73,19.49,19.72,3231500,13.33
2009-11-05,19.11,19.87,19.11,19.72,7675000,13.33
2009-11-04,19.04,19.36,18.93,19.11,5034900,12.92
2009-11-03,18.88,19.00,18.85,18.99,5151700,12.84
2009-11-02,19.12,19.23,18.75,18.94,6168400,12.80
2009-10-30,19.42,19.48,18.97,19.07,7210100,12.89
2009-10-29,19.10,19.78,19.08,19.60,10382400,13.25
2009-10-28,20.14,20.30,18.94,19.02,8666100,12.86
2009-10-27,19.84,20.21,19.74,20.02,5150600,13.53
2009-10-26,19.94,20.34,19.87,19.94,4289800,13.48
2009-10-23,20.65,20.65,19.90,19.98,3740500,13.51
2009-10-22,20.62,20.65,20.17,20.55,2659200,13.89
2009-10-21,20.55,20.89,20.45,20.54,3005800,13.89
2009-10-20,21.08,21.11,20.45,20.54,3148900,13.89
2009-10-19,20.95,21.25,20.86,21.13,3800700,14.28
2009-10-16,21.04,21.05,20.83,20.94,2535100,14.16
2009-10-15,20.94,21.13,20.89,21.11,2577300,14.27
2009-10-14,21.00,21.11,20.74,21.05,3047400,14.23
2009-10-13,20.89,21.01,20.54,20.92,3717700,14.14
2009-10-12,20.91,21.19,20.84,20.91,2202700,14.14
2009-10-09,20.79,20.98,20.74,20.94,2096000,14.16
2009-10-08,20.98,21.06,20.72,20.85,2825100,14.10
2009-10-07,20.97,21.00,20.71,20.93,2529600,14.15
2009-10-06,21.00,21.11,20.76,20.95,3373300,14.16
2009-10-05,20.56,20.96,20.39,20.96,3507200,14.17
2009-10-02,20.27,20.64,20.07,20.58,3896300,13.91
2009-10-01,21.22,21.23,20.53,20.56,5159100,13.90
2009-09-30,20.98,21.44,20.72,21.41,4954800,14.47
2009-09-29,21.07,21.15,20.93,21.03,2439000,14.22
2009-09-28,20.92,21.16,20.83,21.02,2258400,14.21
2009-09-25,21.00,21.13,20.86,20.90,1981800,14.13
2009-09-24,21.14,21.25,20.85,21.01,2772600,14.20
2009-09-23,21.02,21.42,21.02,21.11,4214200,14.27
2009-09-22,21.03,21.08,20.79,20.94,2747900,14.16
2009-09-21,21.10,21.15,20.87,20.97,4250300,14.18
2009-09-18,21.12,21.17,20.85,21.15,4861500,14.30
2009-09-17,21.14,21.14,20.76,20.99,4785000,14.19
2009-09-16,20.90,20.90,20.31,20.76,3932100,14.03
2009-09-15,20.71,20.89,20.53,20.87,3186700,14.11
2009-09-14,20.33,20.76,20.18,20.75,3813400,14.03
2009-09-11,20.43,20.52,20.22,20.45,2822800,13.82
2009-09-10,20.12,20.38,20.00,20.37,5223600,13.77
2009-09-09,20.49,20.49,19.83,20.10,5783700,13.59
2009-09-08,20.38,20.51,20.29,20.50,4232400,13.80
2009-09-04,20.26,20.47,20.15,20.32,2756800,13.68
2009-09-03,20.15,20.32,19.92,20.30,2937400,13.67
2009-09-02,19.87,20.14,19.75,20.04,4132300,13.49
2009-09-01,20.12,20.23,19.76,19.84,5001700,13.36
2009-08-31,20.55,20.71,20.10,20.21,4023400,13.61
2009-08-28,20.94,20.94,20.54,20.65,3213100,13.91
2009-08-27,20.74,20.92,20.54,20.90,3229600,14.07
2009-08-26,20.42,20.78,20.40,20.76,4374200,13.98
2009-08-25,20.39,20.60,20.18,20.52,2983500,13.82
2009-08-24,20.49,20.62,20.23,20.42,3232400,13.75
2009-08-21,20.25,20.49,20.00,20.41,2722500,13.74
2009-08-20,19.83,20.22,19.66,20.07,3929900,13.52
2009-08-19,19.69,19.87,19.52,19.79,2939100,13.33
2009-08-18,19.66,19.95,19.52,19.88,3605200,13.39
2009-08-17,19.61,19.67,19.38,19.67,3868200,13.25
2009-08-14,19.67,20.00,19.66,19.70,4443800,13.27
2009-08-13,19.89,19.89,19.32,19.73,5070800,13.29
2009-08-12,19.26,19.50,19.15,19.25,3666700,12.96
2009-08-11,19.29,19.48,19.12,19.36,2932700,13.04
2009-08-10,19.40,19.70,19.27,19.44,2948000,13.09
2009-08-07,19.57,19.60,19.35,19.42,2490900,13.08
2009-08-06,19.41,19.63,19.16,19.31,4326300,13.00
2009-08-05,19.98,19.98,19.26,19.31,4593900,13.00
2009-08-04,19.22,19.53,19.18,19.45,6387700,13.10
2009-08-03,18.99,19.10,18.76,19.03,5085500,12.81
2009-07-31,18.78,18.99,18.68,18.79,4309400,12.65
2009-07-30,19.08,19.10,18.63,18.63,5792900,12.55
2009-07-29,18.90,19.60,18.76,18.86,9341100,12.70
2009-07-28,18.09,18.59,18.09,18.41,4918800,12.40
2009-07-27,18.17,18.26,17.99,18.26,3739000,12.30
2009-07-24,17.86,18.15,17.73,18.12,4002100,12.20
2009-07-23,17.54,18.23,17.40,17.90,6540300,12.05
2009-07-22,17.29,17.71,17.26,17.54,4477100,11.81
2009-07-21,17.53,17.55,17.18,17.42,3175000,11.73
2009-07-20,17.46,17.60,17.29,17.39,3448500,11.71
2009-07-17,17.64,17.77,17.34,17.35,4147300,11.68
2009-07-16,17.56,17.91,17.56,17.69,5432900,11.91
2009-07-15,17.31,17.56,17.19,17.51,4363900,11.79
2009-07-14,16.72,16.98,16.59,16.83,4532100,11.33
2009-07-13,16.51,16.70,16.17,16.67,3356200,11.23
2009-07-10,16.63,16.79,16.38,16.49,2586200,11.10
2009-07-09,16.98,16.98,16.60,16.71,2820500,11.25
2009-07-08,17.17,17.17,16.61,16.87,6395700,11.36
2009-07-07,16.59,17.28,16.55,17.09,6391200,11.51
2009-07-06,16.57,16.76,16.42,16.54,3940000,11.14
2009-07-02,16.92,17.06,16.68,16.70,4005600,11.25
2009-07-01,16.01,17.34,16.01,17.14,4905100,11.54
2009-06-30,16.76,16.78,16.28,16.65,4712800,11.21
2009-06-29,16.80,16.81,16.61,16.74,4528700,11.27
2009-06-26,16.69,17.05,16.68,16.80,10557800,11.31
2009-06-25,16.75,16.90,16.60,16.80,5824000,11.31
2009-06-24,17.07,17.14,16.54,16.68,4549600,11.23
2009-06-23,17.31,17.40,16.82,16.91,6769800,11.39
2009-06-22,17.41,17.61,17.23,17.32,3600900,11.66
2009-06-19,17.67,17.83,17.46,17.53,4402500,11.80
2009-06-18,17.29,17.73,17.06,17.63,4246300,11.87
2009-06-17,17.34,17.44,17.04,17.23,3690700,11.60
2009-06-16,17.13,17.48,17.13,17.38,5449900,11.70
2009-06-15,17.09,17.16,16.76,17.04,4044100,11.47
2009-06-12,17.32,17.40,17.07,17.18,2736200,11.57
2009-06-11,17.33,17.64,17.33,17.45,4165600,11.75
2009-06-10,17.48,17.59,17.17,17.34,4136800,11.68
2009-06-09,17.55,17.55,17.21,17.39,2737000,11.66
2009-06-08,17.33,17.61,17.24,17.47,2957000,11.72
2009-06-05,17.70,17.83,17.32,17.43,3194100,11.69
2009-06-04,17.32,17.66,17.16,17.58,3603800,11.79
2009-06-03,17.51,17.67,17.10,17.29,3106100,11.60
2009-06-02,17.10,17.81,17.04,17.62,6353200,11.82
2009-06-01,16.92,17.25,16.90,17.10,6526200,11.47
2009-05-29,16.83,16.89,16.55,16.66,7475000,11.17
2009-05-28,16.80,16.88,16.45,16.71,4621500,11.21
2009-05-27,16.94,17.14,16.68,16.68,4657500,11.19
2009-05-26,16.53,17.02,16.42,16.97,3880600,11.38
2009-05-22,16.88,16.97,16.63,16.65,2990200,11.17
2009-05-21,16.98,17.04,16.63,16.82,6740300,11.28
2009-05-20,17.47,17.71,17.14,17.20,3966300,11.54
2009-05-19,17.16,17.47,16.91,17.34,4266700,11.63
2009-05-18,16.88,17.20,16.52,17.20,2652300,11.54
2009-05-15,16.45,17.13,16.45,16.73,4142100,11.22
2009-05-14,16.96,17.44,16.83,16.93,5674700,11.35
2009-05-13,17.39,17.57,16.79,16.85,4548700,11.30
2009-05-12,17.42,17.72,17.22,17.57,4027600,11.78
2009-05-11,17.24,17.46,17.22,17.34,4339400,11.63
2009-05-08,17.56,17.56,17.23,17.40,6369700,11.67
2009-05-07,17.22,17.52,17.11,17.32,6098700,11.62
2009-05-06,17.29,17.32,16.89,17.14,6354200,11.50
2009-05-05,17.26,17.36,16.97,17.00,4862800,11.40
2009-05-04,17.11,17.39,16.46,17.33,4933100,11.62
2009-05-01,17.02,17.19,16.82,17.00,3545200,11.40
2009-04-30,17.03,17.22,16.73,17.06,7077300,11.44
2009-04-29,16.32,17.01,16.21,16.86,7296300,11.31
2009-04-28,16.03,16.24,15.66,15.90,8217800,10.66
2009-04-27,15.21,15.64,15.05,15.13,5279000,10.15
2009-04-24,15.55,15.85,15.18,15.42,4377800,10.34
2009-04-23,15.25,15.44,14.99,15.40,4188600,10.33
2009-04-22,14.82,15.45,14.78,15.20,4838900,10.19
2009-04-21,15.27,15.67,14.42,14.77,6130200,9.91
2009-04-20,15.46,16.02,15.02,15.27,7795800,10.24
2009-04-17,15.12,15.28,14.58,14.89,5020600,9.99
2009-04-16,14.43,15.18,14.37,15.04,6058800,10.09
2009-04-15,14.00,14.51,13.96,14.37,3116300,9.64
2009-04-14,14.38,14.44,13.99,14.09,3904500,9.45
2009-04-13,14.53,14.60,14.35,14.48,2655500,9.71
2009-04-09,14.72,15.00,14.27,14.55,3533900,9.76
