Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,44.67,44.90,44.38,44.70,3359200,44.70
2010-11-04,43.84,44.75,43.77,44.56,5141600,44.56
2010-11-03,43.47,43.64,42.78,43.57,4502100,43.57
2010-11-02,43.36,43.73,43.25,43.34,3094000,43.34
2010-11-01,43.59,43.74,42.44,43.26,5877000,43.26
2010-10-29,42.59,43.19,42.42,43.17,4980400,43.17
2010-10-28,42.77,43.10,42.03,43.07,4489900,43.07
2010-10-27,42.51,42.64,41.62,42.47,6236900,42.47
2010-10-26,41.71,43.67,41.33,43.08,12889600,43.08
2010-10-25,40.64,40.93,40.47,40.50,5693100,40.50
2010-10-22,40.06,40.19,39.84,40.14,4240600,40.14
2010-10-21,39.82,40.23,39.68,39.93,7623300,39.93
2010-10-20,39.06,39.79,38.97,39.71,5872600,39.71
2010-10-19,39.21,39.47,38.92,39.23,7982400,39.23
2010-10-18,39.43,39.80,39.27,39.69,5491100,39.69
2010-10-15,39.99,40.03,39.24,39.33,6801800,39.33
2010-10-14,40.34,40.40,39.46,39.65,4814400,39.65
2010-10-13,40.51,40.59,40.15,40.19,4798600,40.19
2010-10-12,39.82,40.37,39.51,40.18,4664400,40.18
2010-10-11,40.16,40.29,39.84,40.11,2744900,40.11
2010-10-08,39.93,40.37,39.77,40.28,5260100,40.28
2010-10-07,39.96,40.18,39.48,40.12,4880100,40.12
2010-10-06,39.68,40.05,39.41,39.95,5813200,39.95
2010-10-05,38.64,39.90,38.52,39.86,8190900,39.86
2010-10-04,38.27,38.56,37.65,38.09,3849500,38.09
2010-10-01,38.52,38.81,38.01,38.39,3967600,38.39
2010-09-30,38.89,38.95,37.90,38.19,4445800,38.19
2010-09-29,38.98,39.08,38.40,38.78,6656800,38.78
2010-09-28,37.89,38.44,37.27,38.34,4655500,38.34
2010-09-27,37.87,38.15,37.55,38.02,3840600,38.02
2010-09-24,37.32,38.18,37.27,37.79,5441400,37.79
2010-09-23,36.83,37.45,36.64,36.75,3799200,36.75
2010-09-22,37.81,38.02,36.95,37.05,5050000,37.05
2010-09-21,38.70,38.92,36.94,37.57,8934500,37.57
2010-09-20,36.28,37.75,36.23,37.06,7876200,37.06
2010-09-17,35.59,36.06,35.57,35.92,4302900,35.92
2010-09-16,35.64,35.74,35.21,35.52,3348700,35.52
2010-09-15,35.69,35.92,35.38,35.60,4859800,35.60
2010-09-14,35.84,36.31,35.55,35.89,2868900,35.89
2010-09-13,35.76,35.92,35.50,35.83,2276700,35.83
2010-09-10,35.23,35.43,35.07,35.28,2424600,35.28
2010-09-09,35.07,35.65,34.57,35.18,5399200,35.18
2010-09-08,34.18,34.80,33.86,34.57,5530400,34.57
2010-09-07,33.87,34.11,33.72,33.87,3513900,33.87
2010-09-03,34.28,34.76,34.09,34.67,3782300,34.67
2010-09-02,32.95,33.89,32.91,33.81,4259800,33.81
2010-09-01,31.87,32.91,31.74,32.90,4744600,32.90
2010-08-31,30.71,31.41,30.50,31.18,4125200,31.18
2010-08-30,31.37,31.53,30.84,30.84,2229600,30.84
2010-08-27,31.06,31.58,30.38,31.46,4761100,31.46
2010-08-26,30.74,31.15,30.45,30.56,3468400,30.56
2010-08-25,30.04,30.82,29.95,30.65,5436600,30.65
2010-08-24,30.66,30.78,30.25,30.44,6093100,30.44
2010-08-23,31.89,32.10,31.46,31.52,2656400,31.52
2010-08-20,31.84,31.88,31.19,31.79,3399000,31.79
