Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,30.79,30.88,30.45,30.72,1656500,30.72
2010-11-04,30.76,31.31,30.65,30.77,2791700,30.77
2010-11-03,30.19,30.51,30.01,30.51,3094600,30.51
2010-11-02,29.75,30.27,29.28,30.20,3827700,30.20
2010-11-01,30.37,30.37,29.30,29.42,2413400,29.42
2010-10-29,30.64,30.84,29.74,30.24,3023500,30.24
2010-10-28,31.30,31.49,30.79,30.84,2502100,30.84
2010-10-27,30.89,31.54,30.55,31.13,3568600,31.13
2010-10-26,31.02,31.25,30.78,31.21,1938600,31.21
2010-10-25,31.59,31.93,31.18,31.24,2588800,31.24
2010-10-22,31.87,31.99,31.19,31.38,2100600,31.38
2010-10-21,32.33,32.52,31.62,31.77,1863100,31.77
2010-10-20,32.16,32.56,31.88,32.28,1609600,32.28
2010-10-19,32.46,32.79,31.84,32.05,3419900,32.05
2010-10-18,32.81,32.98,32.42,32.93,1839300,32.93
2010-10-15,32.95,33.18,32.60,32.74,2256500,32.74
2010-10-14,32.14,32.97,32.14,32.80,2071300,32.80
2010-10-13,32.65,32.98,32.37,32.73,2160800,32.73
2010-10-12,32.30,32.58,32.14,32.44,2323900,32.44
2010-10-11,32.41,32.85,32.14,32.30,1615500,32.30
2010-10-08,32.04,32.29,31.94,32.15,1161700,32.15
2010-10-07,31.74,32.37,31.66,31.97,3213700,31.97
2010-10-06,31.49,31.68,31.23,31.46,1349500,31.46
2010-10-05,31.60,31.65,31.01,31.56,2677200,31.56
2010-10-04,32.30,32.52,30.96,31.25,3933600,31.25
2010-10-01,32.56,32.66,32.22,32.42,2041900,32.42
2010-09-30,32.96,33.10,32.05,32.24,2908900,32.24
2010-09-29,32.50,32.85,32.17,32.52,2653400,32.52
2010-09-28,32.08,32.70,31.97,32.56,1968600,32.56
2010-09-27,32.34,32.56,32.01,32.08,2216700,32.08
2010-09-24,32.44,32.49,32.00,32.28,2146600,32.28
2010-09-23,31.66,32.33,31.66,32.04,2128000,32.04
2010-09-22,31.36,32.41,31.18,32.00,4621100,32.00
2010-09-21,31.10,31.44,30.92,31.27,2837600,31.27
2010-09-20,30.79,31.24,30.47,31.23,1768100,31.23
2010-09-17,30.85,30.91,30.15,30.81,4648200,30.81
2010-09-16,31.40,31.53,30.41,30.65,2992700,30.65
2010-09-15,30.80,31.48,30.63,31.44,2211900,31.44
2010-09-14,31.22,31.28,30.92,30.99,2074800,30.99
2010-09-13,31.37,31.45,31.12,31.24,1324800,31.24
2010-09-10,30.71,31.12,30.63,31.06,2266700,31.06
2010-09-09,30.77,30.89,30.43,30.77,2266200,30.77
2010-09-08,30.25,30.79,30.19,30.39,3323600,30.39
2010-09-07,30.87,31.08,30.32,30.36,1947800,30.12
2010-09-03,30.77,31.27,30.67,31.11,3128900,30.86
2010-09-02,30.61,31.07,30.30,30.98,2828800,30.74
2010-09-01,29.74,30.64,29.63,30.57,2310900,30.33
2010-08-31,29.08,29.40,28.75,29.33,2383700,29.10
2010-08-30,29.65,29.74,29.10,29.12,1653500,28.89
2010-08-27,29.37,29.86,28.90,29.81,1790500,29.57
2010-08-26,29.20,29.69,29.10,29.13,2647000,28.90
2010-08-25,28.63,29.23,28.50,29.12,2185800,28.89
2010-08-24,28.66,29.04,28.21,28.85,2500600,28.62
2010-08-23,29.01,29.35,28.64,28.93,2783800,28.70
2010-08-20,29.01,29.13,28.65,28.90,4745100,28.67
2010-08-19,29.68,29.68,28.98,29.20,2079700,28.97
2010-08-18,29.67,30.04,29.54,29.75,2719700,29.51
2010-08-17,29.85,30.15,29.55,29.61,2442000,29.38
2010-08-16,29.51,30.07,29.15,29.58,2362000,29.35
2010-08-13,29.53,30.23,29.53,29.66,2438300,29.43
2010-08-12,28.99,29.72,28.80,29.59,3913700,29.36
2010-08-11,29.57,29.57,29.08,29.30,2836400,29.07
2010-08-10,29.96,30.35,29.84,30.00,2618500,29.76
2010-08-09,30.31,30.43,30.12,30.16,2604600,29.92
2010-08-06,30.53,30.66,30.07,30.25,2800100,30.01
2010-08-05,31.20,31.22,30.41,30.77,2723800,30.53
2010-08-04,31.31,31.53,30.79,31.44,2424500,31.19
2010-08-03,31.47,32.09,31.07,31.15,3008600,30.90
2010-08-02,31.83,32.14,31.41,31.63,2401800,31.38
