Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,24.11,24.19,23.84,24.11,1764400,24.11
2010-11-04,23.85,24.63,23.85,24.14,2393500,24.14
2010-11-03,23.13,23.83,23.03,23.78,3099200,23.78
2010-11-02,23.78,24.18,22.60,23.03,6710200,23.03
2010-11-01,24.24,24.53,24.23,24.40,1573500,24.40
2010-10-29,24.29,24.31,23.95,24.14,1789700,24.14
2010-10-28,24.49,24.62,24.19,24.36,554100,24.36
2010-10-27,24.33,24.52,24.15,24.37,1343500,24.37
2010-10-26,24.63,24.65,24.32,24.38,1280000,24.38
2010-10-25,24.83,24.99,24.62,24.68,863800,24.68
2010-10-22,24.85,24.99,24.59,24.70,1490700,24.70
2010-10-21,24.96,25.07,24.68,24.84,1865600,24.84
2010-10-20,24.71,25.06,24.71,24.85,1828500,24.85
2010-10-19,24.62,24.76,24.18,24.40,2553600,24.40
2010-10-18,24.66,24.88,24.50,24.88,3665000,24.88
2010-10-15,24.89,25.10,24.30,24.63,3452400,24.63
2010-10-14,24.97,24.99,24.34,24.75,2500600,24.75
2010-10-13,24.77,25.20,24.76,24.96,2170000,24.96
2010-10-12,24.60,24.78,24.37,24.71,1583500,24.71
2010-10-11,24.55,24.67,24.44,24.66,701300,24.66
2010-10-08,24.56,24.86,24.40,24.49,1871800,24.49
2010-10-07,24.72,24.87,24.31,24.48,1867000,24.48
2010-10-06,24.81,24.94,24.53,24.71,1318900,24.71
2010-10-05,24.55,24.98,24.48,24.85,2015100,24.85
2010-10-04,24.64,24.76,24.29,24.42,1205500,24.42
2010-10-01,24.97,24.99,24.41,24.76,1993600,24.76
2010-09-30,25.16,25.25,24.71,24.84,2653400,24.84
2010-09-29,25.00,25.35,24.95,25.16,5771600,25.16
2010-09-28,24.80,25.14,24.57,25.00,3230900,25.00
2010-09-27,25.14,25.14,24.60,24.69,1662400,24.69
2010-09-24,24.69,25.08,24.48,24.95,1684800,24.95
2010-09-23,24.11,24.61,24.06,24.49,2874500,24.49
2010-09-22,24.16,24.37,23.99,24.20,3013500,24.20
2010-09-21,24.54,24.79,24.09,24.20,2460100,24.20
2010-09-20,24.22,24.70,24.16,24.66,1806800,24.66
2010-09-17,24.22,24.48,24.14,24.22,4248200,24.22
2010-09-16,24.20,24.47,23.80,24.16,14957400,24.16
2010-09-15,23.91,24.55,23.79,24.49,3271900,24.49
2010-09-14,23.33,24.30,23.33,24.00,2246000,24.00
2010-09-13,23.33,23.60,23.07,23.31,1525200,23.31
2010-09-10,22.94,23.34,22.87,23.31,1494300,23.31
2010-09-09,22.90,23.15,22.78,23.07,1209300,23.07
2010-09-08,22.48,22.73,22.35,22.65,1528200,22.65
2010-09-07,22.55,22.68,22.09,22.45,1695500,22.45
2010-09-03,22.36,22.72,22.25,22.55,1676800,22.55
2010-09-02,22.17,22.64,22.02,22.17,1743800,22.17
2010-09-01,21.78,22.19,21.55,22.18,2972700,22.18
2010-08-31,21.99,22.06,21.53,21.58,2013400,21.58
2010-08-30,22.65,22.65,22.05,22.10,1536400,22.10
2010-08-27,22.60,22.74,22.43,22.73,1311900,22.73
2010-08-26,22.64,22.77,22.30,22.48,1842300,22.48
2010-08-25,22.20,22.66,22.15,22.58,1995100,22.58
2010-08-24,22.78,23.15,22.25,22.27,908400,22.27
2010-08-23,22.81,23.20,22.59,22.97,3723000,22.97
2010-08-20,21.85,22.86,21.53,22.81,2416400,22.81
2010-08-19,22.37,22.63,21.99,22.00,1628000,22.00
2010-08-18,22.54,22.82,22.40,22.48,1495000,22.48
2010-08-17,22.79,22.81,22.53,22.53,1498000,22.53
2010-08-16,22.73,22.86,22.45,22.59,1055000,22.59
2010-08-13,22.64,23.15,22.52,22.85,2529900,22.85
2010-08-12,23.01,23.04,22.43,22.75,3443300,22.75
2010-08-11,22.74,23.87,21.50,23.26,6175400,23.26
2010-08-10,21.58,21.61,20.97,21.40,2485200,21.40
2010-08-09,21.63,21.93,21.60,21.72,462200,21.72
2010-08-06,21.32,21.62,21.23,21.49,1299100,21.49
2010-08-05,21.32,21.56,21.15,21.49,952400,21.49
2010-08-04,21.17,21.48,21.17,21.45,1734300,21.45
2010-08-03,21.48,21.48,21.07,21.14,1039000,21.14
2010-08-02,21.35,21.82,21.35,21.43,1831300,21.43
2010-07-30,20.94,21.45,20.86,21.07,1255700,21.07
2010-07-29,21.37,21.55,20.90,21.10,1313900,21.10
2010-07-28,21.45,21.60,21.19,21.31,1818300,21.31
2010-07-27,21.92,22.03,21.39,21.52,2642200,21.52
2010-07-26,21.48,21.86,21.38,21.85,2135200,21.85
2010-07-23,21.09,21.56,21.02,21.56,1290800,21.56
2010-07-22,20.89,21.56,20.84,21.19,1902200,21.19
2010-07-21,21.68,21.83,20.63,20.68,2731500,20.68
2010-07-20,21.67,21.79,21.36,21.66,1794700,21.66
2010-07-19,21.59,21.90,21.53,21.83,1390400,21.83
2010-07-16,22.26,22.40,21.44,21.55,2822100,21.55
2010-07-15,22.50,22.58,22.13,22.42,1712400,22.42
2010-07-14,22.73,22.80,22.28,22.56,2195200,22.56
2010-07-13,22.57,22.95,22.34,22.86,3131200,22.86
2010-07-12,22.53,22.62,22.29,22.48,1921000,22.48
2010-07-09,22.75,22.75,22.39,22.61,2736900,22.61
2010-07-08,22.82,23.10,22.55,22.75,2644000,22.75
2010-07-07,22.88,23.15,22.42,22.76,2601500,22.76
2010-07-06,22.60,23.29,22.46,22.72,2029100,22.72
2010-07-02,22.39,22.76,22.21,22.42,1556700,22.42
2010-07-01,22.65,22.65,21.93,22.41,2240200,22.41
2010-06-30,22.78,23.00,22.66,22.70,1695000,22.70
2010-06-29,23.35,23.40,22.76,22.85,1645000,22.85
2010-06-28,23.36,23.90,23.07,23.64,1936900,23.64
2010-06-25,23.56,23.74,23.34,23.34,4385400,23.34
2010-06-24,23.70,24.22,23.53,23.57,1594800,23.57
2010-06-23,24.06,24.19,23.69,23.85,1744500,23.85
2010-06-22,24.59,24.80,23.90,23.97,1983000,23.97
2010-06-21,24.84,24.94,24.24,24.55,2411000,24.55
2010-06-18,25.41,25.45,24.54,24.68,2321500,24.68
2010-06-17,25.65,25.65,24.92,25.30,1726700,25.30
2010-06-16,25.50,25.93,25.39,25.49,1960800,25.49
2010-06-15,25.79,25.89,25.42,25.53,2329100,25.53
2010-06-14,25.53,25.71,25.46,25.55,1201800,25.55
2010-06-11,25.08,25.50,25.08,25.50,787100,25.50
2010-06-10,25.40,25.40,24.91,25.31,1098400,25.31
2010-06-09,25.29,25.43,24.96,25.09,1654100,25.09
2010-06-08,24.64,25.20,24.64,25.11,1939600,25.11
2010-06-07,24.87,24.88,24.47,24.76,1298200,24.76
