Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,22.16,22.29,22.03,22.27,10392500,22.27
2010-11-04,22.00,22.34,21.75,22.29,27856400,22.29
2010-11-03,22.14,22.32,21.85,22.31,15050300,22.31
2010-11-02,22.07,22.18,21.85,22.05,7078900,22.05
2010-11-01,22.02,22.23,21.75,21.83,11785800,21.83
2010-10-29,21.27,21.78,21.20,21.68,11460200,21.68
2010-10-28,21.47,21.48,21.11,21.33,10787500,21.33
2010-10-27,21.11,21.45,21.00,21.37,15678000,21.37
2010-10-26,21.04,21.30,20.97,21.26,11602100,21.26
2010-10-25,21.41,21.48,21.00,21.16,15260400,21.16
2010-10-22,21.97,22.03,21.14,21.20,22033900,21.20
2010-10-21,22.26,22.28,21.67,21.95,14039400,21.95
2010-10-20,22.06,22.44,22.01,22.16,13774400,22.16
2010-10-19,22.47,22.59,21.75,21.96,21080100,21.96
2010-10-18,22.98,23.03,22.55,22.69,12834000,22.69
2010-10-15,23.08,23.17,22.68,22.99,13379800,22.99
2010-10-14,23.29,23.40,22.77,22.96,14041200,22.96
2010-10-13,23.89,23.95,22.96,23.24,29858400,23.24
2010-10-12,24.06,24.17,23.66,23.87,29441200,23.87
2010-10-11,24.25,24.32,23.23,23.30,16914600,23.30
2010-10-08,22.48,23.18,22.28,23.05,10733900,23.05
2010-10-07,22.75,22.75,22.25,22.48,7757800,22.48
2010-10-06,22.33,22.75,22.30,22.59,9882800,22.59
2010-10-05,22.56,22.79,22.18,22.32,21417200,22.32
2010-10-04,22.81,22.82,22.08,22.28,10967200,22.28
2010-10-01,22.92,23.10,22.65,22.80,13565800,22.80
2010-09-30,22.66,23.00,22.22,22.65,14424800,22.65
2010-09-29,21.55,22.65,21.52,22.56,17222000,22.56
2010-09-28,21.70,21.76,21.27,21.69,7375800,21.61
2010-09-27,21.51,21.78,21.45,21.66,7435400,21.59
2010-09-24,21.17,21.60,20.93,21.56,10831700,21.49
2010-09-23,20.79,21.20,20.74,20.89,10825500,20.82
2010-09-22,21.24,21.42,20.88,20.92,12193200,20.85
2010-09-21,21.63,21.80,21.12,21.18,17356200,21.11
2010-09-20,21.49,21.80,21.27,21.74,6243700,21.66
2010-09-17,21.78,21.79,21.36,21.46,9321300,21.39
2010-09-16,21.35,21.82,21.30,21.63,12705100,21.56
2010-09-15,21.33,21.47,21.13,21.43,6649600,21.36
2010-09-14,21.62,21.74,21.36,21.49,7447500,21.42
2010-09-13,21.40,21.66,21.14,21.66,11931900,21.59
2010-09-10,20.99,21.24,20.93,21.20,10015400,21.13
2010-09-09,21.42,21.43,20.84,20.91,8917800,20.84
2010-09-08,21.21,21.42,20.96,21.12,8752900,21.05
2010-09-07,21.56,21.58,21.16,21.27,7252700,21.20
2010-09-03,21.50,21.81,21.39,21.72,6826800,21.64
2010-09-02,21.27,21.38,20.83,21.38,7555400,21.31
2010-09-01,20.99,21.38,20.87,21.24,10527300,21.17
2010-08-31,20.62,21.07,20.55,20.68,7474600,20.61
2010-08-30,20.81,21.30,20.77,20.83,10004300,20.76
2010-08-27,20.25,20.85,19.99,20.81,10638600,20.74
2010-08-26,20.05,20.55,20.01,20.07,9092900,20.00
2010-08-25,20.02,20.15,19.68,20.04,9876900,19.97
2010-08-24,20.22,20.72,19.99,20.23,11949900,20.16
2010-08-23,20.37,20.78,20.33,20.58,9250900,20.51
2010-08-20,20.65,20.73,20.35,20.38,8887600,20.31
2010-08-19,20.83,20.94,20.65,20.81,9164100,20.74
2010-08-18,21.29,21.30,20.84,20.88,9186400,20.81
2010-08-17,21.02,21.41,20.95,21.32,8827800,21.25
2010-08-16,20.81,21.05,20.69,20.93,8704300,20.86
2010-08-13,20.99,21.36,20.78,20.78,7183200,20.71
2010-08-12,21.00,21.30,20.79,21.04,10454000,20.97
2010-08-11,21.93,21.95,21.30,21.41,9334400,21.34
2010-08-10,21.72,22.36,21.61,22.24,9630800,22.16
2010-08-09,22.40,22.50,21.89,22.01,7102200,21.93
2010-08-06,22.09,22.38,21.92,22.29,8913900,22.21
2010-08-05,22.30,22.60,22.07,22.37,7933200,22.29
2010-08-04,22.20,22.50,22.00,22.44,13671700,22.36
