Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.48,37.83,36.89,37.36,3070700,37.36
2010-11-04,37.20,37.40,36.78,37.37,2172000,37.37
2010-11-03,36.85,37.48,36.24,36.82,3401400,36.82
2010-11-02,35.72,36.86,35.72,36.85,3824100,36.85
2010-11-01,35.32,35.81,34.87,35.38,3565800,35.38
2010-10-29,35.64,36.11,35.05,35.16,3755500,35.16
2010-10-28,36.12,36.30,35.34,35.66,2542500,35.66
2010-10-27,35.84,36.76,35.55,35.84,3782000,35.84
2010-10-26,36.16,36.38,35.87,36.13,2006100,36.13
2010-10-25,36.51,36.74,36.32,36.38,2357800,36.38
2010-10-22,35.66,36.41,35.58,36.17,2239000,36.17
2010-10-21,35.35,35.66,35.01,35.66,2516100,35.66
2010-10-20,34.64,35.60,34.62,35.31,1854100,35.31
2010-10-19,35.18,35.24,34.43,34.62,3314600,34.62
2010-10-18,35.82,35.95,35.27,35.71,3300900,35.71
2010-10-15,36.28,36.35,35.54,35.87,3641300,35.87
2010-10-14,36.19,36.63,35.63,35.95,3294600,35.95
2010-10-13,36.36,36.55,36.00,36.19,3778500,36.19
2010-10-12,35.95,36.30,35.58,36.13,2790300,36.13
2010-10-11,35.42,36.22,35.42,36.05,1538200,36.05
2010-10-08,35.39,35.55,34.99,35.42,1236900,35.42
2010-10-07,34.76,35.58,34.71,35.37,2378000,35.37
2010-10-06,35.47,36.04,34.33,34.58,3408200,34.58
2010-10-05,35.49,35.92,35.23,35.82,2594100,35.82
2010-10-04,35.92,36.05,34.95,35.16,2334200,35.16
2010-10-01,36.05,36.18,35.37,36.03,2715100,36.03
2010-09-30,35.65,35.99,35.40,35.78,3491900,35.78
2010-09-29,35.48,35.67,34.95,35.34,3037400,35.34
2010-09-28,35.68,35.76,35.34,35.54,2797300,35.54
2010-09-27,35.90,36.04,35.63,35.64,2010400,35.64
2010-09-24,35.65,36.01,35.57,36.01,2213900,36.01
2010-09-23,35.12,35.83,35.02,35.14,2027800,35.14
2010-09-22,35.51,35.70,35.08,35.47,2283400,35.47
2010-09-21,35.00,35.88,34.80,35.59,2260900,35.59
2010-09-20,34.51,35.05,34.43,34.98,1490200,34.98
2010-09-17,34.90,34.97,34.33,34.47,2055000,34.47
2010-09-16,34.60,34.70,34.25,34.64,1784100,34.64
2010-09-15,34.90,35.00,34.40,34.65,2900800,34.65
2010-09-14,35.24,35.39,34.91,35.07,2576000,35.07
2010-09-13,35.16,35.36,34.79,35.26,3383400,35.26
2010-09-10,34.48,34.69,34.20,34.64,1932200,34.64
2010-09-09,34.02,34.65,33.90,34.39,2885900,34.39
2010-09-08,33.48,33.72,33.35,33.65,1692200,33.65
2010-09-07,33.52,33.74,33.16,33.48,1457500,33.48
2010-09-03,33.34,33.92,33.28,33.76,1995100,33.76
2010-09-02,33.41,33.62,32.74,33.02,3325900,33.02
2010-09-01,32.68,33.58,32.39,33.57,2752400,33.57
2010-08-31,31.78,32.80,31.50,32.22,3526800,32.22
