Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,30.92,31.24,30.54,30.74,1013300,30.74
2010-11-04,30.29,30.91,30.13,30.90,1429600,30.90
2010-11-03,29.94,29.95,29.50,29.91,1295900,29.91
2010-11-02,29.86,29.98,29.73,29.88,744400,29.88
2010-11-01,29.64,29.98,29.35,29.50,1046300,29.50
2010-10-29,29.57,29.58,29.28,29.45,916700,29.45
2010-10-28,30.24,30.24,29.54,29.58,1705700,29.58
2010-10-27,30.22,30.38,29.90,30.34,955900,30.34
2010-10-26,30.59,30.65,30.23,30.27,950400,30.27
2010-10-25,30.75,30.84,30.59,30.66,753800,30.66
2010-10-22,30.29,30.56,30.29,30.49,810000,30.49
2010-10-21,30.46,30.70,30.17,30.25,896000,30.25
2010-10-20,29.97,30.39,29.88,30.26,965900,30.26
2010-10-19,29.87,30.29,29.70,29.78,1134400,29.78
2010-10-18,29.89,30.13,29.86,30.13,664600,30.13
2010-10-15,30.18,30.18,29.79,29.87,1327200,29.87
2010-10-14,29.77,30.26,29.74,29.91,1084900,29.91
2010-10-13,29.75,30.10,29.70,29.88,756200,29.88
2010-10-12,29.57,29.73,29.41,29.68,726900,29.68
2010-10-11,29.64,29.67,29.43,29.53,505400,29.53
2010-10-08,29.56,29.65,29.28,29.54,435800,29.54
2010-10-07,29.71,29.72,29.34,29.48,787400,29.48
2010-10-06,29.49,29.54,29.26,29.51,811000,29.51
2010-10-05,29.18,29.57,28.75,29.47,1316700,29.47
2010-10-04,28.87,29.04,28.72,28.88,809600,28.88
2010-10-01,29.08,29.13,28.68,28.85,1176300,28.85
2010-09-30,28.99,29.35,28.80,28.82,1311700,28.82
2010-09-29,28.93,28.95,28.56,28.69,829400,28.69
2010-09-28,28.58,29.00,28.35,28.95,1042900,28.95
2010-09-27,28.90,28.90,28.54,28.59,913200,28.59
2010-09-24,28.30,28.78,28.17,28.78,1264200,28.78
2010-09-23,28.05,28.30,27.90,27.91,1015400,27.91
2010-09-22,28.79,28.85,28.25,28.25,1884300,28.25
2010-09-21,29.34,29.34,28.68,28.81,1767000,28.81
2010-09-20,28.92,29.17,28.64,29.07,1463800,29.07
2010-09-17,29.34,29.39,29.01,29.21,1285800,28.81
2010-09-16,29.15,29.21,28.80,29.12,868300,28.72
2010-09-15,28.72,29.16,28.65,29.10,832800,28.70
2010-09-14,28.81,28.99,28.58,28.82,869000,28.43
2010-09-13,28.55,28.84,28.44,28.82,1244800,28.43
2010-09-10,28.27,28.42,28.14,28.26,936100,27.87
2010-09-09,28.27,28.38,28.02,28.25,1042800,27.86
2010-09-08,27.99,28.09,27.76,27.97,1363800,27.59
2010-09-07,28.22,28.22,27.76,27.83,910000,27.45
2010-09-03,27.99,28.30,27.85,28.30,1068500,27.91
2010-09-02,27.67,27.77,27.47,27.70,1249900,27.32
2010-09-01,27.06,27.59,26.90,27.59,1591300,27.21
2010-08-31,26.61,26.85,26.40,26.67,1230400,26.30
2010-08-30,27.17,27.17,26.58,26.60,672500,26.24
2010-08-27,26.89,27.23,26.63,27.22,822100,26.85
2010-08-26,27.01,27.01,26.62,26.66,879200,26.29
2010-08-25,26.72,27.03,26.45,26.94,859200,26.57
2010-08-24,26.58,26.96,26.51,26.79,1140800,26.42
2010-08-23,27.10,27.11,26.81,26.81,654800,26.44
2010-08-20,26.79,27.01,26.57,26.92,1034900,26.55
2010-08-19,27.26,27.29,26.80,26.83,908900,26.46
2010-08-18,27.19,27.38,26.95,27.37,1511500,27.00
2010-08-17,26.89,27.18,26.75,27.17,1244000,26.80
2010-08-16,26.58,26.77,26.47,26.62,893500,26.26
2010-08-13,26.53,26.98,26.46,26.67,1094200,26.30
2010-08-12,26.50,26.74,26.41,26.63,982300,26.27
2010-08-11,27.14,27.16,26.74,26.75,1301500,26.38
2010-08-10,27.50,27.64,27.29,27.48,987200,27.10
2010-08-09,27.74,27.84,27.60,27.83,840500,27.45
2010-08-06,27.68,27.87,27.18,27.49,1390400,27.11
2010-08-05,27.87,28.07,27.81,28.04,666400,27.66
2010-08-04,28.05,28.17,27.85,28.09,872200,27.71
2010-08-03,28.14,28.17,27.84,27.87,931400,27.49
2010-08-02,27.92,28.22,27.81,28.21,976500,27.82
2010-07-30,27.29,27.86,27.28,27.55,1109700,27.17
2010-07-29,28.04,28.09,27.44,27.74,1306600,27.36
2010-07-28,28.08,28.08,27.41,27.71,1300700,27.33
2010-07-27,28.10,28.10,27.89,28.02,949100,27.64
2010-07-26,27.57,27.92,27.44,27.92,728800,27.54
2010-07-23,27.24,27.60,27.10,27.55,878800,27.17
2010-07-22,26.86,27.28,26.79,27.24,1270900,26.87
2010-07-21,27.16,27.22,26.47,26.50,962200,26.14
2010-07-20,26.43,27.08,26.17,27.06,1155500,26.69
2010-07-19,26.68,26.89,26.45,26.78,853000,26.41
2010-07-16,27.36,27.39,26.58,26.62,1278400,26.26
2010-07-15,27.63,27.66,27.16,27.50,951100,27.12
2010-07-14,27.46,27.69,27.16,27.51,1114600,27.13
2010-07-13,27.23,27.67,27.23,27.61,1249700,27.23
2010-07-12,27.00,27.15,26.87,27.04,1128400,26.67
2010-07-09,26.70,27.09,26.66,27.08,923400,26.71
2010-07-08,26.62,26.82,26.34,26.82,1402000,26.45
2010-07-07,25.64,26.35,25.53,26.32,1240400,25.96
2010-07-06,25.74,25.92,25.25,25.52,1131600,25.17
2010-07-02,25.68,25.83,25.30,25.53,995000,25.18
2010-07-01,25.97,26.06,25.31,25.56,1645400,25.21
2010-06-30,26.20,26.33,25.86,25.87,1447800,25.52
2010-06-29,26.77,26.86,26.05,26.20,1849700,25.84
2010-06-28,27.45,27.45,27.07,27.08,968300,26.71
2010-06-25,27.12,27.38,26.85,27.36,1088500,26.99
2010-06-24,27.30,27.33,26.87,26.95,1043500,26.58
2010-06-23,27.63,27.74,27.15,27.32,1186800,26.95
2010-06-22,27.85,27.93,27.49,27.54,1520000,27.16
2010-06-21,28.16,28.20,27.59,27.69,1243100,27.31
2010-06-18,28.39,28.39,28.20,28.29,1069100,27.51
2010-06-17,28.29,28.30,28.01,28.28,1278300,27.50
2010-06-16,28.30,28.36,28.01,28.15,997400,27.38
2010-06-15,27.98,28.49,27.89,28.42,1049000,27.64
2010-06-14,28.10,28.25,27.84,27.97,1224800,27.20
2010-06-11,27.43,27.91,27.36,27.89,791600,27.12
2010-06-10,27.10,27.73,26.94,27.70,1182200,26.94
2010-06-09,26.92,26.97,26.57,26.66,1144500,25.93
2010-06-08,26.29,26.76,26.00,26.73,1227000,26.00
2010-06-07,26.59,26.70,26.24,26.24,1321600,25.52
2010-06-04,27.02,27.07,26.37,26.39,1398900,25.67
2010-06-03,27.47,27.57,27.20,27.47,708000,26.72
2010-06-02,26.90,27.44,26.68,27.43,934500,26.68
2010-06-01,26.97,27.41,26.67,26.67,1435600,25.94
2010-05-28,27.17,27.42,26.97,27.19,1230400,26.44
2010-05-27,26.75,27.25,26.41,27.25,1433500,26.50
2010-05-26,26.70,26.70,26.14,26.21,1224900,25.49
2010-05-25,26.07,26.40,25.65,26.40,1828600,25.67
2010-05-24,26.97,27.01,26.49,26.49,916500,25.76
2010-05-21,26.15,27.00,26.03,27.00,1588800,26.26
2010-05-20,27.12,27.31,26.57,26.63,1791400,25.90
2010-05-19,27.55,27.90,27.31,27.66,1005100,26.90
2010-05-18,28.09,28.16,27.51,27.54,1687400,26.78
2010-05-17,27.45,27.86,27.33,27.79,1327200,27.03
2010-05-14,27.57,27.63,27.25,27.40,1416200,26.65
2010-05-13,27.89,28.04,27.72,27.72,1019400,26.96
2010-05-12,27.66,27.86,27.54,27.83,1019400,27.07
2010-05-11,27.41,27.88,27.30,27.46,1408100,26.71
2010-05-10,27.46,27.69,27.24,27.63,1747500,26.87
2010-05-07,27.14,27.34,26.47,26.58,2785300,25.85
2010-05-06,27.87,28.02,26.11,26.99,2658400,26.25
2010-05-05,27.76,28.11,27.07,27.90,1868000,27.13
2010-05-04,28.47,28.47,27.79,28.00,1575600,27.23
2010-05-03,28.68,28.88,28.39,28.71,1113600,27.92
2010-04-30,28.81,28.85,28.37,28.44,1467200,27.66
2010-04-29,29.17,29.28,28.70,29.13,1266900,28.33
2010-04-28,28.97,29.51,28.97,29.17,919200,28.37
2010-04-27,29.95,30.04,28.85,28.89,936000,28.10
2010-04-26,30.23,30.38,30.00,30.02,567400,29.20
2010-04-23,29.81,30.21,29.63,30.21,796900,29.38
2010-04-22,29.64,29.87,29.31,29.85,771200,29.03
2010-04-21,29.79,29.86,29.53,29.73,1334200,28.91
2010-04-20,29.68,29.80,29.45,29.78,1014400,28.96
2010-04-19,29.17,29.57,29.16,29.56,855500,28.75
2010-04-16,29.71,29.79,29.15,29.25,1807000,28.45
2010-04-15,29.90,29.93,29.65,29.82,636900,29.00
2010-04-14,29.42,29.86,29.40,29.86,784700,29.04
2010-04-13,29.25,29.50,29.08,29.42,729600,28.61
2010-04-12,29.42,29.43,29.07,29.21,746200,28.41
2010-04-09,29.42,29.62,29.13,29.29,763400,28.49
2010-04-08,29.29,29.40,29.06,29.33,1229600,28.52
2010-04-07,29.42,29.47,29.13,29.23,870700,28.43
2010-04-06,29.21,29.40,29.20,29.37,695100,28.56
2010-04-05,29.18,29.30,28.96,29.27,659000,28.47
2010-04-01,29.00,29.17,28.87,29.08,799200,28.28
2010-03-31,29.13,29.13,28.82,28.91,936300,28.12
2010-03-30,29.37,29.38,29.07,29.18,708900,28.38
2010-03-29,29.12,29.34,29.06,29.31,705800,28.50
2010-03-26,28.87,29.20,28.87,29.00,727300,28.20
2010-03-25,28.98,29.20,28.84,28.86,776700,28.07
2010-03-24,28.69,28.90,28.69,28.79,712400,28.00
2010-03-23,28.77,28.97,28.63,28.95,705700,28.15
2010-03-22,28.87,28.93,28.62,28.68,1090800,27.89
2010-03-19,29.56,29.65,29.14,29.39,1558500,28.20
2010-03-18,29.12,29.29,29.06,29.28,652400,28.09
2010-03-17,28.86,29.21,28.82,29.11,714300,27.93
2010-03-16,28.75,28.85,28.58,28.75,813300,27.58
2010-03-15,28.68,28.73,28.40,28.69,982700,27.53
2010-03-12,28.64,28.83,28.37,28.50,1326000,27.34
2010-03-11,28.34,28.54,28.27,28.49,873400,27.34
2010-03-10,28.41,28.56,28.15,28.38,1277300,27.23
2010-03-09,28.19,28.56,28.17,28.42,848100,27.27
2010-03-08,28.19,28.38,28.09,28.33,894500,27.18
2010-03-05,28.00,28.17,27.82,28.06,1366000,26.92
2010-03-04,27.64,27.84,27.58,27.82,942400,26.69
2010-03-03,27.83,27.93,27.54,27.68,959900,26.56
2010-03-02,27.54,27.78,27.42,27.73,1383500,26.61
2010-03-01,27.02,27.39,26.82,27.38,1164400,26.27
2010-02-26,27.00,27.03,26.71,26.89,812000,25.80
2010-02-25,26.74,26.96,26.64,26.96,839400,25.87
2010-02-24,26.75,26.99,26.57,26.92,847400,25.83
2010-02-23,26.85,26.91,26.54,26.60,978300,25.52
2010-02-22,26.71,26.86,26.50,26.84,845000,25.75
2010-02-19,26.50,26.74,26.41,26.71,1182500,25.63
2010-02-18,26.49,26.69,26.41,26.66,1124600,25.58
2010-02-17,26.48,26.55,26.30,26.51,675000,25.44
2010-02-16,26.04,26.33,25.91,26.33,834900,25.26
2010-02-12,25.76,26.01,25.64,25.98,1361600,24.93
2010-02-11,25.80,26.09,25.65,25.87,897400,24.82
2010-02-10,25.79,26.00,25.60,25.85,809000,24.80
2010-02-09,25.80,25.98,25.50,25.78,1169800,24.73
2010-02-08,26.26,26.41,25.62,25.66,1433800,24.62
2010-02-05,26.27,26.54,25.91,26.31,1794900,25.24
2010-02-04,26.36,26.67,26.26,26.26,2393600,25.20
2010-02-03,26.50,26.71,26.37,26.63,1253100,25.55
2010-02-02,26.29,26.64,26.21,26.64,804300,25.56
2010-02-01,26.54,26.68,26.20,26.31,1434400,25.24
2010-01-29,26.29,26.60,26.23,26.39,1451100,25.32
2010-01-28,26.51,26.59,26.15,26.23,840600,25.17
2010-01-27,26.16,26.51,26.06,26.45,1097500,25.38
2010-01-26,26.43,26.77,26.19,26.23,863500,25.17
2010-01-25,26.57,26.74,26.35,26.47,1006400,25.40
2010-01-22,26.81,27.05,26.24,26.29,1283400,25.22
2010-01-21,27.10,27.28,26.57,26.84,1335300,25.75
2010-01-20,27.17,27.28,26.81,27.04,828700,25.94
2010-01-19,26.95,27.37,26.84,27.35,844700,26.24
2010-01-15,27.05,27.05,26.70,26.86,969000,25.77
2010-01-14,27.02,27.13,26.70,27.03,729400,25.93
2010-01-13,26.90,27.10,26.72,26.97,738500,25.88
2010-01-12,26.73,27.00,26.67,26.73,825700,25.65
2010-01-11,26.74,26.90,26.60,26.78,636400,25.69
2010-01-08,26.54,26.71,26.49,26.58,757800,25.50
2010-01-07,26.57,26.70,26.43,26.67,982900,25.59
2010-01-06,26.50,26.58,26.39,26.57,1139100,25.49
2010-01-05,26.43,26.54,26.29,26.51,1412800,25.44
2010-01-04,26.42,26.70,26.42,26.50,1261400,25.43
2009-12-31,26.54,26.89,26.24,26.24,1096900,25.18
2009-12-30,26.20,26.50,26.20,26.42,489200,25.35
2009-12-29,26.27,26.37,26.13,26.33,535400,25.26
2009-12-28,26.24,26.33,26.10,26.18,307700,25.12
2009-12-24,25.98,26.20,25.90,26.19,274600,25.13
2009-12-23,25.89,26.05,25.84,25.96,493800,24.91
2009-12-22,25.69,25.92,25.65,25.88,644500,24.83
2009-12-21,25.74,25.76,25.54,25.64,710100,24.60
2009-12-18,25.88,26.06,25.61,25.84,2627300,24.41
2009-12-17,25.86,26.04,25.78,25.87,2700200,24.44
2009-12-16,26.14,26.28,26.01,26.05,872300,24.61
2009-12-15,26.11,26.31,25.99,25.99,1172100,24.56
