Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,78.30,78.30,77.13,77.57,2890500,77.57
2010-11-04,79.00,79.11,78.19,78.44,3425500,78.44
2010-11-03,78.26,78.46,77.43,78.46,3060400,78.46
2010-11-02,77.37,78.25,77.37,78.05,3266100,78.05
2010-11-01,76.93,77.27,76.83,77.26,2710700,77.26
2010-10-29,75.36,77.44,74.90,77.12,4423500,77.12
2010-10-28,75.90,76.00,74.39,74.92,7905900,74.92
2010-10-27,75.92,76.12,75.17,75.50,2940300,75.50
2010-10-26,76.54,76.54,75.69,76.45,3646300,76.45
2010-10-25,77.14,77.29,76.60,76.87,1997400,76.87
2010-10-22,76.94,77.50,76.60,76.84,1482000,76.84
2010-10-21,77.33,77.55,76.31,76.70,2471800,76.70
2010-10-20,76.47,77.52,76.30,77.18,3125800,76.65
2010-10-19,76.30,76.89,75.95,76.25,2487500,75.73
2010-10-18,76.20,76.94,76.10,76.73,2845700,76.20
2010-10-15,76.15,76.38,75.59,75.89,2841500,75.37
2010-10-14,75.71,76.46,75.55,75.84,2091600,75.32
2010-10-13,75.35,76.01,75.13,75.73,2638300,75.21
2010-10-12,74.94,75.34,74.58,74.94,3178100,74.43
2010-10-11,75.15,75.73,74.55,74.85,2331300,74.34
2010-10-08,73.77,75.04,73.62,74.90,3245200,74.39
2010-10-07,74.44,74.50,73.67,73.75,3783400,73.24
2010-10-06,74.73,75.04,73.75,73.96,4931200,73.45
2010-10-05,75.90,76.10,74.40,74.92,7593800,74.41
2010-10-04,76.46,77.24,76.25,76.42,2981600,75.90
2010-10-01,77.11,77.38,76.44,76.57,4528400,76.04
2010-09-30,76.80,77.89,76.35,76.86,5879400,76.33
2010-09-29,78.74,79.00,78.14,78.31,2296200,77.77
2010-09-28,79.16,79.19,78.33,78.81,3133000,78.27
2010-09-27,78.25,79.19,78.14,78.93,2384000,78.39
2010-09-24,78.64,78.99,78.13,78.52,2881400,77.98
2010-09-23,77.94,78.43,77.64,78.06,2513400,77.52
2010-09-22,78.50,78.86,78.36,78.45,2663700,77.91
2010-09-21,78.15,79.00,77.88,78.55,4300100,78.01
2010-09-20,77.18,78.45,77.15,78.25,3257700,77.71
2010-09-17,76.68,77.43,76.68,77.37,4500200,76.84
2010-09-16,76.32,76.58,75.75,76.58,2902100,76.05
2010-09-15,75.44,76.55,75.13,76.27,2620400,75.75
2010-09-14,75.03,75.79,75.03,75.43,2943300,74.91
2010-09-13,75.50,75.59,74.90,75.05,2194000,74.53
2010-09-10,74.74,75.40,74.69,75.18,3582100,74.66
2010-09-09,75.05,75.21,74.39,74.56,2143000,74.05
2010-09-08,74.97,75.00,74.17,74.59,2575700,74.08
2010-09-07,74.70,75.75,74.51,74.76,3610000,74.25
