Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,69.66,71.66,69.66,71.10,3785000,71.10
2010-11-04,68.75,70.50,68.53,70.00,4989500,70.00
2010-11-03,67.40,67.75,65.60,66.87,3340100,66.87
2010-11-02,67.33,67.39,66.32,67.31,2239400,67.31
2010-11-01,65.71,67.47,65.30,66.36,3701500,66.36
2010-10-29,62.09,65.30,62.01,65.20,5257200,65.20
2010-10-28,64.66,65.00,62.75,63.37,3659700,63.37
2010-10-27,63.39,63.79,62.09,63.71,4156700,63.71
2010-10-26,64.25,65.05,63.52,64.48,4180500,64.48
2010-10-25,65.86,66.78,64.94,65.36,3273100,65.36
2010-10-22,64.40,64.73,63.00,64.60,3096900,64.60
2010-10-21,65.57,65.94,62.79,63.78,4551700,63.78
2010-10-20,63.10,65.47,63.00,64.97,4397100,64.97
2010-10-19,64.24,64.90,61.93,62.70,6525400,62.70
2010-10-18,67.00,67.04,65.78,66.17,3935200,66.17
2010-10-15,68.76,68.84,66.67,67.54,3447900,67.54
2010-10-14,68.99,69.47,67.39,68.20,3116800,68.20
2010-10-13,69.47,70.07,68.61,68.75,3951600,68.75
2010-10-12,68.74,68.86,66.97,68.31,4446800,68.31
2010-10-11,69.78,70.95,68.73,69.04,3411300,69.04
2010-10-08,66.68,69.98,66.50,69.18,6128900,69.18
2010-10-07,67.86,67.94,65.03,66.35,2924300,66.35
2010-10-06,66.27,67.84,66.10,66.89,3556200,66.89
2010-10-05,65.44,66.97,64.70,66.11,4528300,66.11
2010-10-04,66.12,66.12,63.47,64.12,4359400,64.12
2010-10-01,65.28,66.97,64.65,66.58,5801900,66.58
2010-09-30,65.12,65.48,62.86,63.92,4004800,63.92
2010-09-29,62.67,64.72,62.32,64.11,3959100,64.11
2010-09-28,63.00,63.05,61.35,62.77,3267500,62.77
2010-09-27,62.66,63.56,61.93,62.42,3311700,62.42
2010-09-24,62.24,62.85,61.77,62.58,3892600,62.58
2010-09-23,61.14,62.50,60.58,61.11,3562400,61.11
2010-09-22,61.16,63.20,61.01,62.25,6769400,62.25
2010-09-21,62.27,62.39,60.21,60.63,6449300,60.63
2010-09-20,61.11,62.00,59.86,61.81,6411300,61.81
2010-09-17,64.01,64.15,60.37,60.96,6426800,60.96
2010-09-16,63.12,64.48,63.02,63.48,3055500,63.48
2010-09-15,62.58,64.17,62.18,63.28,4548100,63.28
2010-09-14,65.14,65.14,63.08,63.18,9322500,63.18
2010-09-13,67.17,68.00,66.90,67.55,2802900,67.55
2010-09-10,65.50,66.31,64.55,65.53,2366700,65.53
2010-09-09,68.68,68.83,65.14,65.50,4321000,65.50
2010-09-08,67.30,68.72,67.04,67.31,4613300,67.31
2010-09-07,66.33,67.49,65.22,66.78,3983900,66.78
2010-09-03,67.32,68.24,66.57,67.08,4233900,67.08
2010-09-02,65.01,65.86,63.87,65.86,3871500,65.86
2010-09-01,63.89,65.30,63.80,64.95,5611300,64.95
2010-08-31,58.67,61.69,58.15,61.19,5554000,61.19
2010-08-30,60.11,61.65,59.00,59.03,4443400,59.03
2010-08-27,58.37,60.33,57.00,60.22,4194400,60.22
2010-08-26,59.01,59.57,57.09,57.42,3715500,57.42
2010-08-25,56.94,58.39,55.72,58.00,5241200,58.00
2010-08-24,57.97,58.99,57.55,57.81,4844900,57.81
2010-08-23,62.13,62.14,59.72,59.81,3283100,59.81
2010-08-20,61.14,61.51,59.94,61.28,4117900,61.28
2010-08-19,63.37,65.00,60.99,61.50,5770200,61.50
2010-08-18,63.15,64.35,62.01,63.61,4753000,63.61
2010-08-17,62.28,64.49,62.08,62.87,6382100,62.87
2010-08-16,58.79,61.00,58.30,60.47,4978500,60.47
2010-08-13,59.09,59.51,57.95,58.49,3812600,58.49
2010-08-12,56.30,59.63,56.23,58.69,4634200,58.69
2010-08-11,58.78,59.24,57.67,58.02,5176600,58.02
2010-08-10,60.97,61.44,59.90,61.23,5342500,61.09
2010-08-09,61.01,63.06,60.30,62.46,5366600,62.32
2010-08-06,60.03,62.47,59.36,60.03,6174200,59.89
2010-08-05,61.78,62.22,61.05,61.63,3443500,61.49
2010-08-04,60.03,62.48,59.46,62.44,5853100,62.30
2010-08-03,59.83,60.94,59.05,59.69,4771500,59.55
2010-08-02,58.32,60.82,58.25,60.60,6482900,60.46
2010-07-30,54.60,57.08,54.51,56.57,4542000,56.44
