Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,38.08,40.23,37.85,38.64,5215700,38.64
2010-11-04,37.45,38.06,37.19,38.01,3757500,38.01
2010-11-03,35.98,37.03,35.84,37.00,3347400,37.00
2010-11-02,36.17,36.28,35.61,35.95,2051700,35.95
2010-11-01,36.00,36.18,35.38,35.89,2522500,35.89
2010-10-29,35.82,36.28,35.65,35.78,2517800,35.78
2010-10-28,36.42,36.83,35.39,35.70,3303200,35.70
2010-10-27,35.27,36.32,35.15,36.29,4693800,36.29
2010-10-26,35.09,36.10,35.02,35.50,3941300,35.50
2010-10-25,36.50,36.57,35.20,35.23,4751300,35.23
2010-10-22,35.71,36.34,35.51,36.26,3881800,36.26
2010-10-21,35.80,36.00,35.29,35.68,6376400,35.68
2010-10-20,35.06,35.96,34.43,35.94,16090600,35.94
2010-10-19,38.87,39.61,38.17,38.39,3754400,38.39
2010-10-18,38.12,39.36,37.90,39.25,2149300,39.25
2010-10-15,38.97,39.01,37.70,38.18,3110400,38.18
2010-10-14,38.30,38.78,37.53,38.60,3596000,38.60
2010-10-13,39.16,39.56,38.38,38.47,2813800,38.47
2010-10-12,38.58,39.09,38.30,38.89,2022100,38.89
2010-10-11,38.71,39.00,38.46,38.60,1373600,38.60
2010-10-08,38.61,38.99,38.33,38.70,2205600,38.70
2010-10-07,39.29,39.50,38.31,38.63,2566300,38.63
2010-10-06,39.08,39.45,38.86,39.14,3745100,39.14
2010-10-05,37.35,38.96,37.15,38.66,4122300,38.66
2010-10-04,37.07,37.42,36.76,37.11,2358400,37.11
2010-10-01,37.66,37.94,36.76,37.16,2663100,37.16
2010-09-30,36.86,37.65,36.81,37.15,3332000,37.15
2010-09-29,36.48,36.72,35.85,36.52,3011900,36.52
2010-09-28,35.41,36.62,35.15,36.62,3276600,36.62
2010-09-27,36.31,36.35,35.34,35.37,1805500,35.37
2010-09-24,35.97,36.39,35.81,36.33,1746000,36.33
2010-09-23,35.57,36.31,35.27,35.31,1927600,35.31
2010-09-22,36.41,36.46,35.68,35.97,3425000,35.97
2010-09-21,37.70,37.78,36.62,36.66,2450500,36.66
2010-09-20,37.03,37.73,36.56,37.67,2317900,37.67
2010-09-17,37.42,37.55,36.76,36.88,1918900,36.88
2010-09-16,37.40,37.55,36.98,37.15,1262600,37.15
2010-09-15,37.30,37.80,36.91,37.79,1476400,37.79
2010-09-14,37.90,37.97,37.11,37.50,2108500,37.50
2010-09-13,37.30,38.39,37.25,38.02,3181800,38.02
2010-09-10,37.29,37.51,36.51,36.70,2278200,36.65
2010-09-09,37.31,37.88,36.53,36.76,2822900,36.71
2010-09-08,36.14,36.89,36.12,36.60,2453000,36.55
2010-09-07,36.71,36.71,35.87,36.07,1899700,36.02
2010-09-03,36.70,37.05,36.41,36.93,1874200,36.88
2010-09-02,35.74,36.35,35.48,36.32,2165300,36.27
2010-09-01,34.69,35.75,34.56,35.53,2637200,35.48
2010-08-31,33.81,34.84,33.59,34.41,3243400,34.36
2010-08-30,33.86,33.91,33.44,33.44,2215600,33.39
2010-08-27,33.47,34.06,33.11,34.06,1667000,34.01
2010-08-26,34.00,34.23,33.17,33.31,2541800,33.26
2010-08-25,34.00,34.17,33.35,33.82,3058300,33.77
2010-08-24,34.54,34.76,34.19,34.20,2318400,34.15
2010-08-23,35.45,35.86,34.98,35.04,1660300,34.99
2010-08-20,35.21,35.50,34.76,35.34,2516300,35.29
2010-08-19,36.18,36.48,35.13,35.52,3083700,35.47
2010-08-18,36.27,36.68,35.95,36.39,2241000,36.34
2010-08-17,36.47,36.53,35.86,36.33,2461100,36.28
2010-08-16,35.69,36.22,35.65,36.01,1872900,35.96
2010-08-13,36.12,36.59,35.87,35.87,1716500,35.82
2010-08-12,36.11,36.63,35.73,36.25,2169500,36.20
