Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.02,21.16,20.88,21.04,11258300,21.04
2010-11-04,20.88,21.19,20.79,21.06,21367700,21.06
2010-11-03,20.69,20.80,20.50,20.67,16720900,20.67
2010-11-02,20.64,20.78,20.54,20.68,16715500,20.68
2010-11-01,20.57,20.81,20.32,20.50,18067200,20.50
2010-10-29,20.83,20.87,20.56,20.63,25947300,20.63
2010-10-28,20.40,20.95,20.40,20.86,33977400,20.86
2010-10-27,19.52,20.48,19.47,20.27,47329000,20.27
2010-10-26,19.64,19.87,19.60,19.64,25302400,19.64
2010-10-25,19.62,19.90,19.51,19.77,34273900,19.77
2010-10-22,19.49,19.54,19.17,19.46,17690100,19.46
2010-10-21,19.42,19.71,19.26,19.51,37356000,19.51
2010-10-20,19.25,19.57,19.14,19.38,41364200,19.38
2010-10-19,18.83,19.20,18.83,19.11,47409700,19.11
2010-10-18,18.82,19.04,18.75,19.01,30151300,19.01
2010-10-15,18.49,19.01,18.34,18.95,46038500,18.95
2010-10-14,18.12,18.49,18.11,18.38,20099900,18.38
2010-10-13,18.07,18.22,17.97,18.14,14756300,18.14
2010-10-12,17.93,18.05,17.72,18.02,13251400,18.02
2010-10-11,17.92,18.05,17.81,18.02,15238100,18.02
2010-10-08,17.89,18.06,17.70,17.99,15993400,17.99
2010-10-07,17.85,18.03,16.91,17.89,19424000,17.89
2010-10-06,18.03,18.03,17.57,17.76,27583500,17.76
2010-10-05,17.87,18.13,17.85,18.07,25336000,18.07
2010-10-04,17.74,17.79,17.52,17.66,22929600,17.66
2010-10-01,18.28,18.32,17.81,17.82,22625200,17.72
2010-09-30,18.21,18.21,17.81,18.08,28005800,17.98
2010-09-29,18.25,18.33,17.93,18.15,20035700,18.05
2010-09-28,18.40,18.66,18.09,18.34,25283600,18.24
2010-09-27,18.49,18.51,18.25,18.31,19486100,18.21
2010-09-24,18.20,18.59,18.08,18.57,20108600,18.47
2010-09-23,17.84,18.24,17.65,17.92,18069400,17.82
2010-09-22,18.27,18.45,17.87,17.95,19893300,17.85
2010-09-21,18.07,18.28,18.02,18.13,20050500,18.03
2010-09-20,17.76,18.30,17.74,18.10,21873700,18.00
2010-09-17,17.66,18.01,17.62,17.64,31270400,17.55
2010-09-16,18.03,18.03,17.42,17.57,28519600,17.48
2010-09-15,17.68,18.41,17.50,18.04,45535100,17.94
2010-09-14,18.36,18.41,17.78,17.79,31407100,17.70
2010-09-13,18.50,18.56,18.13,18.42,19078300,18.32
2010-09-10,18.05,18.49,17.99,18.40,17430400,18.30
2010-09-09,18.12,18.18,17.90,17.98,9978400,17.88
2010-09-08,17.83,18.16,17.80,17.92,10318800,17.82
2010-09-07,18.06,18.15,17.69,17.80,14247300,17.71
2010-09-03,18.24,18.37,17.92,18.21,11297600,18.11
2010-09-02,18.05,18.11,17.76,18.08,22109100,17.98
2010-09-01,17.57,18.13,17.54,17.94,42948600,17.84
2010-08-31,16.89,17.28,16.85,17.10,21899800,17.01
2010-08-30,17.15,17.24,17.00,17.00,13246000,16.91
2010-08-27,17.18,17.31,16.88,17.25,17472900,17.16
2010-08-26,17.38,17.54,16.99,17.03,20025600,16.94
2010-08-25,16.81,17.48,16.76,17.33,26071600,17.24
2010-08-24,17.29,17.37,16.99,17.01,23695700,16.92
2010-08-23,17.98,18.01,17.43,17.45,20138700,17.36
2010-08-20,17.76,17.86,17.55,17.81,16805600,17.72
2010-08-19,17.93,18.04,17.59,17.84,20634100,17.74
2010-08-18,17.79,18.35,17.75,18.11,23241100,18.01
2010-08-17,17.88,18.01,17.72,17.76,22968400,17.67
2010-08-16,17.83,17.95,17.61,17.75,12291500,17.66
2010-08-13,18.00,18.11,17.83,17.87,14730100,17.77
2010-08-12,17.75,18.26,17.67,18.17,23198100,18.07
2010-08-11,18.22,18.34,17.97,18.01,22890600,17.91
2010-08-10,18.49,18.70,18.26,18.61,22605900,18.51
2010-08-09,18.75,18.85,18.64,18.73,18854900,18.63
2010-08-06,18.74,18.76,17.97,18.64,43674400,18.54
2010-08-05,19.06,19.30,18.89,18.94,20814800,18.84
2010-08-04,19.35,19.40,19.04,19.23,17427100,19.13
2010-08-03,19.42,19.50,19.04,19.21,14422800,19.11
2010-08-02,19.73,19.80,19.31,19.48,25732700,19.38
2010-07-30,18.85,19.71,18.83,19.47,27017100,19.37
2010-07-29,19.61,19.76,18.86,19.13,24018300,19.03
2010-07-28,19.12,19.72,18.84,19.56,29895400,19.46
2010-07-27,19.48,19.58,19.07,19.33,21731500,19.23
2010-07-26,19.32,19.49,19.17,19.47,15291800,19.37
2010-07-23,18.84,19.41,18.76,19.32,19692500,19.22
2010-07-22,18.47,19.00,18.46,18.82,20791700,18.72
2010-07-21,18.85,18.87,18.11,18.35,35187900,18.25
2010-07-20,18.74,18.95,18.58,18.86,22236500,18.76
2010-07-19,18.53,19.09,18.47,19.01,21234900,18.91
2010-07-16,19.31,19.35,18.48,18.54,27038900,18.44
2010-07-15,19.02,19.34,18.87,19.31,22860000,19.21
2010-07-14,19.02,19.22,18.86,18.98,17046000,18.88
2010-07-13,18.70,19.22,18.64,19.02,29205500,18.92
2010-07-12,17.92,18.59,17.85,18.51,30252900,18.41
2010-07-09,17.89,18.09,17.76,18.07,19400000,17.97
2010-07-08,17.96,18.01,17.64,17.84,38580900,17.74
2010-07-07,17.80,17.87,17.53,17.84,26867300,17.74
2010-07-06,17.60,18.10,17.57,17.80,39092200,17.71
2010-07-02,17.67,17.75,17.31,17.46,18692200,17.37
2010-07-01,17.32,17.77,17.07,17.74,31254600,17.55
2010-06-30,17.67,17.77,17.32,17.37,28896000,17.18
2010-06-29,17.91,17.97,17.49,17.68,30961300,17.49
2010-06-28,17.71,18.19,17.62,18.11,43067800,17.92
2010-06-25,17.83,17.89,17.56,17.67,32329300,17.48
2010-06-24,18.02,18.17,17.72,17.82,23152200,17.63
2010-06-23,18.23,18.47,18.09,18.18,16920700,17.99
2010-06-22,18.41,18.66,18.23,18.24,26905100,18.05
2010-06-21,18.66,18.88,18.20,18.35,11629700,18.15
2010-06-18,18.70,18.78,18.45,18.51,18149700,18.31
2010-06-17,18.45,18.59,18.34,18.58,13548600,18.38
2010-06-16,18.62,18.68,18.31,18.39,15190000,18.19
2010-06-15,18.35,18.73,18.27,18.65,17218200,18.45
2010-06-14,18.33,18.56,18.15,18.15,15366500,17.96
2010-06-11,17.93,18.23,17.71,18.19,26498800,18.00
2010-06-10,17.71,18.09,17.58,18.07,21576100,17.88
2010-06-09,17.53,17.96,17.39,17.42,19169000,17.23
2010-06-08,17.39,17.56,17.13,17.43,20931900,17.24
2010-06-07,17.80,17.82,17.35,17.36,20663900,17.17
2010-06-04,18.08,18.20,17.73,17.79,24623400,17.60
2010-06-03,18.34,18.45,18.14,18.40,17264300,18.20
2010-06-02,18.09,18.40,17.90,18.38,21903300,18.18
2010-06-01,17.74,18.37,17.73,18.02,25125300,17.83
2010-05-28,18.04,18.33,17.97,18.09,21281500,17.90
2010-05-27,17.99,18.34,17.91,18.33,26067200,18.13
2010-05-26,17.76,18.46,17.65,17.72,42438100,17.53
2010-05-25,16.46,17.72,16.30,17.67,48591200,17.48
2010-05-24,16.89,17.12,16.61,16.77,16235600,16.59
2010-05-21,16.45,17.78,16.36,17.03,35271800,16.85
2010-05-20,17.27,17.31,16.77,16.79,28277900,16.61
2010-05-19,17.66,17.77,17.24,17.58,22110700,17.39
2010-05-18,18.22,18.40,17.60,17.69,22069900,17.50
2010-05-17,17.63,18.15,17.51,18.10,23947400,17.91
