Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,296.19,299.49,292.72,295.03,507700,295.03
2010-11-04,292.00,297.12,290.20,297.12,630300,297.12
2010-11-03,289.37,291.44,284.99,289.59,284300,289.59
2010-11-02,287.62,290.72,287.62,288.95,402500,288.95
2010-11-01,290.91,291.05,284.53,287.00,474200,287.00
2010-10-29,287.88,292.16,286.50,289.65,753600,289.65
2010-10-28,284.25,289.58,281.20,289.40,934100,289.40
2010-10-27,278.93,283.06,278.13,282.45,959100,282.45
2010-10-26,281.32,283.15,279.86,280.53,711300,280.53
2010-10-25,285.37,285.80,280.73,282.98,613600,282.98
2010-10-22,281.90,284.70,280.53,283.69,365800,283.69
2010-10-21,283.50,286.18,279.76,282.25,624700,282.25
2010-10-20,279.53,285.00,278.16,280.78,888300,280.78
2010-10-19,277.95,282.22,275.60,280.77,935900,280.77
2010-10-18,270.92,282.87,270.05,280.87,1086900,280.87
2010-10-15,265.83,269.50,262.84,267.51,641200,267.51
2010-10-14,263.28,265.50,261.00,264.93,518800,264.93
2010-10-13,265.08,266.20,259.83,263.77,763800,263.77
2010-10-12,259.50,264.87,255.62,264.17,1114100,264.17
2010-10-11,262.38,262.38,258.70,259.57,422200,259.57
2010-10-08,263.57,263.57,260.50,262.38,449300,262.38
2010-10-07,267.95,269.88,263.24,263.87,394200,263.87
2010-10-06,268.69,270.90,265.35,267.24,388300,267.24
2010-10-05,262.37,269.72,258.22,267.63,705100,267.63
2010-10-04,259.59,263.33,258.00,259.90,416200,259.90
2010-10-01,261.00,261.99,256.53,260.01,423900,260.01
2010-09-30,261.25,264.20,260.18,260.45,666900,260.45
2010-09-29,263.66,265.00,259.20,259.55,670600,259.55
2010-09-28,267.91,267.91,262.95,264.52,573300,264.52
2010-09-27,268.82,269.77,265.80,266.16,518900,266.16
2010-09-24,264.24,270.98,263.51,269.63,628000,269.63
2010-09-23,264.84,265.24,260.64,261.02,497000,261.02
2010-09-22,268.78,271.17,266.30,266.34,414500,266.34
2010-09-21,272.50,272.73,266.26,268.94,488500,268.94
2010-09-20,264.33,274.98,263.47,271.92,866500,271.92
2010-09-17,269.20,270.50,262.32,263.87,956500,263.87
2010-09-16,271.00,272.23,266.45,268.06,351700,268.06
2010-09-15,267.50,272.10,266.05,271.49,371100,271.49
2010-09-14,269.09,270.88,268.28,269.32,274300,269.32
2010-09-13,268.53,272.05,267.16,271.03,563900,271.03
2010-09-10,262.03,265.58,261.91,264.90,361300,264.90
2010-09-09,264.78,265.31,259.72,262.35,377100,262.35
