Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,95.64,96.63,95.26,96.39,1713800,96.39
2010-11-04,93.22,95.72,92.78,95.64,2937700,95.64
2010-11-03,91.40,91.68,89.87,91.47,1885200,91.47
2010-11-02,88.80,91.76,88.49,91.37,3400100,91.37
2010-11-01,87.90,89.50,87.51,88.20,2821900,88.20
2010-10-29,89.26,89.86,87.94,88.10,2839600,88.10
2010-10-28,90.23,90.23,88.24,89.01,3118400,89.01
2010-10-27,89.27,90.25,88.22,89.26,4038400,89.26
2010-10-26,87.41,91.56,87.00,89.00,10456900,89.00
2010-10-25,94.77,96.13,94.26,94.49,2034800,94.49
2010-10-22,94.09,94.09,92.50,93.63,1328200,93.63
2010-10-21,92.58,93.81,91.83,93.75,2588700,93.75
2010-10-20,90.58,93.14,90.36,92.05,1583100,92.05
2010-10-19,89.74,91.58,88.80,90.17,2494900,90.17
2010-10-18,93.64,93.64,90.80,91.35,2866500,91.35
2010-10-15,94.37,94.87,92.41,93.64,1855300,93.64
2010-10-14,93.01,94.77,93.00,93.76,1900600,93.76
2010-10-13,93.00,93.75,92.55,92.82,1697500,92.82
2010-10-12,92.88,92.88,90.68,92.26,1774500,92.26
2010-10-11,93.19,94.19,92.50,93.06,1070000,93.06
2010-10-08,92.59,93.66,91.52,92.91,1812800,92.91
2010-10-07,93.70,93.80,90.83,92.28,2555200,92.28
2010-10-06,92.19,93.60,91.93,93.22,1873300,93.22
2010-10-05,91.35,92.97,90.63,92.24,2479800,92.24
2010-10-04,91.25,91.68,88.85,89.69,3094400,89.69
2010-10-01,91.37,91.70,89.66,91.31,2543500,91.31
2010-09-30,92.40,92.86,89.68,90.58,2607700,90.58
2010-09-29,90.77,91.90,90.35,91.30,1917100,91.30
2010-09-28,90.06,91.17,88.24,90.96,1971400,90.96
2010-09-27,90.86,90.86,89.34,89.60,1831200,89.60
2010-09-24,90.00,92.50,90.00,90.86,3285600,90.86
2010-09-23,87.16,89.62,86.75,88.31,3239800,88.31
2010-09-22,89.11,90.00,87.67,88.39,2249000,88.39
2010-09-21,88.60,90.47,87.85,89.13,3432300,89.13
2010-09-20,85.86,88.43,85.32,87.95,2676500,87.95
2010-09-17,84.74,85.57,83.02,85.14,2746500,85.14
2010-09-16,83.03,84.50,82.77,84.08,2203300,84.08
2010-09-15,84.15,84.49,82.30,83.32,3102000,83.32
2010-09-14,84.18,85.58,83.65,85.02,1744000,85.02
2010-09-13,84.28,84.93,83.34,84.81,2502600,84.81
2010-09-10,81.88,82.82,81.24,81.92,1734600,81.92
2010-09-09,83.33,83.49,80.85,81.44,1508400,81.44
2010-09-08,81.00,82.42,80.34,81.96,1915200,81.96
2010-09-07,82.43,82.75,80.75,80.88,2242200,80.88
2010-09-03,82.91,84.69,82.16,83.16,3054500,83.16
2010-09-02,79.74,81.84,79.09,81.80,3320500,81.80
2010-09-01,77.07,81.21,77.00,79.88,5080100,79.88
2010-08-31,73.24,75.23,72.51,74.41,2664900,74.41
2010-08-30,75.32,76.00,73.66,73.82,1961500,73.82
2010-08-27,73.71,76.50,71.97,76.19,3183400,76.19
2010-08-26,74.23,75.62,72.48,72.57,3194400,72.57
2010-08-25,73.80,74.30,71.51,73.48,4159100,73.48
2010-08-24,75.00,76.24,73.76,74.77,3401100,74.77
2010-08-23,80.19,80.19,76.04,76.50,3334200,76.50
2010-08-20,82.07,82.15,78.65,79.51,2834100,79.51
2010-08-19,81.24,82.69,80.39,81.24,3441900,81.24
2010-08-18,80.60,82.17,79.37,81.83,2484100,81.57
2010-08-17,78.86,81.24,78.69,80.57,2447000,80.31
2010-08-16,77.06,78.42,76.00,77.77,1508900,77.52
2010-08-13,77.70,78.42,77.02,77.75,2055400,77.50
2010-08-12,75.51,78.52,75.00,77.97,4736600,77.72
2010-08-11,79.26,80.13,77.17,77.81,4582600,77.56
2010-08-10,80.00,81.88,79.56,81.48,3047300,81.22
2010-08-09,82.04,82.46,80.76,81.12,1879800,80.86
2010-08-06,80.94,82.21,79.65,81.13,2542100,80.87
2010-08-05,81.05,81.98,80.15,81.64,1940900,81.38
2010-08-04,80.52,81.64,79.47,81.49,2886500,81.23
2010-08-03,81.20,81.87,79.47,80.04,3143900,79.78
2010-08-02,81.48,82.13,80.78,81.41,2388000,81.15
2010-07-30,77.70,80.14,77.01,79.61,2580900,79.35
2010-07-29,80.93,81.09,78.27,79.14,2400000,78.89
2010-07-28,79.25,80.39,79.01,79.76,3043500,79.50
2010-07-27,82.18,82.34,78.62,79.43,6302100,79.17
2010-07-26,76.90,78.43,76.70,77.85,2917300,77.60
2010-07-23,75.50,77.98,74.60,76.97,3089100,76.72
2010-07-22,75.21,76.36,74.60,75.90,2723800,75.66
2010-07-21,73.50,75.24,72.77,73.15,3241200,72.91
2010-07-20,68.99,72.74,68.82,72.54,2450500,72.31
2010-07-19,70.43,71.01,68.52,70.66,1924400,70.43
2010-07-16,71.78,72.54,69.36,69.50,3625200,69.28
2010-07-15,74.94,74.94,72.05,72.70,4563000,72.47
2010-07-14,73.48,75.38,72.90,74.64,4053000,74.40
2010-07-13,72.35,74.24,71.96,73.73,4266500,73.49
2010-07-12,71.26,71.70,69.87,70.66,3155700,70.43
2010-07-09,69.00,71.64,68.37,71.53,3400900,71.30
2010-07-08,68.28,69.20,67.19,68.94,3937700,68.72
2010-07-07,63.69,67.59,63.58,67.41,4362500,67.19
2010-07-06,65.86,66.30,63.04,63.57,3913900,63.37
2010-07-02,65.01,65.67,63.71,64.24,3766900,64.03
2010-07-01,64.87,66.64,63.24,64.82,5136200,64.61
2010-06-30,66.19,67.36,65.02,65.13,3268500,64.92
2010-06-29,68.98,69.02,65.50,66.24,4498100,66.03
2010-06-28,72.57,72.76,70.40,70.46,3046100,70.23
2010-06-25,71.85,72.69,70.54,72.59,5343100,72.36
2010-06-24,72.09,72.85,70.75,71.36,2625000,71.13
2010-06-23,72.30,73.85,70.61,73.15,2393800,72.91
2010-06-22,75.01,75.57,72.01,72.21,3050500,71.98
2010-06-21,76.00,77.10,74.33,74.97,3687300,74.73
2010-06-18,74.06,74.95,73.35,74.30,2796500,74.06
2010-06-17,75.15,75.20,72.96,73.81,2259000,73.57
2010-06-16,74.62,75.04,74.04,74.51,3103900,74.27
2010-06-15,73.00,75.46,72.98,75.37,2652100,75.13
2010-06-14,73.69,74.34,72.08,72.41,2619200,72.18
2010-06-11,69.04,72.43,68.92,72.22,2585100,71.99
2010-06-10,67.57,70.84,67.57,70.48,3982600,70.25
2010-06-09,65.95,67.51,65.40,65.89,3417100,65.68
2010-06-08,63.50,65.50,62.80,65.19,2923400,64.98
2010-06-07,66.52,66.52,62.86,62.94,3060900,62.74
2010-06-04,69.00,70.00,65.50,66.35,4142600,66.14
2010-06-03,71.22,72.00,69.14,70.54,3427800,70.31
2010-06-02,67.17,69.89,66.16,69.78,2779600,69.56
2010-06-01,67.08,69.10,66.05,66.09,1911800,65.88
2010-05-28,69.78,70.20,67.02,67.98,3170300,67.76
2010-05-27,68.10,69.62,67.73,69.59,2377400,69.37
2010-05-26,66.42,68.62,65.54,65.98,3562400,65.77
2010-05-25,61.45,65.11,60.50,64.94,4194500,64.73
2010-05-24,66.00,66.81,64.07,64.23,2162600,64.02
2010-05-21,62.00,66.20,60.36,65.87,4074500,65.66
2010-05-20,66.03,66.08,62.00,63.70,7800300,63.50
2010-05-19,68.04,69.77,66.51,68.47,3783300,68.25
2010-05-18,73.04,73.45,69.51,69.95,2625300,69.55
2010-05-17,71.75,72.44,68.71,71.27,4033200,70.86
2010-05-14,73.29,73.31,70.68,71.55,4568600,71.14
2010-05-13,75.18,76.23,73.65,74.04,2855100,73.62
2010-05-12,72.74,75.45,72.52,75.09,2981300,74.66
2010-05-11,70.77,72.95,70.60,71.76,2946800,71.35
2010-05-10,69.72,72.38,69.60,72.13,4854300,71.72
2010-05-07,64.85,68.49,64.57,65.31,6749900,64.94
2010-05-06,69.95,72.00,58.91,67.24,8957800,66.86
2010-05-05,68.82,71.80,67.30,70.41,4479100,70.01
2010-05-04,71.96,72.01,69.33,70.65,5014200,70.25
2010-05-03,72.67,74.25,72.60,73.25,2891000,72.83
2010-04-30,75.75,76.56,72.05,72.23,3565500,71.82
2010-04-29,74.71,76.95,74.22,75.79,4009900,75.36
2010-04-28,73.20,74.95,73.07,73.81,4623600,73.39
2010-04-27,74.45,76.35,71.99,72.40,9373000,71.99
2010-04-26,70.24,71.50,70.01,70.31,2942100,69.91
