Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,18.67,18.70,18.31,18.38,4317500,18.38
2010-11-04,18.40,18.64,18.28,18.63,4829200,18.63
2010-11-03,18.50,18.50,18.07,18.26,3861600,18.26
2010-11-02,18.54,18.65,18.34,18.62,3634000,18.41
2010-11-01,18.54,18.61,18.10,18.23,2698000,18.02
2010-10-29,18.46,18.48,18.26,18.38,5350600,18.17
2010-10-28,18.56,18.77,18.38,18.51,2587200,18.30
2010-10-27,18.20,18.34,17.99,18.30,5767400,18.09
2010-10-26,18.57,18.57,18.22,18.33,5702800,18.12
2010-10-25,18.81,18.87,18.65,18.72,4999600,18.51
2010-10-22,18.58,18.70,18.50,18.69,5819000,18.48
2010-10-21,18.75,18.75,18.41,18.55,6704800,18.34
2010-10-20,18.71,18.87,18.65,18.67,5299700,18.46
2010-10-19,18.59,18.81,18.55,18.65,4061800,18.44
2010-10-18,18.74,18.90,17.96,18.75,5335000,18.54
2010-10-15,18.83,18.83,18.62,18.81,4064300,18.60
2010-10-14,18.47,18.76,18.47,18.75,5534600,18.54
2010-10-13,18.81,18.88,18.44,18.53,6383300,18.32
2010-10-12,18.91,18.95,18.68,18.83,5331900,18.62
2010-10-11,18.79,19.07,18.73,18.92,5648600,18.71
2010-10-08,18.65,18.85,18.53,18.84,5201000,18.63
2010-10-07,18.75,18.75,18.50,18.68,3420100,18.47
2010-10-06,18.55,18.62,18.46,18.60,4451400,18.39
2010-10-05,18.42,18.59,18.35,18.55,6472700,18.34
2010-10-04,18.25,18.34,18.05,18.27,3660300,18.06
2010-10-01,18.19,18.28,18.04,18.22,2518500,18.01
2010-09-30,18.23,18.38,18.01,18.02,4035800,17.82
2010-09-29,17.98,18.20,17.93,18.15,3480100,17.95
2010-09-28,18.01,18.12,17.84,18.02,3594400,17.82
2010-09-27,18.00,18.09,17.80,18.01,3889800,17.81
2010-09-24,17.88,18.07,17.85,18.06,2344900,17.86
2010-09-23,17.95,17.98,17.69,17.71,6238600,17.51
2010-09-22,17.74,18.08,17.74,18.01,4866000,17.81
2010-09-21,18.05,18.10,17.74,17.80,5318400,17.60
2010-09-20,17.78,18.12,17.74,18.05,5430200,17.85
2010-09-17,17.96,18.00,17.69,17.73,3475000,17.53
2010-09-16,17.92,18.07,17.77,17.87,5819100,17.67
2010-09-15,17.82,17.98,17.72,17.97,2160200,17.77
2010-09-14,17.87,17.96,17.71,17.91,2720400,17.71
2010-09-13,17.86,17.95,17.77,17.87,4569300,17.67
2010-09-10,17.63,17.78,17.43,17.70,4712000,17.50
2010-09-09,17.66,17.72,17.53,17.65,2693600,17.45
2010-09-08,17.73,17.83,17.45,17.52,10837700,17.32
2010-09-07,17.78,17.92,17.63,17.73,3231400,17.53
2010-09-03,17.74,17.91,17.68,17.79,3162500,17.59
2010-09-02,17.92,17.99,17.79,17.80,3812500,17.60
2010-09-01,17.65,17.88,17.57,17.84,4268200,17.64
2010-08-31,17.37,17.57,17.26,17.50,3779000,17.30
2010-08-30,17.74,17.77,17.41,17.43,2520600,17.23
2010-08-27,17.56,17.84,17.34,17.76,3733100,17.56
2010-08-26,17.69,17.77,17.42,17.47,4338500,17.27
2010-08-25,17.44,17.50,17.20,17.50,5339900,17.30
2010-08-24,17.25,17.56,17.20,17.50,5006000,17.30
2010-08-23,17.12,17.49,17.06,17.33,4390000,17.13
2010-08-20,16.89,17.13,16.86,17.04,3658100,16.85
2010-08-19,17.13,17.13,16.82,17.04,4149600,16.85
2010-08-18,17.37,17.43,17.04,17.14,7062800,16.95
2010-08-17,17.52,17.61,17.29,17.34,6605200,17.14
2010-08-16,17.32,17.54,17.16,17.40,2461300,17.20
2010-08-13,17.14,17.47,17.13,17.36,4872000,17.16
2010-08-12,16.67,17.17,16.62,17.17,4684800,16.98
2010-08-11,16.95,17.12,16.85,16.96,4416600,16.77
2010-08-10,16.95,17.21,16.82,17.16,4031000,16.97
2010-08-09,16.98,17.37,16.87,17.06,11771900,16.87
2010-08-06,16.06,16.89,15.96,16.89,11315500,16.70
2010-08-05,15.96,16.20,15.95,16.19,1475500,16.01
2010-08-04,15.93,16.09,15.84,16.06,3629900,15.88
2010-08-03,16.15,16.40,16.11,16.17,2469300,15.84
2010-08-02,16.07,16.23,16.07,16.23,2232000,15.90
2010-07-30,16.01,16.06,15.79,15.92,3611800,15.59
2010-07-29,16.46,16.46,16.00,16.16,2673100,15.83
2010-07-28,16.47,16.57,16.12,16.31,5399200,15.98
2010-07-27,16.33,16.58,16.22,16.57,5855800,16.23
2010-07-26,16.03,16.28,16.03,16.28,2644200,15.95
2010-07-23,15.95,16.07,15.80,16.06,2281200,15.73
2010-07-22,15.78,15.97,15.78,15.92,2772200,15.59
2010-07-21,16.03,16.06,15.58,15.69,3050400,15.37
2010-07-20,15.71,16.02,15.60,15.97,2963300,15.64
2010-07-19,15.68,15.89,15.59,15.85,4507000,15.53
2010-07-16,15.88,15.95,15.58,15.62,2939300,15.30
2010-07-15,15.80,16.02,15.71,16.00,4176600,15.67
2010-07-14,15.76,15.84,15.65,15.81,5039400,15.49
2010-07-13,15.86,15.97,15.76,15.84,2815100,15.52
2010-07-12,15.64,15.83,15.62,15.76,3001200,15.44
2010-07-09,15.45,15.70,15.32,15.67,2912800,15.35
2010-07-08,15.29,15.44,15.14,15.44,2233600,15.12
2010-07-07,14.86,15.24,14.83,15.24,1855200,14.93
2010-07-06,14.79,14.96,14.67,14.87,2100100,14.57
