Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,32.03,32.26,31.72,32.21,979900,32.21
2010-11-04,31.52,32.00,31.45,31.86,1428500,31.86
2010-11-03,30.71,31.17,30.42,31.03,1540100,31.03
2010-11-02,30.58,30.61,29.86,30.54,787600,30.54
2010-11-01,29.50,30.78,29.50,30.16,1998100,30.16
2010-10-29,28.16,29.19,28.01,28.98,1185900,28.98
2010-10-28,28.86,28.99,28.03,28.27,1813400,28.27
2010-10-27,28.29,28.71,27.81,28.68,2456500,28.68
2010-10-26,30.50,30.50,28.50,28.66,4255900,28.66
2010-10-25,31.23,31.60,30.61,30.92,1729800,30.92
2010-10-22,30.47,30.93,30.43,30.88,1173100,30.88
2010-10-21,30.57,31.03,30.00,30.43,1240900,30.43
2010-10-20,29.84,30.56,29.80,30.46,1241600,30.46
2010-10-19,30.39,30.56,29.73,29.90,1302100,29.90
2010-10-18,30.47,31.17,30.21,31.05,674700,31.05
2010-10-15,31.02,31.17,30.25,30.52,1125600,30.52
2010-10-14,31.15,31.20,30.46,30.71,1141700,30.71
2010-10-13,30.92,31.35,30.83,31.17,1637800,31.17
2010-10-12,31.37,31.39,29.94,30.66,2362800,30.66
2010-10-11,32.10,32.23,31.41,31.53,1097300,31.53
2010-10-08,31.38,32.19,31.24,32.04,1065100,32.04
2010-10-07,31.68,31.68,31.02,31.34,1209900,31.34
2010-10-06,30.77,31.80,30.77,31.53,1913900,31.53
2010-10-05,30.28,31.22,30.28,30.72,2258700,30.72
2010-10-04,30.52,30.71,29.51,29.77,1576000,29.77
2010-10-01,30.50,30.97,30.40,30.56,1691400,30.56
2010-09-30,30.46,30.65,29.50,30.11,2333600,30.11
2010-09-29,28.53,30.27,28.43,30.20,1864200,30.20
2010-09-28,28.48,28.79,28.17,28.71,938300,28.71
2010-09-27,28.73,29.10,28.36,28.40,1494500,28.40
2010-09-24,28.38,28.90,28.08,28.69,1575000,28.69
2010-09-23,27.08,28.39,26.96,27.99,2279800,27.99
2010-09-22,27.96,28.31,27.38,27.43,2034100,27.43
2010-09-21,27.68,28.02,27.31,28.02,2054700,28.02
2010-09-20,27.01,27.69,26.62,27.67,2260600,27.67
2010-09-17,27.87,27.93,26.95,26.99,3122600,26.99
2010-09-16,28.13,28.65,27.47,27.82,3296800,27.82
2010-09-15,29.10,29.37,28.75,28.82,1483500,28.82
2010-09-14,29.29,29.79,29.02,29.32,1527400,29.32
2010-09-13,29.60,29.81,28.91,29.30,1668900,29.30
2010-09-10,28.66,29.25,28.51,29.12,2125800,29.12
2010-09-09,29.08,29.23,28.43,28.45,1382600,28.45
2010-09-08,28.57,29.02,28.37,28.61,1070000,28.61
2010-09-07,29.05,29.14,28.37,28.58,1059000,28.58
2010-09-03,29.21,29.50,28.92,29.28,930900,29.28
2010-09-02,28.84,28.91,28.26,28.90,1174900,28.90
2010-09-01,28.33,29.04,28.24,28.78,2237800,28.78
2010-08-31,28.00,28.52,27.68,27.84,2006600,27.84
2010-08-30,28.67,29.35,28.18,28.18,2292500,28.18
2010-08-27,28.30,28.77,27.49,28.69,1376800,28.69
2010-08-26,28.23,28.43,27.75,27.92,1375500,27.92
2010-08-25,28.39,28.39,27.41,27.97,2435100,27.97
2010-08-24,28.91,28.93,28.29,28.68,2293100,28.68
2010-08-23,29.30,29.89,29.17,29.52,2563700,29.52
2010-08-20,29.22,29.39,28.84,29.28,1679500,29.28
2010-08-19,29.58,29.67,28.91,29.59,2661400,29.59
2010-08-18,30.18,30.35,29.66,30.15,1219000,30.15
2010-08-17,30.52,30.63,29.84,30.31,2705700,30.31
2010-08-16,30.46,30.63,30.07,30.18,1925700,30.18
2010-08-13,30.78,31.26,30.50,30.69,1679900,30.69
2010-08-12,30.27,31.12,30.08,30.77,1693000,30.77
2010-08-11,31.48,31.56,30.76,30.97,1464200,30.97
2010-08-10,31.90,32.46,31.50,32.22,1177600,32.22
2010-08-09,32.04,32.40,31.81,32.33,983000,32.33
2010-08-06,32.08,32.27,31.18,31.85,1994400,31.85
2010-08-05,32.58,32.77,32.09,32.50,1466400,32.50
2010-08-04,32.24,32.99,32.14,32.76,1672400,32.76
2010-08-03,31.28,32.81,31.03,32.27,2329500,32.27
2010-08-02,31.21,31.62,30.94,31.29,1281300,31.26
2010-07-30,30.17,30.71,29.85,30.47,1344200,30.44
2010-07-29,30.20,30.73,29.70,30.53,1390700,30.50
2010-07-28,30.45,30.80,29.81,30.01,1584800,29.98
2010-07-27,31.80,32.01,30.24,30.45,2293200,30.42
2010-07-26,32.05,32.08,31.32,31.70,2391100,31.67
