Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,52.22,53.00,52.18,52.92,2937600,52.92
2010-11-04,50.85,52.47,50.76,52.40,5831900,52.40
2010-11-03,50.08,50.62,49.48,50.50,2999900,50.50
2010-11-02,50.33,50.60,49.67,49.76,4431600,49.76
2010-11-01,50.22,50.48,49.75,50.12,2882600,50.12
2010-10-29,49.30,50.23,49.16,50.00,3349200,50.00
2010-10-28,49.44,50.00,48.96,49.65,4054500,49.65
2010-10-27,49.18,50.22,48.38,49.70,6245700,49.70
2010-10-26,47.47,50.75,47.39,49.78,13132700,49.78
2010-10-25,44.90,45.64,44.39,44.48,5333000,44.48
2010-10-22,44.48,44.96,44.35,44.55,2425500,44.55
2010-10-21,44.38,44.87,43.70,44.42,3152200,44.42
2010-10-20,43.69,44.92,43.69,44.15,3045000,44.15
2010-10-19,43.98,44.33,43.10,43.52,2824200,43.52
2010-10-18,44.92,44.94,44.25,44.77,1450400,44.77
2010-10-15,44.74,44.97,44.08,44.73,2378100,44.73
2010-10-14,44.24,44.61,43.98,44.20,2672300,44.20
2010-10-13,44.60,44.95,44.16,44.23,2516300,44.23
2010-10-12,43.85,44.53,43.56,44.29,2533500,44.29
2010-10-11,44.33,44.75,43.70,43.90,3174700,43.90
2010-10-08,44.02,44.95,43.91,44.37,2726200,44.37
2010-10-07,43.69,44.34,43.34,43.90,2792400,43.90
2010-10-06,43.49,43.49,42.69,43.48,3391600,43.48
2010-10-05,43.50,43.88,43.19,43.65,3454700,43.65
2010-10-04,43.07,43.38,42.27,42.90,2531700,42.90
2010-10-01,43.50,43.51,42.81,43.12,3344600,43.12
2010-09-30,43.44,43.70,42.58,42.96,2885400,42.96
2010-09-29,43.45,43.66,43.00,43.13,2579600,43.13
2010-09-28,42.49,43.86,42.27,43.71,4338400,43.71
2010-09-27,42.63,42.81,42.33,42.57,2376800,42.57
2010-09-24,41.75,42.55,41.67,42.44,1997900,42.44
2010-09-23,40.99,41.58,40.85,41.01,1961200,41.01
2010-09-22,41.64,41.99,41.04,41.38,3106400,41.38
2010-09-21,41.93,42.38,41.60,41.78,3205900,41.78
2010-09-20,41.85,42.00,41.35,41.73,3179100,41.73
2010-09-17,41.67,41.83,41.16,41.55,3932900,41.55
2010-09-16,41.15,41.61,40.94,41.50,2959300,41.50
2010-09-15,40.60,41.87,40.60,41.45,4353500,41.45
2010-09-14,39.92,40.96,39.79,40.69,2798800,40.69
2010-09-13,39.57,40.18,39.42,40.03,3069100,40.03
2010-09-10,39.08,39.27,38.63,38.95,2642000,38.95
2010-09-09,39.86,40.09,38.95,39.08,3180400,39.08
2010-09-08,38.85,39.54,38.84,39.29,2975100,39.29
2010-09-07,38.78,39.36,38.54,38.78,3327000,38.78
2010-09-03,38.75,39.38,38.44,39.12,3423900,39.12
2010-09-02,37.64,38.27,37.46,38.16,2979200,38.16
2010-09-01,36.69,37.66,36.69,37.59,3957400,37.44
2010-08-31,35.61,36.41,35.06,35.84,4707900,35.70
2010-08-30,36.97,37.16,35.75,35.77,2662200,35.63
2010-08-27,37.06,37.12,35.75,36.92,4584900,36.77
2010-08-26,37.81,37.98,36.60,36.66,3380000,36.51
2010-08-25,36.93,38.01,36.61,37.85,3410600,37.70
2010-08-24,37.20,37.60,36.54,37.28,3461400,37.13
2010-08-23,37.64,38.33,37.39,37.80,3443500,37.65
2010-08-20,36.79,37.40,36.40,37.31,2905400,37.16
2010-08-19,37.84,37.90,36.78,37.16,2745800,37.01
2010-08-18,38.07,38.23,37.38,38.06,3035800,37.91
2010-08-17,37.71,38.47,37.56,37.88,2612500,37.73
2010-08-16,37.00,37.60,36.71,37.24,2100100,37.09
2010-08-13,37.59,37.84,37.29,37.31,1912000,37.16
2010-08-12,37.02,37.91,36.87,37.81,2671400,37.66
2010-08-11,38.00,38.30,37.29,37.71,2912900,37.56
2010-08-10,38.88,39.36,38.49,39.10,2844200,38.94
2010-08-09,39.00,39.36,38.56,39.24,2490900,39.08
2010-08-06,38.25,39.00,38.00,38.96,3120600,38.80
2010-08-05,39.00,39.00,38.50,38.73,4227300,38.58
2010-08-04,37.46,39.35,37.46,39.30,6684000,39.14
2010-08-03,36.61,37.65,36.02,37.10,7931600,36.95
2010-08-02,37.79,38.75,37.54,38.43,5699700,38.28
2010-07-30,35.92,37.20,35.86,36.97,3684000,36.82
2010-07-29,37.24,37.24,35.83,36.45,2871900,36.30
2010-07-28,37.01,37.23,36.54,36.68,2489700,36.53
2010-07-27,38.41,38.41,36.96,37.05,4224900,36.90
2010-07-26,37.50,38.12,36.87,38.07,2777200,37.92
2010-07-23,36.67,37.45,36.02,37.37,3585800,37.22
2010-07-22,35.56,36.83,35.56,36.65,3851300,36.50
2010-07-21,35.36,35.94,35.00,35.10,3538900,34.96
2010-07-20,33.92,35.32,33.75,35.25,4162500,35.11
2010-07-19,34.85,35.14,33.97,34.37,5075000,34.23
2010-07-16,36.52,36.56,34.62,34.76,5456000,34.62
2010-07-15,36.83,36.90,36.10,36.75,2715200,36.60
2010-07-14,36.94,37.24,36.53,36.77,3996600,36.62
2010-07-13,36.42,37.37,36.33,37.16,3301300,37.01
2010-07-12,36.39,36.44,35.51,36.03,3067700,35.89
2010-07-09,36.12,36.88,35.81,36.50,3090000,36.35
2010-07-08,36.74,36.97,35.53,36.12,5090600,35.98
2010-07-07,35.22,36.12,34.52,36.08,6703300,35.94
2010-07-06,36.10,36.47,34.33,34.70,7409700,34.56
2010-07-02,36.72,36.94,35.55,35.77,3098200,35.63
2010-07-01,36.40,36.84,35.36,36.46,5225000,36.31
2010-06-30,36.86,37.61,36.44,36.55,4842800,36.40
2010-06-29,38.40,38.48,36.72,37.01,6651600,36.86
2010-06-28,39.12,39.72,38.97,39.03,3058900,38.87
2010-06-25,39.60,39.62,39.00,39.16,5509300,39.00
2010-06-24,40.16,40.68,39.28,39.48,4594200,39.32
2010-06-23,40.54,41.04,39.90,40.60,3323800,40.44
2010-06-22,42.15,42.85,40.62,40.71,4725500,40.55
2010-06-21,43.97,43.98,41.90,42.16,4098200,41.99
2010-06-18,43.35,43.57,43.00,43.11,4293700,42.94
2010-06-17,43.66,44.00,42.87,43.20,4217100,43.03
2010-06-16,43.82,44.08,43.24,43.51,4754400,43.34
2010-06-15,43.79,44.37,43.06,44.32,4375100,44.14
2010-06-14,43.04,43.70,42.76,43.31,3987100,43.14
2010-06-11,41.55,42.88,41.40,42.81,4219100,42.64
2010-06-10,41.53,42.93,41.53,42.16,7690500,41.99
2010-06-09,40.11,41.90,40.11,40.81,4989200,40.65
2010-06-08,39.25,39.95,38.66,39.87,4671000,39.71
2010-06-07,39.74,40.21,39.12,39.15,4327900,38.99
2010-06-04,40.72,41.16,39.43,39.59,4837200,39.43
2010-06-03,41.76,42.19,41.40,41.95,4282500,41.63
2010-06-02,40.40,41.61,40.31,41.60,4177600,41.29
2010-06-01,40.63,41.49,40.11,40.27,3770800,39.97
2010-05-28,41.88,42.05,40.69,41.11,4225800,40.80
2010-05-27,40.39,42.00,40.20,41.95,6634700,41.63
2010-05-26,39.62,40.10,39.22,39.36,6445400,39.06
2010-05-25,37.36,39.15,36.97,39.09,5781200,38.79
2010-05-24,38.48,39.16,38.25,38.74,5323600,38.45
2010-05-21,36.87,39.09,36.87,38.43,7421400,38.14
2010-05-20,37.92,38.72,37.40,37.81,6611500,37.52
2010-05-19,38.96,39.70,38.46,38.83,5817900,38.54
2010-05-18,40.64,40.96,39.14,39.26,3622100,38.96
2010-05-17,40.34,40.49,38.75,40.20,3175700,39.90
2010-05-14,41.25,41.40,39.54,40.06,6628800,39.76
2010-05-13,42.27,42.37,41.53,41.63,4642900,41.32
2010-05-12,41.66,42.43,41.47,42.40,2540700,42.08
2010-05-11,40.23,41.79,40.23,41.45,4374900,41.14
2010-05-10,40.07,41.11,40.01,41.07,3949000,40.76
2010-05-07,38.99,39.74,37.64,38.28,5787800,37.99
2010-05-06,40.34,40.91,35.70,39.12,5781100,38.82
2010-05-05,41.32,42.16,40.67,40.78,3967600,40.47
2010-05-04,42.53,42.58,41.28,41.83,4324300,41.51
2010-05-03,41.86,43.30,41.85,43.03,3185900,42.71
2010-04-30,43.20,43.38,41.71,41.75,3336100,41.43
2010-04-29,42.79,43.28,42.52,43.11,2604600,42.78
2010-04-28,42.00,42.78,41.93,42.35,4370300,42.03
2010-04-27,43.12,43.29,41.91,41.97,4080600,41.65
2010-04-26,43.77,43.84,43.23,43.46,3228400,43.13
2010-04-23,42.99,43.72,42.76,43.62,4418100,43.29
2010-04-22,42.63,43.35,42.50,43.19,6536400,42.86
2010-04-21,42.36,43.08,42.10,43.04,5484600,42.71
2010-04-20,42.92,43.01,41.72,42.03,6083700,41.71
2010-04-19,42.29,42.45,40.92,41.88,6226200,41.56
2010-04-16,42.97,43.12,42.08,42.31,5242200,41.99
2010-04-15,42.63,43.25,42.33,42.99,3574600,42.67
2010-04-14,41.92,42.70,41.74,42.61,3472500,42.29
2010-04-13,41.48,41.84,41.33,41.54,2965600,41.23
2010-04-12,41.44,41.59,41.14,41.18,2439800,40.87
2010-04-09,40.72,41.59,40.49,41.34,3475300,41.03
2010-04-08,40.41,40.73,40.00,40.47,2578700,40.16
2010-04-07,40.64,41.03,40.20,40.49,3865200,40.18
2010-04-06,40.45,40.78,40.18,40.73,2046000,40.42
2010-04-05,40.24,40.70,39.92,40.54,2649700,40.23
2010-04-01,39.87,40.29,39.70,40.14,3153900,39.84
2010-03-31,39.71,40.10,39.43,39.52,3361400,39.22
2010-03-30,40.74,40.74,39.74,39.91,2688600,39.61
2010-03-29,40.53,40.53,39.47,39.98,4354900,39.68
2010-03-26,39.69,40.60,39.17,40.31,5551800,40.01
2010-03-25,38.95,39.28,38.68,38.70,2967700,38.41
2010-03-24,38.35,38.82,38.33,38.65,3177400,38.36
2010-03-23,38.52,38.87,38.12,38.35,3821900,38.06
2010-03-22,37.46,38.58,37.29,38.34,4034600,38.05
2010-03-19,38.18,38.37,37.68,37.85,3331500,37.56
2010-03-18,38.10,38.50,37.85,38.08,2617300,37.79
2010-03-17,37.91,38.35,37.91,38.23,2172200,37.94
2010-03-16,38.08,38.24,37.68,37.82,3204600,37.53
2010-03-15,38.13,38.36,37.53,38.05,3132700,37.76
2010-03-12,38.60,38.81,37.86,38.27,2781600,37.98
2010-03-11,38.31,38.54,38.05,38.49,2638200,38.20
2010-03-10,38.99,39.14,38.45,38.58,4228200,38.29
2010-03-09,37.44,39.20,37.38,38.86,5809100,38.57
2010-03-08,37.85,37.93,37.32,37.55,3248700,37.27
2010-03-05,37.38,37.84,37.05,37.69,3299900,37.41
2010-03-04,36.39,37.31,36.39,37.18,4169700,36.90
2010-03-03,36.72,36.94,36.34,36.47,4560600,36.12
2010-03-02,37.10,37.13,36.78,36.87,4517700,36.52
2010-03-01,36.53,37.08,36.18,37.02,5397400,36.66
2010-02-26,36.71,37.10,36.42,36.44,3815600,36.09
2010-02-25,36.60,36.85,36.20,36.69,5117500,36.34
2010-02-24,36.64,37.21,36.44,37.18,4355700,36.82
2010-02-23,36.41,36.76,36.13,36.56,4749100,36.21
2010-02-22,36.44,36.94,36.38,36.56,4720200,36.21
2010-02-19,36.24,36.50,36.02,36.38,3433900,36.03
2010-02-18,35.83,36.51,35.80,36.44,3739300,36.09
2010-02-17,36.44,36.44,35.77,36.05,4488800,35.70
2010-02-16,35.69,36.31,35.25,36.18,3478900,35.83
2010-02-12,35.01,35.53,34.61,35.47,4754500,35.13
2010-02-11,34.70,35.69,34.43,35.38,4028700,35.04
2010-02-10,34.62,35.00,34.33,34.73,2964900,34.40
2010-02-09,34.71,34.84,34.28,34.70,3366100,34.37
2010-02-08,34.25,34.83,33.90,34.19,3456500,33.86
2010-02-05,33.60,34.39,32.96,34.32,8826100,33.99
2010-02-04,35.10,35.34,34.17,34.47,5001800,34.14
2010-02-03,35.32,35.61,34.98,35.49,4773900,35.15
2010-02-02,35.29,35.77,35.10,35.73,4714200,35.39
2010-02-01,35.00,35.36,34.83,35.27,3758600,34.93
2010-01-29,34.98,35.36,34.73,34.88,5884100,34.55
2010-01-28,35.11,35.37,34.65,34.87,6519600,34.54
2010-01-27,34.56,35.17,34.37,35.01,5671200,34.67
2010-01-26,34.07,35.01,33.91,34.61,5387200,34.28
2010-01-25,34.35,34.71,33.73,34.09,5638200,33.76
