Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,65.53,66.04,65.23,65.40,3039900,65.40
2010-11-04,63.89,65.63,63.89,65.48,5801500,65.48
2010-11-03,63.53,63.86,62.71,63.16,4080900,63.16
2010-11-02,63.55,64.18,63.35,63.72,2988400,63.72
2010-11-01,63.05,63.62,62.78,63.28,2790600,63.28
2010-10-29,62.61,62.90,62.52,62.77,2350900,62.77
2010-10-28,63.06,63.25,62.50,62.80,2385400,62.80
2010-10-27,63.38,63.38,62.51,62.98,3378700,62.98
2010-10-26,63.52,64.19,63.44,63.68,2826200,63.47
2010-10-25,64.12,64.77,64.01,64.11,2764000,63.90
2010-10-22,63.84,64.10,63.22,64.03,2406400,63.82
2010-10-21,62.56,63.89,62.54,63.60,4190700,63.40
2010-10-20,62.35,63.07,62.25,62.61,2785800,62.41
2010-10-19,62.66,63.14,61.90,62.21,3970600,62.01
2010-10-18,63.42,63.81,63.13,63.21,2417000,63.01
2010-10-15,63.46,63.77,63.21,63.70,4033400,63.49
2010-10-14,63.12,63.86,62.91,63.18,4214500,62.98
2010-10-13,63.20,63.96,63.00,63.36,5006500,63.16
2010-10-12,64.03,64.09,63.31,63.34,4454400,63.14
2010-10-11,63.39,64.49,63.28,64.32,2584800,64.11
2010-10-08,64.40,64.95,63.94,64.29,5632000,64.08
2010-10-07,65.22,65.27,64.43,65.26,5048000,65.05
2010-10-06,63.00,65.46,62.81,65.41,11502200,65.20
2010-10-05,65.00,65.00,64.33,64.66,5698600,64.45
2010-10-04,65.06,65.24,64.53,64.56,4502900,64.35
2010-10-01,64.92,65.25,64.50,65.05,4037200,64.84
2010-09-30,64.87,65.00,64.07,64.49,4090300,64.28
2010-09-29,64.93,65.22,64.39,64.67,3585200,64.46
2010-09-28,63.86,65.11,63.69,65.00,5453500,64.79
2010-09-27,63.82,64.14,63.63,63.73,4704400,63.52
2010-09-24,63.00,64.31,62.78,64.05,4481600,63.84
2010-09-23,62.05,62.82,61.88,62.50,3399200,62.30
2010-09-22,61.52,62.45,61.52,62.33,4806500,62.13
2010-09-21,61.21,61.53,60.86,61.27,3198500,61.07
2010-09-20,61.51,61.78,60.97,61.28,3472500,61.08
2010-09-17,61.50,61.50,60.95,61.29,3495800,61.09
2010-09-16,61.16,61.33,60.82,61.24,2230600,61.04
2010-09-15,61.04,61.27,60.91,61.19,3523100,60.99
2010-09-14,60.00,61.21,59.94,61.04,4134800,60.84
2010-09-13,59.82,60.23,59.41,60.05,3107800,59.86
2010-09-10,59.30,59.79,59.14,59.54,2608600,59.35
2010-09-09,59.50,59.51,58.83,58.94,2622900,58.75
2010-09-08,59.37,59.42,58.80,59.21,3412700,59.02
2010-09-07,58.25,59.00,58.20,58.64,2598500,58.45
2010-09-03,59.05,59.05,58.19,58.57,2779400,58.38
2010-09-02,58.41,58.83,57.65,58.59,5011300,58.40
2010-09-01,56.93,57.89,56.76,57.79,3966400,57.60
2010-08-31,55.86,57.06,55.74,56.50,4358700,56.32
2010-08-30,56.21,56.85,56.07,56.07,2843100,55.89
2010-08-27,56.39,56.53,55.41,56.19,4254700,56.01
2010-08-26,57.13,57.15,56.15,56.28,3854500,56.10
2010-08-25,55.37,57.40,55.20,57.07,5946600,56.89
2010-08-24,54.52,55.67,54.05,55.60,6658600,55.42
2010-08-23,55.33,55.65,54.85,54.90,2407500,54.72
2010-08-20,54.73,55.12,54.48,55.04,2896200,54.86
2010-08-19,55.44,55.63,54.61,55.01,2946200,54.83
2010-08-18,55.25,55.99,54.99,55.68,2909200,55.50
2010-08-17,55.51,56.29,55.38,55.83,2641600,55.65
2010-08-16,55.14,55.50,55.00,55.37,2395400,55.19
2010-08-13,55.41,55.71,55.06,55.31,2270600,55.13
2010-08-12,55.49,55.96,55.37,55.67,3269000,55.49
2010-08-11,56.51,56.62,55.81,55.87,2847500,55.69
2010-08-10,56.79,57.31,56.63,56.98,2433600,56.80
2010-08-09,56.55,57.49,56.54,57.16,2391800,56.98
2010-08-06,56.25,56.64,55.76,56.54,3030000,56.36
2010-08-05,56.74,56.74,55.86,56.46,4358300,56.28
2010-08-04,56.49,57.61,56.24,57.40,4364600,57.22
2010-08-03,56.62,56.91,56.38,56.55,3246800,56.16
2010-08-02,57.06,57.34,56.76,56.84,3588100,56.45
2010-07-30,55.71,56.89,55.71,56.71,2973900,56.32
2010-07-29,56.74,57.00,55.77,56.21,3439800,55.83
2010-07-28,57.22,57.40,56.41,56.51,3077800,56.12
2010-07-27,56.49,57.36,56.39,57.21,6930000,56.82
2010-07-26,55.79,56.00,55.45,55.71,3494400,55.33
2010-07-23,55.00,56.00,54.78,55.95,4905800,55.57
2010-07-22,54.09,55.08,53.84,54.90,5284100,54.52
2010-07-21,55.07,55.10,53.49,53.61,4973800,53.24
2010-07-20,54.37,55.09,54.11,55.09,6343500,54.71
2010-07-19,55.13,55.29,54.60,54.82,3575000,54.45
2010-07-16,56.59,56.60,54.95,54.98,5020200,54.60
2010-07-15,56.37,56.59,55.85,56.55,2949400,56.16
2010-07-14,56.39,56.40,55.87,56.35,3428200,55.96
2010-07-13,56.15,56.75,56.15,56.51,3207300,56.12
2010-07-12,56.05,56.43,55.73,55.93,2644600,55.55
2010-07-09,56.29,56.29,55.60,56.19,3895600,55.81
2010-07-08,54.78,55.79,54.52,55.71,7592700,55.33
2010-07-07,53.76,54.33,53.41,54.29,4813000,53.92
2010-07-06,54.69,54.71,53.51,54.00,3364700,53.63
2010-07-02,55.18,55.18,53.76,54.23,3385200,53.86
2010-07-01,54.73,55.16,54.22,54.90,5376600,54.52
2010-06-30,55.52,55.67,54.69,54.83,4609600,54.46
2010-06-29,56.18,56.37,55.39,55.63,4298400,55.25
2010-06-28,56.59,57.20,56.22,56.65,3043600,56.26
2010-06-25,56.17,56.86,55.87,56.44,4488900,56.05
2010-06-24,57.17,57.45,56.00,56.22,3772600,55.84
2010-06-23,57.59,57.68,57.02,57.44,2541200,57.05
2010-06-22,57.99,58.31,57.54,57.61,2716300,57.22
2010-06-21,58.50,58.70,57.55,57.78,2795600,57.39
2010-06-18,58.50,58.73,58.05,58.21,3657100,57.81
2010-06-17,58.59,58.72,57.99,58.58,2829000,58.18
2010-06-16,58.47,58.89,58.12,58.34,2876900,57.94
2010-06-15,57.93,59.18,57.92,59.16,5099900,58.76
2010-06-14,57.64,57.90,57.30,57.52,2510800,57.13
2010-06-11,57.18,57.65,57.00,57.52,3093000,57.13
2010-06-10,57.82,58.06,57.30,57.65,3270300,57.26
2010-06-09,56.68,57.75,56.58,57.40,4926900,57.01
2010-06-08,55.69,56.72,55.55,56.66,3726500,56.27
2010-06-07,56.01,56.62,55.76,55.85,3414800,55.47
2010-06-04,57.45,57.45,56.01,56.17,5499000,55.79
2010-06-03,58.23,59.16,57.30,57.93,7219000,57.53
2010-06-02,58.34,58.98,57.95,58.95,3898900,58.55
2010-06-01,58.18,58.85,57.73,57.98,3200400,57.58
2010-05-28,58.79,58.92,58.02,58.25,3501100,57.85
2010-05-27,57.34,59.26,57.04,58.74,8764500,58.34
2010-05-26,56.60,56.70,55.71,55.98,6146600,55.60
2010-05-25,55.96,56.50,55.39,56.50,6120300,56.11
2010-05-24,57.18,57.41,56.68,56.76,3376800,56.37
2010-05-21,55.93,57.73,55.79,57.44,5966100,57.05
2010-05-20,57.00,57.52,56.55,56.59,6755600,56.20
2010-05-19,57.49,58.48,57.49,57.77,4350200,57.38
2010-05-18,58.64,58.99,57.68,57.78,4308800,57.39
2010-05-17,57.82,58.44,57.53,58.35,4129100,57.95
2010-05-14,57.27,58.12,57.21,57.74,4890500,57.35
2010-05-13,57.81,58.49,57.60,57.67,5007700,57.28
2010-05-12,58.06,58.19,57.66,57.88,4151100,57.48
2010-05-11,57.40,58.30,57.33,57.94,5442100,57.54
2010-05-10,58.62,58.99,57.10,57.52,8378900,57.13
2010-05-07,57.86,58.70,56.83,57.31,9286700,56.92
2010-05-06,58.95,59.11,55.00,58.03,11175500,57.63
2010-05-05,59.75,60.83,59.72,60.36,6438700,59.95
2010-05-04,58.83,60.37,58.31,59.88,6046200,59.27
2010-05-03,59.03,59.50,58.90,59.31,4051400,58.70
2010-04-30,59.13,59.68,59.02,59.08,4960700,58.48
2010-04-29,59.01,59.45,58.92,59.35,2883800,58.74
2010-04-28,59.30,59.49,58.74,58.85,3462400,58.25
2010-04-27,60.25,60.25,59.11,59.17,3948900,58.56
2010-04-26,60.20,60.30,60.01,60.07,2874600,59.46
2010-04-23,60.07,60.48,60.00,60.20,4017400,59.58
2010-04-22,59.23,60.41,59.12,60.22,3929700,59.60
2010-04-21,59.40,59.56,59.04,59.51,3033200,58.90
2010-04-20,59.70,59.92,59.33,59.49,3703300,58.88
2010-04-19,59.29,59.53,58.61,59.47,4040700,58.86
2010-04-16,58.96,59.52,58.93,59.19,5443700,58.58
2010-04-15,59.41,59.44,58.90,59.03,5754400,58.43
2010-04-14,59.79,59.87,58.94,59.62,6763100,59.01
2010-04-13,60.22,60.55,59.76,59.89,4191400,59.28
2010-04-12,60.89,61.21,60.26,60.35,4550700,59.73
2010-04-09,61.04,61.41,60.92,61.21,2804500,60.58
2010-04-08,61.60,61.62,60.82,60.98,4471500,60.36
2010-04-07,61.65,61.96,61.50,61.72,3897200,61.09
2010-04-06,61.05,61.85,60.75,61.74,3589100,61.11
2010-04-05,60.33,60.87,60.00,60.82,2146100,60.20
2010-04-01,59.73,60.30,59.71,60.14,2638300,59.52
2010-03-31,60.06,60.11,59.68,59.71,2548200,59.10
2010-03-30,60.27,60.50,60.04,60.17,2121500,59.55
2010-03-29,60.14,60.43,59.96,60.14,2375500,59.52
2010-03-26,60.25,60.42,59.91,60.13,2302000,59.51
2010-03-25,60.42,60.42,60.01,60.05,2591500,59.44
2010-03-24,60.54,60.74,60.02,60.07,2910000,59.46
2010-03-23,60.76,60.89,60.36,60.76,2937800,60.14
2010-03-22,60.54,61.09,60.43,60.88,2369000,60.26
2010-03-19,61.38,61.50,60.49,60.72,4687500,60.10
2010-03-18,61.00,61.43,60.92,61.27,3156200,60.64
2010-03-17,60.96,61.46,60.90,61.33,3115300,60.70
2010-03-16,60.71,60.96,60.59,60.91,2480600,60.29
2010-03-15,60.07,60.62,60.05,60.55,2584700,59.93
2010-03-12,59.88,60.48,59.81,60.17,3938700,59.55
2010-03-11,59.78,60.06,59.77,59.90,3957200,59.29
2010-03-10,60.21,60.41,59.76,59.84,3248400,59.23
2010-03-09,60.38,60.57,60.04,60.13,3187000,59.51
2010-03-08,60.54,61.00,60.52,60.67,3020400,60.05
2010-03-05,60.85,60.97,60.50,60.68,3514800,60.06
2010-03-04,60.75,61.16,60.48,60.80,3286100,60.18
2010-03-03,59.75,61.58,59.64,60.68,10153500,60.06
2010-03-02,62.12,62.12,61.20,61.38,4126100,60.75
2010-03-01,61.00,62.11,60.68,61.65,4031100,61.02
2010-02-26,61.36,61.47,60.78,60.97,3681600,60.35
2010-02-25,60.29,61.52,60.21,61.40,3534000,60.77
2010-02-24,60.80,61.22,60.61,60.86,2908200,60.24
