Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.59,36.62,36.36,36.61,1501900,36.61
2010-11-04,36.55,36.99,36.51,36.66,2124700,36.66
2010-11-03,36.46,36.53,36.17,36.33,1415700,36.33
2010-11-02,36.35,36.49,36.19,36.41,1870100,36.41
2010-11-01,36.29,36.49,36.10,36.20,2073600,36.20
2010-10-29,35.86,36.27,35.85,36.25,1361800,36.25
2010-10-28,36.08,36.26,35.79,35.88,2967700,35.88
2010-10-27,36.09,36.14,35.76,36.07,1677300,36.07
2010-10-26,36.24,36.34,36.09,36.32,2159800,36.32
2010-10-25,36.50,36.64,36.26,36.27,1844100,36.27
2010-10-22,36.22,36.47,36.22,36.37,1363300,36.37
2010-10-21,36.27,36.52,36.11,36.30,1612300,36.30
2010-10-20,36.01,36.34,36.01,36.25,1291100,36.25
2010-10-19,36.15,36.26,35.89,36.02,1880000,36.02
2010-10-18,36.49,36.49,36.27,36.41,1703300,36.41
2010-10-15,36.64,36.85,36.49,36.61,2044600,36.61
2010-10-14,36.50,36.66,36.43,36.55,1762400,36.55
2010-10-13,35.95,36.69,35.91,36.60,4545300,36.60
2010-10-12,35.75,35.90,35.59,35.82,2107000,35.82
2010-10-11,35.64,35.91,35.61,35.87,1629700,35.87
2010-10-08,35.59,35.75,35.36,35.67,2459600,35.67
2010-10-07,35.75,35.89,35.40,35.48,2048000,35.48
2010-10-06,36.08,36.16,35.92,36.08,1891200,35.81
2010-10-05,36.14,36.24,35.91,35.95,2785100,35.68
2010-10-04,36.09,36.19,35.80,35.94,1897200,35.67
2010-10-01,35.91,36.10,35.72,36.09,2766500,35.81
2010-09-30,36.10,36.28,35.56,35.75,3830500,35.48
2010-09-29,36.16,36.36,35.89,36.02,2567100,35.75
2010-09-28,36.37,36.50,36.00,36.45,2041800,36.17
2010-09-27,36.24,36.39,36.05,36.23,1517000,35.95
2010-09-24,36.10,36.38,35.91,36.24,3668200,35.96
2010-09-23,36.44,36.46,36.13,36.17,1718800,35.89
2010-09-22,36.39,36.80,36.38,36.53,2341700,36.25
2010-09-21,36.42,36.44,36.12,36.28,1887500,36.00
2010-09-20,36.31,36.51,36.12,36.50,2228700,36.22
2010-09-17,36.40,36.59,36.18,36.30,3222800,36.02
2010-09-16,36.14,36.31,35.99,36.31,1765400,36.03
2010-09-15,35.68,36.16,35.59,36.15,2320900,35.87
2010-09-14,35.32,35.74,35.32,35.68,3554800,35.41
2010-09-13,36.15,36.17,35.86,36.06,1568700,35.79
2010-09-10,35.99,36.02,35.82,35.99,2815500,35.72
2010-09-09,36.14,36.21,35.94,35.97,3653000,35.70
2010-09-08,35.87,36.05,35.76,35.93,3706800,35.66
2010-09-07,35.62,35.95,35.52,35.90,5298200,35.63
2010-09-03,36.03,36.66,35.82,36.21,5258600,35.93
2010-09-02,37.06,37.33,36.98,37.32,2337000,37.04
2010-09-01,37.45,37.50,36.85,36.97,3841600,36.69
2010-08-31,36.95,37.45,36.93,37.26,3035200,36.98
2010-08-30,37.40,37.59,36.98,36.98,2850100,36.70
2010-08-27,37.11,37.56,37.07,37.47,2461500,37.18
2010-08-26,37.27,37.37,36.80,36.95,2043100,36.67
2010-08-25,36.84,37.41,36.69,37.25,2429500,36.97
2010-08-24,36.64,37.11,36.60,36.91,2703900,36.63
2010-08-23,36.77,37.10,36.54,36.90,2320900,36.62
2010-08-20,36.35,36.67,36.22,36.64,1754300,36.36
2010-08-19,36.77,36.82,36.18,36.51,1947800,36.23
2010-08-18,36.96,37.01,36.67,36.91,1521000,36.63
2010-08-17,36.50,37.07,36.27,36.88,2431600,36.60
2010-08-16,36.05,36.32,35.90,36.27,1520300,35.99
2010-08-13,35.95,36.31,35.90,36.19,1031000,35.91
2010-08-12,35.80,36.18,35.77,36.08,1673600,35.81
2010-08-11,36.09,36.28,35.89,36.10,2444200,35.82
2010-08-10,35.96,36.55,35.96,36.42,2193700,36.14
2010-08-09,36.22,36.47,36.15,36.21,1791200,35.93
2010-08-06,36.09,36.50,35.95,36.18,3106100,35.90
2010-08-05,36.28,36.31,35.86,36.29,2840700,36.01
2010-08-04,35.92,36.46,35.92,36.39,1653900,36.11
2010-08-03,35.92,36.13,35.76,35.90,2708900,35.63
2010-08-02,36.19,36.30,35.84,36.05,2496000,35.78
2010-07-30,35.68,36.00,35.40,35.90,2299100,35.63
2010-07-29,36.27,36.27,35.58,35.77,3600900,35.50
2010-07-28,36.64,36.73,36.26,36.33,1687400,36.05
2010-07-27,36.36,36.76,36.03,36.73,2680000,36.45
2010-07-26,36.11,36.39,36.05,36.20,1811200,35.92
2010-07-23,36.14,36.31,35.96,36.25,2768300,35.97
2010-07-22,36.21,36.41,35.99,36.14,2172200,35.86
2010-07-21,36.47,36.49,35.87,35.95,2028200,35.68
2010-07-20,35.82,36.52,35.79,36.47,3912200,36.19
2010-07-19,35.95,36.21,35.95,36.04,2540500,35.77
2010-07-16,35.98,36.10,35.75,35.82,2752700,35.55
2010-07-15,35.93,36.12,35.69,36.05,2601800,35.78
2010-07-14,36.04,36.04,35.75,35.88,2520100,35.61
2010-07-13,36.00,36.36,35.90,36.03,3165800,35.76
2010-07-12,36.15,36.20,35.91,35.96,2784200,35.69
2010-07-09,36.53,36.53,36.08,36.30,1554300,36.02
2010-07-08,36.42,36.51,36.20,36.48,1911000,36.20
2010-07-07,35.68,36.28,35.60,36.28,2533800,36.00
2010-07-06,35.63,35.78,35.40,35.69,2386900,35.42
2010-07-02,35.62,35.65,35.15,35.31,2168500,35.04
2010-07-01,35.64,35.78,35.26,35.58,4618700,35.31
2010-06-30,35.99,36.07,35.65,35.83,3061400,35.28
2010-06-29,36.28,36.45,35.86,36.03,2487100,35.48
2010-06-28,36.22,36.73,36.15,36.56,1776400,36.00
2010-06-25,36.49,36.52,36.05,36.11,2722500,35.56
2010-06-24,36.58,36.79,36.38,36.46,3020400,35.90
2010-06-23,36.73,36.92,36.48,36.75,3192700,36.19
2010-06-22,37.07,37.24,36.56,36.63,2018600,36.07
2010-06-21,37.40,37.50,36.96,37.11,2100500,36.54
2010-06-18,37.47,37.47,37.05,37.15,2165200,36.58
2010-06-17,37.14,37.50,36.99,37.49,2221600,36.92
2010-06-16,36.74,37.06,36.72,36.99,2774300,36.43
2010-06-15,37.00,37.00,36.71,37.00,2092500,36.44
2010-06-14,36.76,36.86,36.42,36.69,2654100,36.13
2010-06-11,36.29,36.47,36.08,36.47,3080700,35.91
2010-06-10,36.91,37.02,36.33,36.57,4300600,36.01
2010-06-09,36.85,37.17,36.52,36.59,3630300,36.03
2010-06-08,35.99,36.73,35.92,36.71,4627000,36.15
2010-06-07,35.99,36.40,35.94,36.03,3048900,35.48
2010-06-04,36.21,36.23,35.86,36.00,3501500,35.45
2010-06-03,36.61,36.79,36.44,36.65,2192200,36.09
2010-06-02,35.71,36.42,35.69,36.42,2779100,35.87
2010-06-01,35.54,36.07,35.49,35.66,4141800,35.12
2010-05-28,35.89,36.00,35.78,35.81,2586800,35.26
2010-05-27,35.34,35.94,35.20,35.93,3469800,35.38
2010-05-26,35.29,35.29,34.84,34.88,3957500,34.35
2010-05-25,34.77,35.19,34.61,35.18,4244300,34.64
2010-05-24,35.40,35.59,34.80,35.38,3855100,34.84
2010-05-21,34.93,35.52,34.71,35.48,5249000,34.94
2010-05-20,35.22,35.40,34.79,34.96,5303200,34.43
2010-05-19,35.37,35.78,35.24,35.62,2796400,35.08
2010-05-18,35.78,35.99,35.41,35.48,2011100,34.94
2010-05-17,35.36,35.69,35.22,35.67,2016100,35.13
2010-05-14,35.83,36.00,35.21,35.34,2219600,34.80
2010-05-13,35.90,36.42,35.82,36.00,2294300,35.45
2010-05-12,35.96,36.16,35.70,36.02,2302800,35.47
2010-05-11,35.67,36.13,35.51,35.88,1791100,35.33
2010-05-10,35.48,36.28,35.34,35.80,1849700,35.25
2010-05-07,35.04,35.33,34.80,35.04,3796900,34.51
2010-05-06,35.69,35.69,34.18,35.07,3772600,34.54
2010-05-05,35.58,35.85,35.45,35.72,1564800,35.18
2010-05-04,35.70,35.94,35.44,35.64,1631800,35.10
2010-05-03,35.99,36.09,35.70,36.03,2034900,35.48
2010-04-30,35.65,36.25,35.60,35.86,2764500,35.31
2010-04-29,35.56,35.89,35.50,35.72,2230500,35.18
2010-04-28,35.26,35.45,34.98,35.38,1957200,34.84
2010-04-27,35.45,35.49,35.06,35.11,1677700,34.57
2010-04-26,35.47,35.68,35.42,35.48,1174100,34.94
2010-04-23,35.73,35.73,35.35,35.59,1631000,35.05
2010-04-22,35.84,36.00,35.41,35.78,1611600,35.23
2010-04-21,35.96,36.09,35.80,35.93,1493500,35.38
2010-04-20,35.88,36.02,35.74,36.00,1520500,35.45
2010-04-19,35.55,35.78,35.42,35.75,1809200,35.21
2010-04-16,35.81,36.04,35.56,35.71,2239500,35.17
