Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.80,49.96,49.54,49.74,684900,49.74
2010-11-04,49.70,49.82,49.59,49.66,1042200,49.66
2010-11-03,49.66,49.79,48.77,49.18,1351800,49.18
2010-11-02,49.39,49.73,49.34,49.64,745600,49.64
2010-11-01,49.29,49.59,48.60,48.91,855100,48.91
2010-10-29,49.23,49.53,48.93,49.05,1064600,49.05
2010-10-28,49.37,49.58,48.84,49.33,789400,49.33
2010-10-27,49.13,49.20,48.69,49.07,929800,49.07
2010-10-26,49.35,49.67,49.03,49.55,873900,49.55
2010-10-25,49.98,49.98,49.32,49.51,1060600,49.51
2010-10-22,49.41,49.82,49.34,49.79,656400,49.79
2010-10-21,49.55,50.00,48.87,49.38,716100,49.38
2010-10-20,49.06,49.62,49.00,49.33,967700,49.33
2010-10-19,49.28,49.40,48.62,48.95,1294100,48.95
2010-10-18,49.59,50.01,49.09,50.01,1821500,50.01
2010-10-15,47.37,49.78,47.18,49.39,3459600,49.39
2010-10-14,47.59,47.62,46.81,46.98,1223700,46.98
2010-10-13,47.31,47.85,47.14,47.58,1119900,47.58
2010-10-12,46.53,47.14,46.23,47.01,891600,47.01
2010-10-11,46.38,46.90,46.26,46.60,618400,46.60
2010-10-08,45.96,46.48,45.83,46.37,929800,46.37
2010-10-07,46.25,46.35,45.59,45.90,707700,45.90
2010-10-06,46.34,46.34,45.70,46.03,850100,46.03
2010-10-05,45.69,46.52,45.69,46.40,1216400,46.40
2010-10-04,45.72,45.80,45.15,45.35,915000,45.35
2010-10-01,46.36,46.81,45.65,45.73,1676600,45.73
2010-09-30,46.23,46.43,45.95,46.00,1545200,46.00
2010-09-29,45.89,46.01,45.43,45.88,1178600,45.88
2010-09-28,45.40,45.93,44.75,45.85,1164400,45.85
2010-09-27,45.46,45.46,45.00,45.17,703300,45.17
2010-09-24,44.90,45.43,44.66,45.38,1424600,45.38
2010-09-23,43.92,44.77,43.78,44.42,1280200,44.42
2010-09-22,44.53,44.87,44.19,44.29,1963400,44.29
2010-09-21,44.50,44.93,44.26,44.66,1639600,44.66
2010-09-20,43.73,44.62,43.65,44.52,1011200,44.52
2010-09-17,43.70,43.71,43.18,43.62,1739900,43.62
2010-09-16,43.07,43.37,42.96,43.17,1370000,43.17
2010-09-15,42.68,43.27,42.45,43.23,1015500,43.23
2010-09-14,42.84,43.05,42.53,42.83,1438800,42.83
2010-09-13,43.18,43.43,42.84,42.90,1462900,42.90
2010-09-10,42.75,43.03,42.35,42.87,1698700,42.87
2010-09-09,42.30,42.36,41.50,41.73,1177900,41.73
2010-09-08,41.85,42.04,41.57,41.87,1723400,41.87
2010-09-07,42.11,42.26,41.61,41.70,930300,41.70
2010-09-03,42.30,42.51,41.93,42.51,1043800,42.36
2010-09-02,41.71,41.97,41.44,41.97,1000000,41.82
2010-09-01,40.47,41.68,39.96,41.66,1798300,41.51
2010-08-31,39.96,40.32,39.61,39.81,1776000,39.67
2010-08-30,40.51,40.66,40.15,40.18,1034000,40.04
2010-08-27,40.39,40.80,39.76,40.77,1980300,40.63
2010-08-26,40.28,40.36,39.90,40.11,1278200,39.97
2010-08-25,40.16,40.41,39.80,40.10,1931900,39.96
2010-08-24,40.45,40.80,40.06,40.43,1631700,40.29
2010-08-23,42.15,42.20,41.14,41.15,1139100,41.00
2010-08-20,41.63,42.08,41.37,42.02,1281100,41.87
2010-08-19,42.15,42.29,41.82,42.01,1096200,41.86
2010-08-18,42.62,42.64,42.11,42.38,921800,42.23
2010-08-17,42.65,42.88,42.26,42.41,926500,42.26
2010-08-16,41.88,42.62,41.58,42.25,1177400,42.10
2010-08-13,42.34,42.48,41.90,42.04,1298400,41.89
2010-08-12,43.44,43.59,42.40,42.49,1709600,42.34
2010-08-11,45.60,45.66,43.71,43.88,2193400,43.73
2010-08-10,46.22,46.59,45.88,46.44,1517900,46.28
2010-08-09,46.21,46.63,46.16,46.58,898400,46.42
2010-08-06,46.00,46.17,45.37,46.05,813800,45.89
2010-08-05,45.91,46.44,45.91,46.37,864900,46.21
2010-08-04,46.12,46.36,45.92,46.31,657700,46.15
2010-08-03,46.30,46.58,45.89,46.03,751700,45.87
2010-08-02,46.01,46.57,45.87,46.38,839600,46.22
2010-07-30,44.88,45.52,44.63,45.33,1010600,45.17
2010-07-29,46.50,46.61,44.86,45.17,1414500,45.01
2010-07-28,46.18,46.55,46.02,46.30,1022000,46.14
2010-07-27,47.10,47.11,46.28,46.39,745800,46.23
2010-07-26,46.80,46.90,46.49,46.81,950300,46.64
2010-07-23,46.24,46.92,46.09,46.78,825000,46.61
2010-07-22,45.68,46.50,45.56,46.40,1125000,46.24
2010-07-21,46.48,46.48,44.92,45.12,1318300,44.96
2010-07-20,45.35,46.18,45.10,46.18,1157000,46.02
2010-07-19,45.53,46.21,45.53,46.09,971800,45.93
2010-07-16,46.47,46.47,45.28,45.30,1101500,45.14
2010-07-15,46.68,46.82,46.07,46.71,1088100,46.55
2010-07-14,46.72,47.14,46.40,46.70,958600,46.54
2010-07-13,46.28,47.18,46.07,47.01,1246300,46.84
2010-07-12,45.57,46.10,45.45,45.87,879800,45.71
2010-07-09,45.37,45.73,45.21,45.67,958800,45.51
2010-07-08,45.51,45.97,45.09,45.35,2065500,45.19
2010-07-07,43.88,45.28,43.86,45.25,1166600,45.09
2010-07-06,44.39,44.68,43.42,43.70,1480100,43.55
2010-07-02,44.71,44.85,44.04,44.10,1339200,43.94
2010-07-01,45.22,45.29,44.16,44.62,1450000,44.46
2010-06-30,45.28,46.00,45.08,45.25,1785000,45.09
2010-06-29,46.94,46.96,45.29,45.56,1561500,45.40
2010-06-28,48.03,48.03,47.34,47.50,861200,47.33
2010-06-25,48.04,48.21,47.40,47.91,1223800,47.74
2010-06-24,48.94,48.95,47.68,47.86,892400,47.69
2010-06-23,49.29,49.56,48.78,49.06,726400,48.89
2010-06-22,50.28,50.66,49.31,49.41,944400,49.24
2010-06-21,51.17,51.37,50.01,50.27,1194100,50.09
2010-06-18,50.99,51.06,50.34,50.53,1342800,50.35
2010-06-17,50.42,51.00,50.16,51.00,1420700,50.82
2010-06-16,49.78,50.60,49.57,50.41,805100,50.23
2010-06-15,49.26,50.26,49.18,50.19,895000,50.01
2010-06-14,49.71,49.90,49.07,49.10,1109000,48.93
2010-06-11,48.71,49.30,48.64,49.24,889000,49.07
2010-06-10,48.65,49.49,48.45,49.44,929000,49.12
2010-06-09,48.21,48.73,47.72,47.93,994700,47.62
2010-06-08,47.34,48.04,47.19,47.99,1679900,47.68
2010-06-07,47.82,48.23,47.30,47.35,1835100,47.04
2010-06-04,49.33,49.44,47.64,47.78,2143000,47.47
2010-06-03,49.72,50.35,49.58,50.26,1475300,49.93
2010-06-02,48.22,49.58,48.10,49.55,2113800,49.23
2010-06-01,49.47,49.70,47.87,47.94,2482500,47.63
2010-05-28,49.93,50.33,49.53,49.99,2016000,49.66
